Pos;Sail Bow;"Crew
Club - Boat";Net points;Total points;"1Q
30/03";"2Q
30/03";"3Q
31/03";"4Q
31/03";"5F
01/04";"6F
01/04";"7F
01/04";"8F
02/04";"9F
02/04";"10F
02/04";"11F
03/04";"12F
03/04";"13F
03/04";"14MR
04/04"
50;USA 914;Andrew MOLLERUS / Matthew MOLLERUS;266;304;-38;25;20;7;17;26;26;23;21;23;26;26;26;
51;SWE 131;Gustav PETTERSON / Marcus ANJEMARK;106;144;22;20;-38;32;1;2;2;1;2;1;14;2;7;
52;NED 666;Jolbert VAN DIJK / Daniel BRAMERVAER;118;144;-26;25;17;24;2;7;1;11;6;15;7;1;2;
53;GER 202;Jakob MEGGENDORFER / Marco GRASSE;122;152;21;-30;28;29;9;6;8;4;4;3;5;4;1;
54;USA 510;David LIEBENBERG / Daniel MORRIS;124;151;-27;24;16;26;5;3;7;2;3;5;10;18;5;
55;DEN 711;Tobias HEMDORFF / Sebastian BYRSTING;128;162;29;24;-34;25;3;1;3;7;1;2;15;9;9;
56;ARG 97;Mario SEGERS / Federico VILLAMBROSA;151;189;20;-38;34;16;19;11;9;5;9;7;2;15;4;
57;GER 110;Kim Niclas HOLSTE / Yannik HOLSTE;157;191;23;28;12;-34;7;22;5;3;5;25;1;7;19;
58;ESP 800;Victor PAYÁ CANAL / Enrique ORTIZ RAPALO;169;207;26;-38;14;28;6;13;25;6;11;13;21;3;3;
59;GER 115;Tim FISCHER / Fabian GRAF;173;211;-38;30;29;30;22;5;11;14;7;6;6;5;8;
60;NED 191;Lars VAN STEKELENBORG / Floris VAN DE WERKEN;179;211;-32;29;23;27;12;4;6;8;8;4;8;25;25;
61;FIN 203;Victor SILÉN / Christoffer SILÉN;183;217;30;-34;30;27;20;8;4;16;12;14;4;6;12;
62;RSA 105;Graeme WILLCOX / Andrew TARBOTON;186;213;-27;27;15;23;17;9;12;15;14;16;12;13;13;
63;GBR 618;Tom METHVEN / William ALLOWAY;206;232;24;18;-26;25;4;18;15;25;25;25;9;8;10;
64;GBR 230;Samuel CURTIS / Benjamin CLEGG;218;256;29;26;31;-38;15;10;10;10;15;9;22;16;25;
65;GER 159;Jacob CLASEN / Johannes DREESEN;227;265;-38;29;38;33;10;12;20;9;25;8;18;14;11;
66;FIN 106;Eetu KOTIRANTA / Tom WENDT;232;267;31;32;-35;10;14;21;13;25;13;10;23;19;21;
67;SWE 169;James OLSSON / Henrik ERIKSSON;240;278;-38;26;33;37;18;25;19;13;10;25;16;12;6;
68;GER 911;Max STINGELE / Lukas SCHÄPER;240;278;-38;38;27;29;8;14;22;12;25;25;13;11;16;
69;FIN 313;Oscar SILÉN / Arthur THERMAN;250;288;-38;31;30;32;16;15;18;17;25;25;17;10;14;
70;GER 216;Max MARCOUR / Dominic FRITZE;267;305;-38;38;31;35;13;17;14;25;25;25;3;21;20;
71;FIN 149;Tomi OIKKONEN / Risto PESOLA;271;309;-38;38;32;34;24;23;21;25;18;11;11;17;17;
72;GER 1253;Ole KUCK / Mats LUDWIG;274;312;-38;31;32;31;11;20;16;25;25;25;20;20;18;
73;FRA 180;Hugo FEDRIGUCCI / Virgil AUBRIOT;282;320;-38;38;38;36;23;16;17;25;16;17;19;22;15;
74;GER 444;Jasper STEFFENS / Tom Lennart BRAUCKMANN;291;329;-38;33;33;31;21;19;25;25;17;12;25;25;25;
