Pos;Sail Bow;"Crew
Club - Boat";Net points;Total points;"1Q
28/03";"2Q
28/03";"3Q
28/03";"4Q
29/03";"5Q
29/03";"6Q
29/03";"7F
31/03";"8F
31/03";"9F
31/03";"10F
31/03";"11F
01/04";"12F
01/04";"13F
01/04";"14F
01/04";"15F
01/04";"16MR
02/04"
50;GER 211;Tim Elsner / Moritz Klingenberg;132;159;24;-27;22;21;22;14;3;5;6;3;9;3;;;;
51;RUS 125;Konstantin Nosov / Aleksandr Gaidaenko;139;168;-29;25;23;23;18;14;9;1;4;5;13;4;;;;
52;GBR 618;Henry Lloyd Williams / William Alloway;140;167;16;26;-27;22;27;20;4;3;3;4;4;11;;;;
53;GBR 118;Christopher Taylor / Samuel Batten;159;197;6;-38;18;29;19;38;5;2;1;6;10;25;;;;
54;SWE 121;Hannes Westberg / Albin Boman;163;189;25;23;-26;12;19;25;1;9;17;10;6;16;;;;
55;RUS 611;Yan Chekh / Ivan Zotov;180;218;28;15;-38;27;38;27;6;12;5;7;7;8;;;;
56;SWE 181;Pontus Dackhammar / Marcus Höglander;190;228;26;17;-38;25;30;26;11;7;7;17;12;12;;;;
57;DEN 711;Tobias Hemdorff / Sebastian Byrsting;191;221;17;22;24;26;24;-30;7;25;2;1;25;18;;;;
58;GRE 788;Antonis Tsiboukelis / Stylianos Noutsos;198;231;-33;29;25;24;29;29;18;8;8;13;5;10;;;;
59;FIN 203;Victor Silén / Christoffer Silén;202;237;31;25;28;-35;29;29;16;6;12;15;2;9;;;;
60;RUS 136;Denis Shcheglov / Michail Popov;214;252;23;-38;38;28;27;32;15;14;9;12;11;5;;;;
61;NED 666;Jolbert Van Dijk / Pim Van Vugt;219;257;23;-38;38;32;18;35;25;4;11;2;14;17;;;;
62;GBR 230;Samuel Curtis / Benjamin Cragg;231;269;27;28;-38;32;32;27;8;11;25;16;18;7;;;;
63;GER 779;Jacob Clasen / Johannes Dreesen;232;270;30;-38;26;20;38;26;25;25;13;14;1;14;;;;
64;IRL 417;Robert Dickson / Seán Waddilove;233;271;20;-38;38;26;33;30;10;16;25;25;8;2;;;;
65;IRL 165;Mark Hassett / Oisin O Driscoll;240;278;-38;27;29;36;23;33;17;15;14;25;20;1;;;;
66;DEN 199;Joakim Salskov-Iversen / Marcus Bay;242;280;27;-38;38;31;34;28;2;25;15;8;15;19;;;;
67;SWE 50;James Olsson / Henrik Eriksson;253;291;-38;38;38;23;28;28;14;13;10;11;25;25;;;;
68;GER 911;Maximilian Stingele / Lukas Schäper;270;308;34;-38;38;33;35;31;13;10;25;25;4;22;;;;
69;DEN 979;Frederik Melson / Carl Emil Baad Nielsen;278;316;-38;38;38;34;31;31;25;25;16;9;16;15;;;;
70;SWE 167;Edvin Gipperth / Dennis Fonseca Karlsson;291;329;30;-38;38;31;38;34;12;25;25;25;20;13;;;;
71;POR 36;Rodolfo Pires / Gonçalo Pires;292;330;32;-38;38;33;30;36;25;25;25;25;17;6;;;;
72;GER 312;Valentin Jell / Patrick Ruess;312;350;36;-38;38;34;31;32;25;25;25;25;21;20;;;;
73;ITA 140;Matteo Pilati / Francesco Rubagotti;331;369;29;-38;38;38;38;38;25;25;25;25;25;25;;;;
