Pos;Sail #;Bow;Crew / Club;1Q;2Q;3Q;4Q;5Q;6Q;7F;8F;9F;10F;11F;12F;13F;14F;15F;MR;TOTAL;NET
1;NED 66;8;BEKKERING, Annemiek DUETZ, Annette /;1;1;8;1;3;1;4;1;1;8;8;1;-15;1;6;2;62;47
2;NED 65;9;"VAN AANHOLT, Odile /
JONGENS, Marieke /";3;5;5;9;2;12;16;7;7;2;5;5;1;-20;4;14;117;97
3;DEN 11;19;NIELSEN, Ida Marie THUSGAARD OLSEN,;1;2;8;2;5;6;2;10;5;10;18;2;UFD (26);19;11;4;131;105
4;NOR 26;4;NÆSS, Helene / RØNNINGEN, Marie /;11;9;-16;1;1;3;7;3;13;1;14;3;4;12;14;10;122;106
5;DEN 71;13;HANSEN, Jena Mai / SALSKOV-IVERSEN,;7;4;9;5;3;11;6;4;3;-21;17;17;8;2;10;6;133;112
6;GBR 28;15;WEGUELIN, Sophie / AINSWORTH, Sophie /;9;8;7;16;9;8;14;5;6;11;2;19;11;-22;1;12;160;138
7;SWE 999;21;"WESTER, Klara / GKSS
NETZLER, Rebecca /";9;8;4;9;2;1;15;DNC (26);12;15;11;4;5;7;17;OCS (22);167;141
8;GBR 15;1;DOBSON, Charlotte / TIDEY, Saskia / RYA;2;2;25;6;1;8;5;DNC (26);2;7;3;23;UFD (26);14;2;16;168;142
9;NED 69;22;COUVERT, Dewi / KISTERS, Jessica;7;4;12;4;4;12;8;2;8;19;-23;10;12;13;13;;151;128
10;AUT 61;7;"FRANK, Tanja / UYCNS
ABICHT, Lorena /";11;7;14;8;19;5;1;DNC (26);16;3;15;15;13;6;15;;174;148
11;DEN 49;24;SCHÜTT, Anne-Julie / NIELSBY, Iben /;21;6;1;10;10;4;UFD (26);11;9;18;9;12;7;11;24;;179;153
12;POL 155;37;ZIELINSKA, Madeleine ZIELINSKA, Nadia /;4;11;14;12;11;2;21;DNC (26);19;5;7;16;16;15;18;;197;171
13;FRA 13;11;BOSSARD, Julie / COMPAN, Aude;8;14;2;12;14;5;UFD (26);13;15;13;21;14;19;24;12;;212;186
14;NED 664;52;OFFERMAN, Willemijn / ENGBERTS, Judith;10;15;6;3;13;3;13;DNC (26);21;22;24;6;20;10;22;;214;188
15;ITA 80;25;RAGGIO, Maria Ottavia GERMANI, Jana / CNT;14;7;12;6;16;20;20;8;10;23;22;21;UFD (26);16;7;;228;202
16;ESP 18;45;MIQUEL, Aura / Club MIRÓ, Núria / Club;6;17;7;21;12;7;11;DNC (26);DNF (26);16;4;20;18;23;21;;235;209
17;GBR 230;30;BRICKWOOD, Megan / ALDRIDGE, Eleanor /;16;6;5;24;6;11;18;DNC (26);17;24;16;24;17;17;23;;250;224
18;ESP 212;34;"SUAREZ GONZALEZ,
RITA ROMÁN, Julia /";4;9;13;14;13;10;17;DNC (26);DNC (26);DNC (26);DNC (26);DNC (26);21;18;DNF (26);;275;249
19;CRO 112;29;NINCEVIC, Enia / JK DE MICHELI-VITTURI,;12;-22;13;17;9;20;7;5;8;10;3;2;4;1;10;;143;121
20;POL 888;38;MELZACKA, Aleksandra LOBODA, Kinga / AZS;-21;12;17;16;11;17;5;1;3;1;12;9;5;8;5;;143;122
21;FRA 971;5;"SEBESI, Lili / SOCIETE
DUBOIS, Albane /";5;20;15;18;-21;14;4;3;1;3;18;6;7;13;2;;150;129
22;ESP 178;18;MUNTÉ, Carla / Club MUNTÉ, Marta / Club;15;11;16;13;7;13;20;DNC (30);2;7;2;10;9;5;7;;167;137
23;ITA 223;31;OMARI, Carlotta Omari DISTEFANO, Matilda /;18;19;22;10;18;10;11;UFD (30);9;4;1;4;15;3;6;;180;150
24;FIN 120;16;"RUSKOLA, Noora / NJK
WULFF, Mikaela / AUDI";DNC (28);18;10;15;15;9;1;4;6;8;9;5;6;BFD (30);17;;181;151
25;ITA 629;26;BERGAMO, Francesca SINNO, Alice;19;18;18;20;6;-21;8;7;7;5;7;11;3;11;STP (20);;181;160
26;FIN 468;42;"KRONLÖF, Sirre / EMK
VALJUS, Selma / OPS";17;5;15;18;23;15;6;DNC (30);19;15;5;12;16;4;14;;214;184
27;AUT 24;36;SCHÖFEGGER, Laura / BOUSTANI, Anna /;16;12;19;5;5;22;UFD (30);DNC (30);11;18;4;3;14;BFD (30);8;;227;197
28;CZE 138;41;VADUROVA, Dominika TKADLECOVA, Sara /;15;25;18;13;21;9;16;DNC (30);14;12;17;13;12;12;3;;230;200
29;FIN 356;44;GRÖNBLOM, Ronja EHRNROOTH, Sara;DNC (28);13;17;7;20;19;13;DNS (30);22;6;8;14;13;DNC (30);DNC (30);;270;240
30;GER 578;46;ANDO, Natsumi / NRV VALENTIEN, Fenja /;23;17;3;23;20;23;19;DNC (30);16;21;11;DNC (30);23;7;12;;278;248
31;SUI 818;40;NAEF, Livia / Yachtclub PUHZE, Nelia / LéRINA;17;16;22;UFD (28);UFD (28);18;17;DNC (30);13;11;16;16;18;19;13;;282;252
32;EST 372;32;TAMMISTE, Kätlin / SEPP, Anna Maria /;19;26;21;11;19;19;12;6;10;17;10;DNC (30);DNC (30);DNC (30);DNC (30);;290;260
33;CZE 777;43;ŽIVNÁ, Veronika / YC ŽIVNÁ, Kate?ina / YC;10;22;25;21;24;24;22;DNC (30);18;13;21;19;19;17;15;;300;270
34;FRA 351;51;DE VREESE, Marianne / WITTOCK, Shana /;20;24;23;22;18;16;21;DNC (30);23;23;14;18;20;18;11;;301;271
35;AUT 100;35;KOHLENDORFER, FARTHOFER, Lisa /;24;25;26;22;26;25;9;DNC (30);15;9;19;15;10;BFD (30);16;;301;271
36;SWE 99;54;LUNDBERG, Ronja / JOHNSSON, Hanna /;26;23;24;25;25;25;UFD (30);DNC (30);17;20;24;17;21;6;21;;334;304
