Identificador,Nome Competição,Regata,Nome Competidor,Pontuação Regata (Nha),Classe Vela,Flag Name,Posição Geral,Pontuação Regata,Descarte,Punição,Flotilha,Total,Net,ID Competição
NOORA RUSKOLA - Kite Fem. - World Championship 2024,World Championship 2024,Q2,NOORA RUSKOLA,14.0-0-0,Kite Fem.,Silver,6,14.0,0,0,GERAL,204.0,204.0,
MAFALDA PIRES DE LIMA - Kite Fem. - World Championship 2024,World Championship 2024,Q2,MAFALDA PIRES DE LIMA,17.0-0-0,Kite Fem.,Silver,7,17.0,0,0,GERAL,223.0,223.0,
DERIN DENIZ SORGUC - Kite Fem. - World Championship 2024,World Championship 2024,Q2,DERIN DENIZ SORGUC,16.0-0-0,Kite Fem.,Silver,8,16.0,0,0,GERAL,226.0,226.0,
CATALINA TURIENZO - Kite Fem. - World Championship 2024,World Championship 2024,Q2,CATALINA TURIENZO,13.0-0-0,Kite Fem.,Silver,9,13.0,0,0,GERAL,266.0,266.0,
ANAIS MAI DESJARDINS - Kite Fem. - World Championship 2024,World Championship 2024,Q2,ANAIS MAI DESJARDINS,15.0-0-0,Kite Fem.,Silver,10,15.0,0,0,GERAL,272.0,272.0,
MARINA VODISEK - Kite Fem. - World Championship 2024,World Championship 2024,Q2,MARINA VODISEK,18.0-0-0,Kite Fem.,Silver,11,18.0,0,0,GERAL,305.0,305.0,
ELLA GEIGER - Kite Fem. - World Championship 2024,World Championship 2024,Q2,ELLA GEIGER,17.0-0-0,Kite Fem.,Silver,12,17.0,0,0,GERAL,309.0,309.0,
MARIA DO SOCORRO REIS - Kite Fem. - World Championship 2024,World Championship 2024,Q2,MARIA DO SOCORRO REIS,27.0-0-UFD,Kite Fem.,Silver,13,27.0,0,UFD,GERAL,333.0,333.0,
MARIE EVE MAYRAND - Kite Fem. - World Championship 2024,World Championship 2024,Q2,MARIE EVE MAYRAND,19.0-0-0,Kite Fem.,Silver,14,19.0,0,0,GERAL,321.0,321.0,
LUCY BILGER - Kite Fem. - World Championship 2024,World Championship 2024,Q2,LUCY BILGER,20.0-0-0,Kite Fem.,Silver,15,20.0,0,0,GERAL,332.0,332.0,
ADELAIDA MARQUENIE ROCA - Kite Fem. - World Championship 2024,World Championship 2024,Q2,ADELAIDA MARQUENIE ROCA,15.0-0-0,Kite Fem.,Silver,16,15.0,0,0,GERAL,344.0,344.0,
EMILY BUGEJA - Kite Fem. - World Championship 2024,World Championship 2024,Q2,EMILY BUGEJA,18.0-0-0,Kite Fem.,Silver,17,18.0,0,0,GERAL,382.0,382.0,
EMMA RENNIE - Kite Fem. - World Championship 2024,World Championship 2024,Q2,EMMA RENNIE,20.0-0-0,Kite Fem.,Silver,18,20.0,0,0,GERAL,376.0,376.0,
CARMEN VERDEYEN - Kite Fem. - World Championship 2024,World Championship 2024,Q2,CARMEN VERDEYEN,25.0-0-0,Kite Fem.,Silver,19,25.0,0,0,GERAL,382.0,382.0,
