Pos;Sail Bow;"Crew
Club - Boat";Net points;Total points;"1
28/03";"2
28/03";"3
28/03";"4
29/03";"5
29/03";"6
29/03";"7
30/03";"8
30/03";"9
31/03";"10
31/03";"11
31/03";"12
31/03";"13
01/04";"14
01/04";"15
01/04";MR 02/04
;;CB Vela -;;;3;6;3;18;1;5;-35;35;35;35;35;35;35;35;35;
26;ESP 178;Carla Munte / Marta Munte;347;382;DNC;DNC;23;17;19;UFD;24;29;26;20;20;22;UFD;18;24;
;;Club Nàutic Cambrils - MOVISTAR-MAPFRE;;;-35;35;23;17;19;35;24;29;26;20;20;22;35;18;24;
27;DEN 914;Katrine Bendix Krogh / Christina Andersern;357;392;DNC;DNC;25;24;15;28;12;23;23;DNC;DNC;DNC;19;26;22;
;;Kaløvig Bådelaug/Middelfart Sejlklub - LARS;;;-35;35;25;24;15;28;12;23;23;35;35;35;19;26;22;
28;SWE 999;Klara Wester / Rebecca Netzler;359;394;DNC;DNC;DNC;20;22;26;14;17;21;DNF;DNC;DNC;22;7;DNC;
;;GKSS - GLENN JUNIOR;;;-35;35;35;20;22;26;14;17;21;35;35;35;22;7;35;
29;FRA 134;Lili Sebesi / Albane Dubois;379;414;DSQ;DNC;24;25;29;13;27;28;RET;RET;RET;RET;20;19;19;
;;Société Nautique de Marseille/ - INDEX-EDUCATION - PRONOTES - L;;;-35;35;24;25;29;13;27;28;35;35;35;35;20;19;19;
30;RUS 545;Anastasia Guseva / Iana Stokolesova;425;460;DNC;DNC;DNC;14;26;27;17;26;DNC;DNC;DNC;DNC;UFD;DNC;DNC;
;;Nadezda Gubernii - MATRESHKA;;;-35;35;35;14;26;27;17;26;35;35;35;35;35;35;35;
31;POL 258;Madeleine Zielinska / Nadia Zielinska;443;478;DNC;DNC;DNC;26;30;UFD;19;32;DNC;DNC;DNC;DNC;21;BFD;DNC;
;;AZS UWM OLSZTYN -;;;-35;35;35;26;30;35;19;32;35;35;35;35;21;35;35;
32;GER 807;Sarah Roeck / Lea Tessa Einbrodt;461;496;UFD;DNC;DNC;33;31;DPI;25;27;DNC;DNC;DNC;DNC;DNC;DNC;DNC;
;;SCÖ Segel Club Öhningen/VSaW Verein Seglerhaus am Wannsee -;;;-35;35;35;33;31;30;25;27;35;35;35;35;35;35;35;
33;GER 774;Anne Schwarz / Martina Schwarz;465;500;DNC;DNC;DNC;32;32;UFD;32;31;DNC;DNC;DNC;DNC;23;DNC;DNC;
;;CKA/ASC -;;;-35;35;35;32;32;35;32;31;35;35;35;35;23;35;35;
34;CRO 112;Enia Nincevic / Marina Dujmovic;490;525;DNC;DNC;DNC;DNC;DNC;DNC;DNC;DNC;DNC;DNC;DNC;DNC;DNC;DNC;DNC;
;;JK USKOK ZADAR - USKOK;;;-35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;
