Pos;Sail #;Bow;Crew / Club;1Q;2Q;3Q;4Q;5Q;6Q;7F;8F;9F;10F;11F;12F;13F;14F;15F;TOTAL;NET
50;IRL 165;33;HASSETT, Mark / WET O'DRISCOLL, Oisin / WET;17;14;16;26;9;24;18;25;19;28;-30;16;29;22;;293;263
51;OMA 145;36;AL HADI, Musab / omansail / AL RAHSDI, Hashim / OMAN;UFD (31);23;15;27;DSQ (31);28;16;16;12;15;22;10;23;26;;295;264
52;DEN 2;32;SALSKOV-IVERSEN, Joakim HEIDE-JORGENSEN, Nicklas /;UFD (31);15;25;22;18;15;24;19;18;21;34;DSQ (35);18;25;;320;285
53;GBR 284;43;PEACH, Morgan / RTYC HAWES, Rhos / RTYC;15;22;24;24;22;26;28;13;BFD (35);31;18;21;15;DNC (35);;329;294
54;SUI 133;59;HAENSSLER, Max HAENSSLER, Fred;STP (25);1;27;16;27;23;8;23;DNF (35);30;31;26;31;DNC (35);;338;303
55;SUI 129;58;BACHELIN, Maxime DE PLANTA, Arno;DNF (31);DNF (31);29;18;23;21;29;DNC (35);26;7;16;2;DNF (35);DNC (35);;338;303
56;POL 991;57;MARCINIAK, Jan / KS Aqua JAROCKI, Robert / AZS Pozn??;DNF (31);DNC (31);27;21;24;16;32;29;25;11;26;-32;26;24;;355;323
57;GER 216;50;WUNDERLE, Manuel WIELAND, Felix;24;23;20;24;25;24;26;31;24;27;27;-31;STP (26);23;;355;324
58;ESP 966;48;CERDAN MING, Vernon / Real TORRADO MARTINEZ, Antonio;DNF (31);13;26;19;29;25;30;27;21;32;29;28;DNF (35);DNC (35);;380;345
59;NOR 1034;55;ROISLAND, Morten / RISøR SKJONBERG, Steffen / RISøR;DNC (31);DNC (31);28;30;28;27;DNC (35);DNC (35);DNC (35);33;32;33;DNF (35);DNC (35);;448;413
