Pos;Sail Bow;"Crew
Club - Boat";Net points;Total points;"1Q
30/03";"2Q
30/03";"3Q
31/03";"4Q
31/03";"5F
01/04";"6F
01/04";"7F
01/04";"8F
02/04";"9F
02/04";"10F
02/04";"11F
03/04";"12F
03/04";"13F
03/04";"14MR
04/04"
1;DEN 10;Maiken FOGHT SCHÜTT / Anne-Julie FOGHT SCHÜTT;69;84;4;1;14;1;6;1;11;5;8;3;-15;3;4;8
2;DEN 2;Ida Marie Baad NIELSEN / Marie Thuagaard OLSEN;99;124;9;4;-25;2;2;2;24;3;12;1;14;5;1;20
3;AUS 88;Olivia PRICE / Eliza SOLLY;100;121;6;3;16;7;17;14;10;4;5;-21;1;1;14;2
4;BRA 12;Martine GRAEL / Kahena KUNZE;106;129;7;8;7;10;9;12;12;8;-23;2;12;2;11;6
5;NED 4;Annemiek BEKKERING / Annette DUETZ;108;126;1;16;1;9;5;9;1;7;15;15;3;-18;8;18
6;GER 161;Tina LUTZ / Susann BEUCKE;117;139;9;10;2;12;14;13;3;11;2;8;-22;12;17;4
7;GBR 22;Charlotte DOBSON / Sophie AINSWORTH;119;144;5;11;12;4;3;6;7;14;6;9;6;24;-25;12
8;ESP 23;Tamara ECHEGOYEN DOMINGUEZ / Berta BETANZOS MORO;119;140;1;1;1;8;4;20;-21;1;3;5;20;21;20;14
9;NZL 16;Alexandra MALONEY / Molly MEECH;122;144;2;7;3;1;21;-22;18;21;4;10;10;9;6;10
10;FRA 13;Sarah STEYAERT / Aude Compan;128;153;-25;2;12;5;15;8;8;16;1;23;9;4;9;16
11;NOR 26;Helene NAESS / Marie RØNNINGEN;117;139;7;2;4;10;10;5;13;6;20;12;11;17;-22;
12;NED 15;Nina KEIJZER / Claire BLOM;119;143;4;16;10;4;12;7;19;2;14;-24;7;8;16;
13;DEN 71;Jena Mai HANSEN / Katja SALSKOV-IVERSEN;120;146;3;3;2;2;1;10;16;15;18;16;-26;15;19;
14;USA 826;Paris HENKEN / Helena SCUTT;121;143;3;7;17;3;7;19;-22;9;7;22;8;7;12;
15;SWE 25;Julia GROSS / Cecilia JONSSON;126;149;14;5;8;8;11;16;4;12;11;6;21;10;-23;
16;AUS 11;Tess LLOYD / Caitlin ELKS;134;157;6;13;6;6;-23;11;15;19;22;13;5;11;7;
17;GER 810;Jule GÖRGE / Lotta GÖRGE;135;161;12;11;4;15;22;4;5;13;17;17;2;-26;13;
18;GER 77;Leonie MEYER / Elena STOFFERS;137;157;14;6;6;12;-20;18;17;10;10;4;18;20;2;
19;SWE 9;Lisa ERICSON / Hanna KLINGA;137;156;10;6;9;13;18;17;14;18;16;7;-19;6;3;
20;IRL 997;Andrea BREWSTER / Saskia TIDEY;158;183;11;17;5;3;16;15;-25;20;19;11;13;23;5;
21;ARG 19;Victoria TRAVASCIO / Maria Sol BRANZ;160;185;13;9;10;9;8;24;2;-25;13;20;23;13;16;
22;CAN 812;Erin RAFUSE / Danielle BOYD;164;189;5;8;-25;7;13;3;20;22;24;18;4;16;24;
23;GER 6;Victoria JURCZOK / Anika LORENZ;176;201;11;12;3;11;24;-25;6;23;21;19;17;19;10;
24;FIN 101;Noora RUSKOLA / Camilla CEDERCREUTZ;186;212;10;4;11;13;25;23;9;17;-26;25;16;14;19;
25;CAN 514;Arielle MORGAN / Heather MYATT;189;215;15;9;7;5;19;21;23;24;9;14;-26;22;21;
26;NOR 888;Ragna AGERUP / Maia AGERUP;68;84;15;13;5;-16;5;3;1;1;3;5;7;5;5;
27;SIN 33;Griselda KHNG / Sara TAN;74;99;2;-25;18;14;2;2;7;5;9;4;1;6;4;
28;FIN 17;Sinem KURTBAY / Silja KANERVA;76;89;-13;12;8;11;13;1;4;2;1;1;8;8;7;
29;FRA 351;Lili SEBESI / Julie BOSSARD;85;110;-25;10;9;17;8;13;10;4;2;3;4;3;2;
30;AUT 24;Laura SCHÖFEGGER / Elsa LOVREK;92;117;8;-25;16;17;4;7;2;13;8;6;7;1;3;
31;CAN 21;Erin BERRY / Ingrid MERRY;110;126;-16;6;13;14;6;10;13;3;5;2;11;12;15;
32;GER 369;Ann-Kristin WEDEMEYER / Pia Sophie WEDEMEYER;115;140;8;-25;11;16;11;5;9;23;6;15;3;7;1;
33;USA 827;Debbie CAPOZZI / Maggie Shea;122;138;-16;14;15;6;10;6;16;6;4;9;12;13;11;
34;ISV 391;Mayumi ROLLER / Kayla MCCOMB;129;150;12;15;17;-21;9;9;4;14;13;10;11;2;13;
35;USA 224;Emily DELLENBAUGH / Elizabeth BARRY;137;162;-25;15;14;20;12;4;6;8;17;17;5;11;8;
36;SIN 284;Kimberly LIM / Cecilia LOW;153;178;-25;25;20;18;15;16;12;9;14;7;2;9;6;
37;ITA 878;Giulia GENESIO / Francesca VOLPI;166;191;-25;15;25;18;3;19;18;10;10;8;15;15;10;
38;ITA 143;Maria Ottavia RAGGIO / Paola BERGAMASCHI;170;195;17;-25;19;19;14;17;5;11;11;16;13;14;14;
39;AUT 208;Anna LUSCHAN / Johanna DAUM;172;197;25;-25;25;19;7;11;15;12;16;13;10;10;9;
