Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Emil JÄRUDDHanna JONSSON,,Nacra17,8.0,G,10,,151.0,136.0,World Championship 2021,Q4
Laura FARESEMatthäus ZÖCHLING,,Nacra17,10.0,G,11,,144.0,130.0,World Championship 2021,Q4
Ravi PARENTSara STONE,,Nacra17,7.0,G,12,,149.0,133.0,World Championship 2021,Q4
Ida SVENSSONMarcus DACKHAMMAR,,Nacra17,(14.0),G,13,,155.0,141.0,World Championship 2021,Q4
Carson CRAINCaroline ATWOOD,,Nacra17,15.0,G,14,,218.0,203.0,World Championship 2021,Q4
Ruben BOOTHRita BOOTH,,Nacra17,6.0,G,15,,219.0,204.0,World Championship 2021,Q4
John GIMSONAnna BURNET,,Nacra17,5.0,G,1,,69.0,61.0,World Championship 2021,Q5
Gianluigi UGOLINIMaria GIUBILEI,,Nacra17,(10.0),G,2,,80.0,70.0,World Championship 2021,Q5
Paul KOHLHOFFAlica STUHLEMMER,,Nacra17,3.0,G,3,,90.0,77.0,World Championship 2021,Q5
Tim MOURNIACLou BERTHOMIEU,,Nacra17,8.0,G,4,,101.0,89.0,World Championship 2021,Q5
Sinem KURTBAYAkseli KESKINEN,,Nacra17,1.0,G,5,,117.0,101.0,World Championship 2021,Q5
Vittorio BISSAROMaelle FRASCARI,,Nacra17,4.0,G,6,,121.0,109.0,World Championship 2021,Q5
Mateo MAJDALANIEugenia BOSCO,,Nacra17,9.0,G,7,,122.0,110.0,World Championship 2021,Q5
Laila van der MEERBjarne BOUWER,,Nacra17,2.0,G,8,,148.0,134.0,World Championship 2021,Q5
Natacha Violet SAOUMA-PEDERSENMathias BRUUN BORRESKOV,,Nacra17,11.0,G,9,,151.0,135.0,World Championship 2021,Q5
Emil JÄRUDDHanna JONSSON,,Nacra17,(15.0),G,10,,151.0,136.0,World Championship 2021,Q5
Laura FARESEMatthäus ZÖCHLING,,Nacra17,6.0,G,11,,144.0,130.0,World Championship 2021,Q5
Ravi PARENTSara STONE,,Nacra17,12.0,G,12,,149.0,133.0,World Championship 2021,Q5
Ida SVENSSONMarcus DACKHAMMAR,,Nacra17,7.0,G,13,,155.0,141.0,World Championship 2021,Q5
Carson CRAINCaroline ATWOOD,,Nacra17,13.0,G,14,,218.0,203.0,World Championship 2021,Q5
Ruben BOOTHRita BOOTH,,Nacra17,14.0,G,15,,219.0,204.0,World Championship 2021,Q5
John GIMSONAnna BURNET,,Nacra17,(8.0),G,1,,69.0,61.0,World Championship 2021,Q6
Gianluigi UGOLINIMaria GIUBILEI,,Nacra17,7.0,G,2,,80.0,70.0,World Championship 2021,Q6
Paul KOHLHOFFAlica STUHLEMMER,,Nacra17,2.0,G,3,,90.0,77.0,World Championship 2021,Q6
Tim MOURNIACLou BERTHOMIEU,,Nacra17,4.0,G,4,,101.0,89.0,World Championship 2021,Q6
Sinem KURTBAYAkseli KESKINEN,,Nacra17,10.0,G,5,,117.0,101.0,World Championship 2021,Q6
Vittorio BISSAROMaelle FRASCARI,,Nacra17,1.0,G,6,,121.0,109.0,World Championship 2021,Q6
Mateo MAJDALANIEugenia BOSCO,,Nacra17,6.0,G,7,,122.0,110.0,World Championship 2021,Q6
Laila van der MEERBjarne BOUWER,,Nacra17,9.0,G,8,,148.0,134.0,World Championship 2021,Q6
Natacha Violet SAOUMA-PEDERSENMathias BRUUN BORRESKOV,,Nacra17,3.0,G,9,,151.0,135.0,World Championship 2021,Q6
Emil JÄRUDDHanna JONSSON,,Nacra17,11.0,G,10,,151.0,136.0,World Championship 2021,Q6
