Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Laura FARESEMatthäus ZÖCHLING,,Nacra17,6.0,G,15,,241.0,214.0,World Championship 2022,Q2
Sarah NEWBERRYDavid LIEBENBERG,,Nacra17,20.0,G,16,,251.0,216.0,World Championship 2022,Q2
Samuel ALBRECHTGabriela NICOLINO de SÁ,,Nacra17,17.0,G,17,,258.0,223.0,World Championship 2022,Q2
Riley GIBBSLara DALLMAN-WEISS,,Nacra17,(29.0),G,18,,254.0,225.0,World Championship 2022,Q2
Brin LIDDELLRhiannan BROWN,,Nacra17,21.0,G,19,,282.0,258.0,World Championship 2022,Q2
Joao SIEMSENMarina ARNDT,,Nacra17,19.0,G,20,,293.0,265.0,World Championship 2022,Q2
Jake LIDDELLLucy COPELAND,,Nacra17,14.0,G,21,,299.0,268.0,World Championship 2022,Q2
Xuezhe YANGXiaoxiao HU,,Nacra17,18.0,G,22,,295.0,269.0,World Championship 2022,Q2
Lukas HABERLTanja FRANK,,Nacra17,15.0,G,23,,339.0,304.0,World Championship 2022,Q2
Margaux BILLYThilbault JULIEN,,Nacra17,22.0,G,24,,345.0,310.0,World Championship 2022,Q2
Huicong MAILinlin CHEN,,Nacra17,23.0,G,25,,378.0,347.0,World Championship 2022,Q2
Shibuki IITSUKACapiglia Oura NISHIDA,,Nacra17,25.0,G,26,,389.0,357.0,World Championship 2022,Q2
Huancheng ZHAOSaibo WANG,,Nacra17,(35.0),G,27,,406.0,371.0,World Championship 2022,Q2
Ben ROSENBERGKaleigh MORGAN,,Nacra17,24.0,G,28,,415.0,383.0,World Championship 2022,Q2
Changhang FANHuamei XU,,Nacra17,26.0,G,29,,435.0,404.0,World Championship 2022,Q2
Carson CRAINRachel GLENN,,Nacra17,28.0,G,30,,449.0,417.0,World Championship 2022,Q2
Galen RICHARDSONMadeline GILLIS,,Nacra17,27.0,G,31,,457.0,422.0,World Championship 2022,Q2
Cam FARRAHHenry LEE,,Nacra17,(35.0),G,32,,490.0,455.0,World Championship 2022,Q2
Zoe ROOSENNicolas TOSI,,Nacra17,30.0,G,33,,511.0,476.0,World Championship 2022,Q2
Maya HEIDENREICHNoah ADLER,,Nacra17,(35.0),G,34,,537.0,502.0,World Championship 2022,Q2
Ruggero TITACaterina BANTI,,Nacra17,1.0,G,1,,46.0,26.0,World Championship 2022,Q3
Gianluigi UGOLINIMaria GIUBILEI,,Nacra17,9.0,G,2,,115.0,86.0,World Championship 2022,Q3
Sinem KURTBAYAkseli KESKINEN,,Nacra17,3.0,G,3,,115.0,101.0,World Championship 2022,Q3
John GIMSONAnna BURNET,,Nacra17,14.0,G,4,,122.0,104.0,World Championship 2022,Q3
Jason WATERHOUSELisa DARMANIN,,Nacra17,5.0,G,5,,157.0,136.0,World Championship 2022,Q3
Vittorio BISSAROMaelle FRASCARI,,Nacra17,7.0,G,6,,168.0,142.0,World Championship 2022,Q3
Emil JÄRUDDHanna JONSSON,,Nacra17,6.0,G,7,,165.0,146.0,World Championship 2022,Q3
Laila van der MEERBjarne BOUWER,,Nacra17,4.0,G,8,,175.0,147.0,World Championship 2022,Q3
Micah WILKINSONErica DAWSON,,Nacra17,2.0,G,9,,174.0,150.0,World Championship 2022,Q3
Mateo MAJDALANIEugenia BOSCO,,Nacra17,11.0,G,10,,188.0,163.0,World Championship 2022,Q3
Billy BESSONNoa ANCIAN,,Nacra17,12.0,G,11,,210.0,189.0,World Championship 2022,Q3
Tim MOURNIACLou BERTHOMIEU,,Nacra17,8.0,G,12,,233.0,198.0,World Championship 2022,Q3
Ida SVENSSONMarcus DACKHAMMAR,,Nacra17,(35.0),G,13,,241.0,206.0,World Championship 2022,Q3
Natacha Violet SAOUMA-PEDERSENMathias BRUUN BORRESKOV,,Nacra17,16.0,G,14,,234.0,210.0,World Championship 2022,Q3
Laura FARESEMatthäus ZÖCHLING,,Nacra17,21.0,G,15,,241.0,214.0,World Championship 2022,Q3
Sarah NEWBERRYDavid LIEBENBERG,,Nacra17,15.0,G,16,,251.0,216.0,World Championship 2022,Q3
Samuel ALBRECHTGabriela NICOLINO de SÁ,,Nacra17,18.0,G,17,,258.0,223.0,World Championship 2022,Q3
Riley GIBBSLara DALLMAN-WEISS,,Nacra17,20.0,G,18,,254.0,225.0,World Championship 2022,Q3
Brin LIDDELLRhiannan BROWN,,Nacra17,17.0,G,19,,282.0,258.0,World Championship 2022,Q3
Joao SIEMSENMarina ARNDT,,Nacra17,13.0,G,20,,293.0,265.0,World Championship 2022,Q3
Jake LIDDELLLucy COPELAND,,Nacra17,10.0,G,21,,299.0,268.0,World Championship 2022,Q3
Xuezhe YANGXiaoxiao HU,,Nacra17,19.0,G,22,,295.0,269.0,World Championship 2022,Q3
Lukas HABERLTanja FRANK,,Nacra17,(35.0),G,23,,339.0,304.0,World Championship 2022,Q3
Margaux BILLYThilbault JULIEN,,Nacra17,(35.0),G,24,,345.0,310.0,World Championship 2022,Q3
Huicong MAILinlin CHEN,,Nacra17,23.0,G,25,,378.0,347.0,World Championship 2022,Q3
Shibuki IITSUKACapiglia Oura NISHIDA,,Nacra17,22.0,G,26,,389.0,357.0,World Championship 2022,Q3
Huancheng ZHAOSaibo WANG,,Nacra17,35.0,G,27,,406.0,371.0,World Championship 2022,Q3
Ben ROSENBERGKaleigh MORGAN,,Nacra17,26.0,G,28,,415.0,383.0,World Championship 2022,Q3
Changhang FANHuamei XU,,Nacra17,28.0,G,29,,435.0,404.0,World Championship 2022,Q3
Carson CRAINRachel GLENN,,Nacra17,24.0,G,30,,449.0,417.0,World Championship 2022,Q3
Galen RICHARDSONMadeline GILLIS,,Nacra17,25.0,G,31,,457.0,422.0,World Championship 2022,Q3
Cam FARRAHHenry LEE,,Nacra17,35.0,G,32,,490.0,455.0,World Championship 2022,Q3
Zoe ROOSENNicolas TOSI,,Nacra17,27.0,G,33,,511.0,476.0,World Championship 2022,Q3
Maya HEIDENREICHNoah ADLER,,Nacra17,35.0,G,34,,537.0,502.0,World Championship 2022,Q3
Ruggero TITACaterina BANTI,,Nacra17,1.0,G,1,,46.0,26.0,World Championship 2022,Q4
Gianluigi UGOLINIMaria GIUBILEI,,Nacra17,4.0,G,2,,115.0,86.0,World Championship 2022,Q4
Sinem KURTBAYAkseli KESKINEN,,Nacra17,(14.0),G,3,,115.0,101.0,World Championship 2022,Q4
John GIMSONAnna BURNET,,Nacra17,6.0,G,4,,122.0,104.0,World Championship 2022,Q4
Jason WATERHOUSELisa DARMANIN,,Nacra17,3.0,G,5,,157.0,136.0,World Championship 2022,Q4
Vittorio BISSAROMaelle FRASCARI,,Nacra17,16.0,G,6,,168.0,142.0,World Championship 2022,Q4
Emil JÄRUDDHanna JONSSON,,Nacra17,17.0,G,7,,165.0,146.0,World Championship 2022,Q4
Laila van der MEERBjarne BOUWER,,Nacra17,13.0,G,8,,175.0,147.0,World Championship 2022,Q4
Micah WILKINSONErica DAWSON,,Nacra17,9.0,G,9,,174.0,150.0,World Championship 2022,Q4
Mateo MAJDALANIEugenia BOSCO,,Nacra17,7.0,G,10,,188.0,163.0,World Championship 2022,Q4
Billy BESSONNoa ANCIAN,,Nacra17,19.0,G,11,,210.0,189.0,World Championship 2022,Q4
Tim MOURNIACLou BERTHOMIEU,,Nacra17,5.0,G,12,,233.0,198.0,World Championship 2022,Q4
Ida SVENSSONMarcus DACKHAMMAR,,Nacra17,2.0,G,13,,241.0,206.0,World Championship 2022,Q4
Natacha Violet SAOUMA-PEDERSENMathias BRUUN BORRESKOV,,Nacra17,(24.0),G,14,,234.0,210.0,World Championship 2022,Q4
Laura FARESEMatthäus ZÖCHLING,,Nacra17,21.0,G,15,,241.0,214.0,World Championship 2022,Q4
Sarah NEWBERRYDavid LIEBENBERG,,Nacra17,12.0,G,16,,251.0,216.0,World Championship 2022,Q4
Samuel ALBRECHTGabriela NICOLINO de SÁ,,Nacra17,20.0,G,17,,258.0,223.0,World Championship 2022,Q4
Riley GIBBSLara DALLMAN-WEISS,,Nacra17,8.0,G,18,,254.0,225.0,World Championship 2022,Q4
Brin LIDDELLRhiannan BROWN,,Nacra17,15.0,G,19,,282.0,258.0,World Championship 2022,Q4
Joao SIEMSENMarina ARNDT,,Nacra17,23.0,G,20,,293.0,265.0,World Championship 2022,Q4
Jake LIDDELLLucy COPELAND,,Nacra17,22.0,G,21,,299.0,268.0,World Championship 2022,Q4
Xuezhe YANGXiaoxiao HU,,Nacra17,11.0,G,22,,295.0,269.0,World Championship 2022,Q4
Lukas HABERLTanja FRANK,,Nacra17,18.0,G,23,,339.0,304.0,World Championship 2022,Q4
Margaux BILLYThilbault JULIEN,,Nacra17,10.0,G,24,,345.0,310.0,World Championship 2022,Q4
Huicong MAILinlin CHEN,,Nacra17,(31.0),G,25,,378.0,347.0,World Championship 2022,Q4
Shibuki IITSUKACapiglia Oura NISHIDA,,Nacra17,(32.0),G,26,,389.0,357.0,World Championship 2022,Q4
Huancheng ZHAOSaibo WANG,,Nacra17,25.0,G,27,,406.0,371.0,World Championship 2022,Q4
Ben ROSENBERGKaleigh MORGAN,,Nacra17,28.0,G,28,,415.0,383.0,World Championship 2022,Q4
Changhang FANHuamei XU,,Nacra17,26.0,G,29,,435.0,404.0,World Championship 2022,Q4
Carson CRAINRachel GLENN,,Nacra17,30.0,G,30,,449.0,417.0,World Championship 2022,Q4
