Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,JACOBSEN/FORSLUND,,470,32.0,G,59,,262.0,229.0,World Championship 2023,Race 10 Silver
,,ZEGERS/van VUGT,,470,6.0,G,35,,116.0,87.0,World Championship 2023,Race 10 Silver
,,di SALLE/BELLICO,,470,4.0,G,41,,173.0,141.0,World Championship 2023,Race 10 Silver
,,FAHRNI/SCHUPBACH,,470,15.0,G,40,,163.0,138.0,World Championship 2023,Race 10 Silver
,,SCOTT/HUME,,470,14.0,G,53,,224.0,192.0,World Championship 2023,Race 10 Silver
,,NORDSTROM/BORNARTH,,470,28.0,G,21,,176.0,144.0,World Championship 2023,Race 7 Gold
,,MERMOD/SIEGENTHALER,,470,7.0,G,12,,124.0,101.0,World Championship 2023,Race 7 Gold
,,le CLECH/RETORNAZ,,470,25.0,G,30,,227.0,196.0,World Championship 2023,Race 7 Gold
,,DIESCH/MARKFORT,,470,4.0,G,8,,122.0,98.0,World Championship 2023,Race 7 Gold
,,BALLESTER BOVER/WIZNER PEREZ-la FUENTE,,470,32.0,G,29,,215.0,182.0,World Championship 2023,Race 7 Gold
,,LINCK DUARTE/BUSATO BARBACHAN,,470,22.0,G,32,,243.0,210.0,World Championship 2023,Race 7 Gold
,,DAHLBERG/KARLSSON,,470,23.0,G,6,,118.0,95.0,World Championship 2023,Race 7 Gold
,,DAHNKE/CIPRA,,470,10.0,G,26,,194.0,161.0,World Championship 2023,Race 7 Gold
,,McNAY/DALLMAN-WEISS,,470,16.0,G,18,,161.0,135.0,World Championship 2023,Race 7 Gold
,,TAKAYAMA/MORITA,,470,14.0,G,24,,191.0,160.0,World Championship 2023,Race 7 Gold
,,LEIGH/ORR,,470,30.0,G,25,,191.0,161.0,World Championship 2023,Race 7 Gold
,,ISOZAKI/SEKI,,470,6.0,G,3,,112.0,91.0,World Championship 2023,Race 7 Gold
,,OKADA/YOSHIOKA,,470,5.0,G,1,,74.0,50.0,World Championship 2023,Race 7 Gold
,,TULCALI/DANISMEND,,470,21.0,G,31,,235.0,202.0,World Championship 2023,Race 7 Gold
,,PACAUD/de GENNES,,470,29.0,G,14,,142.0,113.0,World Championship 2023,Race 7 Gold
,,WRIGLEY/HARRIS,,470,1.0,G,15,,148.0,115.0,World Championship 2023,Race 7 Gold
,,WINKEL/WINKEL,,470,12.0,G,5,,110.0,94.0,World Championship 2023,Race 7 Gold
,,FERRARI/CARUSO,,470,19.0,G,19,,173.0,139.0,World Championship 2023,Race 7 Gold
,,XAMMAR HERNANDEZ/BRUGMAN CABOT,,470,20.0,G,2,,106.0,86.0,World Championship 2023,Race 7 Gold
,,LOFFLER/HOERR,,470,26.0,G,17,,161.0,134.0,World Championship 2023,Race 7 Gold
,,MAS/RODRIGUEZ,,470,3.0,G,11,,121.0,99.0,World Championship 2023,Race 7 Gold
,,CINAR/ASLAN,,470,27.0,G,22,,184.0,155.0,World Championship 2023,Race 7 Gold
,,WANSER/AUTENRIETH,,470,8.0,G,9,,135.0,114.0,World Championship 2023,Race 7 Gold
,,DONG/WANG,,470,31.0,G,27,,211.0,178.0,World Championship 2023,Race 7 Gold
,,VADLAU/MAHR,,470,9.0,G,4,,112.0,93.0,World Championship 2023,Race 7 Gold
,,COSTA/JOAO,,470,2.0,G,10,,140.0,116.0,World Championship 2023,Race 7 Gold
,,TAVELLA/DIETRICH,,470,33.0,G,33,,259.0,226.0,World Championship 2023,Race 7 Gold
,,DUARTE HADDAD/SWAN,,470,24.0,G,23,,183.0,157.0,World Championship 2023,Race 7 Gold
,,KONDO YOSHIDA/YOSHIDA,,470,18.0,G,28,,212.0,178.0,World Championship 2023,Race 7 Gold
,,HEATHCOTE/GRUBE,,470,13.0,G,13,,142.0,112.0,World Championship 2023,Race 7 Gold
,,LECOINTRE/MION,,470,17.0,G,20,,174.0,141.0,World Championship 2023,Race 7 Gold
,,XU/TU,,470,11.0,G,16,,143.0,119.0,World Championship 2023,Race 7 Gold
