Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Ignacio Garcia Cantelli,3,Ilca 6,,P,59,DNC,222.0,184.0,Central and South American Championship 2023,Q1
Tomas Elias,3,Ilca 6,,P,60,27,228.0,190.0,Central and South American Championship 2023,Q1
Maria Laura Cueto,3,Ilca 6,,P,61,32,230.0,192.0,Central and South American Championship 2023,Q1
Lisbetzy Rojo Salazar,3,Ilca 6,,P,62,33,228.0,195.0,Central and South American Championship 2023,Q1
Sofia Giovinazzo Von Thumen,3,Ilca 6,,P,63,26,229.0,199.0,Central and South American Championship 2023,Q1
Balthazar Remotti,3,Ilca 6,,P,64,22,245.0,207.0,Central and South American Championship 2023,Q1
Gabriel Torre,3,Ilca 6,,P,65,21,246.0,208.0,Central and South American Championship 2023,Q1
Ines Antoni,3,Ilca 6,,P,66,TLE,248.0,211.0,Central and South American Championship 2023,Q1
Facundo Alfaro Jaime,3,Ilca 6,,P,67,24,254.0,216.0,Central and South American Championship 2023,Q1
Martin Iglesias,3,Ilca 6,,P,68,DNC,287.0,249.0,Central and South American Championship 2023,Q1
Sabrina Ferrara,3,Ilca 6,,P,69,DNC,287.0,249.0,Central and South American Championship 2023,Q1
Marcelo Adolfo Gonzalez Pondal,3,Ilca 6,,P,70,20,294.0,256.0,Central and South American Championship 2023,Q1
Juan Cruz Palombo,3,Ilca 6,,P,71,DNC,306.0,268.0,Central and South American Championship 2023,Q1
Marcelo Frezza,3,Ilca 6,,P,72,DNC,332.0,294.0,Central and South American Championship 2023,Q1
Agustina Canclini,3,Ilca 6,,P,73,DNC,342.0,304.0,Central and South American Championship 2023,Q1
Vicente Francisco Curzi Ghdini,3,Ilca 6,,P,74,DNC,342.0,304.0,Central and South American Championship 2023,Q1
Erick Marcondes de M.Carpes,3,Ilca 6,,O,0,1,24.0,15.0,Central and South American Championship 2023,Q2
Lucia Falasca,3,Ilca 6,,O,1,1,34.0,22.0,Central and South American Championship 2023,Q2
Gabriella Marques Kidd,3,Ilca 6,,O,2,4,52.0,33.0,Central and South American Championship 2023,Q2
Dolores Moreira Fraschini,3,Ilca 6,,O,3,3,52.0,37.0,Central and South American Championship 2023,Q2
Florencia Chiarella Salas,3,Ilca 6,,O,4,4,61.0,44.0,Central and South American Championship 2023,Q2
Stefano André Pendola de la Torre,3,Ilca 6,,O,5,8,69.0,54.0,Central and South American Championship 2023,Q2
Thomas Vives Potthoff,3,Ilca 6,,O,6,3,86.0,60.0,Central and South American Championship 2023,Q2
Luciana Andrea Cardozo,3,Ilca 6,,O,7,2,100.0,62.0,Central and South American Championship 2023,Q2
Julian Maria Duarte Argerich,3,Ilca 6,,O,8,7,80.0,63.0,Central and South American Championship 2023,Q2
Francisco Marotta,3,Ilca 6,,O,9,7,105.0,78.0,Central and South American Championship 2023,Q2
Joaquin Galvan,3,Ilca 6,,O,10,8,106.0,86.0,Central and South American Championship 2023,Q2
Sophie Zimmermann Veja,3,Ilca 6,,O,11,12,105.0,87.0,Central and South American Championship 2023,Q2
Antônio Ribeiro Machado,3,Ilca 6,,O,12,9,120.0,89.0,Central and South American Championship 2023,Q2
Caterina Isabel Romero Aguirre,3,Ilca 6,,O,13,12,115.0,90.0,Central and South American Championship 2023,Q2
Agustin Gonzalez Villalba,3,Ilca 6,,O,14,2,122.0,90.0,Central and South American Championship 2023,Q2
Francisco Gomez,3,Ilca 6,,O,15,5,130.0,92.0,Central and South American Championship 2023,Q2
Cristina Castellanos Estrada,3,Ilca 6,,O,16,10,116.0,93.0,Central and South American Championship 2023,Q2
Agustina Jordan,3,Ilca 6,,O,17,10,128.0,98.0,Central and South American Championship 2023,Q2
"Delfina ""Delfi! De Seta Dalli",3,Ilca 6,,O,18,11,126.0,98.0,Central and South American Championship 2023,Q2
Lucas Momes Ruiz,3,Ilca 6,,O,19,11,136.0,103.0,Central and South American Championship 2023,Q2
Nicolas Castelari Rivas,3,Ilca 6,,O,20,6,127.0,103.0,Central and South American Championship 2023,Q2
Nico Gainschuk,3,Ilca 6,,O,21,9,135.0,109.0,Central and South American Championship 2023,Q2
Maria Gracia Vegas Trivelli,3,Ilca 6,,O,22,19,147.0,116.0,Central and South American Championship 2023,Q2
Federico Siebert Francavilla,3,Ilca 6,,O,23,31,155.0,117.0,Central and South American Championship 2023,Q2
Joaquim Duarte Argerich,3,Ilca 6,,O,24,20,170.0,142.0,Central and South American Championship 2023,Q2
Felipe Wenzel,3,Ilca 6,,O,25,20,197.0,162.0,Central and South American Championship 2023,Q2
Naina Maria Pinto,3,Ilca 6,,O,26,6,203.0,165.0,Central and South American Championship 2023,Q2
Mateo Vidal,3,Ilca 6,,O,27,DNC,206.0,168.0,Central and South American Championship 2023,Q2
Felipe de Rosa,3,Ilca 6,,O,28,18,201.0,168.0,Central and South American Championship 2023,Q2
Isabel Busch,3,Ilca 6,,O,29,13,207.0,169.0,Central and South American Championship 2023,Q2
Nicolas Cassese,3,Ilca 6,,O,30,15,207.0,172.0,Central and South American Championship 2023,Q2
Felipe Alves Teles Revoredo Lima,3,Ilca 6,,O,31,DNC,210.0,172.0,Central and South American Championship 2023,Q2
Pedro Rodriguez Reynoso,3,Ilca 6,,O,32,17,211.0,173.0,Central and South American Championship 2023,Q2
Juan Pablo Carosi Warburg,3,Ilca 6,,O,33,22,210.0,174.0,Central and South American Championship 2023,Q2
Ariel Zerpa,3,Ilca 6,,O,34,16,213.0,176.0,Central and South American Championship 2023,Q2
Santiago Guinand,3,Ilca 6,,O,35,28,211.0,177.0,Central and South American Championship 2023,Q2
Agnese Caiafa,3,Ilca 6,,O,36,DNC,231.0,193.0,Central and South American Championship 2023,Q2
FLOTILHA PRATA,3,Ilca 6,,O,37,,,,Central and South American Championship 2023,Q2
Roger Torres,3,Ilca 6,,P,38,13,126.0,88.0,Central and South American Championship 2023,Q2
Benjamin Galvan,3,Ilca 6,,P,39,17,123.0,94.0,Central and South American Championship 2023,Q2
Tomas Bodetto,3,Ilca 6,,P,40,21,127.0,101.0,Central and South American Championship 2023,Q2
Manuel Cadarso,3,Ilca 6,,P,41,14,149.0,115.0,Central and South American Championship 2023,Q2
Andrés Fontan,3,Ilca 6,,P,42,22,138.0,116.0,Central and South American Championship 2023,Q2
