Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Clemente Seguel Lacámara,,Ilca 7,2,O,1,,36,24,Central and South American Championship 2022,R1
Bruno Fontes,,Ilca 7,1,O,2,,37,29,Central and South American Championship 2022,R1
Stefano Peschiera,,Ilca 7,3,O,3,,41,33,Central and South American Championship 2022,R1
Francisco Guaragna Rigonat,,Ilca 7,6,O,4,,42,34,Central and South American Championship 2022,R1
Matias Dyck,,Ilca 7,7,O,5,,59,47,Central and South American Championship 2022,R1
Juan Pablo Cardozo,,Ilca 7,8,O,6,,65,51,Central and South American Championship 2022,R1
Philipp Grochtmann,,Ilca 7,5,O,7,,65,56,Central and South American Championship 2022,R1
Juan Ignacio Biava,,Ilca 7,11,O,8,,84,72,Central and South American Championship 2022,R1
Felipe Fraquelli,,Ilca 7,4,O,9,,105,80,Central and South American Championship 2022,R1
Renzo Sanguineti,,Ilca 7,16,O,10,,124,89,Central and South American Championship 2022,R1
Mathias Reimer,,Ilca 7,10,O,11,,112,97,Central and South American Championship 2022,R1
Gustavo Nascimento,,Ilca 7,9,O,12,,118,101,Central and South American Championship 2022,R1
Erick Carpes,,Ilca 7,13,O,13,,147,124,Central and South American Championship 2022,R1
Andres Cloos,,Ilca 7,18,O,14,,164,134,Central and South American Championship 2022,R1
Stefano Viale,,Ilca 7,12,O,15,,159,136,Central and South American Championship 2022,R1
Ricardo Seguel Lacámara,,Ilca 7,14,O,16,,159,138,Central and South American Championship 2022,R1
Mauro Pretto,,Ilca 7,17,O,17,,159,140,Central and South American Championship 2022,R1
Pedro Lepecki Madureira,,Ilca 7,19,O,18,,186,151,Central and South American Championship 2022,R1
Mateo Maldonado,,Ilca 7,20,O,19,,182,153,Central and South American Championship 2022,R1
Alejandro Cloos,,Ilca 7,24,O,20,,205,174,Central and South American Championship 2022,R1
Matías Blanco,,Ilca 7,15,O,21,,202,175,Central and South American Championship 2022,R1
Sebastián Leri,,Ilca 7,23,O,22,,218,183,Central and South American Championship 2022,R1
