Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,MRQ,Total,Nett
4,MATT WEARN,3315,AUS,4.0,4.0,1.0,2.0,10.0,4.0,7.0,2.0,16.0,10.0,-,-,-,-,-,-,-,12.0,72.0,56.0
4,"DIOGO COSTA, CAROLINA JOAO",1139,POR,6.0,14.0,4.0,1.0,9.0,10.0,14.0,7.0,7.0,3.0,-,-,-,-,-,-,-,10.0,85.0,71.0
4,"JOHANNE SCHMIDT, ANDREA SCHMIDT",2268,DEN,7.0,6.0,1.0,14.0,13.0,5.0,16.0,4.0,3.0,5.0,15.0,24.0,23.0,-,-,-,-,2.0,138.0,114.0
4,WILLIAM MCMILLAN,5144,,1.0,3.0,1.0,1.0,1.0,10.0,7.0,1.0,14.0,22.0,2.0,17.0,1.0,2.0,-,-,-,4.0,83.0,30.0
4,MAXIME NOCHER,3377,FRA,1.0,2.0,1.0,1.0,2.0,5.0,4.0,7.0,2.0,1.0,5.0,2.0,6.0,9.0,2.0,6.0,6.0,4.0,62.0,44.0
4,"FLORIS VAN DE WERKEN, BART LAMBRIEX",1504,,1.0,2.0,1.0,9.0,11.0,8.0,5.0,2.0,5.0,16.0,8.0,17.0,13.0,-,-,-,-,12.0,110.0,93.0
4,KATERINA SVIKOVA,2503,CZE,17.0,6.0,5.0,3.0,6.0,3.0,4.0,6.0,3.0,6.0,4.0,6.0,7.0,9.0,-,-,-,4.0,85.0,52.0
4,ELEANOR ALDRIDGE,1225,GBR,3.0,2.0,1.0,4.0,5.0,3.0,5.0,3.0,5.0,5.0,1.0,1.0,1.0,26.0,3.0,18.0,-,4.0,86.0,38.0
4,MARIA ERDI,3118,HUN,7.0,7.0,5.0,13.0,4.0,31.0,14.0,22.0,1.0,6.0,-,-,-,-,-,-,-,8.0,118.0,87.0
5,MARA STRANSKY,3070,AUS,11.0,2.0,10.0,5.0,6.0,30.0,1.0,29.0,4.0,24.0,-,-,-,-,-,-,-,2.0,124.0,94.0
5,KRISTYNA PINOSOVA,2634,CZE,1.0,1.0,9.0,4.0,3.0,8.0,2.0,2.0,23.0,2.0,10.0,9.0,2.0,2.0,-,-,-,5.0,78.0,36.0
5,NIK AARON WILLIM,3698,GER,6.0,8.0,2.0,5.0,4.0,11.0,9.0,9.0,8.0,28.0,-,-,-,-,-,-,-,10.0,100.0,72.0
5,"MENGYUAN SHAN, XIAOYU HU",3428,,5.0,19.0,11.0,23.0,6.0,4.0,1.0,24.0,1.0,3.0,18.0,9.0,6.0,-,-,-,-,10.0,140.0,116.0
5,POEMA NEWLAND,4047,FRA,2.0,6.0,17.0,3.0,3.0,19.0,4.0,26.0,7.0,3.0,7.0,5.0,2.0,2.0,2.0,8.0,-,5.0,116.0,54.0
5,"FYNN STERRITT, JAMES PETERS",1585,,10.0,9.0,5.0,8.0,2.0,12.0,22.0,8.0,12.0,2.0,13.0,4.0,7.0,-,-,-,-,2.0,116.0,94.0
5,"MAELLLE FRASCARI, VITTORIO BISSARO",2996,,2.0,4.0,5.0,18.0,2.0,13.0,24.0,8.0,7.0,9.0,8.0,4.0,-,-,-,-,-,6.0,110.0,86.0
5,LORENZO BOSCHETTI,2871,ITA,3.0,3.0,3.0,16.0,2.0,12.0,11.0,6.0,8.0,8.0,25.0,1.0,7.0,6.0,7.0,11.0,11.0,5.0,140.0,87.0
5,FRANCISCO CRUZ SAUBIDET BIRKNER,1527,,13.0,11.0,3.0,8.0,13.0,3.0,6.0,8.0,3.0,10.0,9.0,5.0,3.0,5.0,-,-,-,5.0,100.0,63.0
5,"ANNA MARKFORT, SIMON DIESCH",297,,11.0,2.0,3.0,7.0,15.0,5.0,8.0,22.0,10.0,4.0,-,-,-,-,-,-,-,16.0,103.0,81.0
6,PHILIPP BUHL,3995,GER,1.0,2.0,3.0,4.0,7.0,5.0,14.0,6.0,47.0,15.0,-,-,-,-,-,-,-,16.0,120.0,73.0
6,KENSEI IKEDA,2543,JPN,10.0,4.0,10.0,5.0,5.0,4.0,14.0,4.0,5.0,9.0,8.0,14.0,11.0,10.0,-,-,-,6.0,113.0,74.0
6,"ANTON DAHLBERG, LOVISA KARLSSON",335,SWE,7.0,3.0,11.0,8.0,1.0,23.0,9.0,11.0,13.0,14.0,-,-,-,-,-,-,-,6.0,106.0,83.0
6,YUKI SUNAGA,5238,JPN,7.0,11.0,10.0,12.0,16.0,9.0,9.0,7.0,5.0,12.0,13.0,3.0,4.0,23.0,-,-,-,6.0,141.0,89.0
6,"ANOUK GEURTS, ISAURA MAENHAUT",328,,21.0,7.0,10.0,9.0,4.0,10.0,13.0,5.0,2.0,20.0,14.0,2.0,2.0,-,-,-,-,18.0,137.0,116.0
6,"TIM MOURNIAC, LOU BERTHOMIEU",4811,,3.0,3.0,1.0,21.0,5.0,5.0,15.0,22.0,15.0,15.0,2.0,6.0,-,-,-,-,-,2.0,115.0,93.0
6,MAUD JAYET,3347,SUI,8.0,1.0,3.0,3.0,7.0,10.0,32.0,5.0,33.0,19.0,-,-,-,-,-,-,-,12.0,133.0,100.0
6,ALEXANDER EHLEN,117,MON,32.0,8.0,5.0,7.0,4.0,19.0,8.0,9.0,5.0,3.0,1.0,4.0,4.0,16.0,8.0,12.0,15.0,6.0,160.0,93.0
6,KATIE DABSON,2507,GBR,4.0,5.0,5.0,7.0,4.0,9.0,8.0,6.0,4.0,6.0,3.0,2.0,12.0,6.0,4.0,4.0,-,6.0,89.0,61.0
6,"ISAAC KALE MCHARDIE, WILLIAM MCKENZIE",2004,,5.0,15.0,9.0,1.0,5.0,11.0,20.0,16.0,2.0,10.0,1.0,6.0,5.0,-,-,-,-,8.0,114.0,94.0
7,"MARIE ROENNINGEN, HELENE NAESS",3144,,13.0,7.0,14.0,4.0,10.0,13.0,9.0,1.0,19.0,13.0,11.0,7.0,11.0,-,-,-,-,4.0,136.0,117.0
7,LILY YOUNG,2808,GBR,7.0,7.0,6.0,5.0,26.0,7.0,7.0,8.0,3.0,13.0,15.0,3.0,14.0,7.0,6.0,5.0,-,7.0,139.0,91.0
7,"SARAH NEWBERRY MOORE, DAVID LIEBENBERG",4350,,8.0,10.0,15.0,8.0,7.0,2.0,9.0,7.0,5.0,2.0,9.0,10.0,-,-,-,-,-,16.0,108.0,93.0
7,STEFANO PESCHIERA,4591,PER,3.0,21.0,6.0,5.0,10.0,4.0,39.0,16.0,6.0,1.0,-,-,-,-,-,-,-,18.0,129.0,90.0
