Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,Total,Nett
47,JUSTIN NORTON,2433,CAN,41.0,40.0,21.0,28.0,30.0,27.0,-,-,36.0,(44.0),-,-,-,-,-,-,-,-,-,-,-,-,-,267.0,223.0
47,JUAN IGNACIO MAEGLI,2360,GUA,(19.0),14.0,11.0,11.0,13.0,17.0,-,-,31.0,35.0,38.0,(nan),-,-,-,-,-,-,-,-,-,-,-,189.0,170.0
48,FILLAH KARIM,1466,CAN,25.0,19.0,41.0,29.0,33.0,36.0,-,-,(nan),41.0,-,-,-,-,-,-,-,-,-,-,-,-,-,224.0,224.0
48,VALENTINA BALBI,4967,ITA,(45.0),12.0,13.0,22.0,29.0,26.0,12.0,23.0,(44.0),38.0,-,-,-,-,-,-,-,-,-,-,-,-,-,264.0,175.0
48,FINNIAN ALEXANDER,1477,AUS,20.0,(24.0),15.0,9.0,16.0,9.0,-,-,(45.0),38.0,35.0,35.0,-,-,-,-,-,-,-,-,-,-,-,246.0,177.0
48,EMIRI KOYA,1299,JPN,33.0,36.0,43.0,34.0,(47.0),44.0,42.0,43.0,(47.0),44.0,-,-,-,-,-,-,-,-,-,-,-,-,-,413.0,319.0
48,GABRIELE BESOZZI,1595,ITA,46.0,46.0,(47.0),46.0,47.0,46.0,-,-,39.0,40.0,-,-,-,-,-,-,-,-,-,-,-,-,-,357.0,310.0
49,MALCOLM LAMPHERE,3029,USA,(31.0),17.0,22.0,13.0,8.0,12.0,-,-,46.0,(48.0),46.0,43.0,-,-,-,-,-,-,-,-,-,-,-,286.0,207.0
49,PIA KUHLMANN,4013,GER,25.0,26.0,(42.0),29.0,7.0,8.0,24.0,32.0,36.0,(44.0),-,-,-,-,-,-,-,-,-,-,-,-,-,273.0,187.0
49,CLEMENTE SEGUEL,921,CHI,30.0,42.0,35.0,25.0,25.0,29.0,-,-,39.0,(46.0),-,-,-,-,-,-,-,-,-,-,-,-,-,271.0,225.0
49,ESTERE KUMPINA,1359,LAT,(50.0),37.0,47.0,47.0,39.0,40.0,(51.0),28.0,45.0,45.0,-,-,-,-,-,-,-,-,-,-,-,-,-,429.0,328.0
49,AUSTIN ROSS,420,CAN,48.0,(50.0),,,,,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,98.0,348.0
50,ANNA MUNCH,298,DEN,6.0,34.0,(40.0),38.0,32.0,20.0,22.0,1.0,(51.0),45.0,-,-,-,-,-,-,-,-,-,-,-,-,-,289.0,198.0
