Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,Total,Nett
1,"TOBIAS SPRANGER, FELIX MEGGENDORFER",4849,,1.0,2.0,(10.0),1.0,1.0,1.0,3.0,2.0,1.0,(10.0),1.0,1.0,3.0,10.0,47.0,27.0
2,"ANDY MARTIN, SKIFF CHICK TAM",275,,(10.0),1.0,1.0,2.0,4.0,2.0,(8.0),4.0,5.0,1.0,3.0,2.0,1.0,1.0,45.0,27.0
3,"LIVIA NAEF, MIRJAM ABEGGLEN",2848,,2.0,3.0,2.0,3.0,3.0,(8.0),(4.0),3.0,2.0,3.0,2.0,3.0,2.0,4.0,44.0,32.0
4,"ALEXANDER HUBER, DANIEL WIMMER",122,,4.0,(6.0),4.0,4.0,5.0,3.0,6.0,5.0,6.0,2.0,(9.0),4.0,6.0,6.0,70.0,55.0
5,"BENEDIKT NAGEL, JOHANNA BEICHL",501,,7.0,5.0,6.0,(8.0),2.0,(9.0),2.0,6.0,8.0,7.0,6.0,5.0,5.0,2.0,78.0,61.0
6,MISCHA VON RUTI,3517,,6.0,9.0,7.0,(10.0),(10.0),5.0,9.0,1.0,4.0,5.0,5.0,6.0,8.0,3.0,88.0,68.0
7,"SARAH ROECK, JULIAN GABRIEL",4353,,5.0,7.0,3.0,5.0,6.0,6.0,7.0,(10.0),9.0,(10.0),4.0,7.0,4.0,7.0,90.0,70.0
8,"MICKEY MARTIN, ARNE BOHM",3467,,(10.0),(8.0),5.0,7.0,7.0,4.0,5.0,8.0,3.0,4.0,8.0,8.0,7.0,5.0,89.0,71.0
9,"FABIAN SCHREINER, LAURA SCHREINER",1394,,3.0,4.0,(10.0),6.0,8.0,7.0,1.0,7.0,7.0,6.0,7.0,9.0,(10.0),10.0,95.0,75.0
