Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,Total,Nett
7,"FYNN STERRITT, JAMES PETERS",1585,,4.0,18.0,7.0,12.0,18.0,33.0,15.0,9.0,24.0,6.0,25.0,16.0,12.0,199.0,166.0
7,TONCI STIPANOVIC,4903,CRO,3.0,8.0,6.0,8.0,3.0,8.0,6.0,41.0,14.0,-,-,-,-,97.0,89.0
7,"ALEX MALONEY, MOLLY MEECH",108,,12.0,16.0,18.0,14.0,4.0,9.0,15.0,28.0,18.0,15.0,5.0,11.0,6.0,171.0,143.0
8,ALISON YOUNG,163,GBR,22.0,9.0,2.0,15.0,16.0,14.0,7.0,2.0,12.0,-,-,-,-,99.0,77.0
8,CHARLIE BUCKINGHAM,816,USA,7.0,31.0,19.0,18.0,8.0,14.0,9.0,20.0,2.0,-,-,-,-,128.0,97.0
8,"LIN CENHOLT, CHRISTIAN LUBECK",2811,,4.0,8.0,6.0,6.0,18.0,6.0,10.0,18.0,11.0,6.0,20.0,18.0,-,131.0,111.0
8,"ELENA CHRISTINE STOFFERS, LEONIE MEYER",1233,,29.0,4.0,25.0,11.0,8.0,5.0,13.0,24.0,3.0,23.0,9.0,15.0,8.0,177.0,148.0
8,"STUART BITHELL, JOHN PINK",4629,,1.0,31.0,34.0,34.0,17.0,25.0,6.0,11.0,6.0,1.0,12.0,8.0,14.0,200.0,166.0
9,DONGSHUANG ZHANG,1170,CHN,1.0,28.0,7.0,17.0,6.0,7.0,19.0,22.0,20.0,-,-,-,-,127.0,99.0
9,ANDY MALONEY,274,NZL,12.0,9.0,18.0,7.0,10.0,3.0,21.0,25.0,18.0,-,-,-,-,123.0,98.0
9,"YUKIO MAKINO, KENJI TAKAHASHI",5241,,17.0,2.0,38.0,14.0,34.0,22.0,4.0,24.0,16.0,25.0,3.0,14.0,16.0,229.0,191.0
9,"OLIVIA PRICE, ELIZA SOLLY",3812,AUS,10.0,14.0,16.0,20.0,12.0,12.0,23.0,17.0,11.0,9.0,8.0,4.0,18.0,174.0,151.0
9,"LUKE RAMSAY, NIKOLA GIRKE",2962,,18.0,15.0,17.0,9.0,6.0,1.0,17.0,8.0,7.0,19.0,7.0,14.0,-,138.0,119.0
10,JUAN MAEGLI,2365,GUA,14.0,25.0,8.0,16.0,12.0,22.0,4.0,11.0,16.0,-,-,-,-,128.0,103.0
10,VERONIKA KOZELSKA FENCLOVA,5011,CZE,13.0,7.0,33.0,11.0,15.0,16.0,22.0,6.0,16.0,-,-,-,-,139.0,106.0
10,"CAROLINA WERNER, PAUL KOHLHOFF",764,,19.0,2.0,40.0,8.0,1.0,11.0,11.0,2.0,5.0,30.0,16.0,20.0,-,165.0,125.0
10,"MARIE ROENNINGEN, HELENE NAESS",3144,,28.0,24.0,14.0,8.0,7.0,20.0,7.0,30.0,2.0,6.0,2.0,19.0,22.0,189.0,159.0
10,"JORGE LIMA, JOSE COSTA",2320,POR,26.0,11.0,18.0,19.0,26.0,19.0,16.0,8.0,30.0,4.0,10.0,13.0,21.0,221.0,191.0
11,"ANDERS THOMSEN, JONAS WARRER",219,,5.0,15.0,32.0,4.0,3.0,3.0,8.0,5.0,18.0,41.0,41.0,41.0,-,216.0,175.0
11,"SILVIA SICOURI, VITTORIO BISSARO",4487,,1.0,40.0,8.0,11.0,17.0,7.0,14.0,17.0,4.0,12.0,19.0,-,-,150.0,110.0
11,SARAH GUNNI SCHIERUP,4347,,11.0,34.0,9.0,12.0,14.0,20.0,21.0,4.0,-,-,-,-,-,125.0,91.0
11,KARL-MARTIN RAMMO,2485,EST,4.0,28.0,13.0,11.0,2.0,28.0,41.0,10.0,-,-,-,-,-,137.0,96.0
11,"JULIA GROSS, CECILIA JONSSON",2388,SWE,16.0,12.0,15.0,22.0,15.0,14.0,18.0,6.0,15.0,10.0,11.0,8.0,-,162.0,140.0
12,THOMAS SAUNDERS,4775,NZL,16.0,30.0,14.0,30.0,17.0,12.0,13.0,1.0,-,-,-,-,-,133.0,103.0
12,"CARL P SYLVAN, OTTO HAMEL",733,,27.0,33.0,6.0,27.0,8.0,27.0,11.0,16.0,8.0,14.0,23.0,10.0,-,210.0,177.0
12,TUULA TENKANEN,4922,FIN,25.0,2.0,36.0,18.0,8.0,19.0,8.0,13.0,-,-,-,-,-,129.0,93.0
12,"MAIKEN FOGHT SCHUTT, ANNE-JULIE SCHUTT",3014,,1.0,25.0,20.0,18.0,13.0,10.0,11.0,13.0,12.0,12.0,22.0,10.0,-,167.0,142.0
12,"SOPHIE DE TURCKHEIM, FRANCK CAMMAS",4545,,21.0,12.0,5.0,3.0,3.0,15.0,15.0,12.0,18.0,14.0,22.0,-,-,140.0,118.0
13,MATHIAS MOLLATT,3284,NOR,13.0,7.0,20.0,12.0,41.0,26.0,25.0,6.0,-,-,-,-,-,150.0,109.0
13,"TAMARA ECHEGOYEN DOMINGUEZ, BERTA BETANZOS MORO",4675,ESP,3.0,20.0,28.0,2.0,5.0,2.0,24.0,23.0,19.0,19.0,13.0,21.0,-,179.0,151.0
13,"MARCUS HANSEN, JOSH POREBSKI",3096,,9.0,12.0,19.0,29.0,16.0,35.0,9.0,15.0,1.0,23.0,17.0,30.0,-,215.0,180.0
13,"TANJA FRANK, THOMAS ZAJAC",4690,,11.0,16.0,13.0,18.0,19.0,4.0,25.0,5.0,16.0,10.0,10.0,-,-,147.0,122.0
13,ALICIA CEBRIAN,156,ESP,5.0,1.0,10.0,30.0,13.0,8.0,28.0,39.0,-,-,-,-,-,134.0,95.0
14,ISABELLA-ANNA BERTOLD,2018,,7.0,39.0,11.0,22.0,17.0,11.0,14.0,28.0,-,-,-,-,-,149.0,110.0
14,SAM MEECH,4288,NZL,11.0,2.0,41.0,39.0,7.0,6.0,5.0,41.0,-,-,-,-,-,152.0,111.0
14,"DIEGO BOTIN LE CHEVER, IAGO LOPEZ MARRA",1122,,22.0,30.0,13.0,11.0,27.0,20.0,23.0,17.0,3.0,18.0,7.0,19.0,-,210.0,180.0
14,"TINA LUTZ, SUSANN BEUCKE",4826,GER,17.0,11.0,32.0,25.0,3.0,4.0,10.0,29.0,10.0,16.0,12.0,17.0,-,186.0,154.0
14,"GEMMA JONES, JASON SAUNDERS",1626,,5.0,18.0,29.0,10.0,14.0,14.0,19.0,24.0,13.0,3.0,8.0,-,-,157.0,128.0
15,"LUKASZ PRZYBYTEK, PAWEL KOLODZINSKI",2957,,15.0,3.0,16.0,24.0,4.0,10.0,10.0,6.0,13.0,41.0,41.0,41.0,-,224.0,183.0
15,PHILIPP BUHL,3995,GER,19.0,34.0,21.0,13.0,9.0,1.0,16.0,36.0,-,-,-,-,-,149.0,113.0
15,"MATIAS BUHLER, NATHALIE BRUGGER",3302,,35.0,11.0,25.0,5.0,9.0,10.0,20.0,20.0,19.0,5.0,6.0,-,-,165.0,130.0
15,"NINA KEIJZER, CLAIRE BLOM",3731,NED,19.0,29.0,7.0,27.0,17.0,18.0,32.0,15.0,1.0,25.0,6.0,3.0,-,199.0,167.0
15,TATIANA DROZDOVSKAYA,4698,BLR,24.0,23.0,5.0,28.0,21.0,24.0,11.0,8.0,-,-,-,-,-,144.0,116.0
16,MATHILDE DE KERANGAT,3293,FRA,32.0,6.0,30.0,16.0,26.0,15.0,15.0,9.0,-,-,-,-,-,149.0,117.0
16,"ERIN RAFUSE, DANNIE BOYD",1347,,32.0,7.0,9.0,23.0,6.0,21.0,5.0,33.0,21.0,20.0,24.0,7.0,-,208.0,175.0
16,"ANETTE VIBORG, ALLAN NORREGAARD",276,,13.0,23.0,20.0,17.0,23.0,34.0,6.0,25.0,10.0,2.0,3.0,-,-,176.0,142.0
16,"JACEK NOWAK, TOMASZ JANUSZEWSKI",2035,,11.0,23.0,27.0,9.0,13.0,15.0,19.0,7.0,27.0,24.0,31.0,9.0,-,215.0,184.0
16,KRISTIAN RUTH,2629,NOR,20.0,22.0,5.0,1.0,41.0,37.0,17.0,12.0,-,-,-,-,-,155.0,114.0
17,MATT WEARN,3315,AUS,26.0,35.0,2.0,10.0,23.0,30.0,19.0,8.0,-,-,-,-,-,153.0,118.0
17,CHLOE MARTIN,860,,10.0,38.0,17.0,13.0,18.0,31.0,20.0,10.0,-,-,-,-,-,157.0,119.0
17,"HELENA SCUTT, PARIS HENKEN",1854,,22.0,33.0,8.0,10.0,19.0,8.0,26.0,35.0,20.0,27.0,4.0,2.0,-,214.0,179.0
17,"FRANCESCO BIANCHI, FEDERICA SALVA",1522,,7.0,13.0,2.0,33.0,24.0,13.0,13.0,40.0,17.0,7.0,17.0,-,-,186.0,146.0
17,"ANDREA TESEI, STEFANO CHERIN",235,,3.0,14.0,5.0,7.0,24.0,24.0,22.0,27.0,4.0,32.0,26.0,34.0,-,222.0,188.0
18,ELIZABETH YIN,1256,SIN,23.0,17.0,3.0,38.0,23.0,23.0,18.0,19.0,-,-,-,-,-,164.0,126.0
18,JULIO ALSOGARAY,2417,ARG,17.0,37.0,1.0,28.0,22.0,27.0,10.0,19.0,-,-,-,-,-,161.0,124.0
18,"MURCI SIFFEUTTE GRUAL, GUBREAL BIRGAS",3576,,25.0,7.0,24.0,41.0,22.0,13.0,20.0,25.0,38.0,5.0,6.0,3.0,-,229.0,188.0
18,"LOTTA GOERGE, JULE GOERGE",2876,,4.0,13.0,29.0,37.0,10.0,15.0,30.0,25.0,5.0,14.0,23.0,25.0,-,230.0,193.0
18,"LUCINDA WHITTY, EUAN MCNICOL",2923,,37.0,31.0,16.0,23.0,11.0,19.0,27.0,4.0,3.0,17.0,4.0,-,-,192.0,155.0
19,"NICO DELLE - KARTH, NIKOLAUS RESCH",3660,,41.0,5.0,2.0,20.0,25.0,32.0,12.0,12.0,31.0,15.0,18.0,25.0,-,238.0,197.0
19,"ANDREW WALSH, LUCY MACGREGOR",264,,15.0,21.0,23.0,19.0,15.0,23.0,7.0,9.0,21.0,21.0,24.0,-,-,198.0,174.0
19,"SILJA KANERVA, SINEM KURTBAY",4478,,6.0,5.0,6.0,28.0,23.0,19.0,19.0,26.0,26.0,22.0,18.0,24.0,-,222.0,194.0
19,MICHAEL BULLOT,3442,NZL,21.0,18.0,12.0,22.0,34.0,20.0,11.0,24.0,-,-,-,-,-,162.0,128.0
19,SILVIA ZENNARO,4489,ITA,2.0,20.0,37.0,14.0,27.0,17.0,36.0,18.0,-,-,-,-,-,171.0,134.0
20,"VICTORIA TRAVASCIO, MARIA SOL BRANZ",5034,ARG,14.0,22.0,24.0,24.0,31.0,16.0,9.0,2.0,27.0,11.0,21.0,27.0,-,228.0,197.0
20,FRANCESCO MARRAI,1523,ITA,35.0,20.0,31.0,37.0,18.0,9.0,2.0,14.0,-,-,-,-,-,166.0,129.0
20,"JOHN GIMSON, HANNAH DIAMOND",2278,,34.0,10.0,12.0,16.0,16.0,21.0,18.0,30.0,23.0,11.0,23.0,-,-,214.0,180.0
20,TINA MIHELIC,4827,CRO,33.0,31.0,1.0,31.0,9.0,10.0,33.0,21.0,-,-,-,-,-,169.0,136.0
