Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,Total,Nett
5,KONTIDES PAVLOS,2613,,2.0,30.0,1.0,(4.0),3.0,-,-,-,-,-,-,-,-,-,-,(21.0),8.0,1.0,12.0,17.0,-,-,-,-,-,72.0,47.0
6,CHIAVARINI LORENZO BRANDO,852,,11.0,(130.0),4.0,1.0,5.0,-,-,-,-,-,-,-,-,-,-,6.0,6.0,8.0,(17.0),14.0,-,-,-,-,-,85.0,55.0
6,ANDERSSOHN HANNAH,223,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(34.0),(41.0),2.0,21.0,18.0,2.0,12.0,6.0,3.0,11.0,150.0,75.0
6,"ALEKSANDRA MELZACKA, SANDRA JANKOWIAK",97,POL,13.0,3.0,16.0,22.0,8.0,6.0,7.0,5.0,2.0,(38.0),23.0,4.0,2.0,17.0,14.0,-,-,-,-,-,-,-,-,-,-,180.0,142.0
6,"BART LAMBRIEX, FLORIS VAN DE WERKEN",460,NED,9.0,14.0,3.0,17.0,2.0,2.0,8.0,(22.0),8.0,4.0,11.0,11.0,6.0,6.0,18.0,-,-,-,-,-,-,-,-,-,-,141.0,119.0
6,KRASODOMSKI MICHAL,2625,,27.0,(41.0),(36.0),36.0,36.0,-,-,-,-,-,-,-,-,-,-,15.0,8.0,3.0,5.0,9.0,-,-,-,-,-,216.0,139.0
7,"JANA GERMANI, GIORGIA BERTUZZI",2125,ITA,20.0,(28.0),9.0,2.0,17.0,5.0,21.0,6.0,6.0,12.0,8.0,7.0,10.0,20.0,2.0,-,-,-,-,-,-,-,-,-,-,173.0,145.0
7,COLLINGRIDGE DAISY,934,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.0,22.0,14.0,1.0,(79.0),12.0,(29.0),11.0,6.0,3.0,184.0,76.0
7,LYNCH FINN,2970,,6.0,100.0,3.0,6.0,(59.0),-,-,-,-,-,-,-,-,-,-,(30.0),19.0,5.0,5.0,10.0,-,-,-,-,-,153.0,64.0
7,"ANDREW MOLLERUS, IAN MACDIARMID",260,USA,5.0,8.0,2.0,4.0,12.0,4.0,10.0,3.0,(32.0),7.0,16.0,9.0,10.0,16.0,14.0,-,-,-,-,-,-,-,-,-,-,152.0,120.0
7,VOETS ERIK,5066,,(36.0),(39.0),18.0,26.0,32.0,-,-,-,-,-,-,-,-,-,-,9.0,13.0,6.0,6.0,36.0,-,-,-,-,-,221.0,146.0
8,PAULON MATTEO,3927,,32.0,15.0,25.0,34.0,(59.0),-,-,-,-,-,-,-,-,-,-,11.0,15.0,(59.0),3.0,14.0,-,-,-,-,-,267.0,149.0
8,BOS DUKO,626,,(22.0),80.0,9.0,2.0,7.0,-,-,-,-,-,-,-,-,-,-,15.0,(23.0),10.0,18.0,1.0,-,-,-,-,-,115.0,70.0
8,VOROBEVA ELENA,5073,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.0,(35.0),(64.0),2.0,4.0,16.0,3.0,10.0,12.0,10.0,182.0,83.0
8,"LARA GRANIER, AMELIE RIOU",2679,FRA,5.0,7.0,6.0,9.0,7.0,18.0,4.0,1.0,(38.0),27.0,5.0,23.0,8.0,16.0,16.0,-,-,-,-,-,-,-,-,-,-,190.0,152.0
8,"ERWAN FISCHER, CLEMENT PEQUIN",1351,FRA,5.0,2.0,5.0,(25.0),22.0,9.0,8.0,7.0,10.0,17.0,2.0,5.0,18.0,15.0,2.0,-,-,-,-,-,-,-,-,-,-,152.0,127.0
9,BARRUE MARIE,457,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.0,13.0,(20.0),(23.0),12.0,15.0,8.0,15.0,18.0,2.0,137.0,94.0
9,LINDQVIST LUDDE,2822,,(37.0),27.0,31.0,24.0,(59.0),-,-,-,-,-,-,-,-,-,-,22.0,6.0,11.0,27.0,10.0,-,-,-,-,-,254.0,158.0
9,VAN LAER WANNES,4986,,7.0,70.0,7.0,(15.0),15.0,-,-,-,-,-,-,-,-,-,-,3.0,18.0,19.0,11.0,(32.0),-,-,-,-,-,134.0,87.0
9,"YANNICK LEFEBVRE, TOM PELSMAEKERS",5213,BEL,14.0,16.0,14.0,5.0,8.0,13.0,11.0,6.0,1.0,13.0,3.0,(18.0),7.0,17.0,5.0,-,-,-,-,-,-,-,-,-,-,151.0,133.0
9,"MARU SCHEEL, FREYA FEILCKE",3257,GER,4.0,5.0,4.0,10.0,9.0,7.0,(27.0),9.0,14.0,17.0,25.0,21.0,20.0,13.0,20.0,-,-,-,-,-,-,-,-,-,-,205.0,178.0
10,BARABINO CESARE,445,,31.0,(40.0),19.0,40.0,(44.0),-,-,-,-,-,-,-,-,-,-,6.0,21.0,17.0,9.0,23.0,-,-,-,-,-,250.0,166.0
10,"CHRIS TAYLOR, RHOS HAWES",866,,11.0,18.0,17.0,8.0,8.0,7.0,1.0,10.0,11.0,(21.0),19.0,2.0,15.0,3.0,7.0,-,-,-,-,-,-,-,-,-,-,158.0,137.0
10,"MATHILDE LOVADINA, MARINE RIOU",3297,,2.0,17.0,3.0,1.0,18.0,20.0,22.0,15.0,10.0,13.5,15.0,(24.0),21.0,7.0,18.0,-,-,-,-,-,-,-,-,-,-,206.5,182.5
10,MUNCH ANNA,3571,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.0,19.0,9.0,14.0,(25.0),(45.0),7.0,9.0,8.0,12.0,166.0,96.0
10,DE SMET WILLIAM,1072,,15.0,20.0,8.0,(20.0),10.0,-,-,-,-,-,-,-,-,-,-,16.0,24.0,14.0,7.0,(27.0),-,-,-,-,-,143.0,96.0
11,"KEANU PRETTNER, JAKOB FLACHBERGER",2523,AUT,3.0,4.0,12.0,7.0,4.0,5.0,14.0,15.0,7.0,1.0,15.0,24.0,9.0,18.0,(26.0),-,-,-,-,-,-,-,-,-,-,164.0,138.0
11,BENINI FLORIANI CHIARA,505,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,6.0,(52.0),16.0,(34.0),17.0,28.0,12.0,13.0,5.0,185.0,99.0
11,"ALEXANDRA STALDER, SILVIA SPERI",132,,(25.0),21.0,8.0,13.0,11.0,13.0,24.0,17.0,20.0,9.0,18.0,2.0,14.0,6.0,-,-,-,-,-,-,-,-,-,-,-,201.0,176.0
11,SPADONI ALESSIO,4562,,(33.0),190.0,9.0,5.0,2.0,-,-,-,-,-,-,-,-,-,-,19.0,15.0,(50.0),15.0,15.0,-,-,-,-,-,182.0,99.0
11,BHOGAL KRISHAN,563,,(52.0),34.0,34.0,(36.0),25.0,-,-,-,-,-,-,-,-,-,-,21.0,10.0,27.0,19.0,2.0,-,-,-,-,-,260.0,172.0
12,MICHON PERNELLE,3466,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.0,(42.0),28.0,(79.0),2.0,22.0,2.0,4.0,23.0,17.0,242.0,121.0
12,BROEKHUIZEN NIELS,661,,10.0,70.0,(21.0),3.0,6.0,-,-,-,-,-,-,-,-,-,-,(35.0),14.0,24.0,20.0,19.0,-,-,-,-,-,159.0,103.0
12,ALPKOCAK UMUT,173,,(49.0),42.0,40.0,30.0,(59.0),-,-,-,-,-,-,-,-,-,-,10.0,4.0,10.0,26.0,19.0,-,-,-,-,-,289.0,181.0
12,"DOMINIK BUKSAK, SZYMON WIERZBICKI",1157,POL,3.0,2.0,15.0,5.0,9.0,1.0,4.0,14.0,3.0,10.0,21.0,22.0,22.0,7.0,(26.0),-,-,-,-,-,-,-,-,-,-,164.0,138.0
12,"MEGAN BRICKWOOD, STEPHANIE ORTON",3406,,10.0,20.0,23.0,25.0,6.0,10.0,23.0,(32.0),17.0,14.0,16.0,3.0,7.0,11.0,-,-,-,-,-,-,-,-,-,-,-,217.0,185.0
13,MUSONE GIACOMO,3580,,(42.0),35.0,31.0,21.0,(59.0),-,-,-,-,-,-,-,-,-,-,13.0,23.0,12.0,33.0,16.0,-,-,-,-,-,285.0,184.0
