Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,Total,Nett
26,"SIMONE FERRARESE, LEONARDO CHISTE",4500,ITA,10.0,(29.0),9.0,7.0,20.0,23.0,9.0,20.0,6.0,1.0,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,141.0,112.0
26,DAHLBERG OTTO,1003,,44.0,32.0,27.0,20.0,(45.0),-,-,-,-,-,-,-,-,-,-,34.0,39.0,36.0,35.0,(59.0),-,-,-,-,-,371.0,267.0
26,DELLA VALLE GIORGIA,1083,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.0,23.0,(54.0),32.0,(79.0),7.0,36.0,23.0,5.0,40.0,348.0,215.0
26,"ALICE MOSS, AMANDA LJUNGGREN",150,,12.0,27.0,18.0,6.0,12.0,16.0,(38.0),38.0,38.0,11.0,30.0,20.0,12.0,26.0,-,-,-,-,-,-,-,-,-,-,-,304.0,266.0
26,WILLIM NIK AARON,5150,,20.0,220.0,16.0,26.0,(59.0),-,-,-,-,-,-,-,-,-,-,9.0,30.0,40.0,(59.0),20.0,-,-,-,-,-,301.0,183.0
27,GASPIC BRUNO,1616,,9.0,360.0,16.0,(40.0),13.0,-,-,-,-,-,-,-,-,-,-,46.0,(59.0),13.0,23.0,28.0,-,-,-,-,-,283.0,184.0
27,"JAMES GRUMMETT, DANIEL BUDDEN",2093,,14.0,(28.0),4.0,22.0,24.0,6.0,12.0,14.0,12.0,4.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,142.0,114.0
27,"INGA-MARIE HOFMANN, CATHERINE BARTELHEIMER",1991,GER,15.0,(36.0),14.0,29.0,31.0,27.0,12.0,30.0,9.0,10.0,10.0,26.0,31.0,29.0,-,-,-,-,-,-,-,-,-,-,-,309.0,273.0
27,PERCIVAL-COOKE JAMES,3957,,21.0,46.0,44.0,47.0,(59.0),-,-,-,-,-,-,-,-,-,-,28.0,(59.0),15.0,59.0,13.0,-,-,-,-,-,391.0,273.0
27,PUJOL BAJO CRISTINA,4073,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.0,27.0,16.0,25.0,19.0,18.0,55.0,(79.0),(79.0),29.0,379.0,221.0
28,LULIC SANDRA,2965,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.0,(56.0),(34.0),30.0,22.0,33.0,33.0,33.0,31.0,19.0,313.0,223.0
28,"JULIA HENRIKSSON, CAROLINE PETTERSSON",2391,,7.0,32.0,5.0,(38.0),38.0,-,38.0,38.0,38.0,2.0,31.0,18.0,17.0,21.0,-,-,-,-,-,-,-,-,-,-,-,323.0,285.0
28,"RYAN WOOD, ANDREW WOOD",4266,,9.0,13.0,(25.0),2.0,13.0,21.0,25.0,8.0,17.0,15.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,149.0,124.0
28,BOITE ALEXANDRE,609,,(33.0),290.0,19.0,13.0,20.0,-,-,-,-,-,-,-,-,-,-,28.0,10.0,28.0,(45.0),38.0,-,-,-,-,-,263.0,185.0
28,SILNY MIKOLAJ,4481,,3.0,42.0,(47.0),(54.0),33.0,-,-,-,-,-,-,-,-,-,-,47.0,45.0,35.0,32.0,37.0,-,-,-,-,-,375.0,274.0
29,GUERRA FILIPPO,1742,,39.0,33.0,42.0,(50.0),38.0,-,-,-,-,-,-,-,-,-,-,26.0,30.0,30.0,40.0,(46.0),-,-,-,-,-,374.0,278.0
29,"POL MARSANS BALCELLS, ALEX MARSANS",4049,,25.0,(27.0),2.0,9.0,16.0,19.0,16.0,9.0,11.0,16.0,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154.0,127.0
29,TEPLY VIKTOR,4716,,20.0,50.0,22.0,(23.0),17.0,-,-,-,-,-,-,-,-,-,-,34.0,43.0,25.0,(44.0),22.0,-,-,-,-,-,255.0,188.0
29,"SOFIA GIUNCHIGLIA, GIULIA SCHIO",4526,ITA,(37.0),31.0,24.0,20.0,20.0,31.0,20.0,16.0,25.0,5.0,29.0,34.0,9.0,27.0,-,-,-,-,-,-,-,-,-,-,-,328.0,291.0
29,BUESSELBERG JULIA,684,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.0,(70.0),7.0,34.0,51.0,20.0,22.0,38.0,(52.0),36.0,357.0,235.0
30,SANCHEZ CARLOTA,4313,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(68.0),38.0,6.0,38.0,(79.0),23.0,37.0,31.0,42.0,33.0,395.0,248.0
30,CVINAR ALEC,992,,(45.0),(51.0),43.0,44.0,29.0,-,-,-,-,-,-,-,-,-,-,18.0,41.0,28.0,39.0,38.0,-,-,-,-,-,376.0,280.0
30,"IVAN ZOTOV, DMITRY ARASLANOV",2028,,(23.0),11.0,6.0,11.0,19.0,15.0,18.0,21.0,10.0,7.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150.0,127.0
30,"ALICIA FRAS, ELENA BARRIO GARCIA",158,,32.0,22.0,32.0,(36.0),19.0,21.0,9.0,13.0,23.0,19.0,33.0,35.0,34.0,10.0,-,-,-,-,-,-,-,-,-,-,-,338.0,302.0
30,GOLANI OMER BOAZ,1699,,29.0,120.0,(42.0),30.0,16.0,-,-,-,-,-,-,-,-,-,-,26.0,12.0,29.0,(46.0),35.0,-,-,-,-,-,277.0,189.0
31,HOPKINS JACK,1916,,(59.0),(50.0),40.0,35.0,34.0,-,-,-,-,-,-,-,-,-,-,31.0,37.0,39.0,37.0,27.0,-,-,-,-,-,389.0,280.0
31,"MANON PEYRE, CLARA-, SOFIA STAMMINGER DE MOURA",3057,,21.0,(35.0),17.0,33.0,27.0,25.0,31.0,26.0,16.0,26.0,28.0,31.0,16.0,31.0,-,-,-,-,-,-,-,-,-,-,-,363.0,328.0
31,COCCOLUTO GIOVANNI,927,,17.0,110.0,6.0,(37.0),24.0,-,-,-,-,-,-,-,-,-,-,44.0,(51.0),48.0,10.0,30.0,-,-,-,-,-,278.0,190.0
31,PALANTI ALESSIA,3862,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.0,32.0,(55.0),29.0,43.0,27.0,30.0,32.0,37.0,(50.0),354.0,249.0
31,"RICHARD SCHULTHEIS, MAX KORNER",4149,,22.0,15.0,4.0,14.0,6.0,17.0,13.0,17.0,15.0,10.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,170.0,133.0
32,"PAUL PIETZCKER, LINUS VON OPPEN",3915,,19.0,5.0,5.0,(26.0),14.0,24.0,4.0,11.0,19.0,14.0,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,159.0,133.0
32,"HIGHFIELD , MOLLY, SANDY CHOI",1897,,33.0,29.0,33.0,18.0,28.0,24.0,28.0,24.0,(38.0),25.0,34.0,29.0,11.0,14.0,-,-,-,-,-,-,-,-,-,-,-,368.0,330.0
32,TODOROV IVO,4851,,30.0,(47.0),43.0,39.0,(47.0),-,-,-,-,-,-,-,-,-,-,42.0,36.0,16.0,44.0,31.0,-,-,-,-,-,375.0,281.0
32,BAUDET ROSINE,471,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.0,24.0,10.0,41.0,41.0,(49.0),41.0,28.0,(49.0),32.0,350.0,252.0
32,SAMPAIO SANTIAGO,4299,,(38.0),150.0,17.0,12.0,6.0,-,-,-,-,-,-,-,-,-,-,14.0,(59.0),45.0,59.0,23.0,-,-,-,-,-,288.0,191.0
33,SCHEWE LAURA,4378,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(55.0),17.0,30.0,27.0,(57.0),38.0,39.0,40.0,26.0,44.0,373.0,261.0
33,HAGLAND OLAI,1771,,46.0,(54.0),(50.0),43.0,43.0,-,-,-,-,-,-,-,-,-,-,37.0,35.0,32.0,25.0,24.0,-,-,-,-,-,389.0,285.0
33,PLANCHESTAINER GIANMARCO,4040,,14.0,220.0,(39.0),19.0,12.0,-,-,-,-,-,-,-,-,-,-,22.0,(41.0),37.0,28.0,40.0,-,-,-,-,-,274.0,194.0
33,"CHARLOTTE HENKEL, CAROLINA HORLBECK",827,,34.0,33.0,26.0,17.0,25.0,9.0,30.0,(38.0),38.0,13.0,21.0,28.0,24.0,33.0,-,-,-,-,-,-,-,-,-,-,-,369.0,331.0
33,"NIKLAS ENGELMANN, JUSTUS MICKAUSCH",3703,,6.0,19.0,20.0,19.0,11.0,12.0,19.0,4.0,(24.0),2.0,22.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,158.0,134.0
34,VERSTRAELEN ELINE,5013,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.0,43.0,37.0,39.0,36.0,39.0,(50.0),22.0,20.0,(56.0),367.0,261.0
34,"AKIRA SAKAI, RUSSELL AYLSWORTH",61,,21.0,10.0,16.0,13.0,9.0,20.0,11.0,(27.0),7.0,27.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,164.0,137.0
34,"ELEANOR KEERS, FAYE CHATTERTON",1226,,23.0,24.0,25.0,31.0,29.0,30.0,33.0,31.0,19.0,16.0,(35.0),27.0,27.0,32.0,-,-,-,-,-,-,-,-,-,-,-,382.0,347.0
34,KUBBER CLEMENS,2641,,28.0,(53.0),(51.0),37.0,36.0,-,-,-,-,-,-,-,-,-,-,39.0,40.0,44.0,45.0,26.0,-,-,-,-,-,399.0,295.0
34,ABAY BERKAY,4,,(34.0),210.0,23.0,8.0,21.0,-,-,-,-,-,-,-,-,-,-,25.0,35.0,(53.0),34.0,31.0,-,-,-,-,-,285.0,198.0
35,"DANIIL USACHEV, LEONID PUSHEV",1040,,18.0,22.0,21.0,6.0,16.0,16.0,(24.0),13.0,13.0,6.0,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,166.0,142.0
35,KUMPINA ESTERE,2646,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.0,(61.0),45.0,44.0,23.0,32.0,35.0,21.0,(79.0),20.0,416.0,276.0
35,"MARCELINA KORSZON, ZUZANNA MROZ",3075,,36.0,9.0,35.0,28.0,(38.0),22.0,18.0,27.0,11.0,38.0,32.0,32.0,32.0,38.0,-,-,-,-,-,-,-,-,-,-,-,396.0,358.0
35,HEBEL JULIUSZ,1840,,32.0,49.0,(52.0),(54.0),48.0,-,-,-,-,-,-,-,-,-,-,33.0,46.0,38.0,36.0,29.0,-,-,-,-,-,417.0,311.0
35,CITAK YIGIT YALCIN,903,,9.0,240.0,12.0,10.0,(59.0),-,-,-,-,-,-,-,-,-,-,(51.0),28.0,36.0,39.0,41.0,-,-,-,-,-,309.0,199.0
36,"VILLE KORHONEN, EDVARD BREMER",5047,,15.0,12.0,22.0,14.0,(32.0),25.0,17.0,12.0,18.0,13.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,186.0,154.0
36,VON ALLMEN ANJA,5071,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(60.0),48.0,8.0,(54.0),49.0,43.0,40.0,30.0,35.0,24.0,391.0,277.0
36,MADYTSKI YAUHENI,2992,,(54.0),30.0,45.0,(50.0),30.0,-,-,-,-,-,-,-,-,-,-,45.0,47.0,37.0,42.0,35.0,-,-,-,-,-,415.0,311.0
36,"VICTORIA LIKSANOVA, DIANA SABIROVA",5031,,28.0,19.0,21.0,21.0,(38.0),-,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,-,-,-,-,-,-,-,-,-,-,-,431.0,393.0
36,PERONI DIMITRI,3963,,11.0,270.0,15.0,(41.0),18.0,-,-,-,-,-,-,-,-,-,-,32.0,(49.0),31.0,42.0,33.0,-,-,-,-,-,299.0,209.0
37,"VERONIKA ZIVNA, KATERINA ZIVNA",5012,,35.0,37.0,36.0,34.0,32.0,33.0,(38.0),33.0,21.0,38.0,36.0,38.0,36.0,24.0,-,-,-,-,-,-,-,-,-,-,-,471.0,433.0
37,NAUJOCK NICO,3621,,40.0,170.0,24.0,(59.0),14.0,-,-,-,-,-,-,-,-,-,-,48.0,(56.0),41.0,14.0,25.0,-,-,-,-,-,338.0,223.0
37,STRELCIUNAS VEJAS,4626,,(54.0),41.0,48.0,(51.0),46.0,-,-,-,-,-,-,-,-,-,-,41.0,25.0,41.0,34.0,45.0,-,-,-,-,-,426.0,321.0
37,"PHILIPP ROYLA, TOM HEINRICH",3998,,7.0,6.0,14.0,21.0,18.0,25.0,6.0,11.0,21.0,26.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,192.0,155.0
37,ANDRULYTE VIKTORIJA,268,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,29.0,(57.0),47.0,40.0,57.0,34.0,44.0,(79.0),15.0,414.0,278.0
38,BENGTSON EMIL,503,,26.0,240.0,24.0,16.0,(59.0),-,-,-,-,-,-,-,-,-,-,27.0,27.0,44.0,(59.0),47.0,-,-,-,-,-,353.0,235.0
38,HANEVIK AUGUST,1782,,43.0,(59.0),51.0,47.0,(52.0),-,-,-,-,-,-,-,-,-,-,35.0,33.0,42.0,31.0,47.0,-,-,-,-,-,440.0,329.0
38,KAKON SHAI,2454,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.0,2.0,48.0,37.0,50.0,49.0,52.0,(59.0),51.0,(59.0),416.0,298.0
38,"JACK LEWIS, BILLY VENNIS-OZANNE",2049,,4.0,8.0,24.0,16.0,19.0,12.0,(28.0),19.0,28.0,3.0,23.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,184.0,156.0
39,PRIKRYL BENJAMIN,4065,,50.0,(54.0),49.0,(53.0),31.0,-,-,-,-,-,-,-,-,-,-,36.0,42.0,40.0,47.0,34.0,-,-,-,-,-,436.0,329.0
39,NORSELL MICHALA,3764,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(59.0),34.0,5.0,31.0,34.0,(56.0),54.0,54.0,41.0,54.0,422.0,307.0
39,"MARCO ANESSI PE, EDOARDO GAMBA",3081,,21.0,22.0,12.0,27.0,17.0,17.0,5.0,12.0,18.0,5.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,193.0,156.0
39,BARTH JUSTIN,464,,34.0,30.0,(39.0),15.0,33.0,-,-,-,-,-,-,-,-,-,-,43.0,34.0,38.0,(50.0),36.0,-,-,-,-,-,325.0,236.0
40,SACKER MOLLY,4272,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.0,31.0,17.0,(79.0),27.0,51.0,45.0,53.0,40.0,(57.0),443.0,307.0
40,RODZIEWICZ KUBA,4189,,10.0,160.0,(36.0),16.0,23.0,-,-,-,-,-,-,-,-,-,-,40.0,48.0,(52.0),35.0,51.0,-,-,-,-,-,327.0,239.0
40,"RAFAEL DE LA HOZ TUELLS, JOSE RUIZ",4087,,26.0,17.0,8.0,20.0,17.0,18.0,22.0,(27.0),16.0,8.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,189.0,162.0
40,DEMIRCAN DORUK,1085,,(55.0),48.0,44.0,52.0,(53.0),-,-,-,-,-,-,-,-,-,-,43.0,43.0,45.0,43.0,42.0,-,-,-,-,-,468.0,360.0
41,"MIKHAIL USHKOV, KIRILL BOBOSHKO",3482,,8.0,21.0,(32.0),8.0,15.0,18.0,23.0,26.0,9.0,19.0,17.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,196.0,164.0
41,PANAGIOTIDIS ANASTASIOS,3868,,(27.0),140.0,25.0,25.0,26.0,-,-,-,-,-,-,-,-,-,-,31.0,46.0,51.0,32.0,(53.0),-,-,-,-,-,330.0,250.0
41,JANULIONIS RADVILAS,2140,,38.0,44.0,48.0,49.0,(51.0),-,-,-,-,-,-,-,-,-,-,48.0,38.0,43.0,(59.0),59.0,-,-,-,-,-,477.0,367.0
41,HAJI-MICHAEL ANYA,1772,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.0,(72.0),(58.0),40.0,45.0,24.0,53.0,55.0,36.0,49.0,465.0,335.0
42,"FIN ARMSTRONG, EWAN GRIBBIN",1467,GBR,(28.0),6.0,16.0,24.0,14.0,22.0,18.0,15.0,20.0,25.0,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,196.0,168.0
42,TAPPER ALEKSI,4691,,(45.0),250.0,41.0,22.0,11.0,-,-,-,-,-,-,-,-,-,-,29.0,45.0,(46.0),41.0,45.0,-,-,-,-,-,350.0,259.0
42,BEREZA EKATERINA,529,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48.0,(63.0),62.0,28.0,24.0,(66.0),46.0,52.0,38.0,41.0,468.0,339.0
42,LINDEMARK ANDERS,2821,,(51.0),51.0,46.0,51.0,(59.0),-,-,-,-,-,-,-,-,-,-,46.0,48.0,49.0,46.0,48.0,-,-,-,-,-,495.0,385.0
43,GLYNN LIAM,1695,,4.0,260.0,35.0,(41.0),24.0,-,-,-,-,-,-,-,-,-,-,41.0,44.0,(55.0),49.0,44.0,-,-,-,-,-,363.0,267.0
43,"MATHIAS BERTHET, JOSTEIN AKER",3281,,17.0,9.0,7.0,22.0,20.0,10.0,20.0,(30.0),30.0,24.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,201.0,171.0
43,ROCA DE TOGORES ASCENSIC/N,4180,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45.0,45.0,22.0,45.0,35.0,(58.0),(57.0),56.0,43.0,52.0,458.0,343.0
43,CHATZISTAMATIOU ARISTOTELIS,833,,51.0,(55.0),53.0,53.0,(54.0),-,-,-,-,-,-,-,-,-,-,49.0,44.0,47.0,48.0,44.0,-,-,-,-,-,498.0,389.0
44,"EWAN WILSON, DANIEL HARRIS",1386,,11.0,24.0,21.0,25.0,21.0,26.0,3.0,1.0,22.0,(31.0),21.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,206.0,175.0
44,ATANASOV ZLATKO,404,,56.0,55.0,(57.0),55.0,39.0,-,-,-,-,-,-,-,-,-,-,50.0,50.0,50.0,49.0,(59.0),-,-,-,-,-,520.0,404.0
44,KARK WILHELM,2481,,14.0,280.0,(38.0),23.0,34.0,-,-,-,-,-,-,-,-,-,-,36.0,54.0,57.0,(59.0),21.0,-,-,-,-,-,364.0,267.0
44,SANKO EKATERINA,4322,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.0,44.0,50.0,(53.0),38.0,40.0,51.0,(60.0),45.0,34.0,465.0,352.0
45,BOROVKOVA ELIZAVETA,624,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62.0,(64.0),46.0,42.0,32.0,54.0,44.0,36.0,(63.0),55.0,498.0,371.0
45,PAJARSKAS MARTIS,3861,,18.0,(480.0),15.0,42.0,18.0,-,-,-,-,-,-,-,-,-,-,56.0,36.0,49.0,43.0,(57.0),-,-,-,-,-,382.0,277.0
45,BOBOTAS CHRIS,605,,35.0,52.0,(55.0),52.0,37.0,-,-,-,-,-,-,-,-,-,-,(59.0),59.0,59.0,59.0,59.0,-,-,-,-,-,526.0,412.0
45,"PHILIPP WROBEL, MORITZ HAGENMEYER",4001,,26.0,12.0,(29.0),17.0,15.0,20.0,14.0,26.0,25.0,17.0,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,206.0,177.0
46,"MAX STINGELE, LINOV SCHEEL",3368,GER,12.0,20.0,10.0,21.0,(32.0),16.0,13.0,28.0,20.0,18.0,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,210.0,178.0
46,PLETIKOS LIN,4043,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.0,50.0,25.0,55.0,(79.0),53.0,58.0,62.0,54.0,(67.0),519.0,373.0
46,VAN OFWEGEN THOMAS,4987,,26.0,230.0,(33.0),18.0,22.0,-,-,-,-,-,-,-,-,-,-,57.0,37.0,42.0,(59.0),54.0,-,-,-,-,-,371.0,279.0
46,FILCHEV IVO,1458,,(56.0),56.0,56.0,49.0,59.0,-,-,-,-,-,-,-,-,-,-,51.0,49.0,48.0,(59.0),59.0,-,-,-,-,-,542.0,427.0
47,MATEUS LOURENCO,3274,,(30.0),290.0,14.0,27.0,26.0,-,-,-,-,-,-,-,-,-,-,(55.0),55.0,54.0,31.0,49.0,-,-,-,-,-,370.0,285.0
47,"MARCEL MARCINIAK, PATRYK ROZAK",3074,,24.0,15.0,25.0,20.0,22.0,9.0,26.0,18.0,14.0,(34.0),15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,222.0,188.0
47,MLADENOV HRISTO,3522,,(59.0),57.0,55.0,55.0,55.0,-,-,-,-,-,-,-,-,-,-,52.0,52.0,(59.0),59.0,59.0,-,-,-,-,-,562.0,444.0
47,ZYUZINA EKATERINA,5298,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66.0,10.0,18.0,(79.0),42.0,50.0,47.0,(79.0),79.0,79.0,549.0,391.0
48,FRAZZA FRANCESCA,1549,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.0,47.0,32.0,52.0,(70.0),47.0,49.0,(64.0),48.0,64.0,531.0,397.0
48,"ELLIOTT WELLS, LOUIS JOHNSON",1268,,24.0,(32.0),23.0,28.0,5.0,13.0,29.0,22.0,19.0,12.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,221.0,189.0
48,PENEV MARTIN,3951,,(59.0),56.0,54.0,56.0,56.0,-,-,-,-,-,-,-,-,-,-,(59.0),51.0,59.0,59.0,59.0,-,-,-,-,-,568.0,450.0
48,FARREN-PRICE JACOB,1414,,23.0,260.0,(54.0),11.0,28.0,-,-,-,-,-,-,-,-,-,-,52.0,53.0,(59.0),40.0,56.0,-,-,-,-,-,402.0,289.0
49,DONERTAS DENIZ,1166,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(73.0),66.0,27.0,43.0,33.0,(68.0),65.0,65.0,59.0,43.0,542.0,401.0
49,"PANAGIOTIS KAMBOURIDIS, STELIOS NOUTSOS",3870,,16.0,25.0,23.0,23.0,24.0,23.0,12.0,21.0,9.0,20.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,233.0,196.0
49,MARKOVIC ILIJA,3188,,6.0,(470.0),29.0,38.0,25.0,-,-,-,-,-,-,-,-,-,-,53.0,50.0,(56.0),48.0,52.0,-,-,-,-,-,404.0,301.0
49,ANASTASIADIS DIMITRIOS,206,,57.0,57.0,(59.0),(59.0),57.0,-,-,-,-,-,-,-,-,-,-,59.0,59.0,59.0,59.0,59.0,-,-,-,-,-,584.0,466.0
50,"BEN HEINRICH, TOBIAS MATERN",493,,17.0,14.0,24.0,23.0,(29.0),26.0,26.0,24.0,16.0,29.0,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,244.0,215.0
50,KOBA HANNA,2600,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.0,54.0,(63.0),59.0,58.0,37.0,(61.0),51.0,55.0,58.0,535.0,411.0
51,BALAS URSULA,436,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,37.0,69.0,61.0,(79.0),(70.0),60.0,63.0,62.0,65.0,567.0,418.0
51,"ALEXANDR MOSKVICHEV, KIRILL ELCHANINOV",128,,(32.0),19.0,22.0,24.0,26.0,22.0,16.0,19.0,32.0,28.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,253.0,221.0
52,HANSSON-MILD MAJA,1809,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.0,53.0,56.0,56.0,55.0,52.0,(72.0),57.0,58.0,(66.0),569.0,431.0
52,"STYLIANOS SOTIRIOU, ALFONSO PANAGIOTIDIS",4632,GRE,12.0,20.0,15.0,27.0,25.0,27.0,32.0,25.0,25.0,30.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,275.0,238.0
53,PAPENTHIN GESA,3877,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.0,59.0,47.0,58.0,48.0,(63.0),(63.0),47.0,60.0,63.0,559.0,433.0
53,"HUW EDWARDS, ROWAN EDWARDS",1947,,20.0,26.0,28.0,15.0,26.0,28.0,28.0,23.0,26.0,23.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,280.0,243.0
54,HIMMELOVA KLARA,1900,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(76.0),65.0,59.0,60.0,60.0,64.0,(69.0),43.0,53.0,47.0,596.0,451.0
54,"PAVLOS KAGIALIS, IOANNIS ORFANOS",3932,GRE,23.0,23.0,28.0,28.0,(32.0),30.0,29.0,24.0,21.0,22.0,19.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,279.0,247.0
55,CRUSEMANN CARLOTTA SOPHIE,987,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(71.0),46.0,40.0,63.0,54.0,59.0,64.0,(67.0),66.0,61.0,591.0,453.0
55,"CLAUDIO DE FONTES, GIOVANNI SANFILIPPO",913,,31.0,23.0,26.0,30.0,27.0,24.0,24.0,31.0,23.0,11.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,287.0,250.0
56,"PETROS KONSTANTINIDIS, VAGELIS DOLIANITIS",3984,,30.0,31.0,29.0,29.0,25.0,27.0,23.0,25.0,23.0,9.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,288.0,251.0
56,NAUMENKO SOFIIA,3622,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(79.0),(79.0),71.0,51.0,79.0,67.0,71.0,42.0,47.0,46.0,632.0,474.0
57,"SOLUNE ROBERT, VALENTIN SIPAN",4537,,27.0,25.0,27.0,26.0,23.0,(29.0),27.0,28.0,26.0,21.0,24.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,283.0,254.0
57,VLACHOU MARIA,5062,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61.0,(67.0),(72.0),62.0,59.0,65.0,62.0,50.0,57.0,62.0,617.0,478.0
58,SAVAR KARLA,4369,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46.0,(76.0),68.0,65.0,62.0,(71.0),67.0,66.0,64.0,68.0,653.0,506.0
58,"THEO WILLIAMS, DREW BARNES",4741,,29.0,24.0,30.0,19.0,28.0,28.0,25.0,23.0,24.0,(37.0),37.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,304.0,267.0
59,"PHILLIP HADAMCZIK, JONAS VON MAYDELL",4004,,25.0,26.0,26.0,29.0,27.0,29.0,30.0,29.0,27.0,(37.0),25.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,310.0,273.0
59,MARKOVA DIANA,3187,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67.0,55.0,65.0,68.0,53.0,69.0,68.0,(70.0),67.0,(71.0),653.0,512.0
60,"KOSTIS KAZANTZIS, ANGELOS BOUMPOURAS",2618,,29.0,27.0,30.0,31.0,32.0,31.0,27.0,30.0,27.0,32.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,333.0,296.0
60,NALBANTOGLU LARA,3600,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69.0,68.0,70.0,66.0,(79.0),(72.0),70.0,69.0,61.0,69.0,693.0,542.0
61,TALLURI MATILDA,4673,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.0,40.0,(79.0),(79.0),79.0,79.0,79.0,79.0,79.0,79.0,701.0,543.0
61,"TELIS ATHANASOPOULOS YOGO, GEORGE TSOULFAS",4713,,27.0,30.0,27.0,30.0,32.0,30.0,30.0,29.0,28.0,33.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,333.0,296.0
