Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,Total,Nett
20,"TAMMISTE ANNA, SEPP ANNA",4681,EST,7.0,19.0,10.0,22.0,17.0,15.0,25.0,19.0,27.0,26.0,22.0,18.0,6.0,12.0,(31.0),-,-,276,245
20,"MEGGENDORFER JAKOB, SPRANGER ANDREAS",3408,GER,8.0,15.0,12.0,12.0,8.0,8.0,19.0,24.0,6.0,24.0,10.0,21.0,(24.0),14.0,12.0,-,-,217,193
21,"TAYLOR CHRIS, BATTEN SAM",4703,GBR,4.0,18.0,(25.0),4.0,7.0,25.0,12.0,20.0,14.0,19.0,23.0,4.0,17.0,15.0,(15.5),-,-,"222,5","197,5"
21,"CHALMBET ENZO, LOBRY ENZO",808,FRA,(22.0),(31.0),14.0,24.0,4.0,23.0,23.0,8.0,4.0,22.0,19.0,13.0,21.0,(31.0),22.0,-,-,281,250
22,"CARSTENSEN NILS, FRIGGE JAN",769,GER,21.0,7.0,4.0,13.0,11.0,(26.0),10.0,23.0,23.0,16.0,22.0,23.0,9.0,18.0,13.0,-,-,239,213
22,"LAMAY KIM, HOLSTE KIM",2669,GER,24.0,22.0,21.0,(28.0),22.0,25.0,(11.0),21.0,6.0,20.0,24.0,19.0,2.0,17.0,26.0,-,-,288,260
23,"JANEZIC PETER, PODLOGAR ANZE",2131,SLO,16.0,5.0,12.0,22.0,19.0,5.0,15.0,21.0,24.0,(25.0),24.0,19.0,5.0,23.0,8.0,-,-,243,218
23,BRICKWOOD ALDRIDGE,654,GBR,17.0,14.0,24.0,16.0,23.0,20.0,22.0,20.0,12.0,21.0,13.0,22.0,(31.0),24.0,19.0,-,-,298,267
24,"NAUDY YANNIS, GUEZ MARTIN",3620,FRA,(16.0),20.0,23.0,(31.0),19.0,11.0,28.0,26.0,26.0,24.0,26.0,23.0,4.0,7.0,25.0,-,-,309,278
24,"MOLLERUS ANDREW, MOLLERUS MATTHEW",3534,USA,11.0,(27.0),18.0,9.0,5.0,10.0,13.0,18.0,25.0,12.0,17.0,20.0,22.0,20.0,18.0,-,-,245,218
25,ROMANIUK JANKOWIAK,4208,POL,26.0,25.0,27.0,17.0,18.0,28.0,14.0,11.0,22.0,23.0,7.0,26.0,(31.0),26.0,23.0,-,-,324,293
25,"FISCHER ERWAN, JULIEN THIBAULT",1480,FRA,14.0,11.0,1.0,14.0,14.0,3.0,20.0,14.0,21.0,20.0,21.0,(26.0),20.0,25.0,21.0,-,-,245,219
26,"CHEKH YAN, ZOTOV IVAN",835,RUS,(31.0),26.0,8.0,11.0,6.0,7.0,3.0,8.0,3.0,4.0,1.0,1.0,13.0,9.0,-,-,-,131,100
