Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,Total,Nett
74,AUDREY FOLEY,414,,(34.0),(34.0),34.0,32.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.0,22.0,33.0,27.0,27.0,32.0,32.0,32.0,365.0,297.0
75,LOURENCO MATEUS,2888,POR,23.0,28.0,(48.0),39.0,35.0,(48.0),-,-,-,-,-,-,-,-,-,-,-,14.0,32.0,22.0,7.0,14.0,-,-,-,-,-,-,-,310,214.0
75,MARIA JOSE PONCELL,3123,,33.0,30.0,(35.0),35.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(43.0),31.0,25.0,22.0,24.0,43.0,34.0,28.0,383.0,305.0
76,JACOB FARREN-PRICE,2057,GBR,(49.0),40.0,17.0,33.0,37.0,(45.0),-,-,-,-,-,-,-,-,-,-,-,8.0,26.0,11.0,23.0,25.0,-,-,-,-,-,-,-,314,220.0
76,MAI KAKIMOTO,3007,JPN,(38.0),(38.0),38.0,27.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.0,29.0,38.0,31.0,36.0,33.0,30.0,37.0,404.0,328.0
77,YANIC GENTRY,5208,MEX,34.0,(48.0),42.0,37.0,45.0,(50.0),-,-,-,-,-,-,-,-,-,-,-,25.0,13.0,1.0,18.0,6.0,-,-,-,-,-,-,-,319,221.0
77,HONOKA MIURA,1914,JPN,(39.0),39.0,36.0,37.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.0,35.0,35.0,(43.0),35.0,28.0,26.0,30.0,411.0,329.0
78,YUURI YAMAMOTO,5249,JPN,37.0,(39.0),39.0,30.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.0,33.0,28.0,29.0,30.0,35.0,(43.0),34.0,412.0,330.0
78,FORREST WACHHOLZ,1511,CAN,(46.0),30.0,37.0,(49.0),38.0,44.0,-,-,-,-,-,-,-,-,-,-,-,22.0,19.0,5.0,17.0,17.0,-,-,-,-,-,-,-,324,229.0
79,AVERY BALDWIN,422,,(40.0),37.0,(40.0),36.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.0,28.0,31.0,28.0,38.0,34.0,37.0,31.0,414.0,334.0
79,LEO BOUCHER,2750,USA,(52.0),25.0,(61.0),50.0,44.0,43.0,-,-,-,-,-,-,-,-,-,-,-,3.0,23.0,8.0,12.0,23.0,-,-,-,-,-,-,-,344,231.0
80,KAILEY WARRIOR,2451,,(41.0),(42.0),39.0,33.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.0,24.0,30.0,30.0,37.0,37.0,38.0,35.0,419.0,336.0
80,MARSHALL MCCANN,3213,USA,(47.0),35.0,33.0,32.0,46.0,11.0,-,-,-,-,-,-,-,-,-,-,-,24.0,5.0,42.0,8.0,(64.0),-,-,-,-,-,-,-,347,236.0
81,ALDERS KULYNYCH-IRVIN,82,,(40.0),40.0,(42.0),32.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.0,36.0,32.0,34.0,33.0,36.0,31.0,39.0,420.0,338.0
81,LIAM BRUCE,2785,CAN,(54.0),34.0,26.0,31.0,28.0,(39.0),-,-,-,-,-,-,-,-,-,-,-,31.0,22.0,24.0,15.0,29.0,-,-,-,-,-,-,-,333,240.0
82,ALEXANDRE KOWALSKI,137,FRA,27.0,38.0,33.0,(46.0),(49.0),39.0,-,-,-,-,-,-,-,-,-,-,-,32.0,30.0,12.0,19.0,13.0,-,-,-,-,-,-,-,338,243.0
82,KELLY MCMURRAY,2534,USA,(42.0),(43.0),37.0,40.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.0,37.0,37.0,32.0,39.0,38.0,39.0,36.0,452.0,367.0
83,LUDVIG LINDQVIST,2931,SWE,37.0,44.0,40.0,23.0,35.0,(51.0),-,-,-,-,-,-,-,-,-,-,-,11.0,16.0,15.0,24.0,(64.0),-,-,-,-,-,-,-,360,245.0
83,VASILEIA KARACHALIOU,4996,POR,20.0,24.0,23.0,(44.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(43.0),43.0,43.0,43.0,43.0,43.0,43.0,43.0,455.0,368.0
