Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,1Q,2Q,3Q,4Q,5Q,6Q,Total,Nett
46,ARTIUKH NAZAR,391,,45.0,(54.0),52.0,52.0,46.0,(63.0),63.0,48.0,44.0,25.0,492.0,375.0
47,CASALINS DONOSO JAVIER,771,,48.0,(60.0),57.0,57.0,45.0,42.0,22.0,56.0,54.0,(63.0),504.0,381.0
48,BLAKE JAMIE,587,,50.0,(60.0),(57.0),55.0,47.0,47.0,34.0,53.0,46.0,49.0,498.0,381.0
49,LIPCHENKO ANDRII,2837,,49.0,49.0,55.0,(59.0),51.0,46.0,(63.0),41.0,37.0,53.0,503.0,381.0
50,CASTELLI ALESSANDRO,779,,50.0,61.0,(63.0),(63.0),50.0,43.0,42.0,45.0,47.0,44.0,508.0,382.0
51,ARVEDI FERRUCCIO,396,,57.0,(59.0),(60.0),56.0,52.0,41.0,46.0,50.0,51.0,42.0,514.0,395.0
52,HIMMEL JIRI,1899,,49.0,54.0,(57.0),57.0,49.0,(63.0),36.0,49.0,58.0,52.0,524.0,404.0
53,EASTMAN PEREZ JOHN ERIC,1196,,(63.0),58.0,61.0,51.0,48.0,39.0,37.0,(63.0),53.0,63.0,536.0,410.0
54,HEINISCH AMIR,1851,,58.0,(60.0),56.0,54.0,(63.0),63.0,29.0,55.0,56.0,46.0,540.0,417.0
55,PETKOVIC MARKO,3980,,42.0,(55.0),55.0,53.0,(63.0),63.0,40.0,52.0,57.0,63.0,543.0,425.0
56,SURKOV DAVID,4642,,(59.0),59.0,58.0,56.0,(63.0),63.0,45.0,54.0,45.0,48.0,550.0,428.0
57,CASSANMAGNAGO VALERIO,777,,(63.0),53.0,53.0,50.0,29.0,(63.0),63.0,63.0,63.0,63.0,563.0,437.0
58,BOSSI JEREMY,630,,44.0,(56.0),54.0,55.0,(63.0),63.0,63.0,46.0,52.0,63.0,559.0,440.0
59,NICOLINI PIETRO,3691,,61.0,61.0,(63.0),(63.0),63.0,63.0,43.0,57.0,55.0,47.0,576.0,450.0
60,VALLESI CLAUDIO,4975,,57.0,45.0,50.0,(63.0),(63.0),63.0,63.0,63.0,63.0,63.0,593.0,467.0
61,FONT REYERO POL,1508,,(63.0),57.0,56.0,60.0,(63.0),63.0,63.0,63.0,63.0,63.0,614.0,488.0
62,ANDERSON RYAN,222,,56.0,(63.0),(63.0),63.0,63.0,63.0,63.0,63.0,63.0,63.0,623.0,497.0
