Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,Total,Nett
13,"JAMES PETERS, RHOS HAWES",2108,,12.0,(28.0),12.0,28.0,3.0,24.0,10.0,-,-,-,-,-,117.0,89.0
13,"TINA LUTZ, SUSANN BEUCKE",4826,GER,(40.0),29.0,27.0,11.0,8.0,17.0,13.0,6.0,15.0,7.0,14.0,-,187.0,147.0
14,SERGEY KOMISSAROV,4437,RUS,24.0,8.0,20.0,28.0,2.0,(53.0),16.0,27.0,49.0,10.0,-,-,237.0,184.0
14,"JACOPO PLAZZI MARZOTTO, ANDREA TESEI",2065,,24.0,7.0,14.0,(37.0),18.0,10.0,17.0,-,-,-,-,-,127.0,90.0
14,"AMELIA STABBACK, ELLA CLARK",184,,2.0,8.0,17.0,10.0,20.0,10.0,25.0,22.0,12.0,(32.0),25.0,-,183.0,151.0
15,MARCO BENINI,3083,,17.0,38.0,16.0,6.0,10.0,21.0,22.0,(53.0),52.0,15.0,-,-,250.0,197.0
15,"ANNE-JULIE SCHUTT, IBEN NIELSBY CHRISTENSEN",317,,14.0,27.0,14.0,18.0,3.0,14.0,8.0,13.0,27.0,(29.0),13.0,-,180.0,151.0
15,"MATHIEU FREI, NOE DELPECH",3288,,21.0,17.0,28.0,2.0,24.0,1.0,(30.0),-,-,-,-,-,123.0,93.0
16,FINN LYNCH,1474,IRL,31.0,11.0,21.0,17.0,36.0,5.0,30.0,(48.0),42.0,5.0,-,-,246.0,198.0
16,"FEDERICO ALONSO TELLECHEA, ARTURO ALONSO TELLECHEA",1421,,23.0,6.0,13.0,5.0,25.0,22.0,(31.0),-,-,-,-,-,125.0,94.0
16,"TANJA FRANK, LORENA ABICHT",4689,,9.0,30.0,5.0,27.0,2.0,8.0,29.0,(31.0),17.0,21.0,10.0,-,189.0,158.0
17,BENJAMIN VADNAI,520,HUN,19.0,23.0,28.0,(69.0),3.0,29.0,18.0,30.0,19.0,32.0,-,-,270.0,201.0
17,"RYAN SEATON, SEAFRA GUILFOYLE",4265,,22.0,32.0,9.0,(34.0),16.0,15.0,1.0,-,-,-,-,-,129.0,95.0
17,"JULIE BOSSARD, AUDE COMPAN",2406,,21.0,24.0,25.0,15.0,6.0,12.0,27.0,4.0,10.0,(40.0),23.0,-,207.0,167.0
18,"YAGO LANGE, KLAUS LANGE",5194,,11.0,11.0,(32.0),8.0,15.0,29.0,21.0,-,-,-,-,-,127.0,95.0
18,"MARIA OTTAVIA RAGGIO, JANA GERMANI",3128,,15.0,(36.0),18.0,23.0,19.0,20.0,21.8,10.0,11.0,16.0,17.0,-,206.8,170.8
18,KARL-MARTIN RAMMO,2485,EST,23.0,(53.0),37.0,4.0,8.0,11.0,28.0,17.0,28.0,48.0,-,-,257.0,204.0
19,"JAKOB MEGGENDORFER, ANDREAS SPRANGER",2080,GER,29.0,19.0,15.0,9.0,(30.0),4.0,23.0,-,-,-,-,-,129.0,99.0
