Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,Total,Nett
60,"ENGSTROM OSCAR, WESTBERG HUGO",1309,SWE,(28.0),23.0,19.0,22.0,23.0,15.0,16.0,20.0,19.0,23.0,25.0,18.0,17.0,14.0,5.0,-,287,259
61,"BARRIO GARCIA NUNEZ, TORRES FRAN",455,ESP,(32.0),28.0,27.0,24.0,22.0,14.0,15.0,10.0,15.0,17.0,12.0,15.0,12.0,26.0,23.0,-,292,260
62,"ENRIQUE LUJAN MORA, ANTONIO TORRADO",1320,ESP,25.0,30.0,9.0,(32.0),20.0,19.0,(34.0),(34.0),(34.0),20.0,14.0,10.0,27.0,7.0,8.0,-,323,289
63,"MIKKOLA MARTIN, HSS IHAMUOTILA MARKUS",3485,SWE,22.0,16.0,20.0,(28.0),28.0,24.0,14.0,9.0,17.0,24.0,28.0,26.0,24.0,23.0,16.0,-,319,291
64,"BEDIA JUAN EMIGDIO, PEREZ VICTOR",483,ESP,30.0,15.0,18.0,18.0,22.0,26.0,21.0,(34.0),18.0,22.0,21.0,27.0,28.0,15.0,26.0,-,341,307
65,"REGNAULT MERIK, GASQUET ARISTIDE",4120,FRA,28.0,25.0,28.0,26.0,26.0,29.0,20.0,13.0,21.0,27.0,20.0,25.0,22.0,16.0,(34.0),-,360,326
66,"HESSE LUKAS, SEVERENS LEON",1891,GER,(32.0),25.0,29.0,15.0,14.0,28.0,(34.0),(34.0),(34.0),16.0,23.0,16.0,29.0,(34.0),11.0,-,374,340
67,"ROYLA PHILIPP, KIELER HEINRICH TOM",4228,GER,(32.0),29.0,28.0,17.0,27.0,25.0,(34.0),(34.0),(34.0),21.0,17.0,19.0,3.0,22.0,(34.0),-,376,342
68,"PIETZCKER PAUL, VON OPPEN LINUS",4026,GER,26.0,29.0,26.0,20.0,26.0,27.0,(34.0),(34.0),(34.0),25.0,24.0,14.0,19.0,18.0,25.0,-,381,347
69,"AKER JOSTEIN, UNDRUM JACOB",58,NOR,10.0,27.0,28.0,23.0,19.0,25.0,(34.0),(34.0),(34.0),(34.0),27.0,21.0,25.0,(34.0),13.0,-,388,354
70,"HAENSSLER MAX, HAENSSLER FRED",1770,SUI,18.0,25.0,29.0,27.0,29.0,19.0,(34.0),22.0,9.0,(34.0),(34.0),(34.0),(34.0),(34.0),(34.0),-,416,382
71,"STALHEIM JESPER, CHRISTENSSEN HUGO",4570,SWE,23.0,28.0,27.0,24.0,24.0,29.0,(34.0),(34.0),(34.0),(34.0),(34.0),(34.0),(34.0),(34.0),(34.0),-,461,427
72,GARCIA PORTELA FERNANDEZ FUERTES,1609,ESP,30.0,29.0,30.0,30.0,30.0,30.0,(34.0),(34.0),(34.0),(34.0),(34.0),(34.0),(34.0),25.0,27.0,-,469,435
73,"WESTBERG HANNES, TBC, ROYAL",5114,SWE,(32.0),(32.0),(32.0),(32.0),(32.0),(32.0),(34.0),(34.0),(34.0),(34.0),(34.0),(34.0),(34.0),(34.0),(34.0),-,498,464
