Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,Total,Nett
31,GIOVANNA PRADA,1677,BRA,(41.0),40.0,40.0,36.0,(49.0),29.0,5.0,19.0,29.0,40.0,6.0,(43.0),6.0,31.0,19.0,8.0,8.0,-,-,-,-,-,-,-,-,-,-,-,-,449.0,316.0
31,JOHAN SOE,2262,DEN,(80.0),15.0,16.0,13.0,17.0,21.0,-,-,-,-,-,-,-,-,-,-,-,19.0,39.0,20.0,29.0,14.0,6.0,11.0,23.0,(56.0),(58.0),3.0,10.0,450.0,256.0
31,"PRINCE NOBLE, MANU FRANCIS",4066,,12.0,17.0,(18.0),8.0,14.0,12.0,15.0,15.0,15.0,2.0,3.0,9.0,12.0,5.0,5.0,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,169.0,151.0
32,SEBASTIAN KORNUM,4412,,27.0,14.0,25.0,(80.0),19.0,16.0,-,-,-,-,-,-,-,-,-,-,-,33.2,34.0,(48.0),26.0,8.0,3.0,8.0,28.0,27.0,(36.0),1.0,8.0,441.2,277.2
32,"THEO REVIL, TIMOTHEE DEPERY",4738,,(18.0),7.0,16.0,16.0,13.0,14.0,13.0,12.0,16.0,8.0,5.0,6.0,7.0,12.0,3.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,169.0,151.0
32,NEEVE ROBINSON,3629,,23.0,28.0,24.0,32.0,22.0,25.0,7.0,34.0,(40.0),31.0,(51.0),33.0,24.0,36.0,(38.0),5.0,7.0,-,-,-,-,-,-,-,-,-,-,-,-,460.0,331.0
33,NICOLAS PRIEN,3679,,8.0,17.0,(27.0),11.0,17.0,25.0,-,-,-,-,-,-,-,-,-,-,-,21.0,38.0,41.0,31.0,4.0,21.0,5.0,(57.0),(58.0),19.0,18.0,2.0,420.0,278.0
33,"AHMED AL HASANI, ABDUL RAHMAN AL MAASHRI",46,,16.0,6.0,15.0,14.0,(19.0),16.0,8.0,17.0,13.0,9.0,9.0,2.0,6.0,6.0,9.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,174.0,155.0
33,KWAN-CHING MA,2657,,39.0,(45.0),32.0,20.0,32.0,31.0,9.0,26.0,22.0,27.0,29.0,(73.0),39.0,16.0,(73.0),14.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,530.0,339.0
34,"DONG GYU LEE, WONJAE LEE",1168,,17.0,13.0,17.0,(18.0),14.0,15.0,17.0,3.0,17.0,10.0,8.0,5.0,8.0,8.0,10.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,190.0,172.0
34,THERESA-MARIE STEINLEIN,4749,,27.0,33.0,25.0,17.0,35.0,24.0,5.0,35.0,35.0,28.0,(48.0),(40.0),(41.0),34.0,32.5,4.0,7.0,-,-,-,-,-,-,-,-,-,-,-,-,470.5,341.5
34,FABIEN PIANAZZA,1397,FRA,10.0,13.0,12.0,(31.0),11.0,10.0,-,-,-,-,-,-,-,-,-,-,-,29.0,42.0,31.0,(51.0),18.0,13.0,17.0,(44.0),34.0,29.0,11.0,4.0,410.0,284.0
