Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,1Q,2Q,3Q,4Q,5Q,6Q,Total,Nett
50,"NILS CARSTENSEN, JAN FRIGGE",3720,GER,12.0,22.0,15.0,10.0,14.0,(23.0),23.0,18.0,17.0,13.0,18.0,-,-,-,-,-,-,-,-,185.0,162.0
50,"PATRICIA
  RAULINO",3891,BRA,50.0,50.0,(54.0),51.0,50.0,-,-,-,-,-,-,-,-,(54.0),47.0,47.0,45.0,54.0,-,502.0,394.0
50,"MARIIA
  KISLUKHINA",3149,RUS,25.0,13.0,27.0,(34.0),22.0,21.0,-,-,-,-,-,-,-,(51.0),48.0,45.0,21.0,-,-,307.0,222.0
51,"MICHAEL HANSEN, MATHIAS SLETTEN",3446,,6.0,10.0,9.0,14.0,17.0,6.0,(28.0),28.0,28.0,28.0,28.0,-,-,-,-,-,-,-,-,202.0,174.0
51,MARILENA MAKRI,3154,CYP,10.0,22.0,(35.0),22.0,10.0,29.0,-,-,-,-,-,-,-,38.0,46.0,48.0,(50.0),-,-,310.0,225.0
51,ISABELLA BOYD,2013,NZL,46.0,51.0,48.0,47.0,51.0,-,-,-,-,-,-,-,-,(54.0),(54.0),54.0,54.0,54.0,-,513.0,405.0
52,"DAVID , O'CONNOR, FANG WARREN",1048,,3.0,14.0,11.0,17.0,20.0,22.0,(28.0),28.0,28.0,28.0,28.0,-,-,-,-,-,-,-,-,227.0,199.0
52,"MARLENA
  BERZINA",3200,AUS,23.0,24.0,19.0,(29.0),27.0,23.0,-,-,-,-,-,-,-,46.0,39.0,(51.0),51.0,-,-,332.0,252.0
52,GEORGE AULICH,1633,AUS,44.0,45.0,(54.0),(54.0),54.0,-,-,-,-,-,-,-,-,54.0,54.0,54.0,54.0,54.0,-,521.0,413.0
53,NUR SHAZRIN MOHAMAD LATIF,3770,MAS,18.0,18.0,30.0,(33.0),25.0,32.0,-,-,-,-,-,-,-,49.0,52.0,(54.0),36.0,-,-,347.0,260.0
