Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,1Q,2Q,3Q,4Q,5Q,6Q,Total,Nett
9,JESPER STALHEIM,2195,SWE,(8.0),5.0,4.0,6.0,5.0,8.0,-,-,-,-,-,-,-,10.0,22.0,1.0,8.0,(25.0),24.0,126.0,93.0
9,EMMA PLASSCHAERT,1301,BEL,(9.0),2.0,3.0,1.0,3.0,8.0,-,-,-,-,-,-,-,(30.0),25.0,9.0,18.0,-,-,108.0,69.0
10,FILIP JURISIC,1461,CRO,4.0,(15.0),1.0,4.0,6.0,3.0,-,-,-,-,-,-,-,17.0,(32.0),16.0,24.0,12.0,7.0,141.0,94.0
10,CLEMENTE SEGUEL LACAMARA,922,CHI,(30.0),13.0,24.0,10.0,18.0,3.0,-,-,-,-,-,-,-,(43.0),11.0,25.0,10.0,19.0,22.0,228.0,155.0
10,"SIME FANTELA, MIHOVIL FANTELA",4491,,10.0,10.0,8.0,6.0,2.0,7.0,(20.0),2.0,13.0,7.0,17.0,6.0,9.0,-,-,-,-,-,-,126.0,106.0
10,"TESS LLOYD, JAIME RYAN",4723,,6.0,3.0,1.0,12.0,8.0,5.0,10.0,11.0,8.0,19.0,(25.0),9.0,-,-,-,-,-,-,-,126.0,101.0
10,"AISLING
  KELLER",56,IRL,(42.0),18.0,(32.0),24.0,29.0,-,-,-,-,-,-,-,-,25.0,2.0,32.0,17.0,14.0,-,235.0,161.0
10,"MIRTHE
  AKKERMAN",3513,NED,4.0,9.0,(54.0),10.0,11.0,14.0,-,-,-,-,-,-,-,9.0,(35.0),12.0,2.0,-,-,160.0,71.0
10,JUSTIN NORTON,2433,CAN,28.0,24.0,(34.0),31.0,(37.0),32.0,-,-,-,-,-,-,-,19.0,11.0,6.0,7.0,8.0,12.0,249.0,178.0
11,VASILEIA KARACHALIOU,4996,POR,2.0,6.0,(14.0),11.0,4.0,12.0,-,-,-,-,-,-,-,8.0,32.0,(49.0),6.0,-,-,144.0,81.0
11,"AMELIA STABBACK, CAITLIN ELKS",183,,14.0,16.0,3.0,5.0,7.0,14.0,(18.0),10.0,1.0,8.0,8.0,-,-,-,-,-,-,-,-,104.0,86.0
11,WILHELM KARK,5126,SWE,25.0,32.0,31.0,34.0,25.0,(43.0),-,-,-,-,-,-,-,8.0,4.0,(43.0),2.0,2.0,21.0,270.0,184.0
11,WANNES VAN LAER,5088,BEL,11.0,5.0,(13.0),6.0,2.0,2.0,-,-,-,-,-,-,-,(32.0),29.0,20.0,19.0,3.0,1.0,143.0,98.0
11,"BART LAMBRIEX, PIM VAN VUGT",461,,3.0,1.0,5.0,4.0,8.0,11.0,15.0,7.0,(25.0),4.0,25.0,9.0,-,-,-,-,-,-,-,117.0,92.0
11,RICHARD MAHER,4148,AUS,(30.0),23.0,23.0,22.0,20.0,26.0,-,-,-,-,-,-,-,5.0,(40.0),9.0,12.0,13.0,3.0,226.0,156.0
11,FRANCESCA FRAZZA,1521,ITA,30.0,30.0,34.0,(37.0),(42.0),-,-,-,-,-,-,-,-,32.0,17.0,16.0,8.0,4.0,-,250.0,171.0
12,"MARTINE SOFFIATTI GRAEL, KAHENA KUNZE",3245,,12.0,4.0,16.0,1.0,4.0,13.0,1.0,(22.0),11.0,11.0,13.0,-,-,-,-,-,-,-,-,108.0,86.0
12,FREDRIK WESTMAN,1566,FIN,33.0,(36.0),22.0,28.0,(35.0),31.0,-,-,-,-,-,-,-,13.0,16.0,7.0,12.0,23.0,13.0,269.0,198.0
12,"SEBASTIEN SCHNEITER, LUCIEN CUJEAN",4420,SUI,14.0,11.0,6.0,10.0,6.0,3.0,11.0,9.0,10.0,8.0,9.0,(20.0),-,-,-,-,-,-,-,117.0,97.0
12,"ANNALISE
  MURPHY",312,IRL,(38.0),9.0,1.0,9.0,7.0,2.0,-,-,-,-,-,-,-,(54.0),2.0,2.0,54.0,-,-,178.0,86.0
12,"VALENTINA
  BALBI",4966,ITA,(32.0),30.0,23.0,30.0,28.0,-,-,-,-,-,-,-,-,26.0,22.0,14.0,5.0,(54.0),-,264.0,178.0
12,PAVLOS KONTIDES,3933,CYP,3.0,4.0,6.0,(13.0),12.0,5.0,-,-,-,-,-,-,-,27.0,(43.0),17.0,5.0,13.0,8.0,156.0,100.0
12,DANIIL KRUTSKIKH,1039,RUS,(39.0),18.0,21.0,16.0,21.0,24.0,-,-,-,-,-,-,-,29.0,(34.0),7.0,2.0,15.0,11.0,237.0,164.0
13,"MARCO SOFFIATTI, GABRIEL BORGES",3090,,4.0,10.0,15.0,5.0,14.0,6.0,14.0,16.0,7.0,2.0,14.0,(18.0),-,-,-,-,-,-,-,125.0,107.0
13,"IDA MARIE BAAD NIELSEN, MARIE THUSGAARD OLSEN",1965,,5.0,(23.0),7.0,3.0,6.0,18.0,9.0,21.0,16.0,5.0,9.0,-,-,-,-,-,-,-,-,122.0,99.0
13,SVENJA WEGER,4650,GER,3.0,26.0,10.0,5.0,(31.0),12.0,-,-,-,-,-,-,-,7.0,16.0,8.0,(28.0),-,-,146.0,87.0
13,MICHAEL BECKETT,3441,GBR,1.0,(17.0),5.0,5.0,3.0,4.0,-,-,-,-,-,-,-,30.0,11.0,18.0,28.0,(33.0),2.0,157.0,107.0
13,EMIL BENGTSON,1277,SWE,27.0,12.0,29.0,13.0,23.0,(30.0),-,-,-,-,-,-,-,16.0,6.0,(35.0),11.0,22.0,6.0,230.0,165.0
13,CAROLINE SOFIA ROSMO,765,NOR,(36.0),(41.0),28.0,33.0,34.0,-,-,-,-,-,-,-,-,26.0,19.0,17.0,18.0,9.0,-,261.0,184.0
13,GEORG PHILIP BUNK LAURITSEN,1632,DEN,34.0,27.0,32.0,33.0,(35.0),(39.0),-,-,-,-,-,-,-,11.0,6.0,11.0,23.0,19.0,6.0,276.0,202.0
14,LEO BOUCHER,2750,USA,(37.0),29.0,33.0,(35.0),33.0,34.0,-,-,-,-,-,-,-,6.0,10.0,12.0,16.0,31.0,3.0,279.0,207.0
14,PAIGE RAILEY,3859,USA,(27.0),4.0,23.0,7.0,9.0,6.0,-,-,-,-,-,-,-,(34.0),11.0,23.0,9.0,-,-,153.0,92.0
14,"PATRICIA SUAREZ, NICOLE VAN DER VELDEN",3894,,9.0,14.0,18.0,13.0,5.0,1.0,22.0,20.0,(24.0),2.0,1.0,-,-,-,-,-,-,-,-,129.0,105.0
14,DUKO BOS,1182,NED,9.0,2.0,14.0,7.0,(19.0),6.0,-,-,-,-,-,-,-,21.0,19.0,8.0,7.0,(26.0),16.0,154.0,109.0
14,"ANDREW MOLLERUS, IAN MACDIARMID",260,USA,5.0,5.0,1.0,6.0,8.0,5.0,16.0,(21.0),15.0,14.0,18.0,15.0,-,-,-,-,-,-,-,129.0,108.0
14,"JACINTA
  AINSWORTH",2036,AUS,(40.0),40.0,21.0,36.0,38.0,-,-,-,-,-,-,-,-,39.0,4.0,3.0,7.0,(54.0),-,282.0,188.0
14,FRANCISCO RENNA,1533,ARG,12.0,20.0,21.0,23.0,20.0,(25.0),-,-,-,-,-,-,-,(43.0),3.0,26.0,22.0,11.0,19.0,245.0,177.0
15,MARIE BOLOU,3141,FRA,4.0,8.0,(15.0),15.0,7.0,13.0,-,-,-,-,-,-,-,(40.0),9.0,25.0,11.0,-,-,147.0,92.0
15,TOM BURTON,4855,AUS,7.0,13.0,9.0,7.0,8.0,(15.0),-,-,-,-,-,-,-,8.0,17.0,14.0,11.0,18.0,(43.0),170.0,112.0
15,NICOLAS ROLAZ,3681,SUI,24.0,(31.0),(43.0),16.0,25.0,29.0,-,-,-,-,-,-,-,28.0,19.0,16.0,7.0,7.0,7.0,252.0,178.0
15,ANNIE EASTGATE,325,AUS,(35.0),29.0,31.0,(35.0),33.0,-,-,-,-,-,-,-,-,35.0,13.0,6.0,20.0,21.0,-,258.0,188.0
15,"THOMAS NEEDHAM, JOEL TURNER",4773,,7.0,20.0,7.0,5.0,12.0,11.0,8.0,20.0,11.0,6.0,3.0,(23.0),-,-,-,-,-,-,-,133.0,110.0
15,JACOB FARREN-PRICE,2057,GBR,(35.0),22.0,(34.0),34.0,32.0,27.0,-,-,-,-,-,-,-,12.0,24.0,16.0,8.0,28.0,10.0,282.0,213.0
15,"VICTORIA TRAVASCIO, MARIA SOL BRANZ",5034,ARG,12.0,9.0,13.0,4.0,5.0,7.0,19.0,15.0,5.0,18.0,(24.0),-,-,-,-,-,-,-,-,131.0,107.0
16,ALESSIO SPADONI,106,ITA,17.0,(25.0),3.0,18.0,4.0,4.0,-,-,-,-,-,-,-,12.0,(37.0),22.0,17.0,5.0,14.0,178.0,116.0
16,MAUD JAYET,3347,SUI,2.0,1.0,6.0,12.0,(17.0),8.0,-,-,-,-,-,-,-,32.0,(38.0),13.0,20.0,-,-,149.0,94.0
16,LUKE DEEGAN,2960,NZL,(32.0),32.0,29.0,24.0,31.0,27.0,-,-,-,-,-,-,-,23.0,21.0,8.0,10.0,9.0,(43.0),289.0,214.0
16,"MADS EMIL LUBECK, NIKOLAJ HOFFMANN BUHL",2989,,6.0,18.0,9.0,11.0,1.0,8.0,6.0,(22.0),2.0,22.0,7.0,22.0,-,-,-,-,-,-,-,134.0,112.0
16,"NATASHA BRYANT, ANNIE WILMOT",3613,,11.0,11.0,4.0,14.0,15.0,9.0,4.0,13.0,(21.0),16.0,11.0,-,-,-,-,-,-,-,-,129.0,108.0
16,ALEXANDRE BOITE,134,FRA,14.0,16.0,19.0,(43.0),16.0,28.0,-,-,-,-,-,-,-,6.0,27.0,11.0,33.0,(40.0),10.0,263.0,180.0
16,"ESTERE
  KUMPINA",1358,LAT,27.0,(44.0),25.0,35.0,30.0,-,-,-,-,-,-,-,-,30.0,(45.0),15.0,6.0,22.0,-,279.0,190.0
17,MARK WONG,3185,SGP,25.0,27.0,32.0,32.0,33.0,(35.0),-,-,-,-,-,-,-,15.0,12.0,21.0,(43.0),13.0,14.0,302.0,224.0
17,ALISON YOUNG,163,GBR,(21.0),6.0,4.0,4.0,2.0,5.0,-,-,-,-,-,-,-,19.0,(33.0),22.0,33.0,-,-,149.0,95.0
17,"LUKASZ PRZYBYTEK, PAWEL KOLODZINSKI",2957,,11.0,6.0,3.0,3.0,4.0,8.0,18.0,8.0,22.0,18.0,22.0,(24.0),-,-,-,-,-,-,-,147.0,123.0
17,SANTIAGO SAMPAIO,4332,POR,(32.0),24.0,10.0,19.0,15.0,16.0,-,-,-,-,-,-,-,(43.0),4.0,17.0,17.0,20.0,43.0,260.0,185.0
17,LENA HAVERLAND,2739,GER,14.0,31.0,37.0,(38.0),37.0,-,-,-,-,-,-,-,-,(54.0),36.0,2.0,19.0,18.0,-,286.0,194.0
17,"KLARA WESTER, REBECCA NETZLER",2590,SWE,11.0,6.0,9.0,9.0,21.0,12.0,8.0,3.0,20.0,10.0,(23.0),-,-,-,-,-,-,-,-,132.0,109.0
17,RUTGER VAN SCHAARDENBURG,4252,NED,(11.0),2.0,3.0,3.0,6.0,7.0,-,-,-,-,-,-,-,35.0,20.0,13.0,20.0,8.0,(43.0),171.0,117.0
18,"ERWAN FISCHER, CLEMENT PEQUIN",1351,FRA,12.0,8.0,13.0,2.0,7.0,4.0,(24.0),10.0,23.0,16.0,13.0,17.0,-,-,-,-,-,-,-,149.0,125.0
18,MARA STRANSKY,3070,AUS,5.0,(22.0),8.0,5.0,14.0,5.0,-,-,-,-,-,-,-,(44.0),20.0,28.0,10.0,-,-,161.0,95.0
18,UPAMANYU DUTTA,4942,IND,26.0,26.0,26.0,30.0,(37.0),(36.0),-,-,-,-,-,-,-,30.0,15.0,23.0,21.0,12.0,24.0,306.0,233.0
18,CHARLIE BUCKINGHAM,816,USA,12.0,4.0,(17.0),3.0,15.0,17.0,-,-,-,-,-,-,-,13.0,(36.0),33.0,9.0,2.0,12.0,173.0,120.0
18,LAURA BO VOSS,2695,GER,16.0,21.0,36.0,(45.0),41.0,-,-,-,-,-,-,-,-,(44.0),8.0,19.0,41.0,13.0,-,284.0,195.0
18,ALP RONA RODOPMAN,172,TUR,22.0,20.0,32.0,(34.0),21.0,16.0,-,-,-,-,-,-,-,(43.0),22.0,14.0,15.0,9.0,15.0,263.0,186.0
18,"ALEXANDRA TEN HOVE, MARIAH MILLEN",133,CAN,16.0,6.0,10.0,9.0,11.0,11.0,14.0,7.0,22.0,(23.0),5.0,-,-,-,-,-,-,-,-,134.0,111.0
19,NICK THOMPSON,3653,GBR,(15.0),14.0,6.0,4.0,5.0,8.0,-,-,-,-,-,-,-,(37.0),13.0,11.0,26.0,7.0,31.0,177.0,125.0
19,"ISAAC , MCHARDIE, WILLIAM , MCKENZIE",2003,,5.0,7.0,(20.0),8.0,4.0,8.0,19.0,19.0,19.0,9.0,12.0,16.0,-,-,-,-,-,-,-,146.0,126.0
19,MARCO GALLO,3086,ITA,7.0,15.0,(24.0),20.0,19.0,3.0,-,-,-,-,-,-,-,17.0,18.0,(38.0),35.0,35.0,20.0,251.0,189.0
19,"NOORA RUSKOLA, MIKAELA WULFF",3756,,4.0,15.0,3.0,6.0,8.0,17.0,5.0,12.0,23.0,(24.0),19.0,-,-,-,-,-,-,-,-,136.0,112.0
19,TUULA TENKANEN,4922,FIN,(37.0),1.0,9.0,12.0,14.0,4.0,-,-,-,-,-,-,-,33.0,19.0,5.0,(49.0),-,-,183.0,97.0
19,BROOKE WILSON,663,AUS,22.0,(38.0),33.0,(37.0),36.0,-,-,-,-,-,-,-,-,30.0,18.0,27.0,14.0,15.0,-,270.0,195.0
19,AO HIGUCHI,349,JPN,35.0,(37.0),37.0,33.0,34.0,(38.0),-,-,-,-,-,-,-,21.0,18.0,17.0,4.0,17.0,26.0,317.0,242.0
20,MATTI MURU,3341,CAN,33.0,33.0,29.0,(37.0),(38.0),31.0,-,-,-,-,-,-,-,16.0,26.0,29.0,19.0,26.0,5.0,322.0,247.0
20,"ISABELLA
  MAEGLI",2011,GUA,21.0,5.0,(54.0),28.0,(54.0),-,-,-,-,-,-,-,-,33.0,7.0,20.0,31.0,54.0,-,307.0,199.0
20,"NEVIN SNOW, DANE WILSON",3639,,4.0,8.0,15.0,6.0,12.0,13.0,9.0,17.0,8.0,15.0,21.0,(25.0),-,-,-,-,-,-,-,153.0,128.0
20,TOMAS PELLEJERO,4880,ARG,23.0,18.0,17.0,(25.0),10.0,12.0,-,-,-,-,-,-,-,25.0,26.0,4.0,32.0,23.0,(43.0),258.0,190.0
20,JUAN MAEGLI,2365,GUA,15.0,(23.0),10.0,14.0,8.0,10.0,-,-,-,-,-,-,-,15.0,4.0,(25.0),22.0,23.0,5.0,174.0,126.0
20,"TANJA FRANK, LORENA ABICHT",4689,,4.0,17.0,(23.0),14.0,9.0,4.0,21.0,18.0,17.0,13.0,2.0,-,-,-,-,-,-,-,-,142.0,119.0
20,MARIE BARRUE,3140,FRA,1.0,20.0,(29.0),23.0,15.0,21.0,-,-,-,-,-,-,-,(36.0),6.0,14.0,1.0,-,-,166.0,101.0
21,KENJI NANRI,2538,JPN,(31.0),(31.0),29.0,19.0,24.0,20.0,-,-,-,-,-,-,-,18.0,15.0,3.0,29.0,18.0,18.0,255.0,193.0
21,GUILLERMO FLORES MARTIN,1749,ESP,32.0,35.0,(43.0),36.0,31.0,32.0,-,-,-,-,-,-,-,25.0,22.0,2.0,17.0,24.0,(43.0),342.0,256.0
21,LAURA SCHEWE,2706,GER,(47.0),27.0,31.0,(34.0),26.0,-,-,-,-,-,-,-,-,28.0,20.0,28.0,16.0,24.0,-,281.0,200.0
21,"IAN BARROWS, MITCHELL KISS",1958,,10.0,4.0,18.0,7.0,6.0,7.0,(25.0),11.0,24.0,20.5,16.0,7.0,-,-,-,-,-,-,-,155.5,130.5
21,THOMAS SAUNDERS,4775,NZL,3.0,9.0,4.0,3.0,2.0,(11.0),-,-,-,-,-,-,-,16.0,7.0,40.0,37.0,6.0,(43.0),181.0,127.0
21,"HELENE NAESS, MARIE RONNINGEN",1860,NOR,10.0,13.0,12.0,4.0,19.0,5.0,17.0,6.0,14.0,(22.0),22.0,-,-,-,-,-,-,-,-,144.0,122.0
21,MONIKA MIKKOLA,3546,FIN,13.0,17.0,(21.0),11.0,8.0,18.0,-,-,-,-,-,-,-,15.0,(30.0),19.0,4.0,-,-,156.0,105.0
22,"SILVIA
  ZENNARO",4482,ITA,(25.0),(24.0),20.0,8.0,12.0,23.0,-,-,-,-,-,-,-,12.0,10.0,6.0,14.0,-,-,154.0,105.0
22,"DANIEL NYBORG, SEBASTIAN WRIGHT OLSEN",1029,,2.0,(25.0),10.0,8.0,10.0,10.0,23.0,12.0,14.0,19.0,6.0,19.0,-,-,-,-,-,-,-,158.0,133.0
22,SAM WHALEY,4294,GBR,26.0,28.0,(31.0),29.0,14.0,13.0,-,-,-,-,-,-,-,(43.0),7.0,34.0,4.0,26.0,14.0,269.0,195.0
22,JEEMIN HA,2160,KOR,16.0,12.0,(25.0),10.0,9.0,15.0,-,-,-,-,-,-,-,9.0,21.0,(29.0),21.0,4.0,13.0,184.0,130.0
22,"GABRIELLA
  KIDD",1596,BRA,26.0,23.0,34.0,39.0,(54.0),-,-,-,-,-,-,-,-,(54.0),24.0,12.0,23.0,20.0,-,309.0,201.0
22,CAMPBELL PATTON,710,BER,29.0,34.0,(36.0),33.0,36.0,34.0,-,-,-,-,-,-,-,7.0,25.0,25.0,(43.0),27.0,19.0,348.0,269.0
22,"CARLOTTA OMARI, MATILDA DISTEFANO",752,,9.0,19.0,12.0,13.0,3.0,12.0,(23.0),19.0,13.0,7.0,17.0,-,-,-,-,-,-,-,-,147.0,124.0
23,"MARKUS SOMERVILLE, JACK SIMPSON",3196,,9.0,7.0,4.0,14.0,9.0,17.0,22.0,18.0,16.0,20.5,(24.0),12.0,-,-,-,-,-,-,-,172.5,148.5
23,HUGH MACRAE,1932,CAN,13.0,12.0,12.0,(31.0),26.0,14.0,-,-,-,-,-,-,-,21.0,16.0,23.0,25.0,34.0,(43.0),270.0,196.0
23,PAIGE CALDECOAT,3858,AUS,24.0,47.0,(54.0),16.0,32.0,-,-,-,-,-,-,-,-,36.0,31.0,21.0,13.0,(54.0),-,328.0,220.0
23,AGATA BARWINSKA,29,POL,12.0,7.0,7.0,15.0,16.0,(17.0),-,-,-,-,-,-,-,23.0,18.0,11.0,(39.0),-,-,165.0,109.0
23,"RONJA GRONBLOM, VEERA HOKKA",4216,FIN,15.0,4.0,14.0,17.0,1.0,15.0,16.0,16.0,18.0,9.0,(21.0),-,-,-,-,-,-,-,-,146.0,125.0
23,BENJAMIN VADNAI,520,HUN,7.0,3.0,(8.0),7.0,4.0,8.0,-,-,-,-,-,-,-,22.0,(33.0),23.0,25.0,15.0,20.0,175.0,134.0
23,JAMES JUHASZ,2099,CAN,33.0,39.0,(43.0),36.0,39.0,26.0,-,-,-,-,-,-,-,(43.0),17.0,18.0,9.0,22.0,30.0,355.0,269.0
24,SERGEI KOMISSAROV,4435,RUS,(17.0),9.0,6.0,6.0,14.0,2.0,-,-,-,-,-,-,-,(40.0),18.0,6.0,16.0,32.0,29.0,195.0,138.0
24,ZAC LITTLEWOOD,5254,AUS,(34.0),17.0,25.0,21.0,20.0,22.0,-,-,-,-,-,-,-,9.0,20.0,(32.0),20.0,25.0,25.0,270.0,204.0
24,HANNE WEAVER,1798,USA,30.0,(44.0),39.0,(46.0),40.0,-,-,-,-,-,-,-,-,43.0,11.0,23.0,37.0,3.0,-,316.0,226.0
24,"JAMES GROGAN, SIMON HOFFMAN",2092,,6.0,11.0,3.0,19.0,11.0,9.0,21.0,23.0,21.0,(25.0),15.0,11.0,-,-,-,-,-,-,-,175.0,150.0
24,ZOE THOMSON,5286,AUS,10.0,14.0,(28.0),14.0,15.0,19.0,-,-,-,-,-,-,-,17.0,7.0,(47.0),16.0,-,-,187.0,112.0
24,"JULIA GROSS, HANNA KLINGA",2389,,15.0,7.0,10.0,5.0,2.0,16.0,12.0,(25.0),25.0,21.0,16.0,-,-,-,-,-,-,-,-,154.0,129.0
24,ALEXANDRE KOWALSKI,137,FRA,(37.0),30.0,37.0,(38.0),28.0,33.0,-,-,-,-,-,-,-,26.0,28.0,22.0,26.0,14.0,27.0,346.0,271.0
25,MARTIN ARUJA,3224,EST,(39.0),(40.0),35.0,37.0,37.0,36.0,-,-,-,-,-,-,-,27.0,31.0,20.0,30.0,15.0,17.0,364.0,285.0
25,"TESSA PARKINSON, ELLA CLARK",4724,,6.0,13.0,5.0,16.0,6.0,15.0,20.0,(23.0),19.0,20.0,20.0,-,-,-,-,-,-,-,-,163.0,140.0
25,EVE MCMAHON,1376,IRL,20.0,31.0,(38.0),30.0,37.0,-,-,-,-,-,-,-,-,34.0,26.0,40.0,11.0,(54.0),-,321.0,229.0
25,LORENZO BRANDO CHIAVARINI,2872,ITA,6.0,13.0,(15.0),15.0,5.0,13.0,-,-,-,-,-,-,-,(34.0),24.0,7.0,3.0,22.0,33.0,190.0,141.0
25,"HARRY MELGES, FINN ROWE",1816,,10.0,2.0,5.0,18.0,17.0,2.0,17.0,(24.0),18.0,24.0,19.0,21.0,-,-,-,-,-,-,-,177.0,153.0
25,PERNELLE MICHON,3962,FRA,(13.0),12.0,2.0,13.0,6.0,4.0,-,-,-,-,-,-,-,31.0,29.0,18.0,(42.0),-,-,170.0,115.0
25,NIK AARON WILLIM,3698,GER,19.0,31.0,11.0,23.0,14.0,(37.0),-,-,-,-,-,-,-,31.0,9.0,(40.0),13.0,32.0,24.0,284.0,207.0
26,"VALERIA
  LOMATCHENKO",4970,RUS,(54.0),54.0,16.0,21.0,23.0,-,-,-,-,-,-,-,-,40.0,21.0,30.0,25.0,(54.0),-,338.0,230.0
26,"JUDGE RYAN, HANS HENKEN",2371,USA,14.0,12.0,6.0,(15.0),10.0,9.0,2.0,1.0,14.0,2.0,6.0,-,-,-,-,-,-,-,-,91.0,76.0
26,"ODILE VAN AANHOLT, CECILE JANMAAT",3778,,14.0,(18.0),11.0,11.0,7.0,6.0,5.0,4.0,1.0,9.0,5.0,-,-,-,-,-,-,-,-,91.0,73.0
26,FILLAH KARIM,1466,CAN,28.0,28.0,28.0,(30.0),22.0,1.0,-,-,-,-,-,-,-,13.0,(36.0),33.0,24.0,16.0,16.0,275.0,209.0
26,ERIKA REINEKE,1342,USA,(17.0),13.0,13.0,3.0,8.0,7.0,-,-,-,-,-,-,-,21.0,28.0,(29.0),24.0,-,-,163.0,117.0
26,MAXIM NIKOLAEV,3372,RUS,(21.0),6.0,4.0,8.0,11.0,4.0,-,-,-,-,-,-,-,24.0,25.0,24.0,(38.0),20.0,17.0,202.0,143.0
26,JAMES STEWART,2110,AUS,(36.0),25.0,35.0,19.0,33.0,28.0,-,-,-,-,-,-,-,(43.0),19.0,28.0,15.0,43.0,43.0,367.0,288.0
27,MITCHELL KENNEDY,3519,AUS,(13.0),7.0,9.0,9.0,8.0,9.0,-,-,-,-,-,-,-,11.0,35.0,36.0,(39.0),11.0,9.0,196.0,144.0
27,"KIMBERLY LIM, CECILIA LOW",2573,SGP,20.0,10.0,2.0,10.0,(21.0),21.0,1.0,1.0,2.0,10.0,3.0,-,-,-,-,-,-,-,-,101.0,80.0
27,LIAM BRUCE,2785,CAN,36.0,36.0,33.0,(37.0),36.0,(37.0),-,-,-,-,-,-,-,28.0,33.0,26.0,25.0,11.0,28.0,366.0,292.0
27,SARAH DOUGLAS,4346,CAN,5.0,8.0,8.0,(18.0),13.0,16.0,-,-,-,-,-,-,-,26.0,(51.0),32.0,12.0,-,-,189.0,120.0
27,"DOMINIK BUKSAK, SZYMON WIERZBICKI",1157,POL,16.0,14.0,24.0,5.0,11.0,2.0,(28.0),7.0,1.0,1.0,4.0,-,-,-,-,-,-,-,-,113.0,85.0
27,KIM PLETIKOS,2567,SLO,31.0,25.0,44.0,50.0,44.0,-,-,-,-,-,-,-,-,(54.0),25.0,25.0,(54.0),7.0,-,359.0,251.0
27,CHRISTIAN GULDBERG ROST,874,DEN,2.0,(29.0),23.0,27.0,22.0,19.0,-,-,-,-,-,-,-,12.0,(32.0),12.0,31.0,30.0,31.0,270.0,209.0
28,LIN PLETIKOS,2812,SLO,29.0,29.0,41.0,(43.0),39.0,-,-,-,-,-,-,-,-,38.0,30.0,22.0,26.0,(54.0),-,351.0,254.0
28,YOSHIHIRO SUZUKI,5231,JPN,26.0,22.0,19.0,21.0,(31.0),15.0,-,-,-,-,-,-,-,26.0,24.0,30.0,(39.0),14.0,13.0,280.0,210.0
28,"LOUISE
  CERVERA",2885,FRA,8.0,10.0,12.0,28.0,19.0,(34.0),-,-,-,-,-,-,-,10.0,4.0,31.0,(44.0),-,-,200.0,122.0
28,THAD LETTSOME,4729,IVB,35.0,35.0,31.0,(43.0),(43.0),35.0,-,-,-,-,-,-,-,24.0,30.0,24.0,43.0,21.0,16.0,380.0,294.0
28,FINN ALEXANDER,1469,AUS,2.0,1.0,(15.0),2.0,12.0,14.0,-,-,-,-,-,-,-,29.0,16.0,34.0,12.0,(37.0),23.0,197.0,145.0
28,"MIKOLAJ STANIUL, KUBA SZTORCH",3488,,(17.0),9.0,14.0,2.0,16.0,12.0,10.0,13.0,3.0,5.0,5.0,-,-,-,-,-,-,-,-,106.0,89.0
28,"ENIA NINCEVIC, MIHAELA DE MICHELI VITTURI",1311,,8.0,5.0,(19.0),16.0,11.0,10.0,10.0,19.0,4.0,1.0,8.0,-,-,-,-,-,-,-,-,111.0,92.0
29,"JAKOB MEGGENDORFER, ANDREAS SPRANGER",2080,GER,2.0,20.0,8.0,16.0,6.0,14.0,19.0,(22.0),7.0,3.0,1.0,-,-,-,-,-,-,-,-,118.0,96.0
29,GEORGE GAUTREY,1634,NZL,(18.0),14.0,3.0,8.0,15.0,12.0,-,-,-,-,-,-,-,5.0,12.0,31.0,23.0,27.0,(34.0),202.0,150.0
29,PALOMA SCHMIDT GUTIERREZ,3866,PER,33.0,37.0,(43.0),41.0,42.0,-,-,-,-,-,-,-,-,37.0,29.0,13.0,24.0,(54.0),-,353.0,256.0
29,ANDREW ROBINSON,262,AUS,37.0,(38.0),37.0,38.0,38.0,37.0,-,-,-,-,-,-,-,20.0,(43.0),27.0,18.0,25.0,18.0,376.0,295.0
29,NICHOLAS BEZY,3645,HKG,(43.0),22.0,34.0,16.0,27.0,29.0,-,-,-,-,-,-,-,23.0,25.0,8.0,19.0,8.0,(43.0),297.0,211.0
29,ECEM GUZEL,1198,TUR,(54.0),23.0,12.0,13.0,6.0,13.0,-,-,-,-,-,-,-,(42.0),26.0,30.0,7.0,-,-,226.0,130.0
29,"ALEKSANDRA MELZACKA, KINGA LOBODA",96,,22.0,9.0,17.0,(23.0),16.0,2.0,2.0,10.0,7.0,5.0,2.0,-,-,-,-,-,-,-,-,115.0,92.0
30,CHRISTOPHER BARNARD,892,USA,9.0,10.0,5.0,(18.0),10.0,9.0,-,-,-,-,-,-,-,7.0,23.0,28.0,33.0,(38.0),18.0,208.0,152.0
30,ETIENNE LE PEN,1365,FRA,20.0,14.0,23.0,(32.0),26.0,23.0,-,-,-,-,-,-,-,27.0,(38.0),21.0,5.0,24.0,29.0,282.0,212.0
30,WILLIAM SARGENT,5147,AUS,(39.0),37.0,38.0,(39.0),38.0,39.0,-,-,-,-,-,-,-,22.0,27.0,32.0,22.0,18.0,22.0,373.0,295.0
30,"VILMA BOBECK, MALIN TENGSTROM",5049,,7.0,10.0,14.0,15.0,14.0,(17.0),14.0,7.0,11.0,2.0,1.0,-,-,-,-,-,-,-,-,112.0,95.0
30,VICTORIA CHAN,5028,SGP,44.0,34.0,45.5,(49.0),(47.0),-,-,-,-,-,-,-,-,42.0,3.0,39.0,40.0,11.0,-,354.5,258.5
