Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,Total,Nett
18,"ROBERT DICKSON, SEAN WADDILOVE",4168,IRL,18.0,6.0,17.0,4.0,7.0,9.0,30.0,21.0,10.0,(31.0),16.0,5.0,174.0,143.0
18,"MARLA BERGMANN, HANNA WILLE",3199,GER,12.0,12.0,9.0,5.0,4.0,2.0,21.0,(22.0),10.0,7.0,20.0,-,124.0,102.0
19,"TOMAS BARRETO, JOAO PRIETO",4872,,5.0,11.0,14.0,(27.0),16.0,8.0,17.0,10.0,11.0,22.0,24.0,8.0,173.0,146.0
19,"MEGAN BRICKWOOD, STEPHANIE ORTON",3406,,5.0,9.0,8.0,11.0,16.0,3.0,13.0,9.0,(20.0),16.0,13.0,-,123.0,103.0
20,"LILI SEBESI, ALBANE DUBOIS",2799,FRA,3.0,6.0,8.0,8.0,21.0,16.0,7.0,(23.0),9.0,22.0,6.0,-,129.0,106.0
20,"HERNAN UMPIERRE, FERNANDO DIZ",1888,URU,(26.0),22.0,2.0,8.0,5.0,18.0,14.0,15.0,13.0,10.0,18.0,22.0,173.0,147.0
21,"ISAURA MAENHAUT, ANOUK GEURTS",2021,BEL,4.0,(19.0),14.0,10.0,7.0,15.0,17.0,3.0,18.0,11.0,9.0,-,127.0,108.0
21,"MATTEO BARISON, NICOLA TORCHIO",3316,,4.0,11.0,24.0,16.0,4.0,17.0,16.0,5.0,24.0,11.0,22.0,(31.0),185.0,154.0
22,"SVEA KARSENBARG, CECILE JANMAAT",4645,,15.0,15.0,12.0,9.0,1.0,3.0,4.0,19.0,24.0,(26.0),10.0,-,138.0,112.0
22,"PAUL PIETZCKER, LINUS VON OPPEN",3915,,6.0,13.0,1.0,16.0,22.0,17.0,12.0,7.0,20.0,24.0,19.0,(28.0),185.0,157.0
23,"TANJA FRANK, LORENA ABICHT",4689,,11.0,16.0,5.0,12.0,8.0,17.0,(20.0),18.0,14.0,9.0,15.0,-,145.0,125.0
23,"SIMONE FERRARESE, GIANMARCO TOGNI",4499,,2.0,(28.0),20.0,6.0,9.0,20.0,11.0,20.0,5.0,17.0,28.0,20.0,186.0,158.0
24,"MIKOLAJ STANIUL, KUBA SZTORCH",3488,,10.0,10.0,1.0,14.0,16.0,6.0,28.0,17.0,25.0,(31.0),6.0,26.0,190.0,159.0
24,"MARU SCHEEL, FREYA FEILCKE",3257,GER,7.0,19.0,13.0,2.0,10.0,19.0,19.0,16.0,15.0,13.0,(25.0),-,158.0,133.0
25,"JAKOB MEGGENDORFER, ANDREAS SPRANGER",2080,GER,15.0,10.0,18.0,8.0,8.0,18.0,2.0,14.0,26.0,18.0,(27.0),24.0,188.0,161.0
25,"DOMINIKA VADUROVA, SARA TKADLECOVA",1162,,16.0,13.0,13.0,10.0,12.0,5.0,15.0,20.0,(25.0),17.0,18.0,-,164.0,139.0
26,"RYAN SEATON, SEAFRA GUILFOYLE",4265,,19.0,11.0,11.0,6.0,13.0,6.0,19.0,28.0,(31.0),19.0,14.0,18.0,195.0,164.0
26,"ALEXANDRA STALDER, SILVIA SPERI",132,,19.0,4.0,7.0,20.0,(21.0),9.0,2.0,1.0,1.0,1.0,-,-,85.0,64.0
27,"PHILIPP WROBEL, MORITZ HAGENMEYER",4001,,8.0,5.0,15.0,11.0,15.0,12.0,25.0,23.0,14.0,14.0,23.0,(27.0),192.0,165.0
27,"JOHANNE SCHMIDT, ANDREA SCHMIDT",2268,DEN,4.0,15.0,10.0,12.0,(21.0),14.0,1.0,9.0,3.0,2.0,-,-,91.0,70.0
28,"MARGHERITA PORRO, SVEVA CARRARO",3108,,9.0,17.0,10.0,11.0,9.0,(18.0),3.0,7.0,4.0,3.0,-,-,91.0,73.0
28,"MAX STINGELE, LINOV SCHEEL",3368,GER,17.0,15.0,10.0,19.0,10.0,13.0,21.0,(29.0),18.0,13.0,12.0,23.0,200.0,171.0
29,"ALICE MOSS, HANNA JOHNSSON",152,,8.0,10.0,14.0,(15.0),15.0,14.0,13.0,2.0,5.0,10.0,-,-,106.0,91.0
29,"BEN HEINRICH, TOBIAS MATERN",493,,9.0,2.0,29.0,19.0,18.0,14.0,18.0,19.0,19.0,26.0,(30.0),14.0,217.0,187.0
30,"OSCAR ANDERSSON, OLLE ARONSSON",3832,,21.0,14.0,6.0,13.0,19.0,16.0,24.0,24.0,22.0,23.0,25.0,(29.0),236.0,207.0
30,"MATHILDE LOVADINA, LEA PERNET",3296,,16.0,(17.0),11.0,16.0,12.0,2.0,7.0,13.0,9.0,6.0,-,-,109.0,92.0
31,"JUUSO ROIHU, HENRI ROIHU",2441,,12.0,8.0,9.0,21.0,18.0,(23.0),1.0,6.0,7.0,1.0,-,-,106.0,83.0
31,"SOPHIE STEINLEIN, CLARA BORLINGHAUS",4551,,18.0,12.0,16.0,(20.0),15.0,18.0,5.0,3.0,2.0,11.0,-,-,120.0,100.0
32,"THEO REVIL, TIMOTHEE DEPERY",4738,,(27.0),4.0,5.0,24.0,20.0,19.0,2.0,2.0,1.0,9.0,-,-,113.0,86.0
32,"PIA DAHL ANDERSEN, NORA EDLAND",4012,NOR,(21.0),9.0,15.0,7.0,21.0,12.0,4.0,12.0,12.0,9.0,-,-,122.0,101.0
33,"LUKAS HESSE, LUCA SCHNEIDER",2947,,17.0,21.0,13.0,15.0,19.0,(22.0),6.0,4.0,4.0,7.0,-,-,128.0,106.0
33,"CATHERINE BARTELHEIMER, DANIELA BARTELHEIMER",787,,(20.0),13.0,6.0,20.0,19.0,10.0,6.0,5.0,10.0,12.0,-,-,121.0,101.0
34,"MARCO ANESSI, EDOARDO GAMBA",3082,,7.0,16.0,19.0,(25.0),24.0,22.0,5.0,14.0,3.0,2.0,-,-,137.0,112.0
34,"CHARLOTTE HENKEL, CAROLINA HORLBECK",827,,17.0,5.0,(19.0),15.0,11.0,13.0,14.0,11.0,13.0,8.0,-,-,126.0,107.0
35,"FLORINE BRAMERVAER, EMMA SIEWERS",1501,,9.0,(20.0),9.0,18.0,15.0,20.0,9.0,15.0,8.0,5.0,-,-,128.0,108.0
35,"PHILIPP ROYLA, TOM HEINRICH",3998,,(28.0),17.0,17.0,17.0,23.0,13.0,4.0,10.0,6.0,6.0,-,-,141.0,113.0
36,"LISA MARIA RAUSCH, LILLE JONAS",2841,,14.0,16.0,18.0,17.0,(20.0),6.0,15.0,4.0,6.0,15.0,-,-,131.0,111.0
36,"DANIEL BRAMERVAER, MANUS OFFERMAN",1020,,15.0,13.0,18.0,18.0,11.0,11.0,8.0,(20.0),9.0,11.0,-,-,134.0,114.0
37,"MATHIAS BERTHET, ALEXANDER FRANKS-PENTY",3279,,14.0,23.0,12.0,(26.0),26.0,10.0,3.0,19.0,2.0,8.0,-,-,143.0,117.0
37,"SOPHIE MOSEGAARD, FIONA SCHARER",4548,,17.0,(21.0),19.0,17.0,6.0,7.0,11.0,6.0,15.0,14.0,-,-,133.0,112.0
38,"ELIN SEVEDAG, KLARA JOHANSSON",1250,,14.0,6.0,(21.0),13.0,13.0,20.0,12.0,10.0,11.0,13.0,-,-,133.0,112.0
38,"TOMAS MATHISEN, JEPPE NILSEN",4878,,12.0,16.0,23.0,(26.0),7.0,11.0,11.0,13.0,14.6,12.0,-,-,145.6,119.6
39,"FENJA VALENTIEN, BERIT BELLIN",1441,,13.0,11.0,17.0,(19.0),18.0,16.0,10.0,14.0,14.0,4.0,-,-,136.0,117.0
39,"KEANU PRETTNER, JAKOB FLACHBERGER",2523,AUT,25.0,5.0,(29.0),18.0,27.0,20.0,13.0,1.0,10.0,3.0,-,-,151.0,122.0
40,"JULIA HENRIKSSON, CAROLINE PETTERSSON",2391,,18.0,18.0,(20.0),18.0,17.0,19.0,8.0,8.0,7.0,7.0,-,-,140.0,120.0
40,"JOSHUA RICHNER, NILO SCHARER",2350,SUI,25.0,21.0,11.0,14.0,9.0,(26.0),19.0,3.0,16.0,14.0,-,-,158.0,132.0
41,"PHILLIP LYNGBEK, LAURITS VINTER",4006,,(22.0),19.0,16.0,20.0,20.0,21.0,9.0,15.0,8.0,4.0,-,-,154.0,132.0
42,"STEFAN GLAN, Z-MICHAELIS, CLEMENS KRUSE",4580,,16.0,17.0,22.0,10.0,(25.0),12.0,16.0,11.0,11.0,17.0,-,-,157.0,132.0
43,"NICK ZELTNER, TILL SEGER",3654,,8.0,26.0,7.0,24.0,22.0,(29.0),14.0,9.0,13.0,13.0,-,-,165.0,136.0
44,"DON WHITCRAFT, DYLAN WHITCRAFT",1165,THA,19.0,20.0,8.0,17.0,21.0,25.0,7.0,22.0,(26.0),5.0,-,-,170.0,144.0
45,"DAVID SCHUH, LORENZ PICHLER",1062,,(24.0),24.0,15.0,12.0,17.0,21.0,10.0,8.0,18.0,20.0,-,-,169.0,145.0
46,"ARISTIDE GIROU, NOAH CHAUVIN",366,,20.0,(25.0),9.0,25.0,21.0,23.0,21.0,7.0,5.0,18.0,-,-,174.0,149.0
47,"YANNIS SAJE, JULIAN DEUSCHL",5215,,23.0,(27.0),25.0,10.0,17.0,24.0,20.0,5.0,12.0,15.0,-,-,178.0,151.0
48,"SEAN DONNELLY, MARCUS OLEARY",4400,,21.0,18.0,21.0,(27.0),13.0,25.0,12.0,16.0,15.0,10.0,-,-,178.0,151.0
49,"LENNART FROHMANN, MAGNUS FROHMANN",2742,,13.0,15.0,(29.0),22.0,25.0,19.0,17.0,17.0,14.0,16.0,-,-,187.0,158.0
50,"PETROS KONSTANTINIDIS, VAGELIS DOLIANITIS",3984,,26.0,22.0,22.0,21.0,(27.0),15.0,15.0,12.0,17.0,26.0,-,-,203.0,176.0
51,"VALENTIN MULLER, MORITZ FIEBIG",4965,GER,22.0,20.0,23.0,22.0,14.0,15.0,18.0,18.0,(26.0),26.0,-,-,204.0,178.0
52,"LINUS RINDSFUSER, CEDRIC SCHENK",2836,,20.0,19.0,8.0,20.0,(26.0),24.0,22.0,21.0,22.0,26.0,-,-,208.0,182.0
53,"JOHANNES REDER, PAUL LUCAN",2271,,(28.0),28.0,20.0,23.0,24.0,26.0,23.0,23.0,19.0,19.0,-,-,233.0,205.0
54,"JOHANNES SCHEFFOLD, NICK FEDERSPIEL",2273,,24.0,23.0,25.0,23.0,23.0,(27.0),25.0,24.0,20.0,22.0,-,-,236.0,209.0
55,"PIRMIN SABLATNIG, JOHANNES SABLATNIG",4038,,23.0,24.0,24.0,(28.0),28.0,27.0,24.0,25.0,21.0,21.0,-,-,245.0,217.0
