Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,Total,Nett
8,NICK THOMPSON,3653,GBR,3.0,2.0,4.0,13.0,12.0,19.0,(45.0),1.0,8.0,28.0,12.0,-,-,147.0,102.0
9,JEAN BAPTISTE BERNAZ,2154,FRA,3.0,12.0,7.0,10.0,5.0,8.0,(22.0),14.0,15.0,22.0,10.0,-,-,128.0,106.0
9,MAUD JAYET,3347,SUI,11.0,6.0,29.0,25.0,4.0,(30.0),8.0,4.0,4.0,7.0,20.0,-,-,148.0,118.0
9,"RAGNA AGERUP, MAIA AGERUP",4093,NOR,11.0,9.0,14.0,14.0,4.0,1.0,21.0,8.0,3.0,9.0,(22.0),15.0,16.0,147.0,125.0
9,"JORGE LIMA, JOSE COSTA",2320,POR,1.0,2.0,16.0,5.0,15.0,4.0,6.0,29.0,(30.0),13.0,8.0,4.0,14.0,147.0,117.0
10,NAZLI DONERTAS,3625,,7.0,17.0,19.0,5.0,8.0,21.0,6.0,5.0,21.0,(44.0),18.0,-,-,171.0,127.0
10,"SEBASTIEN SCHNEITER, LUCIEN CUJEAN",4420,SUI,3.0,8.0,2.0,2.0,16.0,11.0,16.0,18.0,5.0,3.0,(24.0),18.0,16.0,142.0,118.0
10,"CHARLOTTE DOBSON, SASKIA TIDEY",824,,8.0,16.0,2.0,2.0,1.0,19.0,(29.0),29.0,13.0,16.0,8.0,4.0,18.0,165.0,136.0
10,MICHAEL BECKETT,3441,GBR,29.0,1.0,5.0,18.0,6.0,4.0,21.0,(31.0),7.0,3.0,14.0,-,-,139.0,108.0
11,"NATASHA BRYANT, ANNIE WILMOT",3613,,7.0,13.0,14.0,1.0,9.0,2.0,2.0,13.0,5.0,(28.0),28.0,26.0,-,148.0,120.0
11,"MADS EMIL STEPHENSEN LUBECK, NIKOLAJ HOFFMANN BUHL",2990,,5.0,14.0,19.0,2.0,19.0,5.0,1.0,16.0,2.0,15.0,7.0,(21.0),-,126.0,105.0
11,ERIKA REINEKE,1342,USA,14.0,9.0,15.0,24.0,7.0,3.0,(27.0),13.0,9.0,21.0,-,-,-,142.0,115.0
11,CHARLIE BUCKINGHAM,816,USA,9.0,3.0,4.0,17.0,24.0,(34.0),4.0,8.0,5.0,29.0,-,-,-,137.0,103.0
12,"JUSTUS SCHMIDT, MAX BOEHME",2439,GER,19.0,11.0,22.0,4.0,8.0,4.0,5.0,(25.0),8.0,8.0,11.0,8.0,-,133.0,108.0
12,"VICTORIA TRAVASCIO, MARIA BRANZ",5033,,(25.0),9.0,15.0,7.0,21.0,6.0,23.0,14.0,15.0,2.0,11.0,1.0,-,149.0,124.0
12,MAGDALENA KWASNA,2999,POL,18.0,20.0,1.0,4.0,3.0,14.0,(47.0),33.0,12.0,12.0,-,-,-,164.0,117.0
12,KAARLE TAPPER,2443,FIN,2.0,2.0,1.0,8.0,13.0,26.0,29.0,(34.0),23.0,2.0,-,-,-,140.0,106.0
13,"LILI SEBESI, ALBANE DUBOIS",2799,FRA,4.0,12.0,11.0,3.0,7.0,18.0,3.0,18.0,8.0,23.0,(24.0),20.0,-,151.0,127.0
13,DAPHNE VAN DER VAART,1044,NED,(29.0),21.0,3.0,1.0,14.0,7.0,17.0,22.0,24.0,17.0,-,-,-,155.0,126.0
13,FINNIAN ALEXANDER,1477,AUS,6.0,7.0,5.0,41.0,16.0,14.0,10.0,(56.0),18.0,1.0,-,-,-,174.0,118.0
13,"FRITIOF HEDSTROM, OTTO HAMEL",1575,,7.0,2.0,6.0,13.0,11.0,2.0,(30.0),17.0,14.0,23.0,2.0,13.0,-,140.0,110.0
14,THOMAS SAUNDERS,4775,NZL,6.0,11.0,21.0,10.0,21.0,2.0,(32.0),2.0,17.0,30.0,-,-,-,152.0,120.0
14,"JULIA GROSS, HANNA KLINGA",2389,,(31.0),18.0,5.0,1.0,12.0,11.0,4.0,10.0,9.0,18.0,16.0,29.0,-,164.0,133.0
14,TUULA TENKANEN,4922,FIN,4.0,5.0,9.0,15.0,11.0,1.0,26.0,35.0,20.0,(42.0),-,-,-,168.0,126.0
14,"WILLIAM PHILLIPS, IAIN JENSEN",5145,,3.0,19.0,6.0,1.0,6.0,12.0,9.0,19.0,(24.0),19.0,5.0,11.0,-,134.0,110.0
15,MAXIME JONKER,3375,NED,1.0,8.0,4.0,23.0,5.0,6.0,18.0,(43.0),40.0,25.0,-,-,-,173.0,130.0
15,LUKE ELLIOTT,2961,AUS,13.0,1.0,2.0,6.0,3.0,1.0,(48.0),21.0,29.0,45.0,-,-,-,169.0,121.0
15,"UBERTO CRIVELLI VISCONTI, GIANMARCO TOGNI",4929,ITA,8.0,4.0,7.0,15.0,17.0,7.0,14.0,4.0,11.0,11.0,13.0,(30.0),-,141.0,111.0
15,"PATRICIA SUAREZ, NICOLE VAN DER VELDEN",3894,,22.0,7.0,7.0,10.0,13.0,21.0,5.0,22.0,6.0,5.0,17.0,(27.0),-,162.0,135.0
16,"ANNE-JULIE SCHUTT, IBEN NIELSBY CHRISTENSEN",317,,6.0,21.0,(31.0),2.0,11.0,7.0,7.0,17.0,25.0,6.0,27.0,8.0,-,168.0,137.0
16,"DAVID GILMOUR, JOEL TURNER",1053,,5.0,1.0,15.0,14.0,2.0,23.0,13.0,7.0,10.0,(29.0),22.0,3.0,-,144.0,115.0
16,MITCHELL KENNEDY,3519,AUS,8.0,10.0,22.0,3.0,4.0,5.0,(42.0),35.0,27.0,11.0,-,-,-,167.0,125.0
16,VASILEIA KARACHALIOU,4996,POR,2.0,1.0,25.0,30.0,6.0,17.5,10.0,(49.0),7.0,38.0,-,-,-,185.5,136.5
17,"VICTORIA JURCZOK, ANIKA LORENZ",5029,GER,12.0,19.0,19.0,(24.0),2.0,10.0,10.0,23.0,18.0,11.0,7.0,6.0,-,161.0,137.0
17,"ISAAC , MCHARDIE, WILLIAM , MCKENZIE",2003,,7.0,18.0,14.0,6.0,7.0,1.0,15.0,8.0,1.0,22.0,(27.0),20.0,-,146.0,119.0
17,KARL-MARTIN RAMMO,2485,EST,22.0,7.0,3.0,28.0,7.0,7.0,31.0,6.0,(35.0),18.0,-,-,-,164.0,129.0
17,CAROLINA ALBANO,760,ITA,26.0,7.0,40.0,16.0,16.0,10.0,(54.0),3.0,18.0,6.0,-,-,-,196.0,142.0
18,LORENZO BRANDO CHIAVARINI,2872,ITA,14.0,2.0,19.0,7.0,26.0,27.0,7.0,15.0,13.0,(56.0),-,-,-,186.0,130.0
18,"JOSH POREBSKI, TRENT RIPPEY",2345,,4.0,3.0,(25.0),3.0,4.0,19.0,18.0,9.0,6.0,20.0,16.0,17.0,-,144.0,119.0
18,"CHIKA HATAE, HIROKA ITAKURA",853,,3.0,15.0,16.0,11.0,8.0,(25.0),17.0,2.0,24.0,10.0,20.0,14.0,-,165.0,140.0
18,JOSEFIN OLSSON,2331,SWE,21.0,3.0,14.0,29.0,1.0,5.0,32.0,21.0,(48.0),16.0,-,-,-,190.0,142.0
19,"HELENE NAESS, MARIE RONNINGEN",1860,NOR,13.0,1.0,18.0,5.0,18.0,16.0,13.0,11.0,7.0,(26.0),21.0,18.0,-,167.0,141.0
19,JOAO PEDRO HERRLEIN SOUTO DE OLIVEI,2244,,9.0,21.0,8.0,21.0,9.0,7.0,(50.0),12.0,38.0,6.0,-,-,-,181.0,131.0
19,MATHILDE DE KERANGAT,3293,FRA,12.0,19.0,7.0,19.0,10.0,21.0,(37.0),19.0,36.0,1.0,-,-,-,181.0,144.0
19,"JONAS WARRER, JAKOB PRECHT JENSEN",2296,,10.0,7.0,21.0,(23.0),3.0,6.0,10.0,10.0,3.0,21.0,18.0,14.0,-,146.0,123.0
20,"ALEKSANDRA MELZACKA, KINGA LOBODA",96,,6.0,10.0,22.0,22.0,7.0,1.0,22.0,4.0,27.0,13.0,9.0,(28.0),-,171.0,143.0
20,AGATA BARWINSKA,29,POL,20.0,12.0,3.0,21.0,14.0,20.0,22.0,(30.0),15.0,23.0,-,-,-,180.0,150.0
20,TONCI STIPANOVIC,4903,CRO,2.0,6.0,35.0,24.0,9.0,4.0,24.0,11.0,19.0,(36.0),-,-,-,170.0,134.0
20,"KEVIN FISCHER, YANN JAUVIN",2550,FRA,23.0,5.0,10.0,1.0,5.0,9.0,11.0,22.0,7.0,(26.0),19.0,16.0,-,154.0,128.0
21,"DIEGO BOTIN LE CHEVER, IAGO LOPEZ MARRA",1122,,(30.0),9.0,1.0,4.0,19.0,5.0,30.0,2.0,18.0,10.0,1.0,30.0,-,159.0,129.0
21,"AMELIA STABBACK, ELLA CLARK",184,,5.0,5.0,13.0,12.0,17.0,9.0,19.0,(28.0),21.0,19.0,12.0,11.0,-,171.0,143.0
21,STEFANO PESCHIERA,4591,PER,3.0,14.0,30.0,2.0,15.0,10.0,15.0,(43.0),4.0,43.0,-,-,-,179.0,136.0
21,HANNAH SNELLGROVE,1794,GBR,8.0,10.0,14.0,1.0,13.0,4.0,51.0,(58.0),28.0,24.0,-,-,-,211.0,153.0
22,"LUKASZ PRZYBYTEK, PAWEL KOLODZINSKI",2957,,14.0,4.0,2.0,20.0,4.0,2.0,(30.0),11.0,23.0,9.0,23.0,22.0,-,164.0,134.0
22,JEEMIN HA,2160,KOR,20.0,5.0,7.0,27.0,20.0,3.0,17.0,27.0,11.0,(46.0),-,-,-,183.0,137.0
22,"TAMARA ECHEGOYEN DOMINGUEZ, PAULA BARCELO MARTIN",4676,,15.0,23.0,2.0,4.0,10.0,(31.0),16.0,24.0,16.0,12.0,19.0,9.0,-,181.0,150.0
22,MANAMI DOI,3044,JPN,7.0,8.0,17.0,31.0,17.0,19.0,(61.0),27.0,19.0,9.0,-,-,-,215.0,154.0
23,LINE FLEM HOST,2827,NOR,3.0,2.0,5.0,27.0,1.0,9.0,29.0,(56.0),27.0,52.0,-,-,-,211.0,155.0
23,"DOMINIK BUKSAK, SZYMON WIERZBICKI",1157,POL,18.0,3.0,14.0,5.0,3.0,23.0,(30.0),14.0,19.0,17.0,6.0,19.0,-,171.0,141.0
23,"VILMA BOBECK, MALIN TENGSTROM",5049,,2.0,4.0,24.0,6.0,22.0,7.0,11.0,21.0,28.0,(29.0),15.0,10.0,-,179.0,150.0
23,JOAQUIN BLANCO,2248,ESP,20.0,4.0,13.0,6.0,13.0,14.0,30.0,25.0,(49.0),12.0,-,-,-,186.0,137.0
24,GEORGINA POVALL,1643,GBR,11.0,22.0,17.0,9.0,27.0,6.0,21.0,(38.0),33.0,15.0,-,-,-,199.0,161.0
24,"HANNES WESTBERG, ALBIN BOMAN",1801,SWE,17.0,6.0,8.0,7.0,6.0,15.0,19.0,15.0,21.0,12.0,17.0,(24.0),-,167.0,143.0
24,"ANGELIKA KOHLENDORFER, LISA FARTHOFER",279,,10.0,8.0,17.0,11.0,5.0,(31.0),28.0,9.0,10.0,15.0,10.0,30.0,-,184.0,153.0
24,JULIO ALSOGARAY,2417,ARG,14.0,19.0,5.0,19.0,1.0,10.0,19.0,30.0,21.0,(40.0),-,-,-,178.0,138.0
25,"STEPHANIE ROBLE, MARGARET SHEA",4605,,20.0,2.0,(23.0),5.0,13.0,19.0,14.0,7.0,20.0,14.0,23.0,21.0,-,181.0,158.0
25,DONGSHUANG ZHANG,1170,CHN,6.0,16.0,13.0,11.0,29.5,17.0,20.0,31.0,(35.0),22.0,-,-,-,200.5,165.5
25,SERGEY KOMISSAROV,4437,RUS,10.0,6.0,21.0,6.0,2.0,1.0,33.0,33.0,30.0,(35.0),-,-,-,177.0,142.0
25,"CARLOS ROBLES LORENTE, MARCO SOFFIATTI GRAEL",748,,16.0,3.0,3.0,19.0,7.0,8.0,17.0,24.0,(30.0),18.0,25.0,15.0,-,185.0,155.0
26,"LEO TAKAHASHI, IBUKI KOIZUMI",2752,,2.0,7.0,18.0,16.0,11.0,12.0,7.0,21.0,12.0,24.0,26.0,(30.0),-,186.0,156.0
26,SVENJA WEGER,4650,GER,9.0,11.0,10.0,(35.0),29.0,15.0,30.0,26.0,23.0,13.0,-,-,-,201.0,166.0
