Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,18Q,19Q,MRQ,Total,Nett
15,MAJA DZIARNOWSKA,3018,POL,9.0,20.0,13.0,5.0,9.0,8.0,(46.0),19.0,18.0,26.0,20.0,17.0,1.0,13.0,11.0,11.0,9.0,8.0,20.0,-,283,171
16,MARTA MAGGETTI,3215,ITA,5.0,16.0,6.0,8.0,18.0,9.0,8.0,4.0,14.0,14.0,7.0,9.0,9.0,23.0,25.0,7.0,29.0,24.0,28.0,-,263,172
16,ETHAN WESTERA WESTERA,1364,,8.0,8.0,8.0,13.0,4.0,4.0,4.0,4.0,18.0,10.0,51.0,14.0,(39.0),15.0,11.0,21.7,12.0,25.0,-,-,"269,7","158,7"
17,HELLE OPPEDAL,1862,,2.0,11.0,4.0,16.0,5.0,5.0,4.0,2.0,5.0,20.0,30.0,20.0,27.0,11.0,15.0,5.0,38.0,30.0,22.0,-,272,177
17,TOMER VARDIMON,4897,ISR,4.0,5.0,7.0,6.0,20.0,11.0,22.0,20.0,22.0,12.0,36.0,21.0,9.0,9.0,7.0,29.0,45.0,11.0,-,-,296,173
18,MATEUS ISAAC,3273,BRA,7.0,8.0,12.0,5.0,6.0,12.0,12.0,(58.0),8.0,23.0,38.0,13.0,23.0,17.0,9.0,19.0,(58.0),12.0,-,-,340,174
18,MAYA MORRIS,3391,ISR,12.0,6.0,14.0,9.0,10.0,35.0,5.0,7.0,19.0,24.0,11.0,23.0,11.0,21.0,13.0,21.0,19.0,9.0,26.0,-,295,196
19,TITOUAN LE BOSQ,4836,,5.0,4.0,11.0,2.0,6.0,6.0,3.0,6.0,20.0,4.0,20.0,8.0,33.0,31.0,27.0,31.0,32.0,27.0,-,-,276,194
19,NICOLE VAN DER VELDEN,3686,,8.0,4.0,12.0,7.0,1.0,3.0,26.0,7.0,20.0,15.0,16.0,42.0,21.0,41.0,21.0,25.0,24.0,7.0,39.0,-,339,218
20,LE COQ PIERRE,2719,,20.0,16.6,13.0,16.6,12.0,16.0,15.0,19.0,33.0,20.0,5.0,9.0,23.0,11.0,(39.0),17.0,6.0,14.6,-,-,"305,8","194,8"
20,SASKIA SILLS,4364,,16.0,7.0,28.0,24.0,13.0,14.0,15.0,15.0,16.0,16.0,22.0,10.0,43.0,19.0,29.0,11.0,27.0,26.0,6.0,-,357,233
21,ELIA COLOMBO,1244,SUI,10.0,13.0,10.0,11.0,13.0,8.0,6.0,15.0,(58.0),28.0,(58.0),22.0,9.0,7.0,23.0,33.0,2.0,16.0,-,-,342,198
21,MARIA BELEN BAZO GERMAN,3112,,(46.0),17.0,8.0,(46.0),4.0,10.0,12.0,15.0,13.0,(46.0),17.0,22.0,31.0,15.0,31.0,19.0,42.0,15.0,5.0,-,414,234
22,NACHO BALTASAR SUMMERS,3588,ESP,13.0,32.0,22.0,14.0,8.0,15.0,16.0,10.0,19.0,19.0,23.0,23.0,15.0,13.0,17.0,13.0,20.0,13.0,-,-,305,205
22,THERESA MARIE STEINLEIN,4748,GER,13.0,25.0,23.0,15.0,8.0,16.0,20.0,12.0,28.0,29.0,13.0,7.0,15.0,33.0,11.0,15.0,18.0,29.0,17.0,-,347,237
23,DANIELA PELEG,1036,ISR,(46.0),23.0,26.0,28.0,20.0,13.0,9.0,9.0,24.0,30.0,12.0,35.0,3.0,(47.0),3.0,17.7,5.0,35.0,24.0,-,"409,7","253,7"
23,DANIELE BENEDETTI,1038,,3.0,3.4,3.0,4.0,7.0,5.0,8.0,17.0,24.0,36.0,18.0,35.0,31.0,23.0,(39.0),25.0,16.0,10.0,-,-,"307,4","207,4"
24,LENA ERDIL,2738,,10.0,14.0,10.0,7.0,21.0,27.0,7.0,9.0,30.0,12.0,(46.0),43.0,33.0,15.0,37.0,15.0,14.0,20.0,21.0,-,391,254
24,ANDY BROWN,273,,20.0,18.0,14.0,7.0,16.0,29.0,17.0,8.0,15.0,15.0,31.0,47.0,17.0,35.0,5.0,3.0,42.0,7.0,-,-,346,208
25,VEERLE TEN HAVE,5003,NZL,8.0,2.0,7.0,4.0,11.0,6.0,7.0,17.0,26.0,17.0,32.0,18.0,37.0,37.0,27.0,(47.0),25.0,10.0,29.0,-,367,255
25,PAWEL TARNOWSKI,3934,POL,11.0,10.0,3.0,23.0,21.0,9.0,(58.0),11.0,16.0,(58.0),14.0,15.0,7.0,21.0,(39.0),9.0,38.0,23.0,-,-,386,208
26,YOAV OMER,5226,ISR,19.0,6.0,9.0,8.0,10.0,13.0,21.0,14.0,27.0,37.0,29.0,36.0,9.0,11.0,7.0,27.0,25.0,14.0,-,-,322,209
26,XIALING TAN,5182,CHN,4.0,4.0,25.0,10.0,14.0,8.0,(46.0),8.0,(46.0),18.0,18.0,25.0,23.0,21.0,15.0,35.0,39.0,25.0,35.0,-,419,263
27,MICHAL POLAK,3458,POL,24.0,14.0,19.0,15.0,3.0,4.0,15.0,(58.0),14.0,21.0,32.0,(58.0),(39.0),21.0,21.0,3.0,21.0,19.0,-,-,401,222
27,COUTURIER MARION,968,,9.0,12.0,16.0,9.0,6.0,(46.0),(46.0),3.0,32.0,13.0,26.0,45.0,15.0,27.0,(47.0),25.0,26.0,18.0,27.0,-,448,264
28,YOAV COHEN,5225,ISR,18.0,3.0,9.0,6.0,10.0,7.0,13.0,5.0,31.0,22.0,29.0,(33.0),19.0,25.0,21.0,17.0,23.0,40.0,-,-,331,227
28,SHAHAR RESHEF,4443,,16.0,5.0,11.0,(46.0),17.0,7.0,6.0,18.0,17.0,19.0,23.0,12.0,39.0,11.0,45.0,27.0,36.0,37.0,43.0,-,435,283
29,XIANTING HUANG,5184,CHN,28.0,18.0,31.0,12.0,17.0,22.0,11.0,19.0,22.0,28.0,24.0,40.0,13.0,39.0,23.0,21.0,13.0,40.0,18.0,-,439,300
29,LUCA DI TOMASSI,2897,ITA,27.0,24.0,12.0,18.0,8.0,28.0,7.0,22.0,(58.0),14.0,28.0,19.0,21.0,5.0,15.0,13.0,36.0,21.0,-,-,376,227
30, AGUILAR CHAVEZ PEON,1,,22.0,14.0,19.0,10.0,10.0,11.0,(46.0),14.0,43.0,27.0,29.0,32.0,19.0,31.0,19.0,(47.0),31.0,23.0,13.0,-,460,302
30,MATTHEW BARTON,3327,GBR,24.0,13.0,15.0,8.0,24.0,18.0,9.0,23.0,21.0,27.0,48.0,31.0,39.0,7.0,11.0,5.0,3.0,42.0,-,-,368,230
31,ALICE READ,153,GBR,13.0,11.0,17.0,13.7,23.0,21.0,8.0,21.0,21.0,22.0,28.0,30.0,19.0,29.0,19.0,41.0,23.0,28.0,37.0,-,"424,7","302,7"
31,FINN HAWKINS,1472,GBR,9.0,8.0,17.0,14.0,34.0,14.0,9.0,14.0,30.0,31.0,50.0,30.0,3.0,29.0,15.0,37.0,22.0,18.0,-,-,384,246
32,MANJIA ZHENG,3050,CHN,17.0,36.0,22.0,21.0,15.0,23.0,18.0,16.0,23.0,35.0,25.0,26.0,35.0,31.0,39.0,(47.0),10.0,21.0,7.0,-,467,322
32,MAX CASTELEIN,3355,NED,17.0,12.0,41.0,10.0,18.0,20.0,18.0,12.0,25.0,24.0,15.0,29.0,29.0,13.0,27.0,19.0,9.0,32.0,-,-,370,248
33,MAJA KUCHTA,3019,,10.0,9.0,8.0,8.0,9.0,25.0,(46.0),11.0,35.0,38.0,21.0,27.0,39.0,35.0,5.0,43.0,35.0,39.0,42.0,-,485,329
33,RYTIS JASIUNAS,4267,LTU,12.0,28.0,20.0,1.0,23.0,19.0,25.0,16.0,42.0,25.0,19.0,33.0,1.0,27.0,(39.0),11.0,34.0,24.0,-,-,399,265
