Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,Total,Nett
12,"FREDERIK RASK, NIKOLAJ HOFFMANN BUHL",1561,DEN,3.0,21.0,11.0,4.0,(27.0),15.0,10.0,14.0,13.0,13.0,23.0,20.0,-,174.0,147.0
13,"SEBASTIEN SCHNEITER, LUCIEN CUJEAN",4420,SUI,18.0,11.0,12.0,10.0,23.0,8.0,16.0,12.0,9.0,(29.0),8.0,22.0,-,178.0,149.0
13,"CARLA MUNTE CARRASCO, MARTA MUNTE CARRASCO",736,,13.0,13.0,16.0,13.0,(17.0),7.0,10.0,5.0,9.0,8.0,12.0,16.0,-,139.0,122.0
13,VASILEIA KARACHALIOU,4996,POR,36.0,4.0,12.0,23.0,15.0,10.0,(56.0),26.0,8.0,4.0,-,-,-,194.0,138.0
14,MAUD JAYET,3347,SUI,13.0,15.0,14.0,28.0,17.0,19.0,(56.0),15.0,19.0,2.0,-,-,-,198.0,142.0
14,"TIM FISCHER, FABIAN GRAF",4809,GER,5.0,8.0,9.0,18.0,16.0,19.0,(29.0),13.0,21.0,7.0,19.0,18.0,-,182.0,153.0
14,"JULIE BOSSARD, AUDE COMPAN",2406,,8.0,15.0,13.0,15.0,3.0,8.0,18.0,2.0,18.0,10.0,(21.0),14.0,-,145.0,124.0
15,"ERWAN FISCHER, THIBAULT JULIEN",1352,FRA,9.0,23.0,13.0,11.0,22.0,20.0,(29.0),16.0,7.0,5.0,10.0,17.0,-,182.0,153.0
15,"MARIA OTTAVIA RAGGIO, PAOLA BERGAMASCHI",3129,ITA,17.0,3.0,15.0,(18.0),16.0,11.0,6.0,14.0,16.0,12.0,8.0,11.0,-,147.0,129.0
15,SVENJA WEGER,4650,GER,29.0,19.0,7.0,17.0,(40.0),17.0,11.0,22.0,9.0,15.0,-,-,-,186.0,146.0
16,"TANJA FRANK, LORENA ABICHT",4689,,11.0,5.0,9.0,17.0,(21.0),12.0,5.0,17.0,13.0,18.0,15.0,17.0,-,160.0,139.0
16,"ISAAC , MCHARDIE, WILLIAM , MCKENZIE",2003,,22.0,22.0,(25.0),12.0,12.0,5.0,11.0,25.0,16.0,24.0,3.0,2.0,-,179.0,154.0
16,LUCIA FALASCA,2914,ARG,23.0,21.0,11.0,(30.0),21.0,29.0,4.0,16.0,13.0,9.0,-,-,-,177.0,147.0
17,"FRANCESCA BERGAMO, JANA GERMANI",1518,,18.0,12.0,17.0,16.0,14.0,(20.0),19.0,12.0,17.0,6.0,6.0,12.0,-,169.0,149.0
17,"JACK HAWKINS, CHRISTOPHER THOMAS",2046,GBR,24.0,(25.0),24.0,15.0,13.0,4.0,5.0,11.0,11.0,8.0,16.0,23.0,-,179.0,154.0
17,LINE FLEM HOST,2827,NOR,8.0,28.0,(39.0),11.0,31.0,16.0,5.0,14.0,14.0,32.0,-,-,-,198.0,159.0
