Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,Total,Nett
65,WINTHER ANA EMILIE,5157,,62.0,63.0,66.0,27.0,66.0,(67.0),59.0,56.0,62.0,-,528.0,461.0
66,DAVIS LUCY,1064,,61.0,62.0,67.0,64.0,(69.0),65.0,36.0,66.0,59.0,-,549.0,480.0
66,TOMAS-VERDERA FRONTERA JUAN,4886,,45.0,22.0,24.0,32.0,30.0,33.0,(59.0),27.0,58.0,57.0,387.0,328.0
67,O'CONNOR MARC,3773,,51.0,27.0,49.0,23.0,6.0,20.0,40.0,44.0,(72.0),72.0,404.0,332.0
67,UTHEIM UNA BRYHNI,4945,,60.0,65.0,59.0,66.0,68.0,56.0,56.0,61.0,(74.0),-,565.0,491.0
68,MUMCU SINAN,3570,,52.0,47.0,22.0,47.0,11.0,31.0,55.0,(59.0),20.0,49.0,393.0,334.0
68,JUELL-BERGAN NANNA SOFIE,2372,,(74.0),74.0,74.0,65.0,49.0,53.0,63.0,40.0,74.0,-,566.0,492.0
69,BORCHARDT MAGNUS B,619,,43.0,39.0,18.0,35.0,34.0,13.0,(77.0),60.0,36.0,64.0,419.0,342.0
69,FRANSSEN LUCIE,1545,,(74.0),74.0,74.0,58.0,70.0,74.0,62.0,63.0,60.0,-,609.0,535.0
70,GRANATH SIMON,1717,,33.0,31.0,23.0,8.0,37.0,(76.0),36.0,56.0,46.0,73.0,419.0,343.0
70,NISSEN FREDERIKKE TAUL,3736,,(74.0),61.0,74.0,60.0,65.0,63.0,68.0,74.0,74.0,-,613.0,539.0
71,HATLOY MARINA,1828,,65.0,69.0,(74.0),67.0,71.0,69.0,74.0,74.0,65.0,-,628.0,554.0
71,ALLEN-WILCOX OLIVER,166,,18.0,22.0,20.0,(76.0),47.0,28.0,54.0,54.0,39.0,62.0,420.0,344.0
72,KARATZIS ERRIKOS,2475,,36.0,38.0,21.0,42.0,15.0,32.0,69.0,(74.0),67.0,48.0,442.0,368.0
72,BOUCKAERT LAURA,634,,(74.0),74.0,74.0,74.0,74.0,74.0,70.0,67.0,66.0,-,647.0,573.0
73,ENGDAHL SISSEL,1308,,(74.0),74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,-,666.0,592.0
73,KOWALSKI CASPAR,2621,,47.0,23.0,51.0,8.0,27.0,30.0,57.0,58.0,(71.0),70.0,442.0,371.0
74,CONDE PEDRO,939,,34.0,35.0,57.0,43.0,17.0,17.0,44.0,62.0,65.0,(75.0),449.0,374.0
75,DIVELLA ALBERTO,1146,,25.0,42.0,48.0,32.0,76.0,10.0,68.0,36.0,(77.0),56.0,470.0,393.0
76,O SHAUGHNESSY JONATHAN,3772,,44.0,44.0,12.0,56.0,32.0,27.0,61.0,57.0,(68.0),65.0,466.0,398.0
77,WALLBOTT QUENTIN,5082,,41.0,37.0,43.0,37.0,(49.0),21.0,4.0,2.0,10.0,-,244.0,195.0
78,FAJMAN LUCA,1403,,35.0,36.0,24.0,35.0,(54.0),50.0,12.0,7.0,18.0,-,271.0,217.0
79,ZWAENEPOEL BRECHT,5297,,46.0,48.0,37.0,(55.0),25.0,23.0,7.0,1.0,38.0,-,280.0,225.0
80,KIISKI JOEL,2559,,37.0,32.0,17.0,(54.0),37.0,43.0,6.0,36.0,21.0,-,283.0,229.0
81,DE PAULI GIOVANNI,1071,,54.0,28.0,52.0,28.0,46.0,19.0,3.0,(77.0),4.0,-,311.0,234.0
82,LJUNGDAHL MELKER,2851,,24.0,9.0,50.0,50.0,(59.0),34.0,15.0,39.0,25.0,-,305.0,246.0
83,AGANOVIC BENJAMIN,28,,32.0,56.0,27.0,61.0,45.0,(76.0),1.0,12.0,17.0,-,327.0,251.0
84,FRACASSI ALESSANDRO,1516,,58.0,42.0,19.0,(70.0),21.0,38.0,44.0,29.0,6.0,-,327.0,257.0
85,REGER MAXIMILIAN,4119,,47.0,28.0,46.0,39.0,(50.0),28.0,38.0,5.0,32.0,-,313.0,263.0
86,MOLE HENRY,3533,,35.0,36.0,36.0,(51.0),31.0,44.0,9.0,43.0,31.0,-,316.0,265.0
87,STJERNSTROM JONAS,4623,,56.0,37.0,53.0,44.0,(61.0),7.0,50.0,16.0,7.0,-,331.0,270.0
88,BULTYNCK ANDERS,691,,45.0,49.0,45.0,33.0,(55.0),38.0,31.0,3.0,27.0,-,326.0,271.0
89,HIRSCH BORIS,1906,,40.0,46.0,39.0,19.0,48.0,25.0,10.0,47.0,(50.0),-,324.0,274.0
90,MARINI MARCO,3163,,44.0,43.0,35.0,(54.0),46.0,37.0,5.0,42.0,24.0,-,330.0,276.0
91,VAN ROOMEN TIMO,4989,,42.0,50.0,(57.0),40.0,42.0,23.0,22.0,54.0,5.0,-,335.0,278.0
92,JORGENSEN THOMAS,2322,,55.0,18.0,50.0,48.0,30.0,76.0,2.0,(77.0),1.0,-,357.0,280.0
93,GRONLUND OLAV,1730,,42.0,56.0,41.0,34.0,(64.0),63.0,23.0,6.0,15.0,-,344.0,280.0
94,HACKBUSCH EUGEN,1767,,38.0,45.0,23.0,(52.0),50.0,36.0,19.0,31.0,40.0,-,334.0,282.0
95,VON LEVERN LUKAS,5072,,48.0,51.0,40.0,14.0,(58.0),47.0,17.0,44.0,22.0,-,341.0,283.0
96,VIGNOLA FILIPPO,5041,,59.0,(70.0),39.0,47.0,55.0,44.0,27.0,13.0,2.0,-,356.0,286.0
97,TULETT FINLAY,4920,,25.0,46.0,(55.0),38.0,35.0,41.0,49.0,33.0,19.0,-,341.0,286.0
98,HUPE LOUIS,1946,,(49.0),41.0,49.0,26.0,40.0,36.0,35.0,49.0,20.0,-,345.0,296.0
99,ARTIUKH NAZAR,391,,39.0,(65.0),47.0,53.0,62.0,57.0,24.0,4.0,11.0,-,362.0,297.0
100,MORGAN JOSH,3551,,37.0,53.0,(63.0),26.0,42.0,42.0,46.0,53.0,8.0,-,370.0,307.0
101,GONCIARZ MICHAL,1703,,(61.0),41.0,53.0,51.0,53.0,34.0,11.0,30.0,34.0,-,368.0,307.0
102,WYPER CALLUM,5176,,58.0,62.0,42.0,36.0,(64.0),48.0,32.0,21.0,9.0,-,372.0,308.0
