Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,Total,Nett
24,CASTRO NUNEZ ADRIANA,780,,28.0,29.0,23.0,22.0,33.0,19.0,14.0,(39.0),11.0,-,218.0,179.0
25,KATELIEV VIKTOR,2501,,13.0,13.0,33.0,12.0,39.0,25.0,22.0,19.0,13.0,(58.0),247.0,189.0
25,WILSON BROOKE,5152,,16.0,33.0,28.0,17.0,27.0,22.0,42.0,(49.0),25.0,-,259.0,210.0
26,VERHULST MARTIN,5006,,14.0,17.0,22.0,25.0,26.0,12.0,38.0,14.0,(42.0),22.0,232.0,190.0
26,ATTWELL CARYS,411,,29.0,23.0,10.0,8.0,26.0,30.0,47.0,(48.0),43.0,-,264.0,216.0
27,ALCALAY YOGEV,81,,18.0,31.0,26.0,1.0,29.0,7.0,28.0,(66.0),1.0,61.0,268.0,202.0
27,ELSTNER AMELIE,1271,,14.0,17.0,20.0,(74.0),29.0,44.0,52.0,23.0,22.0,-,295.0,221.0
28,LAMANTE DOMENICO,2667,,16.0,27.0,20.0,7.0,9.0,76.0,(77.0),33.0,8.0,9.0,282.0,205.0
28,SITGES NICOLAU MIRIAM,4513,,24.0,24.0,13.0,32.0,30.0,32.0,(64.0),30.0,40.0,-,289.0,225.0
29,HUERCANOS MACHIMBARRENA JAGO,1930,,4.0,8.0,25.0,15.0,16.0,24.0,(77.0),29.0,47.0,38.0,283.0,206.0
29,PILNIK MAYA,4031,,36.0,46.0,(50.0),10.0,39.0,39.0,15.0,11.0,30.0,-,276.0,226.0
30,FLACHON THOMAS,1486,,15.0,19.0,7.0,39.0,21.0,8.0,27.0,28.0,(60.0),43.0,267.0,207.0
30,BRINKERT SIGNE,659,,38.0,39.0,24.0,6.0,41.0,21.0,29.0,33.0,(46.0),-,277.0,231.0
31,TOWNSEND DRU,4910,,48.0,27.0,38.0,28.0,(60.0),36.0,12.0,16.0,41.0,-,306.0,246.0
31,HALLQUIST AXEL,1775,,4.0,24.0,28.0,6.0,52.0,29.0,10.0,26.0,(62.0),35.0,276.0,214.0
32,VIDELO CHARLOTTE,5038,,(74.0),42.0,34.0,54.0,54.0,27.0,13.0,3.0,28.0,-,329.0,255.0
32,SARAIVA MENDES JOSE,4358,,21.0,29.0,34.0,31.0,12.0,19.0,46.0,6.0,23.0,(52.0),273.0,221.0
33,", ERDAGLI MERIC",3,,36.0,23.0,21.0,14.0,13.0,20.0,(58.0),50.0,17.0,27.0,279.0,221.0
33,SAHLIN SVEA,4276,,20.0,20.0,30.0,37.0,40.0,(41.0),39.0,36.0,34.0,-,297.0,256.0
34,MILLERET PERINE,3493,,17.0,47.0,54.0,(56.0),43.0,6.0,40.0,29.0,23.0,-,315.0,259.0
34,PRZYBYL LUCA,4070,,8.0,24.0,28.0,31.0,19.0,(55.0),30.0,20.0,16.0,46.0,277.0,222.0
35,BOEKHOLT DAAN,608,,16.0,15.0,38.0,9.0,52.0,9.0,25.0,23.0,35.0,(59.0),281.0,222.0
35,SODERBERG MIKAELA,4520,,19.0,(57.0),33.0,26.0,32.0,29.0,30.0,45.0,51.0,-,322.0,265.0
36,OHRNELL JENNIFER,3792,,26.0,49.0,(61.0),36.0,42.0,34.0,8.0,25.0,47.0,-,328.0,267.0
36,DEN TEX CORNELIS,1088,,19.0,26.0,15.0,6.0,27.0,5.0,(67.0),35.0,50.0,53.0,303.0,236.0
37,SCHOTTE ISAAC,4386,,28.0,6.0,4.0,17.0,18.0,22.0,(77.0),77.0,31.0,36.0,316.0,239.0
37,SERRANO CASTRO MARINA,4438,,33.0,25.0,11.0,39.0,21.0,61.0,61.0,(74.0),20.0,-,345.0,271.0
38,LANGAAS-HOLT SVERRE,2675,,20.0,13.0,13.0,23.0,36.0,21.0,21.0,47.0,(77.0),47.0,318.0,241.0
38,FRIIS JENSEN ANNELIE,1571,,44.0,22.0,35.0,51.0,23.0,46.0,35.0,18.0,(74.0),-,348.0,274.0
39,SPANOS PANAGIOTIS,4564,,31.0,(40.0),33.0,18.0,24.0,27.0,34.0,7.0,30.0,39.0,283.0,243.0
39,PERES LUISA,3959,,46.0,26.0,45.0,38.0,(56.0),35.0,37.0,17.0,36.0,-,336.0,280.0
40,HABERLAND HENRIETTE,1766,,47.0,28.0,31.0,43.0,38.0,43.0,20.0,(54.0),31.0,-,335.0,281.0
40,SEGUI JAVIER,4430,,5.0,2.0,29.0,(76.0),2.0,76.0,20.0,71.0,9.0,29.0,319.0,243.0
41,ANSTEY LUKE,331,,17.0,6.0,38.0,20.0,5.0,(76.0),53.0,46.0,14.0,44.0,319.0,243.0
41,LILIENTHAL MIA MARIN,2802,,(74.0),54.0,40.0,19.0,31.0,40.0,27.0,50.0,24.0,-,359.0,285.0
