Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,1Q,2Q,3Q,4Q,5Q,6Q,7Q,Total,Nett
21,MARTINEZ MARIA,3247,,21.0,37.0,39.0,(42.0),37.0,(42.0),12.0,30.0,(34.0),23.0,-,-,-,317.0,233.0
22,PAULON MATTEO,3927,,18.0,(46.0),7.0,40.0,-,-,22.0,22.0,(52.0),20.0,35.0,41.0,5.0,308.0,210.0
22,VALENCIC ALENKA,4960,,14.0,30.0,(55.0),(50.0),49.0,50.0,2.0,14.0,31.0,44.0,-,-,-,339.0,234.0
23,VYNOHRADOVA YELYZAVETA,5075,,(57.0),45.0,40.0,33.0,40.0,(51.0),5.0,28.0,40.0,8.0,-,-,-,347.0,239.0
23,BERTACCHI MATTEO,548,,5.0,(42.0),32.0,23.0,-,-,(41.0),37.0,1.0,41.0,29.0,25.0,22.0,298.0,215.0
24,RADULIC MAILYS,4085,,23.0,(52.0),(52.0),47.0,43.0,52.0,6.0,2.0,38.0,29.0,-,-,-,344.0,240.0
24,SARAIVA MENDES JOSE,4358,,11.0,22.0,(41.0),26.0,-,-,40.0,39.0,10.0,2.0,23.0,(47.0),44.0,305.0,217.0
25,ANDUGAR GISBERT ANGELA,270,,29.0,36.0,(49.0),44.0,37.0,(45.0),13.0,38.0,41.0,6.0,-,-,-,338.0,244.0
25,SASSI ANATOL,4366,,4.0,29.0,36.0,(46.0),-,-,36.0,34.0,5.0,(47.0),32.0,17.0,24.0,310.0,217.0
26,NAUMENKO SOFIIA,3622,,47.0,(49.0),40.0,29.0,10.0,32.0,18.0,(54.0),27.0,41.0,-,-,-,347.0,244.0
26,DAHLBERG OTTO,1003,,33.0,32.0,34.0,(44.0),-,-,33.0,21.0,13.0,17.0,18.0,(43.0),20.0,308.0,221.0
27,PUNJAMALA CHUSITT,4076,,32.0,15.0,17.0,(34.0),-,-,(63.0),63.0,19.0,31.0,5.0,36.0,13.0,328.0,231.0
27,MASTELIC PETRA,3263,,(47.0),44.0,36.0,21.0,28.0,18.0,(57.0),43.0,26.0,28.0,-,-,-,348.0,244.0
28,MAYER LORENZO,3393,,(43.0),19.0,24.0,34.0,-,-,45.0,41.0,4.0,15.0,(60.0),39.0,19.0,343.0,240.0
28,CIBULE ELZA,899,,31.0,(45.0),37.0,36.0,(57.0),45.0,40.0,8.0,22.0,26.0,-,-,-,347.0,245.0
29,SITGES NICOLAU MIRIAM,4513,,23.0,39.0,(41.0),38.0,30.0,(41.0),19.0,31.0,36.0,36.0,-,-,-,334.0,252.0
29,PLOMER QUIROGA MARIO,4045,,(43.0),29.0,16.0,23.0,-,-,(63.0),44.0,63.0,18.0,21.0,11.0,15.0,346.0,240.0
30,CICCHINE' MARIA GIULIA,900,,42.0,40.0,36.0,(49.0),39.0,43.0,32.0,(48.0),13.0,14.0,-,-,-,356.0,259.0
30,MATEUS LOURENCO,3274,,(28.0),18.0,23.0,19.0,-,-,20.0,(63.0),63.0,4.0,63.0,9.0,23.0,333.0,242.0
31,FARREN-PRICE JACOB,1414,,16.0,23.0,(45.0),31.0,-,-,25.0,24.0,(63.0),35.0,44.0,33.0,12.0,351.0,243.0
31,KOURAVELOU ARGYRO,2619,,29.0,35.0,38.0,34.0,(48.0),(46.0),20.0,39.0,44.0,24.0,-,-,-,357.0,263.0
32,LINDQVIST LUDVIG,2823,,(34.0),26.0,20.0,21.0,-,-,4.0,(53.0),45.0,28.0,37.0,14.0,49.0,331.0,244.0
32,PERES LUISA,3959,,(49.0),41.0,32.0,34.0,36.0,(46.0),30.0,44.0,19.0,30.0,-,-,-,361.0,266.0
33,BENEYTO SAMUEL,502,,(49.0),23.0,39.0,41.0,-,-,18.0,28.0,30.0,(45.0),10.0,22.0,38.0,343.0,249.0
33,SAFIN ROMI,4274,,35.0,13.0,(44.0),43.0,34.0,40.0,(46.0),45.0,34.0,25.0,-,-,-,359.0,269.0
34,PERCIVAL-COOKE JAMES,3957,,44.0,4.0,(47.0),30.0,-,-,14.0,20.0,46.0,54.0,31.0,12.0,(63.0),365.0,255.0
34,HIMMELOVA KLARA,1900,,24.0,(44.0),42.0,42.0,35.0,42.0,27.0,(51.0),14.0,45.0,-,-,-,366.0,271.0
35,ZABUKOVEC LUKA,5253,,(53.0),40.0,39.0,11.0,-,-,26.0,43.0,8.0,26.0,36.0,(44.0),28.0,354.0,257.0
35,PAPENTHIN GESA,3877,,(48.0),(50.0),48.0,41.0,44.0,32.0,24.0,35.0,21.0,32.0,-,-,-,375.0,277.0
36,CRISI ANDREA,976,,38.0,16.0,(48.0),27.0,-,-,44.0,19.0,50.0,1.0,16.0,51.0,(53.0),363.0,262.0
36,ARIKAN OKYANUS,365,,46.0,(50.0),46.0,44.0,40.0,50.0,(52.0),36.0,9.0,9.0,-,-,-,382.0,280.0
37,SEGUI JAVIER,4430,,20.0,(39.0),38.0,16.0,-,-,29.0,(63.0),44.0,34.0,12.0,32.0,37.0,364.0,262.0
37,HABERLAND HENRIETTE,1766,,(51.0),32.0,45.0,(52.0),42.0,49.0,16.0,24.0,35.0,43.0,-,-,-,389.0,286.0
38,IUORIO ALINA,2027,,38.0,23.0,53.0,(57.0),(57.0),57.0,9.0,1.0,(57.0),53.0,-,-,-,405.0,291.0
38,FREDDI PAOLO,1550,,(46.0),27.0,13.0,30.0,-,-,(63.0),30.0,63.0,11.0,15.0,63.0,11.0,372.0,263.0
39,CARLES-TOLRA MIRIAM,738,,36.0,(56.0),46.0,39.0,38.0,(48.0),47.0,23.0,28.0,34.0,-,-,-,395.0,291.0
39,GOROSTEGUI VICTOR,1707,,24.0,(33.0),29.0,26.0,-,-,9.0,7.0,54.0,(57.0),52.0,16.0,47.0,354.0,264.0
