Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,1Q,2Q,3Q,4Q,5Q,6Q,Total,Nett
22,TOMASGAARD HERMANN,4888,,12.0,13.0,5.0,(15.0),-,-,24.0,16.0,(56.0),1.0,41.0,18.0,201.0,130.0
22,GUZEL ECEM,1763,,(30.0),9.0,24.0,17.0,15.0,20.0,33.0,3.0,11.0,6.0,(39.0),-,207.0,138.0
23,ANDRULYTE VIKTORIJA,268,,20.0,21.0,(34.0),33.0,12.0,22.0,2.0,5.0,(50.0),13.0,21.0,-,233.0,149.0
23,MARQUES EDUARDO,3207,,4.0,1.0,(7.0),6.0,-,-,(30.0),15.0,24.0,27.0,29.0,30.0,173.0,136.0
24,KUMANAN NETHRA,2645,,9.0,3.0,20.0,18.0,25.0,(33.0),4.0,25.0,14.0,33.0,(35.0),-,219.0,151.0
24,TAPPER KAARLE,4692,,11.0,10.0,(12.0),8.0,-,-,9.0,17.0,20.0,(50.0),22.0,40.0,199.0,137.0
25,IMENEO CASEY,1985,,15.0,(47.0),25.0,12.0,7.0,6.0,31.0,(32.0),25.0,7.0,25.0,-,232.0,153.0
25,ELLIOTT LUKE,1265,,17.0,6.0,6.0,(20.0),-,-,17.0,22.0,(58.0),11.0,28.0,31.0,216.0,138.0
26,MONCADA ANA,3544,,27.0,20.0,18.0,11.0,(57.0),7.0,34.0,8.0,(45.0),28.0,3.0,-,258.0,156.0
26,ZELKO ZAN LUKA,5265,,(30.0),12.0,11.0,22.0,-,-,(49.0),10.0,15.0,32.0,19.0,26.0,226.0,147.0
27,VADNAI BENJAMIN,4951,,3.0,7.0,(17.0),7.0,-,-,21.0,26.0,(52.0),42.0,27.0,19.0,221.0,152.0
27,BARRUE MARIE,457,,3.0,14.0,20.0,(23.0),13.0,10.0,(42.0),23.0,31.0,27.0,15.0,-,221.0,156.0
28,NAUJOCK NICO,3621,,(63.0),9.0,16.0,14.0,-,-,16.0,24.0,(63.0),17.0,44.0,22.0,288.0,162.0
28,MYERS LILLIAN,3582,,9.0,6.0,18.0,26.0,(57.0),15.0,20.0,(45.0),29.0,17.0,19.0,-,261.0,159.0
29,DONERTAS NAZLI CAGLA,1167,,26.0,2.0,(30.0),16.0,17.0,11.0,11.0,24.0,(57.0),39.0,14.0,-,247.0,160.0
29,TOMASGAARD UFFE,4889,,(54.0),25.0,11.0,8.0,-,-,34.0,38.0,(55.0),12.0,30.0,7.0,274.0,165.0
30,ALBANO CAROLINA,72,,(33.0),28.0,16.0,13.0,22.0,21.0,(39.0),17.0,13.0,21.0,20.0,-,243.0,171.0
30,SARAVANAN VISHNU,4360,,(34.0),7.0,15.0,17.0,-,-,35.0,29.0,19.0,39.0,(56.0),13.0,264.0,174.0
31,SAMPAIO SANTIAGO,4299,,(27.0),11.0,8.0,3.0,-,-,61.0,11.0,43.0,10.0,(63.0),28.0,265.0,175.0
31,ZENNARO SILVIA,5266,,16.0,(32.0),15.0,8.0,9.0,12.0,38.0,(47.0),32.0,22.0,24.0,-,255.0,176.0
32,LAUKKANEN NOOA,2694,,14.0,6.0,(63.0),10.0,-,-,33.0,28.0,27.0,(63.0),5.0,56.0,305.0,179.0
32,BUESSELBERG JULIA,684,,1.0,(22.0),14.0,8.0,15.0,15.0,22.0,26.0,34.0,(43.0),42.0,-,242.0,177.0
33,LO RYAN,2854,,14.0,2.0,7.0,(18.0),-,-,40.0,(41.0),34.0,22.0,26.0,36.0,240.0,181.0
