Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,Total,Nett
17,"VICTOR BERGTSROM ,  VICTOR VASTERNAS",5019,SWE,7.0,5.0,(29.0),9.0,8.0,9.0,3.0,19.0,22.0,18.0,22.0,21.0,15.0,-,187,158
17,"JULE GORGE, LOTTA GORGE",2376,GER,12.0,11.0,4.0,15.0,22.0,4.0,5.0,13.0,17.0,17.0,2.0,(26.0),13.0,0.0,161,135
18,"LEONIE MEYER, ELENA STOFFERS",2763,GER,14.0,6.0,6.0,12.0,(20.0),18.0,17.0,10.0,10.0,4.0,18.0,20.0,2.0,0.0,157,137
18,"STEFANO CHERIN ,  ANDREA TESEI",4587,ITA,18.0,3.0,5.0,(38.0),22.0,15.0,6.0,15.0,20.0,14.0,24.0,13.0,5.0,-,198,160
19,"PAVEL KALINCHEV ,  PAVEL KARACHOV",3929,RUS,8.0,15.0,5.0,(24.0),15.0,22.0,22.0,12.0,8.0,23.0,12.0,2.0,16.0,-,184,160
19,"LISA ERICSON, HANNA KLINGA",2839,SWE,10.0,6.0,9.0,13.0,18.0,17.0,14.0,18.0,16.0,7.0,(19.0),6.0,3.0,0.0,156,137
20,"YUKIO MAKINO ,  KENJI TAKAHASHI",5240,JPN,15.0,8.0,1.0,19.0,(21.0),11.0,18.0,18.0,17.0,21.0,20.0,12.0,1.0,-,182,161
20,"ANDREA BREWSTER, SASKIA TIDEY",231,IRL,11.0,17.0,5.0,3.0,16.0,15.0,(25.0),20.0,19.0,11.0,13.0,23.0,5.0,0.0,183,158
21,"VICTORIA TRAVASCIO, MARIA SOL BRANZ",5034,ARG,13.0,9.0,10.0,9.0,8.0,24.0,2.0,(25.0),13.0,20.0,23.0,13.0,16.0,0.0,185,160
21,"GIUSEPPE ANGILELLA ,  PIETRO ZUCCHETTI",1692,ITA,3.0,13.0,19.0,13.0,10.0,5.0,(24.0),17.0,5.0,17.0,17.0,22.0,22.0,-,187,163
22,"JACOPO PLAZZI ,  UMBERTO MOLINERIS",2064,ITA,12.0,12.0,(38.0),2.0,13.0,12.0,17.0,14.0,13.0,25.0,10.0,23.0,25.0,-,216,178
22,"ERIN RAFUSE, DANIELLE BOYD",1346,CAN,5.0,8.0,(25.0),7.0,13.0,3.0,20.0,22.0,24.0,18.0,4.0,16.0,24.0,0.0,189,164
23,"VICTORIA JURCZOK, ANIKA LORENZ",5029,GER,11.0,12.0,3.0,11.0,24.0,(25.0),6.0,23.0,21.0,19.0,17.0,19.0,10.0,0.0,201,176
23,"WILL PHILLIPS ,  JAMES WIERZBOWSKI",5132,AUS,16.0,23.0,9.0,6.0,11.0,19.0,(25.0),22.0,21.0,22.0,19.0,16.0,19.0,-,228,203
24,"CARLOS PAZ BLANCO ,  ANTON PAZ BLANCO",742,ESP,12.0,17.0,23.0,3.0,(26.0),23.0,21.0,24.0,14.0,20.0,23.0,17.0,18.0,-,241,215
24,"NOORA RUSKOLA, CAMILLA CEDERCREUTZ",3755,FIN,10.0,4.0,11.0,13.0,25.0,23.0,9.0,17.0,(26.0),25.0,16.0,14.0,19.0,0.0,212,186
25,"KEVIN FISCHER ,  YANN JAUVIN",2546,FRA,3.0,6.0,21.0,20.0,23.0,16.0,19.0,23.0,(26.0),24.0,25.0,25.0,17.0,-,248,222
