Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,Total,Nett
46,CHARLOTTE VIDELO,830,GBR,39.0,(56.0),54.0,37.0,41.0,25.0,-,-,306.0,250.0
47,LUISA PERES,2936,POR,46.0,40.0,46.0,49.0,44.0,27.0,-,-,299.0,250.0
47,PERINE MILLERET,3961,FRA,13.0,34.0,15.0,24.0,43.0,32.0,29.0,0.0,190.0,147.0
48,GEORGIA KATSOULI,1638,GRE,32.0,51.0,44.0,37.0,37.0,52.0,-,-,301.0,250.0
48,LIN PLETIKOS,2812,SLO,27.0,30.0,32.0,30.0,2.0,22.0,38.0,0.0,181.0,149.0
49,TALIA HAMLIN,4671,JPN,47.0,29.0,50.0,44.0,50.0,46.0,-,-,304.0,254.0
49,KATRINA MICALLEF,2510,MLT,30.0,4.0,4.0,33.0,30.0,40.0,51.0,0.0,192.0,152.0
50,HERMIONIE GHICAS,1887,GRE,26.0,43.0,7.0,19.0,(56.0),13.0,48.0,0.0,212.0,156.0
50,LARA MERTEN,2682,MLT,48.0,52.0,40.0,(56.0),47.0,28.0,-,-,314.0,258.0
51,IRIS SINGLETON,2001,GBR,50.0,46.0,38.0,48.0,52.0,43.0,-,-,320.0,268.0
51,PETRA MARENDIC,3981,CRO,41.0,2.0,13.0,19.0,(56.0),45.0,0.0,199.0,158.0,
52,STEPHANIE NORTON,4602,HKG,30.0,8.0,24.0,31.0,(56.0),28.0,39.0,0.0,216.0,160.0
52,REBECCA MANTEL,4114,ISR,54.0,(41.0),48.0,47.0,48.0,37.0,-,-,326.0,272.0
53,MIRANDA PAPADAKI,3509,GRE,31.0,20.0,16.0,22.0,23.0,45.0,52.0,0.0,209.0,164.0
53,CANNELLE OPSTAELE,717,BEL,52.0,50.0,43.0,39.0,49.0,45.0,-,-,330.0,278.0
54,ANASTASIA KASKANTAMI,204,GRE,(56.0),43.0,45.0,45.0,49.0,47.0,-,-,336.0,280.0
54,MARIA LILI ZAMIT,3126,GRE,18.0,24.0,20.0,23.0,29.0,42.0,50.0,0.0,206.0,164.0
55,LUCY DAVIS,2926,GBR,51.0,50.0,55.0,52.0,48.0,51.0,-,-,362.0,307.0
55,LINDA DOKOUPILOVA,2817,CZE,33.0,6.0,32.0,21.0,26.0,(56.0),0.0,214.0,174.0,
