Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,Total,Nett
11,MARTIS PAJARSKAS,3255,LTU,8.0,18.0,29.0,13.0,22.0,33.0,13.0,-,136.0,103.0
11,MARTIN VERHULST,3236,SUI,33.0,38.0,27.0,17.0,34.0,19.0,17.0,-,185.0,147.0
11,TATIANI BOUGIATIOTI,4699,GRE,34.0,27.0,32.0,46.0,28.0,19.0,-,-,208.0,162.0
12,MARILENA MAKRI,3154,CYP,11.0,15.0,25.0,25.0,2.0,2.0,15.0,0.0,95.0,70.0
12,WILLEM WIERSEMA,5135,NED,32.0,29.0,15.0,16.0,22.0,4.0,21.0,-,139.0,107.0
12,ZAN LUKA ZELKO,5260,SLO,6.0,5.0,12.0,8.0,4.0,43.0,35.0,8.0,121.0,78.0
12,JAGO HUERCANOS MACHIMBARRENA,2072,ESP,35.0,36.0,30.0,(47.0),27.0,1.0,19.0,-,195.0,148.0
12,ELISA HARTENBERGER,1253,GER,27.0,47.0,28.0,25.0,15.0,33.0,-,-,212.0,165.0
13,ROMI SAFIN,4212,EST,(56.0),38.0,34.0,14.0,45.0,6.0,-,-,225.0,169.0
13,KENNETH FREDERIKSEN FREDERIKSEN,2541,DEN,7.0,16.0,29.0,34.0,33.0,12.0,10.0,-,141.0,107.0
13,GEORGIOS PAPADAKOS,1644,GRE,13.0,7.0,10.0,13.0,3.0,6.0,30.0,37.0,119.0,82.0
13,ANDREW VERDYSH,263,UKR,18.0,36.0,36.0,25.0,40.0,9.0,24.0,-,188.0,148.0
13,WIKTORIA GOLEBIOWSKA,5124,POL,15.0,14.0,11.0,20.0,3.0,23.0,14.0,0.0,100.0,77.0
14,LORENZO MAYER,2874,FRA,12.0,10.0,12.0,5.0,14.0,36.0,5.0,24.0,118.0,82.0
14,ALINA SHAPOVALOVA,160,UKR,19.0,30.0,33.0,(56.0),27.0,21.0,-,-,225.0,169.0
14,SOPHIA MONTGOMERY,4542,THA,20.0,21.0,12.0,3.0,10.0,16.0,18.0,0.0,100.0,79.0
14,JOSH MORGAN,2344,GBR,18.0,41.0,32.0,35.0,39.0,12.0,12.0,-,189.0,148.0
14,NOOA LAUKKANEN,3753,FIN,6.0,25.0,33.0,24.0,15.0,5.0,(46.0),-,154.0,108.0
15,ILIJA MARKOVIAE,1982,MNE,40.0,35.0,17.0,31.0,11.0,8.0,6.0,-,148.0,108.0
15,KARL MARTIN RAMMO,2483,EST,10.0,8.0,2.0,15.0,21.0,8.0,19.0,26.0,109.0,83.0
15,ANATOL SASSI,210,ITA,33.0,14.0,39.0,33.0,43.0,10.0,20.0,-,192.0,149.0
15,EVE MCMAHON,1376,IRL,21.0,7.0,12.0,12.0,7.0,18.0,24.0,0.0,101.0,80.0
15,ADRIANA CASTRO NUNEZ,24,ESP,(56.0),17.0,11.0,(56.0),41.0,30.0,-,-,227.0,171.0
16,SHAI KAKON,4445,ISR,7.0,22.0,29.0,20.0,1.0,14.0,23.0,0.0,116.0,87.0
16,JOSEPHINE HEEGAARD,2341,DEN,44.0,44.0,27.0,42.0,30.0,11.0,-,-,217.0,173.0
16,ANTUN TOMASEVIC,348,CRO,33.0,23.0,32.0,7.0,27.0,16.0,5.0,-,143.0,110.0
16,MAOR BENHAROCH,3069,ISR,5.0,17.0,8.0,23.0,10.0,21.0,2.0,22.0,108.0,85.0
16,BENJAMIN AGANOVIE,506,SLO,30.0,32.0,39.0,32.0,40.0,2.0,16.0,-,191.0,151.0
17,ALBERTO DIVELLA,77,ITA,41.0,13.0,37.0,40.0,34.0,14.0,13.0,-,192.0,151.0
17,KATARIINA ROIHU,2495,EST,40.0,54.0,18.0,45.0,34.0,5.0,-,-,230.0,176.0
17,EWAN MCMAHON,1385,IRL,23.0,4.0,3.0,20.0,7.0,22.0,6.0,30.0,115.0,85.0
17,GIACOMO MUSONE,1657,ITA,25.0,19.0,19.0,5.0,26.0,25.0,17.0,-,136.0,110.0
17,ANA MONCADA,192,ESP,8.0,18.0,18.0,17.0,9.0,19.0,22.0,0.0,111.0,92.0
18,NICO NAUJOCK,3666,GER,1.0,26.0,5.0,10.0,13.0,25.0,18.0,15.0,113.0,87.0
18,ARGYRO KOURAVELOU,355,GRE,38.0,10.0,53.0,27.0,39.0,29.0,-,-,229.0,176.0
18,LENNART KUSS,2744,GER,23.0,29.0,36.0,26.0,43.0,17.0,23.0,-,197.0,154.0
18,CLAUDIA ADAN LLEDO,911,ESP,5.0,5.0,16.0,36.0,9.0,24.0,34.0,0.0,129.0,93.0
18,WILHELM KARK,5126,SWE,(47.0),25.0,13.0,11.0,16.0,7.0,18.0,-,137.0,112.0
