Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,18Q,19Q,20Q,MRQ,Total,Nett
92,BUSE TUNC,695,,41.0,31.0,35.0,(49.0),46.0,45.0,43.0,43.0,42.0,43.0,44.0,44.0,40.0,41.0,43.0,37.0,33.0,31.0,37.0,29.0,-,797,614
92,"ELIMELECH , OFEK",1249,ISR,41.0,23.0,31.0,41.0,(61.0),50.0,(59.0),16.0,8.0,4.0,14.0,14.0,4.0,20.0,1.0,17.0,1.0,(21.0),5.0,(41.0),-,472,290
93,"TOMAS CARDELL, BERNAT",4874,ESP,33.0,33.0,11.0,7.0,42.0,(61.0),(48.0),33.0,18.0,6.0,9.0,9.0,15.0,(35.0),(28.0),19.0,7.0,21.0,23.0,7.0,-,465,293
93,LORENA ABICHT,2869,AUT,47.0,47.0,41.0,45.0,47.0,48.0,47.0,48.0,43.0,45.0,42.0,42.0,39.0,34.0,38.0,41.0,41.0,45.0,45.0,33.0,-,858,672
94,MARINA CHEROUVEIM,3157,,47.0,43.0,39.0,(49.0),47.0,46.0,44.0,44.0,47.0,40.0,46.0,46.0,46.0,42.0,45.0,43.0,47.0,41.0,41.0,37.0,-,880,690
94,"GAVIOLI, JACOPO",1621,ITA,17.0,25.0,27.0,27.0,24.0,16.0,(48.0),(46.0),22.0,21.0,(29.0),(29.0),22.0,16.0,21.0,23.0,11.0,5.0,13.0,7.0,-,449,297
95,SZENTIVANYI SARA,4659,,47.0,33.0,47.0,(49.0),46.0,47.0,48.0,46.0,39.0,44.0,45.0,45.0,47.0,40.0,46.0,45.0,45.0,(49.0),(49.0),41.0,-,898,703
95,"BORONAT SUAY, JOSE LUIS",623,ESP,15.0,17.0,13.0,23.0,60.0,(64.0),54.0,(78.0),1.0,1.0,(27.0),27.0,6.0,18.0,9.0,(32.0),17.0,11.0,19.0,7.0,-,499,298
96,"CAPPUZZO, FRANCESCO",718,ITA,23.0,17.0,15.0,23.0,47.0,(62.0),(51.0),41.0,(27.0),(38.0),11.0,11.0,17.0,11.0,25.0,24.0,5.0,5.0,3.0,21.0,-,477,299
97,"LIEFTING, ELI",2795,NZL,13.0,41.0,41.0,41.0,51.0,(56.0),(52.0),22.0,(29.0),26.0,5.0,5.0,27.0,10.0,6.0,(78.0),1.0,5.0,27.0,1.0,-,537,322
98,"CROOK, THOMAS",986,NZL,41.0,25.0,31.0,21.0,(76.0),(48.0),30.0,43.0,15.0,16.0,23.0,23.0,2.0,(78.0),(78.0),1.0,3.0,23.0,23.0,13.0,-,613,333
99,"HOVELING, MALIK",1921,ARU,21.0,17.0,23.0,(41.0),35.0,39.0,40.0,(41.0),(38.0),7.0,31.0,31.0,32.0,21.0,15.0,8.0,7.0,5.0,(41.0),5.0,-,498,337
100,"ROMANOWSKI, TOMASZ",4209,POL,17.0,37.0,17.0,23.0,29.0,(55.0),(45.0),37.0,3.0,(30.0),21.0,21.0,21.0,2.0,(30.0),25.0,25.0,25.0,23.0,19.0,-,505,345
101,"PASCUAL SUITT, PEDRO",3887,USA,21.0,35.0,19.0,15.0,(52.0),(50.0),50.0,48.0,(32.0),22.0,22.0,22.0,(31.0),29.0,7.0,6.0,31.0,7.0,7.0,15.0,-,521,356
102,"DIXEN, ALFRED TANG",1147,DEN,35.0,41.0,23.0,13.0,23.0,(67.0),21.0,(51.0),24.0,(48.0),42.0,42.0,10.0,(47.0),32.0,16.0,9.0,7.0,9.0,11.0,-,571,358
103,"BORS, MATE",625,HUN,27.0,29.0,19.0,41.0,(48.0),(53.0),44.0,45.0,11.0,20.0,18.0,18.0,28.0,(44.0),19.0,(33.0),11.0,11.0,11.0,9.0,-,539,361
104,"KIM, CHANEUI",2571,KOR,19.0,37.0,19.0,17.0,34.0,36.0,(39.0),(45.0),31.0,23.0,(44.0),44.0,34.0,9.0,(78.0),28.0,17.0,7.0,5.0,15.0,-,581,375
105,"DAMGAARD, CHRISTOFFER",1011,DEN,37.0,27.0,17.0,41.0,(64.0),42.0,42.0,(48.0),(49.0),32.0,10.0,10.0,12.0,(56.0),12.0,5.0,21.0,9.0,37.0,29.0,-,600,383
106,"TUGARYEV, OLEKSANDR",4917,UKR,21.0,31.0,35.0,21.0,(39.0),38.0,35.0,(50.0),(53.0),12.0,(39.0),39.0,24.0,25.0,24.0,26.0,13.0,13.0,9.0,19.0,-,566,385
107,"SANTA, BENCE",4324,HUN,21.0,13.0,19.0,27.0,(53.0),51.0,(62.0),51.0,(39.0),(41.0),17.0,17.0,38.0,24.0,34.0,31.0,17.0,11.0,13.0,9.0,-,588,393
108,"CARIOLOU, ANDREAS",726,CYP,33.0,31.0,33.0,29.0,41.0,42.0,(58.0),(44.0),12.0,25.0,19.0,19.0,25.0,(39.0),37.0,(39.0),15.0,13.0,25.0,11.0,-,590,410
109,"KANG, HYEONGJUNG",2470,KOR,27.0,25.0,33.0,25.0,(66.0),58.0,52.0,(67.0),33.0,(42.0),16.0,16.0,20.0,12.0,(78.0),27.0,23.0,19.0,19.0,19.0,-,677,424
110,"KUBIN, ROBERT",2642,SVK,41.0,15.0,29.0,21.0,44.0,(48.0),(54.0),47.0,28.0,29.0,(40.0),(40.0),36.0,22.0,31.0,30.0,9.0,15.0,11.0,19.0,-,609,427
111,"ALEXIS, MATHIS",143,FRA,19.0,25.0,23.0,17.0,(54.0),30.0,(56.0),43.0,(66.0),(69.0),36.0,36.0,46.0,28.0,48.0,29.0,11.0,19.0,3.0,15.0,-,673,428
112,"TEMKO, ALEXANDER",4714,USA,11.0,15.0,21.0,(41.0),(36.0),18.0,36.0,30.0,6.0,28.0,35.0,35.0,(78.0),(78.0),78.0,78.0,5.0,7.0,9.0,17.0,-,662,429
113,"JOYNER, HARRY H",2352,AUS,11.0,11.0,21.0,23.0,(68.0),(65.0),61.0,61.0,25.0,36.0,32.0,32.0,(47.0),(61.0),33.0,35.0,13.0,23.0,3.0,11.0,-,672,431
114,"WINCHCOMBE, CAELIN",5153,AUS,31.0,25.0,23.0,11.0,(65.0),49.0,(59.0),46.0,(57.0),27.0,33.0,33.0,40.0,17.0,(41.0),37.0,11.0,25.0,7.0,35.0,-,672,450
115,"KURAMOCHI , DAIYA",2648,JPN,29.0,25.0,27.0,25.0,(63.0),(57.0),57.0,50.0,19.0,31.0,43.0,43.0,(78.0),(48.0),16.0,45.0,15.0,29.0,11.0,9.0,-,720,474
116,"TOMASINI, LEONARDO",4891,ITA,21.0,29.0,27.0,11.0,(52.0),52.0,(53.0),38.0,40.0,39.0,(46.0),(46.0),29.0,37.0,36.0,34.0,13.0,31.0,15.0,23.0,-,672,475
117,"JOYNER, JACK H G",2353,AUS,35.0,21.0,29.0,19.0,(78.0),(78.0),78.0,78.0,35.0,24.0,12.0,12.0,(52.0),26.0,23.0,21.0,27.0,17.0,(41.0),21.0,-,727,478
