Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,18Q,Total,Nett
38,SANTIAGO SAMPAIO,4332,POR,(47.0),(53.0),28.0,28.0,29.0,13.0,-,-,-,-,-,-,-,-,-,-,-,24.0,41.0,47.0,30.0,40.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,389.0,289.0
39,HENRY MARSHALL,1883,USA,1.0,19.0,6.0,25.0,20.0,(35.0),-,-,-,-,-,-,-,-,-,-,-,45.0,12.0,11.0,28.0,(47.0),35.0,-,-,-,-,-,-,-,-,-,-,-,-,284.0,202.0
39,PHILIPP GROCHTMANN,3996,BRA,35.0,15.0,20.0,18.0,(36.0),25.0,-,-,-,-,-,-,-,-,-,-,-,(53.0),45.0,42.0,3.0,53.0,41.0,-,-,-,-,-,-,-,-,-,-,-,-,386.0,297.0
39,PAULINE LIEBIG,3925,GER,8.0,(57.0),22.0,16.0,26.0,-,-,-,-,-,-,-,-,-,-,-,-,30.0,38.0,23.0,19.0,28.0,(50.0),-,-,-,-,-,-,-,-,-,-,-,-,317.0,210.0
39,PALOMA ISABEL SCHMIDT GUTIERREZ,3865,PER,7.0,35.0,(57.0),38.0,35.0,-,-,-,-,-,-,-,-,-,-,-,-,22.0,30.0,(57.0),57.0,57.0,57.0,-,-,-,-,-,-,-,-,-,-,-,-,452.0,338.0
39,"UBERTO CRIVELLI, TOGNI GIANMARCO",4933,,13.0,9.0,26.0,15.0,5.0,9.0,4.0,15.0,23.0,21.0,24.0,2.0,(33.0),4.0,18.0,18.0,-,13.0,9.0,26.0,15.0,5.0,9.0,4.0,15.0,23.0,21.0,24.0,2.0,(33.0),4.0,18.0,18.0,-,-,239.0,206.0
39,"ISAURA MAENHAUT, ANOUK GEURTS",2021,BEL,23.0,25.0,2.0,16.0,20.0,25.0,26.0,25.0,21.0,16.0,4.0,1.0,15.0,1.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,257.0,220.0
39,LUKE DEEGAN,2960,NZL,(47.0),40.0,36.0,33.0,43.0,35.0,-,-,-,-,-,-,-,-,-,-,-,37.0,(50.0),36.0,35.0,39.0,37.0,-,-,-,-,-,-,-,-,-,-,-,-,468.0,371.0
40,"FEDERICO ALONSO, ARTURO ALONSO TELLECHEA",1423,,12.0,10.0,7.0,8.0,9.0,31.0,4.0,26.0,16.0,6.0,18.0,4.0,(33.0),14.0,33.0,11.0,-,12.0,10.0,7.0,8.0,9.0,31.0,4.0,26.0,16.0,6.0,18.0,4.0,(33.0),14.0,33.0,11.0,-,-,242.0,209.0
40,FINN LYNCH,1474,IRL,24.0,(30.0),10.0,11.0,18.0,17.0,-,-,-,-,-,-,-,-,-,-,-,(42.0),1.0,27.0,38.0,41.0,21.0,-,-,-,-,-,-,-,-,-,-,-,-,280.0,208.0
40,FILLAH KARIM,1466,CAN,(51.0),22.0,25.0,30.0,16.0,12.0,-,-,-,-,-,-,-,-,-,-,-,43.0,(44.0),32.0,43.0,36.0,46.0,-,-,-,-,-,-,-,-,-,-,-,-,400.0,303.0
40,SHUNSUKE KIMURA,4465,JPN,(51.0),43.0,(48.0),48.0,47.0,45.0,-,-,-,-,-,-,-,-,-,-,-,35.0,36.0,25.0,33.0,41.0,39.0,-,-,-,-,-,-,-,-,-,-,-,-,491.0,392.0
40,TATIANA DROZDOVSKAYA,4698,BLR,30.0,29.0,14.0,9.0,(34.0),-,-,-,-,-,-,-,-,-,-,-,-,38.0,(57.0),34.0,21.0,7.0,29.0,-,-,-,-,-,-,-,-,-,-,-,-,302.0,211.0
40,"SAYOKO HARADA, SARAH NAGAMATSU",4371,,26.0,8.0,6.0,13.0,16.0,22.0,23.0,6.0,3.0,24.0,15.0,(32.0),18.0,24.0,17.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,253.0,221.0
40,KHOULOUD MANSY,2558,EGY,(49.0),44.0,47.0,(48.0),43.0,-,-,-,-,-,-,-,-,-,-,-,-,47.0,35.0,40.0,37.0,21.0,29.0,-,-,-,-,-,-,-,-,-,-,-,-,440.0,343.0
41,PETER HURLEY,3969,USA,45.0,34.0,43.0,(48.6),44.0,(48.0),-,-,-,-,-,-,-,-,-,-,-,39.0,39.0,41.0,37.0,40.0,38.0,-,-,-,-,-,-,-,-,-,-,-,-,496.6,400.0
41,ZOE THOMSON,5286,AUS,(35.0),12.0,25.0,21.0,22.0,-,-,-,-,-,-,-,-,-,-,-,-,7.0,27.0,43.0,20.0,(51.0),36.0,-,-,-,-,-,-,-,-,-,-,-,-,299.0,213.0
41,"JUDGE RYAN, HANS HENKEN",2371,USA,11.0,14.0,11.0,14.0,13.0,12.0,10.0,4.0,8.0,11.0,(30.0),17.0,15.0,25.0,27.0,20.0,-,11.0,14.0,11.0,14.0,13.0,12.0,10.0,4.0,8.0,11.0,(30.0),17.0,15.0,25.0,27.0,20.0,-,-,242.0,212.0
41,"DOMINIKA VADUROVA, SARA TKADLECOVA",1162,,7.0,(27.0),20.0,22.0,19.0,20.0,25.0,22.0,11.0,13.0,12.0,18.0,8.0,21.0,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,249.0,222.0
41,EDUARDO MARQUES,1204,POR,(34.0),25.0,8.0,20.0,10.0,11.0,-,-,-,-,-,-,-,-,-,-,-,28.0,20.0,43.0,(44.0),24.0,28.0,-,-,-,-,-,-,-,-,-,-,-,-,295.0,217.0
41,ROMINA DE IULIO,4213,ECU,(49.0),46.0,40.0,42.0,(48.0),-,-,-,-,-,-,-,-,-,-,-,-,38.0,38.0,38.0,29.0,35.0,43.0,-,-,-,-,-,-,-,-,-,-,-,-,446.0,349.0
41,ADONIS BOUGIOURIS,22,GRE,(45.0),23.0,24.0,30.0,30.0,18.0,-,-,-,-,-,-,-,-,-,-,-,41.0,38.0,39.0,47.0,(53.0),14.0,-,-,-,-,-,-,-,-,-,-,-,-,402.0,304.0
42,MARA STRANSKY,3070,AUS,27.0,10.0,15.0,(28.0),27.0,-,-,-,-,-,-,-,-,-,-,-,-,27.0,(44.0),16.0,13.0,44.0,35.0,-,-,-,-,-,-,-,-,-,-,-,-,286.0,214.0
42,HERMANN TOMASGAARD,1886,NOR,(13.0),1.0,5.0,3.0,8.0,2.0,-,-,-,-,-,-,-,-,-,-,-,(53.0),36.0,23.0,52.0,44.0,44.0,-,-,-,-,-,-,-,-,-,-,-,-,284.0,218.0
42,"ZOYA NOVIKOVA, DIANA SABIROVA",5296,,15.0,23.0,26.0,21.0,14.0,19.0,14.0,19.0,24.0,(37.0),7.0,12.0,12.0,10.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,263.0,226.0
42,KELLY-ANN ARRINDELL,2535,TTO,36.0,39.0,41.0,(57.0),(57.0),-,-,-,-,-,-,-,-,-,-,-,-,33.0,57.0,57.0,57.0,5.0,30.0,-,-,-,-,-,-,-,-,-,-,-,-,469.0,355.0
42,KAZUSHI MIYATA,2521,JPN,49.0,48.0,(53.0),(50.0),48.0,46.0,-,-,-,-,-,-,-,-,-,-,-,29.0,41.0,39.0,39.0,47.0,41.0,-,-,-,-,-,-,-,-,-,-,-,-,530.0,427.0
42,ALEKSI TAPPER,100,FIN,15.0,(53.0),35.0,27.0,34.0,37.0,-,-,-,-,-,-,-,-,-,-,-,23.0,(53.0),27.0,31.0,53.0,25.0,-,-,-,-,-,-,-,-,-,-,-,-,413.0,307.0
42,"FRITIOF HEDSTROM, OTTO HAMEL",1575,,21.0,7.0,18.0,18.0,19.0,24.0,5.0,16.0,21.0,4.0,5.0,21.0,5.0,(31.0),26.0,8.0,-,21.0,7.0,18.0,18.0,19.0,24.0,5.0,16.0,21.0,4.0,5.0,21.0,5.0,(31.0),26.0,8.0,-,-,249.0,218.0
43,"HARRY MELGES, FINN ROWE",1816,,12.0,9.0,21.0,18.0,12.0,4.0,7.0,12.0,3.0,25.0,(29.0),24.0,27.0,11.0,19.0,15.0,-,12.0,9.0,21.0,18.0,12.0,4.0,7.0,12.0,3.0,25.0,(29.0),24.0,27.0,11.0,19.0,15.0,-,-,248.0,219.0
43,KYO MARUTA,2660,JPN,38.0,45.0,(48.0),45.0,(49.0),-,-,-,-,-,-,-,-,-,-,-,-,43.0,29.0,41.0,35.0,37.0,42.0,-,-,-,-,-,-,-,-,-,-,-,-,452.0,355.0
43,LOUISE CERVERA,2886,FRA,12.0,24.0,33.0,10.0,(44.0),-,-,-,-,-,-,-,-,-,-,-,-,1.0,25.0,42.0,36.0,40.0,(57.0),-,-,-,-,-,-,-,-,-,-,-,-,324.0,223.0
43,LIAM GLYNN,2787,IRL,21.0,10.0,26.0,28.0,38.0,(40.0),-,-,-,-,-,-,-,-,-,-,-,34.0,(53.0),49.0,25.0,35.0,49.0,-,-,-,-,-,-,-,-,-,-,-,-,408.0,315.0
43,"NATASHA BRYANT, ANNIE WILMOT",3613,,20.0,5.0,21.0,23.0,12.0,22.0,8.0,18.0,15.0,(37.0),9.0,13.0,22.0,3.0,37.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,265.0,228.0
43,SHIGEKI MIYAKO,4458,JPN,(52.0),36.0,49.0,49.0,50.0,(51.0),-,-,-,-,-,-,-,-,-,-,-,38.0,26.0,46.0,47.0,48.0,43.0,-,-,-,-,-,-,-,-,-,-,-,-,535.0,432.0
43,JACK WETHERELL,2051,GBR,28.0,1.0,6.0,16.0,(29.0),10.0,-,-,-,-,-,-,-,-,-,-,-,(41.0),25.0,40.0,39.0,25.0,29.0,-,-,-,-,-,-,-,-,-,-,-,-,289.0,219.0
44,DOLORES MOREIRA FRASCHINI,1156,URU,(40.0),6.0,4.0,27.0,18.0,-,-,-,-,-,-,-,-,-,-,-,-,41.0,19.0,(52.0),44.0,35.0,31.0,-,-,-,-,-,-,-,-,-,-,-,-,317.0,225.0
44,FINN ALEXANDER,1469,AUS,12.0,(53.0),14.0,19.0,4.0,14.0,-,-,-,-,-,-,-,-,-,-,-,20.0,41.0,24.0,43.0,36.0,(53.0),-,-,-,-,-,-,-,-,-,-,-,-,333.0,227.0
44,CORALIE VITTECOQ,952,CAN,25.0,43.0,24.0,34.0,(45.0),-,-,-,-,-,-,-,-,-,-,-,-,(57.0),57.0,57.0,57.0,34.0,33.0,-,-,-,-,-,-,-,-,-,-,-,-,466.0,364.0
44,AO HIGUCHI,349,JPN,23.0,24.0,23.0,39.0,37.0,(40.0),-,-,-,-,-,-,-,-,-,-,-,40.0,(53.0),36.0,21.0,24.0,48.0,-,-,-,-,-,-,-,-,-,-,-,-,408.0,315.0
44,"MARKUS SOMERVILLE, JACK SIMPSON",3196,,18.0,26.0,11.0,20.0,11.0,3.0,31.0,1.0,4.0,(33.0),26.0,11.0,8.0,13.0,8.0,29.0,-,18.0,26.0,11.0,20.0,11.0,3.0,31.0,1.0,4.0,(33.0),26.0,11.0,8.0,13.0,8.0,29.0,-,-,253.0,220.0
44,"CHIKA HATAE, HIROKA ITAKURA",853,,30.0,7.0,19.0,25.0,10.0,4.0,17.0,28.0,17.0,5.0,14.0,22.0,9.0,26.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,270.0,233.0
44,RIKIZO YAMASHITA,4155,JPN,(50.0),32.0,50.0,(51.0),49.0,47.0,-,-,-,-,-,-,-,-,-,-,-,42.0,34.0,45.0,44.0,49.0,42.0,-,-,-,-,-,-,-,-,-,-,-,-,535.0,434.0
45,EKATERINA ZYUZINA,1222,RUS,17.0,(36.0),35.0,25.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,35.0,26.0,(57.0),28.0,43.0,17.0,-,-,-,-,-,-,-,-,-,-,-,-,325.0,232.0
45,MARCO GALLO,3086,ITA,1.0,11.0,15.0,24.0,(26.0),22.0,-,-,-,-,-,-,-,-,-,-,-,33.0,4.0,51.0,45.0,(53.0),25.0,-,-,-,-,-,-,-,-,-,-,-,-,310.0,231.0
45,"XIAN HE, XUEBIN YU",5183,,12.0,32.0,30.0,27.0,10.0,17.0,24.0,15.0,7.0,1.0,22.0,23.0,10.0,13.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,280.0,243.0
45,KARINA JANGAZOVA,2480,KAZ,45.0,(49.0),(50.0),46.0,44.0,-,-,-,-,-,-,-,-,-,-,-,-,32.0,39.0,32.0,39.0,45.0,44.0,-,-,-,-,-,-,-,-,-,-,-,-,465.0,366.0
45,MARK WONG,3185,SGP,19.0,25.0,36.0,37.0,30.0,(44.0),-,-,-,-,-,-,-,-,-,-,-,30.0,31.0,40.0,45.0,31.0,37.0,-,-,-,-,-,-,-,-,-,-,-,-,405.0,316.0
45,"MICHAEL HANSEN, MATHIAS SLETTEN",3446,,4.0,12.0,5.0,16.0,15.0,16.0,(31.0),12.0,19.0,2.0,25.0,3.0,23.0,22.0,24.0,30.0,-,4.0,12.0,5.0,16.0,15.0,16.0,(31.0),12.0,19.0,2.0,25.0,3.0,23.0,22.0,24.0,30.0,-,-,259.0,228.0
45,AKIHIRO OKAWA,59,JPN,50.0,42.0,(52.0),(52.0),50.0,49.0,-,-,-,-,-,-,-,-,-,-,-,43.0,42.0,42.0,41.0,45.0,48.0,-,-,-,-,-,-,-,-,-,-,-,-,556.0,452.0
46,RUI SILVEIRA,4244,POR,30.0,11.0,(53.0),36.0,31.0,39.0,-,-,-,-,-,-,-,-,-,-,-,(53.0),29.0,53.0,20.0,27.0,42.0,-,-,-,-,-,-,-,-,-,-,-,-,424.0,318.0
46,AISLING KELLER,57,IRL,16.0,14.0,8.0,20.0,(33.0),-,-,-,-,-,-,-,-,-,-,-,-,42.0,42.0,(44.0),41.0,16.0,34.0,-,-,-,-,-,-,-,-,-,-,-,-,310.0,233.0
46,"MATHILDE LOVADINA, LEA PERNET",3296,,10.0,22.0,23.0,32.0,20.0,19.0,18.0,26.0,(33.0),25.0,18.0,16.0,2.0,15.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,288.0,255.0
46,"JACKSON KEON, SCOTT , MCKENZIE",2052,,8.0,(25.0),18.0,12.0,14.0,20.0,5.0,21.0,13.0,14.0,15.0,25.0,9.0,20.0,23.0,17.0,-,8.0,(25.0),18.0,12.0,14.0,20.0,5.0,21.0,13.0,14.0,15.0,25.0,9.0,20.0,23.0,17.0,-,-,259.0,234.0
46,MASANORI KUBO,3261,JPN,46.0,46.0,44.0,(52.0),(51.0),48.0,-,-,-,-,-,-,-,-,-,-,-,45.0,40.0,40.0,49.0,51.0,45.0,-,-,-,-,-,-,-,-,-,-,-,-,557.0,454.0
46,NANAMI OHTA,3602,JPN,(48.0),(48.0),41.0,48.0,42.0,-,-,-,-,-,-,-,-,-,-,-,-,37.0,45.0,45.0,43.0,44.0,40.0,-,-,-,-,-,-,-,-,-,-,-,-,481.0,385.0
46,NICOLO VILLA,3693,ITA,11.0,4.0,25.0,17.0,25.0,(27.0),-,-,-,-,-,-,-,-,-,-,-,43.0,16.0,26.0,(46.0),23.0,42.0,-,-,-,-,-,-,-,-,-,-,-,-,305.0,232.0
47,HULDA LILJA HANNESDOTTIR,1945,ISL,(54.0),47.0,44.0,44.0,(53.0),-,-,-,-,-,-,-,-,-,-,-,-,44.0,49.0,39.0,34.0,42.0,49.0,-,-,-,-,-,-,-,-,-,-,-,-,499.0,392.0
47,YOSHIHARU CHO,5230,JPN,(52.0),44.0,48.0,(49.0),49.0,49.0,-,-,-,-,-,-,-,-,-,-,-,49.0,47.0,48.0,45.0,42.0,40.0,-,-,-,-,-,-,-,-,-,-,-,-,562.0,461.0
47,MAXIM NIKOLAEV,3372,RUS,(27.0),14.0,9.0,17.0,13.0,15.0,-,-,-,-,-,-,-,-,-,-,-,25.0,(51.0),48.0,27.0,48.0,27.0,-,-,-,-,-,-,-,-,-,-,-,-,321.0,243.0
47,OLIVIA CHRISTIE,3810,NZL,24.0,24.0,14.0,23.0,(35.0),-,-,-,-,-,-,-,-,-,-,-,-,46.0,37.0,18.0,37.0,11.0,(52.0),-,-,-,-,-,-,-,-,-,-,-,-,321.0,234.0
47,"VILMA BOBECK, MALIN TENGSTROM",5049,,5.0,28.0,7.0,4.0,26.0,23.0,30.0,24.0,28.0,20.0,20.0,2.0,20.0,25.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,299.0,262.0
47,"JUUSO ROIHU, HENRI ROIHU",2441,,8.0,18.0,17.0,17.0,15.0,7.0,19.0,(28.0),7.0,22.0,12.0,20.0,20.0,24.0,21.0,9.0,-,8.0,18.0,17.0,17.0,15.0,7.0,19.0,(28.0),7.0,22.0,12.0,20.0,20.0,24.0,21.0,9.0,-,-,264.0,236.0
47,KAROLIS JANULIONIS,2492,LTU,21.0,(53.0),35.0,23.0,42.0,27.0,-,-,-,-,-,-,-,-,-,-,-,42.0,36.0,45.0,10.0,39.0,(47.0),-,-,-,-,-,-,-,-,-,-,-,-,420.0,320.0
48,AOIFE HOPKINS,350,IRL,(34.0),17.0,11.0,16.0,28.0,-,-,-,-,-,-,-,-,-,-,-,-,34.0,30.0,(57.0),25.0,48.0,33.0,-,-,-,-,-,-,-,-,-,-,-,-,333.0,242.0
48,"ANGELIKA KOHLENDORFER, LISA FARTHOFER",279,,13.0,16.0,18.0,19.0,22.0,25.0,26.0,25.0,5.0,18.0,(32.0),29.0,24.0,20.0,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,308.0,276.0
48,RUBEI YUAN,4233,CHN,15.0,(57.0),26.0,26.0,41.0,-,-,-,-,-,-,-,-,-,-,-,-,(57.0),57.0,57.0,57.0,57.0,57.0,-,-,-,-,-,-,-,-,-,-,-,-,507.0,393.0
48,ABDULLA JANAHI,5,BRN,18.0,19.0,34.0,33.0,29.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,(53.0),53.0,20.0,49.0,38.0,28.0,-,-,-,-,-,-,-,-,-,-,-,-,411.0,321.0
48,MANABU HOTTA,3043,JPN,49.0,41.0,50.0,(51.0),(51.0),50.0,-,-,-,-,-,-,-,-,-,-,-,47.0,46.0,47.0,48.0,43.0,44.0,-,-,-,-,-,-,-,-,-,-,-,-,567.0,465.0
48,CHRISTIAN GULDBERG ROST,874,DEN,6.0,9.0,27.0,22.0,(36.0),16.0,-,-,-,-,-,-,-,-,-,-,-,(50.0),50.0,36.0,24.0,35.0,23.0,-,-,-,-,-,-,-,-,-,-,-,-,334.0,248.0
48,"CHRIS TAYLOR, RHOS HAWES",866,,9.0,14.0,15.0,12.0,1.0,(31.0),20.0,7.0,26.0,10.0,21.0,6.0,26.0,27.0,17.0,27.0,-,9.0,14.0,15.0,12.0,1.0,(31.0),20.0,7.0,26.0,10.0,21.0,6.0,26.0,27.0,17.0,27.0,-,-,269.0,238.0
49,"MENGMENG ZHANG, XIAOYA SU",3426,,11.0,12.0,23.0,15.0,29.0,10.0,19.0,27.0,32.0,26.0,16.0,15.0,27.0,17.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,316.0,279.0
49,"MAX STINGELE, LINOV SCHEEL",3368,GER,19.0,5.0,19.0,14.0,16.0,22.0,11.0,18.0,17.0,23.0,17.0,13.0,19.0,(26.0),12.0,14.0,-,19.0,5.0,19.0,14.0,16.0,22.0,11.0,18.0,17.0,23.0,17.0,13.0,19.0,(26.0),12.0,14.0,-,-,265.0,239.0
49,ANNA OMURA,299,JPN,(53.0),51.0,47.0,47.0,(54.0),-,-,-,-,-,-,-,-,-,-,-,-,45.0,42.0,46.0,40.0,48.0,28.0,-,-,-,-,-,-,-,-,-,-,-,-,501.0,394.0
49,MAGDALENA KWASNA,2999,POL,33.0,26.0,6.0,3.0,(57.0),-,-,-,-,-,-,-,-,-,-,-,-,22.0,49.0,17.0,(57.0),47.0,41.0,-,-,-,-,-,-,-,-,-,-,-,-,358.0,244.0
49,MAREK ZALESKI,3100,USA,40.0,16.0,(53.0),41.0,(53.0),53.0,-,-,-,-,-,-,-,-,-,-,-,53.0,53.0,53.0,53.0,53.0,53.0,-,-,-,-,-,-,-,-,-,-,-,-,574.0,468.0
49,DAN SELF,1012,AUS,(48.0),37.0,40.0,12.0,20.0,35.0,-,-,-,-,-,-,-,-,-,-,-,(53.0),23.0,43.0,48.0,53.0,23.0,-,-,-,-,-,-,-,-,-,-,-,-,435.0,334.0
49,JAKUB RODZIEWICZ,2085,POL,(30.0),10.0,9.0,18.0,23.0,15.0,-,-,-,-,-,-,-,-,-,-,-,47.0,17.0,(49.0),49.0,19.0,49.0,-,-,-,-,-,-,-,-,-,-,-,-,335.0,256.0
50,YANA BELOZEROVA,5202,KAZ,(52.0),49.0,49.0,50.0,50.0,-,-,-,-,-,-,-,-,-,-,-,-,49.0,43.0,37.0,31.0,49.0,(53.0),-,-,-,-,-,-,-,-,-,-,-,-,512.0,407.0
50,IKUHIRO FUKUDA,1981,JPN,51.0,50.0,51.0,50.0,(52.0),52.0,-,-,-,-,-,-,-,-,-,-,-,46.0,44.0,43.0,46.0,44.0,(53.0),-,-,-,-,-,-,-,-,-,-,-,-,582.0,477.0
50,"LAURA HARDING, LAURA THOMSON",2701,,29.0,29.0,26.0,(32.0),26.0,12.0,23.0,20.0,6.0,9.0,27.0,30.0,17.0,18.0,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,319.0,287.0
50,RICHARD MAHER,4148,AUS,26.0,27.0,38.0,(42.0),27.0,28.0,-,-,-,-,-,-,-,-,-,-,-,(53.0),9.0,44.0,51.0,34.0,51.0,-,-,-,-,-,-,-,-,-,-,-,-,430.0,335.0
50,"NILS CARSTENSEN, JAN FRIGGE",3720,GER,6.0,17.0,14.0,16.0,19.0,11.0,18.0,17.0,2.0,(33.0),16.0,33.0,22.0,23.0,5.0,21.0,-,6.0,17.0,14.0,16.0,19.0,11.0,18.0,17.0,2.0,(33.0),16.0,33.0,22.0,23.0,5.0,21.0,-,-,273.0,240.0
50,MARILENA MAKRI,3154,CYP,(53.0),13.0,8.0,39.0,25.0,-,-,-,-,-,-,-,-,-,-,-,-,11.0,16.0,(51.0),42.0,50.0,48.0,-,-,-,-,-,-,-,-,-,-,-,-,356.0,252.0
50,ROBERT DAVIS,4167,CAN,12.0,(28.0),5.0,8.0,25.0,12.0,-,-,-,-,-,-,-,-,-,-,-,38.0,39.0,45.0,36.0,43.0,(46.0),-,-,-,-,-,-,-,-,-,-,-,-,337.0,263.0
51,"LOUIS CHAMBET, HUGO FEDRIGUCCI",2878,,4.0,22.0,18.0,6.0,6.0,19.0,25.0,10.0,12.0,26.0,(27.0),23.0,25.0,19.0,16.0,22.0,-,4.0,22.0,18.0,6.0,6.0,19.0,25.0,10.0,12.0,26.0,(27.0),23.0,25.0,19.0,16.0,22.0,-,-,280.0,253.0
51,"CRYSTAL SUN, OLIVIA HOBBS",988,,19.0,27.0,9.0,13.0,25.0,27.0,28.0,30.0,29.0,17.0,30.0,17.0,11.0,28.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,347.0,310.0
51,OMAR METWALLY,3817,EGY,48.0,(53.0),51.0,50.0,51.0,(52.0),-,-,-,-,-,-,-,-,-,-,-,48.0,48.0,44.0,50.0,46.0,47.0,-,-,-,-,-,-,-,-,-,-,-,-,588.0,483.0
51,ISABELLA MAEGLI AGUERO,2016,GUA,19.0,22.0,16.0,(57.0),17.0,-,-,-,-,-,-,-,-,-,-,-,-,(52.0),48.0,46.0,35.0,5.0,45.0,-,-,-,-,-,-,-,-,-,-,-,-,362.0,253.0
51,GIOVANNI COCCOLUTO,1678,ITA,17.0,33.0,(41.0),13.0,10.0,15.0,-,-,-,-,-,-,-,-,-,-,-,(53.0),53.0,53.0,53.0,53.0,53.0,-,-,-,-,-,-,-,-,-,-,-,-,447.0,353.0
51,AYA EL-ZEINY,426,EGY,47.0,(57.0),(52.0),45.0,49.0,-,-,-,-,-,-,-,-,-,-,-,-,51.0,33.0,47.0,44.0,43.0,50.0,-,-,-,-,-,-,-,-,-,-,-,-,518.0,409.0
51,EWAN MCMAHON,1385,IRL,3.0,(53.0),17.0,22.0,14.0,13.0,-,-,-,-,-,-,-,-,-,-,-,31.0,49.0,(53.0),51.0,46.0,22.0,-,-,-,-,-,-,-,-,-,-,-,-,374.0,268.0
52,"KATE SHANER, KATHLEEN LOVE",2500,,17.0,19.0,28.0,26.0,30.0,8.0,32.0,27.0,25.0,12.0,23.0,27.0,28.0,27.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,366.0,329.0
52,BO JEONG,599,KOR,31.0,(35.0),33.0,26.0,28.0,23.0,-,-,-,-,-,-,-,-,-,-,-,35.0,42.0,(53.0),38.0,53.0,45.0,-,-,-,-,-,-,-,-,-,-,-,-,442.0,354.0
52,SHINYA SAKURAI,4464,JPN,(52.0),49.0,43.0,51.0,(52.0),51.0,-,-,-,-,-,-,-,-,-,-,-,44.0,51.0,49.0,51.0,50.0,46.0,-,-,-,-,-,-,-,-,-,-,-,-,589.0,485.0
52,ENRIQUE ARATHOON,1316,ESA,20.0,12.0,20.0,6.0,27.0,9.0,-,-,-,-,-,-,-,-,-,-,-,46.0,47.0,46.0,47.0,39.0,48.0,-,-,-,-,-,-,-,-,-,-,-,-,367.0,292.0
52,KAMOLWAN CHANYIM,2464,THA,4.0,33.0,(44.0),20.0,27.0,-,-,-,-,-,-,-,-,-,-,-,-,45.0,35.0,50.0,(51.0),42.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,352.0,257.0
52,EGAO SUNAGA,1212,JPN,(51.0),(51.0),51.0,50.0,48.0,-,-,-,-,-,-,-,-,-,-,-,-,48.0,47.0,49.0,41.0,33.0,48.0,-,-,-,-,-,-,-,-,-,-,-,-,517.0,415.0
52,"DAVID , O'CONNOR, FANG WARREN",1048,,24.0,17.0,20.0,2.0,19.0,20.0,19.0,2.0,26.0,18.0,22.0,15.0,6.0,16.0,29.0,(33.0),-,24.0,17.0,20.0,2.0,19.0,20.0,19.0,2.0,26.0,18.0,22.0,15.0,6.0,16.0,29.0,(33.0),-,-,288.0,255.0
53,CRISTINA PUJOL BAJO,982,ESP,14.0,31.0,(39.0),32.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,(51.0),45.0,45.0,45.0,29.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,354.0,264.0
53,MAI KAKIMOTO,3007,JPN,46.0,(48.0),46.0,46.0,47.0,-,-,-,-,-,-,-,-,-,-,-,-,50.0,(52.0),42.0,38.0,51.0,52.0,-,-,-,-,-,-,-,-,-,-,-,-,518.0,418.0
53,"HUIJIA YU, YE JIN",1942,,27.0,14.0,25.0,32.0,27.0,27.0,13.0,21.0,23.0,28.0,11.0,25.0,25.0,(37.0),37.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,372.0,335.0
53,"HERNAN UMPIERRE, FERNANDO DIZ",1888,URU,5.0,23.0,22.0,20.0,22.0,18.0,21.0,16.0,1.0,30.0,14.0,(33.0),21.0,9.0,15.0,19.0,-,5.0,23.0,22.0,20.0,22.0,18.0,21.0,16.0,1.0,30.0,14.0,(33.0),21.0,9.0,15.0,19.0,-,-,289.0,256.0
