Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,18Q,Total,Nett
28,"JACOPO PLAZZI, GIACOMO CAVALLI",2067,,22.0,16.0,12.0,24.0,16.0,5.0,(26.0),3.0,2.0,5.0,6.0,16.0,10.0,12.0,7.0,4.0,-,22.0,16.0,12.0,24.0,16.0,5.0,(26.0),3.0,2.0,5.0,6.0,16.0,10.0,12.0,7.0,4.0,-,-,186.0,160.0
28,"MARIA OTTAVIA RAGGIO, JANA GERMANI",3128,,23.0,4.0,24.0,24.0,21.0,14.0,4.0,(28.0),4.0,8.0,2.0,5.0,19.0,5.0,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,190.0,162.0
28,VIKTORIJA ANDRULYTE,5044,LTU,(36.0),30.0,25.0,10.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,39.0,9.0,(53.0),47.0,3.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,267.0,178.0
28,NIK WILLIM,3700,GER,(32.0),16.0,16.0,17.0,5.0,8.0,-,-,-,-,-,-,-,-,-,-,-,5.0,48.0,1.0,40.0,(53.0),18.0,-,-,-,-,-,-,-,-,-,-,-,-,259.0,174.0
28,FEDERICA FRANCHI,1417,POR,43.0,(44.0),43.0,43.0,(47.0),-,-,-,-,-,-,-,-,-,-,-,-,24.0,18.0,26.0,18.0,20.0,36.0,-,-,-,-,-,-,-,-,-,-,-,-,362.0,271.0
28,MALCOLM BENN SMITH,3028,BER,43.0,31.0,(45.0),43.0,(48.0),45.0,-,-,-,-,-,-,-,-,-,-,-,2.0,12.0,34.0,13.0,20.0,30.0,-,-,-,-,-,-,-,-,-,-,-,-,366.0,273.0
29,CHRISTOPHER BARNARD,892,USA,8.0,6.0,(22.0),14.0,12.0,21.0,-,-,-,-,-,-,-,-,-,-,-,37.0,33.0,14.0,5.0,27.0,(47.0),-,-,-,-,-,-,-,-,-,-,-,-,246.0,177.0
29,"TANJA FRANK, LORENA ABICHT",4689,,2.0,25.0,22.0,6.0,15.0,18.0,8.0,16.0,14.0,7.0,13.0,8.0,(26.0),7.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,199.0,173.0
29,VALERIA LOMATCHENKO,4971,RUS,55.0,15.0,32.0,40.0,(57.0),-,-,-,-,-,-,-,-,-,-,-,-,21.0,48.0,10.0,(57.0),25.0,27.0,-,-,-,-,-,-,-,-,-,-,-,-,387.0,273.0
29,HYEON SU YOON,1949,KOR,15.0,26.0,(53.0),(45.0),43.0,39.0,-,-,-,-,-,-,-,-,-,-,-,22.0,45.0,32.0,28.0,11.0,20.0,-,-,-,-,-,-,-,-,-,-,-,-,379.0,281.0
29,SVENJA WEGER,4650,GER,11.0,7.0,12.0,30.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,-,17.0,20.0,32.0,30.0,21.0,(54.0),-,-,-,-,-,-,-,-,-,-,-,-,271.0,180.0
29,IGNACIO RODRIGUEZ,1974,URU,20.0,(35.0),16.0,25.0,22.0,29.0,-,-,-,-,-,-,-,-,-,-,-,11.0,12.0,38.0,17.0,(53.0),35.0,-,-,-,-,-,-,-,-,-,-,-,-,313.0,225.0
29,"THOMAS NEEDHAM, JOEL TURNER",4773,,14.0,14.0,19.0,6.0,17.0,1.0,6.0,15.0,18.0,8.0,31.0,(33.0),1.0,3.0,9.0,2.0,-,14.0,14.0,19.0,6.0,17.0,1.0,6.0,15.0,18.0,8.0,31.0,(33.0),1.0,3.0,9.0,2.0,-,-,197.0,164.0
30,MARTIS PAJARSKAS,3255,LTU,26.0,29.0,(53.0),14.0,24.0,20.0,-,-,-,-,-,-,-,-,-,-,-,33.0,(35.0),8.0,35.0,19.0,24.0,-,-,-,-,-,-,-,-,-,-,-,-,320.0,232.0
