Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,Total,Nett
1,TIMO RIEMENSCHNEIDER,4820,,1.0,1.0,1.0,1.0,1.0,5.0,5.0
2,GRANDT MARVIN,1720,,2.0,2.0,2.0,2.0,2.0,10.0,10.0
3,MIKA HACKENBERG,3477,,3.0,3.0,3.0,3.0,3.0,15.0,15.0
4,NORA KLEMENT,3759,,4.0,4.0,4.0,4.0,4.0,20.0,20.0
5,FABIAN HEINZE,1391,,5.0,5.0,5.0,5.0,5.0,25.0,25.0
6,MELANIE KAYSER,3418,,6.0,6.0,6.0,6.0,6.0,30.0,30.0
7,TIM DALLMANN,4805,,7.0,7.0,7.0,7.0,7.0,35.0,35.0
8,MAXIMILIAN NEST,3382,,10.0,10.0,10.0,10.0,10.0,50.0,50.0
8,MATS STABEN,3312,,10.0,10.0,10.0,10.0,10.0,50.0,50.0
