Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,Total,Nett
1,FREDERICA BRAATZ,1553,,(3.0),2.0,1.0,2.0,1.0,9.0,6.0
2,JOSHUA BAIER,2347,,1.0,1.0,(5.0),1.0,4.0,12.0,7.0
3,OKE NOMMENSEN,3794,,2.0,(4.0),4.0,3.0,3.0,16.0,12.0
4,EMELIE JOY HARDER,1276,,4.0,3.0,2.0,5.0,(6.0),20.0,14.0
5,HANNAH QUINT,1793,,5.0,5.0,(8.0),6.0,2.0,26.0,18.0
6,JAKOB SUIKAT,2082,,6.0,6.0,3.0,4.0,(7.0),26.0,19.0
7,MARCUS ANDERER,3092,,(7.0),7.0,6.0,7.0,5.0,32.0,25.0
8,ELISABETH WEGNER,1254,,(8.0),8.0,7.0,8.0,8.0,39.0,31.0
