Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,Total,Nett
16,"MARIA GIUBILEI, GIANLUIGI UGOLINI",3119,,34.0,22.0,7.0,14.0,25.0,17.0,15.0,4.0,6.0,15.0,27.0,14.0,-,200.0,166.0
16,"CAITLIN ELKS, TESS LLOYD",699,,14.0,17.0,5.0,10.0,15.0,23.0,20.0,11.0,13.0,13.0,10.0,13.0,-,164.0,141.0
16,FILIP JURISIC,1461,CRO,14.0,20.0,14.0,30.0,37.0,8.0,8.0,17.0,-,-,-,-,-,148.0,111.0
17,ANREQOA JISA URUTHIIN PERSON,329,,13.0,25.0,22.0,26.0,31.0,1.0,25.0,13.0,-,-,-,-,-,156.0,125.0
17,"IAGO LOPEZ MARRA, DIEGO BOTIN LE CHEVER",1952,,24.0,23.0,8.0,34.0,27.0,20.0,12.0,8.0,26.0,5.0,24.0,-,-,211.0,177.0
17,"PABLO DEFAZIO ABELLA, MARIANA FOGLIA COSTA",3851,,34.0,6.0,16.0,21.0,12.0,11.0,29.0,18.0,12.0,34.0,13.0,19.0,-,225.0,191.0
17,"ERICA DAWSON, ELLIE COPELAND",1328,,1.0,11.0,19.0,8.0,14.0,20.0,4.0,18.0,25.0,16.0,23.0,18.0,-,177.0,152.0
17,SILVIA ZENNARO,4489,ITA,9.0,8.0,12.0,16.0,15.0,16.0,30.0,9.0,-,-,-,-,-,115.0,99.0
18,"CAROLINA WERNER, PAUL KOHLHOFF",764,,34.0,14.0,23.0,16.0,15.0,23.0,22.0,25.0,21.0,2.0,23.0,9.0,-,227.0,193.0
18,"FRITIOF HEDSTROM, VICTOR VASTERNAS",1576,SWE,22.0,28.0,41.0,29.0,19.0,2.0,16.0,15.0,4.0,41.0,3.0,-,-,220.0,179.0
18,"SILJA KANERVA, SINEM KURTBAY",4478,,16.0,21.0,6.0,19.0,13.0,15.0,14.0,16.0,6.0,23.0,13.0,17.0,-,179.0,156.0
18,MITCHELL KENNEDY,3519,AUS,5.0,19.0,3.0,14.0,34.0,37.0,34.0,16.0,-,-,-,-,-,162.0,125.0
18,ISABELLA-ANNA BERTOLD,2018,,24.0,17.0,18.0,14.0,12.0,1.0,24.0,20.0,-,-,-,-,-,130.0,106.0
19,"FRANCESCO PORRO, LAURA MARIMON GIOVANNETTI",1524,,34.0,16.0,1.0,34.0,34.0,20.0,26.0,14.0,15.0,8.0,10.0,20.0,-,232.0,198.0
19,MONIKA MIKKOLA,3546,FIN,20.0,19.0,10.0,24.0,30.0,14.0,13.0,7.0,-,-,-,-,-,137.0,107.0
19,"MATTHEW MCGOVERN, RYAN SEATON",3334,,32.0,21.0,7.0,11.0,13.0,29.0,32.0,41.0,25.0,16.0,7.0,-,-,234.0,193.0
19,COLIN CHENG,930,SIN,21.0,22.0,13.0,17.0,16.0,30.0,10.0,26.0,-,-,-,-,-,155.0,125.0
19,"MARIA OTTAVIA RAGGIO, PAOLA BERGAMASCHI",3129,ITA,15.0,18.0,11.0,23.0,12.0,18.0,17.0,2.0,19.0,5.0,22.0,22.0,-,184.0,161.0
20,LOVISA KARLSSON,2891,,15.0,16.0,26.0,25.0,8.0,25.0,8.0,12.0,-,-,-,-,-,135.0,109.0
20,"IDA SVENSSON, RASMUS ROSENGREN",1967,,14.0,23.0,8.0,24.0,24.0,28.0,14.0,34.0,8.0,4.0,20.0,34.0,-,235.0,201.0
20,"YANN JAUVIN, KEVIN FISCHER",5209,,27.0,19.0,14.0,19.0,32.0,22.0,15.0,1.0,28.0,30.0,26.0,-,-,233.0,201.0
20,ANDREW MCKENZIE,258,NZL,23.0,41.0,33.0,23.0,8.0,10.0,6.0,23.0,-,-,-,-,-,167.0,126.0
20,"NINA CURTIS, HAYLEE OUTTERIDGE",3729,,19.0,23.0,18.0,12.0,19.0,5.0,12.0,8.0,21.0,21.0,17.0,14.0,-,189.0,166.0
21,ELLIOT HANSON,1263,GBR,12.0,21.0,34.0,41.0,17.0,6.0,23.0,15.0,-,-,-,-,-,169.0,128.0
21,"NICHOLAS FADLER MARTINSEN, MARTINE STELLER MORTENSEN",3646,,34.0,26.0,27.0,4.0,17.0,8.0,19.0,19.0,14.0,17.0,28.0,22.0,-,235.0,201.0
21,JOYCE FLORIDIA,2351,ITA,27.0,15.0,4.0,12.0,20.0,20.0,19.0,22.0,-,-,-,-,-,139.0,112.0
21,"LEWIS BRAKE, DAVID GILMOUR",2779,,17.0,32.0,12.0,16.0,31.0,40.0,31.0,33.0,20.0,7.0,8.0,-,-,247.0,207.0
21,"SASKIA TIDEY, ANDREA BREWSTER",4365,,21.0,15.0,25.0,21.0,24.0,16.0,18.0,24.0,16.0,8.0,8.0,8.0,-,204.0,179.0
22,"NOE DELPECH, JULIEN D'ORTOLI",3748,,13.0,11.0,41.0,31.0,35.0,11.0,33.0,31.0,22.0,9.0,14.0,-,-,251.0,210.0
22,"JUSTIN LIU, DENISE LIM",2432,,34.0,8.0,24.0,11.0,34.0,31.0,17.0,8.0,24.0,25.0,14.0,16.0,-,246.0,212.0
22,"ALBANE DUBOIS, LILI SEBESI",70,,23.0,7.0,22.0,22.0,21.0,13.0,24.0,15.0,25.0,20.0,16.0,24.0,-,232.0,207.0
22,SARA CARMO,4339,,7.0,26.0,28.0,11.0,6.0,23.0,21.0,19.0,-,-,-,-,-,141.0,113.0
22,ELIOT MERCERON,1252,SUI,24.0,18.0,29.0,9.0,25.0,7.0,27.0,25.0,-,-,-,-,-,164.0,135.0
23,"OLIVIA MACKAY, MICAH WILKINSON",3811,,34.0,19.0,22.0,17.0,21.0,21.0,24.0,34.0,18.0,14.0,2.0,21.0,-,247.0,213.0
23,"NICLAS DURING, VICTOR BERGSTROM",3657,,33.0,6.0,41.0,18.0,2.0,15.0,39.0,20.0,17.0,29.0,38.0,-,-,258.0,217.0
23,"OLIVIA PRICE, ELIZA SOLLY",3812,AUS,20.0,19.0,15.0,15.0,20.0,24.0,22.0,23.0,20.0,22.0,15.0,20.0,-,235.0,211.0
23,LUCIE BEN-AMOR,2919,,13.0,29.0,8.0,18.0,9.0,18.0,27.0,30.0,-,-,-,-,-,152.0,122.0
23,LORENZO BRANDO CHIAVARINI,2872,ITA,27.0,30.0,30.0,21.0,5.0,2.0,41.0,22.0,-,-,-,-,-,178.0,137.0
24,"ROBERTO DUBBINI, LUCA DUBBINI",4175,,21.0,16.0,41.0,36.0,28.0,24.0,2.0,12.0,39.0,17.0,23.0,-,-,259.0,218.0
24,"RUPERT WHITE, KIRSTIE URWIN",4248,,12.0,20.0,6.0,23.0,20.0,15.0,28.0,24.0,25.0,22.0,26.0,23.0,-,244.0,216.0
24,MAITE CARLIER,3017,BEL,22.0,28.0,13.0,19.0,18.0,7.0,23.0,27.0,-,-,-,-,-,157.0,129.0
24,"CHARLOTTE HEIJSTEK, JESKE KISTERS",826,,22.0,24.0,25.0,18.0,23.0,22.0,21.0,20.0,22.0,25.0,5.0,21.0,-,248.0,223.0
24,LUKE ELLIOTT,2961,AUS,2.0,17.0,25.0,22.0,23.0,25.0,31.0,24.0,-,-,-,-,-,169.0,138.0
25,"LUKASZ PRZYBYTEK, PAWEL KOLODZINSKI",2957,,41.0,41.0,4.0,14.0,24.0,33.0,37.0,2.0,27.0,6.0,33.0,-,-,262.0,221.0
25,"NICOLE VAN DER VELDEN, THIJS VISSER",3688,,9.0,34.0,26.0,27.0,18.0,25.0,20.0,23.0,17.0,26.0,19.0,17.0,-,261.0,227.0
25,ZAN LUKA ZELKO,5260,SLO,35.0,34.0,15.0,1.0,29.0,12.0,21.0,29.0,-,-,-,-,-,176.0,141.0
25,CAREN NIEZEN,724,NED,19.0,24.0,19.0,23.0,10.0,19.0,17.0,23.0,-,-,-,-,-,154.0,130.0
26,ANTONY MUNOS,347,FRA,20.0,26.0,21.0,19.0,35.0,17.0,30.0,12.0,-,-,-,-,-,180.0,145.0
26,"BENJAMIN BILDSTEIN, DAVID HUSSL",507,AUT,10.0,41.0,16.0,28.0,34.0,6.0,20.0,41.0,32.0,20.0,16.0,-,-,264.0,223.0
