Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,Total,Nett
7,"YAGO LANGE, KLAUS LANGE",5194,,-,-,-,-,-,-,-,3.0,17.0,3.0,2.0,2.0,4.0,(26.0),15.0,6.0,10.0,21.0,5.0,(26.0),4.0,10.0,20.0,174.0,122.0
7,ALISON YOUNG,163,GBR,(37.0),32.0,(34.0),25.0,4.0,5.0,-,3.0,2.0,14.0,1.0,15.0,-,-,-,-,-,-,-,-,-,-,-,172.0,101.0
8,NIK PLETIKOS,3699,SLO,(41.0),36.0,34.0,33.0,18.0,(49.0),28.0,8.0,20.0,4.0,26.0,18.0,-,-,-,-,-,-,-,-,-,-,-,315.0,225.0
8,"ALEXANDRA MALONEY, MOLLY MEECH",130,NZL,-,-,-,-,-,-,-,(12.0),11.0,4.0,9.0,6.0,3.0,11.0,4.0,8.0,(19.0),7.0,1.0,2.0,14.0,19.0,6.0,136.0,105.0
8,KACPER ZIEMINSKI,2446,POL,24.0,3.0,6.0,2.0,14.0,(36.0),8.0,9.0,16.0,17.0,(43.0),4.0,7.0,-,-,-,-,-,-,-,-,-,-,189.0,110.0
8,ANNA POHLAK,300,EST,17.0,(34.0),24.0,15.0,19.0,(30.0),-,28.0,8.0,18.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,141.0,205.0
8,ALEXANDR DENISIUC,127,MDA,(39.0),(54.0),10.0,18.0,10.0,20.0,16.0,20.0,22.0,4.0,36.0,27.0,-,-,-,-,-,-,-,-,-,-,-,276.0,183.0
8,"NICO LUCA MARC DELLE KARTH, NIKOLAUS LEOPOLD RESCH",3665,,-,-,-,-,-,-,-,(14.0),7.0,6.0,13.0,6.0,4.0,8.0,9.0,3.0,(24.0),16.0,7.0,14.0,10.0,19.0,4.0,164.0,126.0
8,MANAMI DOI,3044,JPN,3.0,10.0,3.0,(17.0),5.0,1.0,-,13.0,20.0,(47.0),41.0,8.0,-,-,-,-,-,-,-,-,-,-,-,168.0,104.0
9,"ANNEMIEK BEKKERING, ANNETTE DUETZ",321,NED,-,-,-,-,-,-,-,(15.0),4.0,7.0,12.0,11.0,10.0,6.0,5.0,2.0,12.0,9.0,7.0,11.0,(13.0),1.0,14.0,139.0,111.0
9,ELENA VOROBEVA,1240,CRO,38.0,27.0,33.0,19.0,17.0,(46.0),-,12.0,2.0,(51.0),3.0,-,-,-,-,-,-,-,-,-,-,-,-,151.0,248.0
9,PAVLOS KONTIDES,3933,CYP,4.0,2.0,5.0,6.0,(47.0),34.0,18.0,2.0,6.0,12.0,3.0,(36.0),21.0,-,-,-,-,-,-,-,-,-,-,196.0,113.0
9,MAXIME JONKER,3375,NED,6.0,14.0,(46.0),5.0,2.0,7.0,-,16.0,24.0,(35.0),7.0,29.0,-,-,-,-,-,-,-,-,-,-,-,191.0,110.0
9,"DIEGO BOTIN, IAGO LOPEZ MARRA",1125,,-,-,-,-,-,-,-,1.0,21.0,17.0,4.0,3.0,11.0,(29.0),3.0,19.0,(23.0),13.0,10.0,4.0,3.0,5.0,12.0,178.0,126.0
9,ANDREW MCKENZIE,258,NZL,25.0,13.0,26.0,9.0,(37.0),13.0,34.0,15.0,1.0,(45.0),34.0,16.0,-,-,-,-,-,-,-,-,-,-,-,268.0,186.0
9,MATEJ VALIC,3267,SLO,35.0,(42.0),35.0,26.0,(49.0),17.0,30.0,17.0,13.0,30.0,27.0,6.0,-,-,-,-,-,-,-,-,-,-,-,327.0,236.0
10,LORENZO BRANDO CHIAVARINI,2872,ITA,16.0,8.0,1.0,5.0,11.0,1.0,(27.0),(39.0),1.0,37.0,12.0,18.0,6.0,-,-,-,-,-,-,-,-,-,-,182.0,116.0
10,"DYLAN FLETCHE, R-SCOTT, ALAIN SIGN",1188,,-,-,-,-,-,-,-,18.0,11.0,5.0,(32.0),10.0,15.0,5.0,1.0,15.0,4.0,15.0,14.0,(18.0),5.0,6.0,14.0,188.0,138.0
10,KANAKO HIRUTA,2467,JPN,28.0,29.0,32.0,(40.0),(51.0),14.0,-,24.0,9.0,10.0,8.0,-,-,-,-,-,-,-,-,-,-,-,-,154.0,245.0
10,MARTIS PAJARSKAS,3255,LTU,43.0,28.0,(49.0),20.0,(46.0),46.0,9.0,11.0,12.0,31.0,29.0,12.0,-,-,-,-,-,-,-,-,-,-,-,336.0,241.0
10,"AUDE COMPAN, SARAH STEYAERT",413,,-,-,-,-,-,-,-,3.0,1.0,1.0,9.0,7.0,7.0,10.0,(12.0),3.0,9.0,20.0,24.0,6.0,8.0,(25.0),20.0,165.0,128.0
10,FREDERICK VRANIZAN,1556,USA,(37.0),34.0,5.0,35.0,9.0,13.0,(37.0),24.0,11.0,29.0,17.0,11.0,-,-,-,-,-,-,-,-,-,-,-,262.0,188.0
10,ERIKA REINEKE,1342,USA,4.0,10.0,18.0,6.0,8.0,(51.0),-,22.0,(29.0),13.0,15.0,16.0,-,-,-,-,-,-,-,-,-,-,-,192.0,112.0
11,SILVIA ZENNARO,4489,ITA,25.0,29.0,(31.0),28.0,31.0,20.0,-,16.0,10.0,(51.0),2.0,-,-,-,-,-,-,-,-,-,-,-,-,161.0,243.0
11,RYAN PALK,4258,AUS,8.0,11.0,29.0,(32.0),3.0,(36.0),26.0,4.0,5.0,8.0,17.0,2.0,5.0,-,-,-,-,-,-,-,-,-,-,186.0,118.0
11,ASHLEY STODDART,403,AUS,15.0,18.0,(39.0),11.0,13.0,(28.0),-,10.0,6.0,15.0,18.0,6.0,-,-,-,-,-,-,-,-,-,-,-,179.0,112.0
11,HUICHAO CHEN,1938,CHN,17.0,24.0,19.0,(27.0),21.0,24.0,(39.0),1.0,14.0,23.0,21.0,25.0,-,-,-,-,-,-,-,-,-,-,-,255.0,189.0
11,KAZUMASA SEGAWA,2520,JPN,(45.0),(43.0),37.0,33.0,30.0,21.0,37.0,16.0,18.0,15.0,4.0,34.0,-,-,-,-,-,-,-,-,-,-,-,333.0,245.0
11,"WILL PHILLIPS, SAM PHILLIPS",5133,AUS,-,-,-,-,-,-,-,12.0,22.0,10.0,3.0,(32.0),12.0,6.0,9.0,21.0,7.0,(23.0),8.0,9.0,18.0,2.0,-,194.0,139.0
11,"VICTORIA TRAVASCIO, MARIA SOL BRANZ",5034,ARG,-,-,-,-,-,-,-,13.0,16.0,5.0,(17.0),7.0,7.0,6.0,16.0,(12.0),8.0,4.0,4.0,4.0,10.0,9.0,-,138.0,109.0
12,"PAVLE KOSTOV, PETAR CUPAC",3931,CRO,-,-,-,-,-,-,-,4.0,1.0,1.0,(32.0),6.0,7.0,19.0,29.0,11.0,16.0,5.0,(23.0),6.0,14.0,20.0,-,194.0,139.0
12,ENRICO STRAZZERA,1314,ITA,20.0,30.0,19.0,(54.0),(51.0),10.0,3.0,10.0,13.0,41.0,39.0,6.0,-,-,-,-,-,-,-,-,-,-,-,296.0,191.0
12,ANNA WEINZIEHER,304,POL,21.0,(28.0),14.0,27.0,23.0,21.0,-,8.0,22.0,25.0,(28.0),-,-,-,-,-,-,-,-,-,-,-,-,161.0,217.0
12,"VICTORIA JURCZOK, ANIKA LORENZ",5029,GER,-,-,-,-,-,-,-,9.0,3.0,8.0,7.0,4.0,(23.0),10.0,11.0,13.0,6.0,12.0,18.0,10.0,(25.0),4.0,-,163.0,115.0
12,SAM VANDORMAEL,4293,BEL,(49.0),32.0,20.0,31.0,23.0,(47.0),36.0,19.0,7.0,27.0,25.0,27.0,-,-,-,-,-,-,-,-,-,-,-,343.0,247.0
12,TONCI STIPANOVIC,4903,CRO,11.0,13.0,4.0,14.0,1.0,(24.0),6.0,1.0,36.0,3.0,14.0,17.0,(43.0),-,-,-,-,-,-,-,-,-,-,187.0,120.0
