Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,M0Q,M1Q,M2Q,M3Q,Total,Nett
17,MICHAL POLAK,3458,POL,3.0,13.0,7.0,(37.0),17.0,18.0,21.0,16.0,9.0,(23.0),-,-,-,-,-,-,-,-,-,-,164.0,104.0
17,HELLE OPPEDAL,1862,,-,-,-,-,13.0,5.0,7.0,9.0,11.0,5.0,18.0,8.0,(24.0),13.0,16.5,(24.0),-,-,-,-,153.5,105.5
18,ANDY BROWM,272,,21.0,(37.0),1.0,1.0,7.0,53.0,11.0,7.0,16.0,(54.0),-,-,-,-,-,-,-,-,-,-,208.0,117.0
18,NAAMA GAZIT,3587,,-,-,-,-,7.0,7.0,5.0,5.0,3.0,15.0,21.0,19.0,(27.0),(24.0),15.0,18.0,-,-,-,-,166.0,115.0
19,AMADO VRIESWIJK,177,,(27.0),7.0,13.0,7.0,33.0,6.0,25.0,(75.0),13.0,17.0,-,-,-,-,-,-,-,-,-,-,223.0,121.0
19,LENA ERDIL,2738,,-,-,-,-,19.0,9.0,21.0,15.0,(35.0),7.0,(25.0),5.0,22.0,3.0,4.0,25.0,-,-,-,-,190.0,130.0
20,VARDIMON TOMER,4992,,7.0,7.0,(11.0),11.0,(36.0),27.0,16.0,18.0,21.0,18.0,-,-,-,-,-,-,-,-,-,-,172.0,125.0
20,MARION MORTEFON,3174,,-,-,-,-,7.0,15.0,9.0,5.0,7.0,9.0,24.0,18.0,18.0,21.0,(27.0),(32.0),-,-,-,-,192.0,133.0
21,YOAV OMER,5226,ISR,15.0,3.0,7.0,(29.0),18.0,(36.0),23.0,12.0,22.0,27.0,-,-,-,-,-,-,-,-,-,-,192.0,127.0
21,MANON PIANAZZA,3059,FRA,-,-,-,-,5.0,1.0,17.0,(35.0),7.0,17.0,9.0,23.0,(30.0),26.0,20.0,19.0,-,-,-,-,209.0,144.0
22,RUTKOWSKI MACIEK,4253,,3.0,25.0,(37.0),3.0,41.0,31.0,(51.0),13.0,7.0,6.0,-,-,-,-,-,-,-,-,-,-,217.0,129.0
22,DELPHINE COUSIN,1084,FRA,-,-,-,-,21.0,17.0,27.0,1.0,29.0,5.0,13.0,(33.0),19.0,12.0,(69.0),7.0,-,-,-,-,253.0,151.0
23,GIORGIA SPECIALE,1674,ITA,-,-,-,-,1.0,15.0,11.0,5.0,15.0,9.0,15.0,31.0,(38.0),(37.0),23.0,28.0,-,-,-,-,228.0,153.0
