Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,Total,Nett
12,"CARL P SYLVAN, MARCUS ANJEMARK",732,SWE,-,-,-,-,-,-,-,-,16.0,12.0,16.0,7.0,8.0,5.0,4.0,(21.0),16.0,2.0,4.0,3.0,20.0,(23.0),6.0,-,163.0,119.0
12,TINA MIHELIC,4827,CRO,7.0,(17.0),15.0,15.0,6.0,5.0,12.0,-,14.0,(26.0),1.0,12.0,24.0,11.0,-,-,-,-,-,-,-,-,-,-,165.0,122.0
12,CY THOMPSON,993,ISV,20.0,29.0,39.0,28.0,15.0,38.0,34.0,(48.0),(57.0),6.0,7.0,9.0,18.0,-,-,-,-,-,-,-,-,-,-,-,348.0,243.0
13,GIOVANNI COCCOLUTO,1678,ITA,(23.0),10.0,8.0,16.0,12.0,21.0,7.0,4.0,18.0,(41.0),32.0,2.0,1.0,5.0,-,-,-,-,-,-,-,-,-,-,200.0,136.0
13,"DAVID GILMOUR, LEWIS BRAKE",1055,AUS,-,-,-,-,-,-,-,-,5.0,20.0,(27.0),26.0,23.0,1.0,4.0,4.0,13.0,6.0,6.0,7.0,(23.0),1.0,4.0,-,170.0,120.0
13,JUSTIN NORTON,2433,CAN,27.0,39.0,37.0,23.0,30.0,(41.0),(40.0),33.0,4.0,9.0,17.0,5.0,22.0,-,-,-,-,-,-,-,-,-,-,-,327.0,246.0
13,SARAH GUNNI TOFTEDAL,4348,DEN,2.0,(19.0),16.0,1.0,5.0,11.0,16.0,-,(23.0),8.0,17.0,20.0,22.0,7.0,-,-,-,-,-,-,-,-,-,-,167.0,125.0
13,"PARIS HENKEN, HELENA SCUTT",3881,USA,-,-,-,-,-,-,-,-,14.0,5.0,(16.0),5.0,4.0,2.0,4.0,9.0,22.0,11.0,7.0,14.0,18.0,(23.0),-,-,154.0,115.0
13,ANDREA NORDQUIST,233,SUI,25.0,(34.0),10.0,22.0,16.0,20.0,(26.0),-,14.0,24.0,13.0,11.0,17.0,17.0,-,-,-,-,-,-,-,-,-,-,249.0,189.0
14,TIRIL BUE,4830,NOR,9.0,4.0,11.0,(25.0),17.0,10.0,12.0,-,5.0,(31.0),18.0,10.0,14.0,19.0,-,-,-,-,-,-,-,-,-,-,185.0,129.0
14,"JUSTUS SCHMIDT, MAX BOEHME",2439,GER,-,-,-,-,-,-,-,-,13.0,(27.0),3.0,16.0,19.0,17.0,9.0,3.0,20.0,14.0,3.0,1.0,1.0,(22.0),18.0,-,186.0,137.0
14,"TESS LLOYD, CAITLIN ELKS",4721,AUS,-,-,-,-,-,-,-,-,3.0,13.0,(19.0),4.0,11.0,13.0,11.0,3.0,11.0,8.0,(17.0),16.0,14.0,12.0,-,-,155.0,119.0
14,CARLY BROUSSARD,756,USA,20.0,(29.0),25.0,18.0,(31.0),12.0,29.0,-,22.0,11.0,19.0,4.0,18.0,16.0,-,-,-,-,-,-,-,-,-,-,254.0,194.0
14,AGUSTIN VIDAL INCATASCIATO,41,ARG,10.0,40.0,(41.0),(42.0),34.0,26.0,27.0,31.0,11.0,22.0,15.0,14.0,25.0,-,-,-,-,-,-,-,-,-,-,-,338.0,255.0
14,FRANCESCO MARRAI,1523,ITA,19.0,5.0,3.0,3.0,15.0,(57.0),1.0,7.0,30.0,13.0,1.0,(57.0),4.0,40.0,-,-,-,-,-,-,-,-,-,-,255.0,141.0
15,MAXIME JONKER,3375,NED,14.0,4.0,12.0,(27.0),13.0,12.0,7.0,-,13.0,4.0,23.0,(24.0),21.0,8.0,-,-,-,-,-,-,-,-,-,-,182.0,131.0
15,"NINA KEIJZER, CLAIRE BLOM",3731,NED,-,-,-,-,-,-,-,-,12.0,7.0,8.0,6.0,(13.0),7.0,10.0,10.0,4.0,12.0,18.0,19.0,11.0,(20.0),-,-,157.0,124.0
15,CHRISTINA SAKELLARIS,883,USA,(34.0),26.0,30.0,30.0,20.0,22.0,(33.0),-,4.0,6.0,21.0,27.0,7.0,7.0,-,-,-,-,-,-,-,-,-,-,267.0,200.0
15,SAM MEECH,4288,NZL,20.0,7.0,(21.0),7.0,1.0,4.0,3.0,8.0,(34.0),28.0,6.0,32.0,11.0,14.0,-,-,-,-,-,-,-,-,-,-,196.0,141.0
15,KHAIRULNIZAM MOHD AFENDY,2555,MAS,19.0,34.0,34.0,(38.0),32.0,31.0,33.0,(40.0),17.0,19.0,23.0,13.0,4.0,-,-,-,-,-,-,-,-,-,-,-,337.0,259.0
15,"JACOPO PLAZZI, UMBERTO MOLINERIS",2068,ITA,-,-,-,-,-,-,-,-,4.0,16.0,7.0,(23.0),12.0,6.0,21.0,7.0,6.0,16.0,2.0,15.0,15.0,(19.0),19.0,-,188.0,146.0
16,"CARLOS PAZ BLANCO, ANTON PAZ",743,,-,-,-,-,-,-,-,-,4.0,7.0,5.0,(18.0),2.0,17.0,12.0,17.0,12.0,11.0,12.0,8.0,19.0,20.0,(21.0),-,185.0,146.0
16,PALOMA SCHMIDT GUTIERREZ,3866,PER,18.0,24.0,23.0,20.0,18.0,21.0,(25.0),-,11.0,(27.0),18.0,14.0,15.0,23.0,-,-,-,-,-,-,-,-,-,-,257.0,205.0
16,"OLIVIA PRICE, ELIZA SOLLY",3812,AUS,-,-,-,-,-,-,-,-,15.0,(20.0),3.0,15.0,7.0,7.0,12.0,5.0,1.0,15.0,16.0,(22.0),20.0,9.0,-,-,167.0,125.0
16,DAPHNE VAN DER VAART,1044,NED,5.0,9.0,18.0,5.0,8.0,10.0,(22.0),-,19.0,19.0,20.0,(31.0),9.0,13.0,-,-,-,-,-,-,-,-,-,-,188.0,135.0
16,PAVLOS KONTIDES,3933,CYP,9.0,16.0,17.0,1.0,6.0,(26.0),9.0,3.0,1.0,1.0,2.0,38.0,39.0,(48.0),-,-,-,-,-,-,-,-,-,-,216.0,142.0
16,FREDRIK WESTMAN,1566,FIN,31.0,30.0,36.0,32.0,(39.0),25.0,30.0,(43.0),6.0,14.0,26.0,20.0,9.0,-,-,-,-,-,-,-,-,-,-,-,341.0,259.0
17,"BENJAMIN BILDSTEIN, DAVID HUSSL",507,AUT,-,-,-,-,-,-,-,-,3.0,8.0,(35.0),10.0,18.0,8.0,21.0,19.0,10.0,(24.0),16.0,17.0,11.0,5.0,3.0,-,208.0,149.0
17,DOLORES MOREIRA FRASCHINI,1156,URU,2.0,15.0,10.0,2.0,14.0,3.0,(19.0),-,2.0,(35.0),29.0,2.0,27.0,31.0,-,-,-,-,-,-,-,-,-,-,191.0,137.0
17,"HELENE NAESS, MARIE RONNINGEN",1860,NOR,-,-,-,-,-,-,-,-,16.0,3.0,(20.0),18.0,3.0,8.0,7.0,16.0,19.0,(21.0),8.0,3.0,19.0,5.0,-,-,166.0,125.0
17,KACPER ZIEMINSKI,2446,POL,8.0,8.0,2.0,4.0,7.0,(17.0),12.0,10.0,12.0,20.0,18.0,(37.0),13.0,29.0,-,-,-,-,-,-,-,-,-,-,197.0,143.0
17,MILDA EIDUKEVICIUTE,3491,LTU,28.0,14.0,24.0,(37.0),26.0,25.0,30.0,-,9.0,13.0,14.0,(36.0),9.0,15.0,-,-,-,-,-,-,-,-,-,-,280.0,207.0
17,KAZUMASA SEGAWA,2520,JPN,35.0,(36.0),28.0,30.0,(37.0),35.0,31.0,23.0,15.0,4.0,34.0,22.0,5.0,-,-,-,-,-,-,-,-,-,-,-,335.0,262.0
18,YANIC GENTRY,5208,MEX,(44.0),(35.0),35.0,34.0,21.0,16.0,31.2,34.0,24.0,7.0,8.0,23.0,29.0,-,-,-,-,-,-,-,-,-,-,-,341.2,262.2
18,"VICTORIA TRAVASCIO, MARIA SOL BRANZ",5034,ARG,-,-,-,-,-,-,-,-,8.0,(15.0),14.0,9.0,13.0,15.0,3.0,6.0,16.0,16.0,(19.0),1.0,10.0,16.0,-,-,161.0,127.0
18,ANDY MALONEY,274,NZL,11.0,3.0,20.0,11.0,3.0,(57.0),22.0,10.0,15.0,16.0,23.0,6.0,(25.0),7.0,-,-,-,-,-,-,-,-,-,-,229.0,147.0
18,LUCIA FALASCA,2914,ARG,4.0,12.0,2.0,7.0,11.0,1.0,(21.0),-,(37.0),27.0,19.0,28.0,12.0,23.0,-,-,-,-,-,-,-,-,-,-,204.0,146.0
18,"LUCA DUBBINI, ROBERTO DUBBINI",2900,ITA,-,-,-,-,-,-,-,-,13.0,15.0,(18.0),16.0,12.0,14.0,14.0,11.0,7.0,20.0,15.0,(22.0),8.0,14.0,11.0,-,210.0,170.0
18,CELINE THERESE HERUD,803,NOR,24.0,30.0,(32.0),26.0,23.0,26.0,18.0,-,16.0,19.0,24.0,2.0,8.0,(36.0),-,-,-,-,-,-,-,-,-,-,284.0,216.0
19,CHARLOTTE ROSE,828,USA,19.0,(27.0),24.0,24.0,23.0,18.0,22.0,-,21.0,16.0,(36.0),28.0,13.0,9.0,-,-,-,-,-,-,-,-,-,-,280.0,217.0
19,NICHOLAS HEINER,3648,NED,11.0,9.0,19.0,19.0,7.0,18.0,(21.0),19.0,8.0,8.0,17.0,4.0,8.0,(32.0),-,-,-,-,-,-,-,-,-,-,200.0,147.0
19,MATTHEW RYDER,3335,CAN,32.0,25.0,18.0,(46.0),35.0,34.0,34.0,46.0,(57.0),10.0,14.0,4.0,11.0,-,-,-,-,-,-,-,-,-,-,-,366.0,263.0
19,"ERICA DAWSON, ELLIE COPELAND",1328,,-,-,-,-,-,-,-,-,4.0,8.0,10.0,11.0,(22.0),6.0,5.0,12.0,14.0,18.0,14.0,17.0,(21.0),11.0,-,-,173.0,130.0
19,SUSANNAH PYATT,4643,NZL,12.0,20.0,5.0,(29.0),8.0,23.0,16.0,-,26.0,16.0,8.0,(35.0),8.0,9.0,-,-,-,-,-,-,-,-,-,-,215.0,151.0
19,"MANU DYEN, STEPHANE CHRISTIDIS",3063,,-,-,-,-,-,-,-,-,7.0,1.0,(35.0),17.0,20.0,2.0,26.0,7.0,22.0,10.0,(19.0),18.0,12.0,8.0,26.0,-,230.0,176.0
20,"LISA ERICSON, HANNA KLINGA",2839,SWE,-,-,-,-,-,-,-,-,(13.0),6.0,8.0,1.0,5.0,10.0,5.0,9.0,21.0,20.0,21.0,(23.0),9.0,19.0,-,-,170.0,134.0
20,"YUKIO MAKINO, KENJI TAKAHASHI",5241,,-,-,-,-,-,-,-,-,11.0,19.0,9.0,9.0,1.0,(22.0),17.0,13.0,17.0,17.0,22.0,23.0,(26.0),6.0,13.0,-,225.0,177.0
20,ERIK BOWERS,1334,USA,27.0,33.6,(42.0),37.0,25.0,37.0,38.0,22.0,(57.0),5.0,4.0,7.0,33.0,-,-,-,-,-,-,-,-,-,-,-,367.6,268.6
20,CLAIRE MERRY,906,CAN,(37.0),25.0,27.0,28.0,30.0,15.0,10.0,-,25.0,15.0,(36.0),7.0,19.0,18.0,-,-,-,-,-,-,-,-,-,-,292.0,219.0
20,WANNES VAN LAER,5088,BEL,12.0,(15.0),3.0,6.0,10.0,4.0,2.0,2.0,(46.0),19.0,46.0,23.0,2.0,23.0,-,-,-,-,-,-,-,-,-,-,213.0,152.0
20,MARTHE EIDE,3218,NOR,(25.0),9.0,6.0,16.0,15.0,5.0,4.0,-,11.0,13.0,31.0,(34.0),23.0,22.0,-,-,-,-,-,-,-,-,-,-,214.0,155.0
21,SARAH DOUGLAS,4346,CAN,15.0,19.0,9.0,17.0,10.0,(37.0),5.0,-,8.0,10.0,16.0,29.0,(32.0),17.0,-,-,-,-,-,-,-,-,-,-,224.0,155.0
21,"JUDGE RYAN, HANS HENKEN",2371,USA,-,-,-,-,-,-,-,-,23.0,17.0,3.0,5.0,6.0,(27.0),3.0,20.0,13.0,23.0,(25.0),20.0,13.0,10.0,24.0,-,232.0,180.0
21,FREDERICK VRANIZAN,1556,USA,18.0,31.0,27.0,29.0,39.0,(48.0),33.0,(40.0),23.0,13.0,27.0,33.0,12.0,-,-,-,-,-,-,-,-,-,-,-,373.0,285.0
21,ANNA WEIS,305,USA,31.0,13.0,(33.0),14.0,30.0,25.0,20.0,-,15.0,30.0,(36.0),17.0,21.0,14.0,-,-,-,-,-,-,-,-,-,-,299.0,230.0
