,Rating
"BERTHET, NILSEN",1214.4296350538648
"DYLAN JANUS, CONOR HAY",1214.4785323788924
"AHMED AL HASANI, ABDULRAHMAN AL MASHARI",1214.764854742293
"BEN CRIPTON, RAFAEL PEDRO",1214.830689813489
"DAVE EVANS ,  ED POWYS",1215.2922831196797
"WUNDERLE MANUEL, WIELAND FELIX",1215.4009200105384
"EDOARDO CAMPOLI, LORENZO CIANCHI",1217.6257136572087
"PETER LIN JANEZIC, ANZE PODLOGAR",1217.9153136746672
"DYLAN JONES, EDWARD COLEMAN",1219.20370776127
"MAX BOEHME, JUSTUS SCHMIDT",1219.5457993859038
"JAMES OLSSON, HENRIK ERIKSSON",1219.7673283816173
"MARKO SMOLIC, JURAJ RADACIC",1222.4131765982709
"JUHO KOTIRANTA, ROBIN BERNER",1223.6128935006077
"DUNCAN GREGOR, FREDDIE LONSDALE",1223.9875388178536
"WILLIAM BRIDGE, JOSHUA SLOMAN",1224.1296771607974
"REGNAULT MERIK, GASQUET ARISTIDE",1225.4863337559586
"BONGJIN CHAE, DONGWOOK KIM",1225.8189462775413
"LOUIS CHAMBET, ENZO LOBRY",1226.2878366453651
"MARCINIAK JAN, JAROCKI ROBERT",1228.8098171135643
"EVAN SJOSTEDT, GARRETT BROWN",1229.1523977256513
"OSCAR SILEN ,  ARTHUR THERMAN",1229.2403561328058
"LIAM WALZ, ABIE GRIGGS",1230.389757527908
"DOLIANITIS, GIOTOPOULOS",1231.3111142868083
"KJELL HASCHEN, IVEN ANTON FROMM",1231.3506364963475
"JOAKIM SALSKOV-IVERSEN, MARCUS BAY",1231.7373729761669
"NICO DELLE - KARTH, NIKOLAUS RESCH",1232.0743670246786
"CMOARSCDIIAN,I , GPIIAENTRMOARCO",1232.2831802295398
"UBERTO CRIVELLI VISCONTI, LEONARDO CHISTE",1233.7317791990574
"HAYDEN BROWN, MACKENZIE BIRD",1233.7418057392465
"DANIEL BJORNHOLT, NICKLAS HEIDE-JORGENSEN",1234.9002405775655
"BEDIA JUAN EMIGDIO, PEREZ VICTOR",1236.4652009742426
"THAKUR, RANGAD",1237.6326898288658
"STEPHEN MORRISON, ED POWYS",1239.120416600008
"MAX STINGELE ,  LUKAS SCHAPER",1239.401359838019
"NIKOLAJ HOFFMANN BUHL, MATHIAS BERTHET",1240.2293770370436
"MATTHEW GRAHAM, ALEXANDER HUME",1241.2963016067336
"SAM CURTIS, BEN CLEGG",1242.2581458235911
"BEAU JUNK, ALEXANDER MARINELLI",1243.31610330642
"MARK HASSETT, OISIN O DRISCOLL",1243.6109678439407
"KMEANRNTIISN,H ,A MNAATLOOLE",1244.0655694898544
"MIKKOLA MARTIN, HSS IHAMUOTILA MARKUS",1247.363384580914
"PRZYBYTEK, PIASECKI",1248.562819126349
"JAMES OLSSON ,  HENRIK ERIKSSON",1249.4908592741162
"VALENTIN MULLER, MORITZ FIEBIG",1250.0463432963702
"GILLIES MUNRO, DANIEL HARRIS",1251.981268738032
"JUSTUS SCHMIDT, JUSTUS SCHMIDT, MAX BOEHME",1252.294648525945
"HAYDEN HARDING, CASEY BATES",1252.8537677030588
"LUKASZ PRZYBYTEK, PAWEL KOLODZINSKI",1252.9192796045122
"DAVID AMES, PJ BUHLER",1253.3455907863558
"JENS-CHRISTIAN DEHN-TOFTEHOJ, MADS FUGLBJERG",1253.9501994439065
"EMIL JARUDD, JULIUS HALLSTROM",1254.268828700772
"BGEORUTLIONN, ,Y COOUREENNNTIN",1255.7607395814941
"TELIS ATHANASOPOULOS YOGO, GEORGE TSOULFAS",1255.9635539102217
"ED POWYS, DAVID EVANS",1257.2507410028654
"EMIL KJAER, CARL LAURITS SCHOUW NIELSEN",1257.81730528398
"ENRIQUE LUJAN MORA, ANTONIO TORRADO",1258.184803137643
"MICKEY MARTIN, ARNE BOHM",1258.8091667368976
"EETU KOTIRANTA ,  TOM WENDT",1259.5115094895305
"JOHN JACK GOGAN, HUNTER HOY",1260.988572382739
"JESPER BAHR, FYNN KAUFHOLD",1264.0399043298762
"COSTA, BOLINA",1264.3180853586803
"NICKLAS HOJEGAARD, VICTOR LOMHOLT",1265.1358720215135
"MICHAEL SABOURIN, ANDREW PERSON",1265.3034139449057
"GASTON TERRAB, FEDERICO GARCIA",1265.348397782637
"JOAKIM SALSKO, V-IVERSEN, MARCUS BAY",1266.1799073088025
"FIN ARMSTRONG, EWAN GRIBBIN",1266.7290309250056
"JACOB CLASEN, JOHANNES DREESEN",1267.0876097466828
"SCBOHHNIANGEJ, I NBSOANNGGMJIINN,",1267.372519039072
"KOSTIS KAZANTZIS, ANGELOS BOUMPOURAS",1267.7244225978716
"BARRIO GARCIA NUNEZ, TORRES FRAN",1268.9333502893962
"JACOB CLASEN ,  JOHANNES DREESEN",1269.4659816191343
"JULIEN , D'ORTOLI, NOE DELPECH",1269.5822722193402
"MAOR ABU, YAM WIRTHEIM",1270.83567553657
"PETROS KONSTANTINIDIS, VAGELIS DOLIANITIS",1271.2761804835638
"PIRMIN SABLATNIG, JOHANNES SABLATNIG",1274.2519580896285
"TERUAKI SHIMAKURA, KAMISONODA SHINTARO SEIJI",1277.1593636864434
"ALEXANDER HEINZEMANN, CLIFTON KARTNER",1277.1729839127856
"STYLIANOS SOTIRIOU, DIMITRIOS BENAKIS",1277.2640296865006
"MARKUS SOMERVILLE, AARON HUME-MERRY",1278.2883840919983
"SAMUEL CURTIS, BENJAMIN CRAGG",1278.6999440667655
"MIN GYU JEONG, JOONOH JIN",1278.748773354186
"KOH, TAN",1278.8540534231845
"KOARGFIAANLOISS,,  IPOAAVLNONSIS",1278.904783352797
"SAMUEL CURTIS ,  BENJAMIN CLEGG",1279.356958034883
"ENGSTROM OSCAR, WESTBERG HUGO",1279.6128899703435
"RHYS MARA, DAVID GILMOUR",1279.9764424270936
"SALSKOV-IVERSEN JOAKIM, HEIDE-JORGENSEN NICKLAS",1281.211447523263
"KURT HANSEN, HARRY MORTON",1281.681886121421
"ALVES, ALVES",1283.7864877623806
