,Rating
VITTECOQ CORALIE,1319.1998816945993
DAN SELF,1319.6948989986859
TAMM ELISA,1320.6439288911674
CLEMENTINE THOMPSON,1321.0084990584357
INES GMATI,1322.6398532585588
LENNART SEEBURG,1322.803101566532
MIA LILIENTHAL,1324.5773390951467
LISBETZY ROJO SALAZAR,1324.9428059925876
ALISON YOUNG,1325.0942315942505
LENA MARIE FISCHER,1325.775864904043
ANDELA DE MICHELI VITTURI,1326.2331388171679
PARK JEONGBIN,1327.299912809691
PALOMA SCHMIDT GUTIERREZ,1327.8316872469177
ESTHER GHEKIERE,1328.046194875316
JULIEN KUPFERMUNZ,1328.131209451874
CORREA PONS MARIA ALEJANDRA,1328.5409627261256
OLAV STANDNES GRONLUND,1328.6176891797677
MARTIS PAJARSKAS,1328.7467402857221
GUDLEIK KJOPSNES,1328.9983286902525
ARMANDO MORENO,1331.2253687503842
HANNE WEAVER,1331.4460502117295
GABRIELLA KIDD,1331.9048861191773
CHRISTIAN DEMLEITNER,1332.310734916423
GRETA PILKINGTON,1332.4865221162293
ARNDT KLINGENBURG,1332.6673486433397
MARTIN VAN OLFFEN,1333.103778101467
MARIA LAURA CUETO,1333.2238012384068
MATTES HAMANN,1334.828976410833
CAROLINA ALBANO,1336.1772491032432
DERYCKERE AUDREY,1336.410853003906
FANNY DE SUSINI,1336.4666023734308
AMAYA ESCUDERO,1336.8944231028233
ELISABETH WEGNER,1337.1804430252482
MAXIME MAZARD,1337.7605244580077
JAKOB FEHLBERG,1338.9707212675987
GUARAGNA NICOL,1341.3529449024622
TOMAS ELIAS,1341.4739567590946
JACINTA AINSWORTH,1341.8380302023847
CRUSEMANN CARLOTTA SOPHIE,1342.2079897516937
SEUNG HYEON KANG,1342.3912703940327
VALENTIN FERNANDEZ,1342.5793563054447
ALENKA VALENCIC,1343.6309592638456
NINA LOSER,1344.2310974898646
EDWARDS SAMANTHA,1344.2547833053954
JONAS BARRAUD,1346.5106829568192
ETIENNE LE PEN,1346.7381334645659
CAROLINA JOAO,1347.0177733346427
JORDAN AGUSTINA,1349.077098331955
ALEXANDRE FRISSEN,1349.5000999376523
STEFANO ANDRE PENDOLA DE LA TORRE,1349.6947635786787
TERRY SCUTCHER,1349.9888602701199
CLAIRE MERRY,1350.0476806175034
VINCENT THOMAS,1350.1957023554894
LUCAS SUDAN,1350.677926229024
SOFIE SLOTSGAARD,1352.1871369411651
MOHAMAD LATIF NUR ALIA AMERA,1352.3946391144825
JENS BRELLE,1352.7429740498117
ELZA CIBULE,1354.2023729586904
SOPHIA GAIL MONTGOMERY,1354.7612969856027
JESPER FREIENSTEIN,1355.6551612525159
JOAO PEDRO HERRLEIN SOUTO DE OLIVEI,1355.681464010805
ANDREAS NEUMANN,1356.1086781455083
JUNG HYEWON,1356.2926031923832
IGNACIO GARCIA CANTELLI,1357.8877221007915
JEAN-LAURENT DIRIX,1358.2234824358711
CRISTINA CASTELLANOS,1359.6581981433517
RINDOM ANNE-MARIE,1362.0666662440135
SEBASTIAN RODE,1362.855474379167
KATARIINA ROIHU,1363.185174216288
AQUILINA LACEY,1363.3861272630286
RUBEI YUAN,1363.9556385723365
KHAIRULNIZAM MOHD AFENDY,1364.5924256830665
MORITZ LUTKE NOTARP,1364.880818625079
SNELLGROVE HANNAH,1365.3347722169324
HARTENBERGER ELISA,1365.596148934197
LINA HARTENBERGER,1365.6890860946519
STANNAGE SYLVIE,1365.8697736658444
MARLENE RIQUELME ANTONETTI,1366.0543408738056
EMILIE K NILSEN,1366.4462643799757
SAVELLI SARA,1367.42281404356
PROCTER HONOR,1367.6428385126874
LUKAS GRAF,1367.9464607846746
FERNANDA DECNOP COELHO,1369.1391799310784
HANSSON-MILD MAJA,1369.7604354318405
LIN PLETIKOS,1369.9432376708157
MARINA HATLOY,1370.708478687813
ROSINE BAUDET,1370.9019191942443
MAX HEISE,1371.9111674423336
JAN GISSELMANN,1372.2250090397265
TOMBE YUMIKO,1372.541797105005
MIA BECKMANN KLAEBOE,1372.8868281786756
MICHEL QUAL,1373.3490343249427
MAXIM NIKOLAEV,1373.4729392366771
JOSE LUIZ PEREZ FRAQUELLI,1374.1961354560042
MIRZAI ELLA,1374.3307982695708
