Pos;Sail #;Bow;Crew / Club;"1Q(CR)2Q(CR)3Q(CR)4Q(CR)5Q(CR)6Q(CR)7Q(CR)8Q(CR)9F(CR)10F(CR1)1F(CR1)2F(CR1)3F(SL1)4/1F3(SF(L1C)5/R1F)4(SF(L1C)6RF)(SL1)7F(CR1)8F(CR)MR     TOTAL      NET
(rank)";;;;;;;;;;;;;;;;;;;;
34;ESP 4;;VIEITO COBIÁN, Tomás / POLA;16;16;-19;11;-19;RDG 13.70;11;10;29;-42;34;26;13;5;BFD 39;RDG 19;-46;31;;399,7;273,7
35;NZL 308;;HAYBITTLE, Patrick / Wakering Yacht;16;-30;8;9;19;22;28;-30;28;30;25;27;BFD (39);RDG 32.30;25;-33;4;9;;414,3;282,3
36;NZL 35;;LIEFTING, Eli / ELI LIEFTING;14;-19;18;-22;17;12;12;11;BFD (58);-49;22;40;27;9;33;25;17;30;;435;287
37;POL 72;;MANOWIECKI, Kamil /;15;21;22;-29;14;17;-28;21;-38;32;-43;25;15;25;13;13;29;38;;438;300
38;CHN 1;;BI, Kun / CYA;23;-33;23;21;-33;22;16;28;23;33;-49;-39;15;15;15;7;24;39;;458;304
39;NED 17;;VINK, Joost / TEAM ALLIANZ;-25;21;17;9;25;-31;19;24;-44;26;16;34;-37;29;19;23;28;20;;447;310
40;ITA 27;;MODENA, Manolo;-29;15;15;-24;3;6;14;8;35;47;39;43;27;27;29;17;-51;-55;;484;325
41;GRE 8;;KOKKALANIS, Byron;12;14;-23;10;-32;14;8;18;31;-48;42;37;BFD 39;17;BFD 39;23;26;-52;;485;330
42;ESP 339;;TOMAS CARDELL, Bernat / CLUB;15;17;14;-22;11;18;18;-21;BFD (58);-50;26;44;19;21;13;21;48;45;;481;330
43;LTU 1;;BERNOTAS, Juozas / GILIJOGA;13;-23;21;13;22;-25;22;17;BFD (58);39;27;32;21;25;21;29;-50;28;;486;330
44;FRA 312;;FABIEN, Pianazza / PIANAZZA FABIEN;21;19;16;25;21;-31;30;-32;36;35;-52;42;5;15;19;15;-52;33;;499;332
45;ISR 930;;TASHTASH , Daniel / POINTER;-31;22;-27;21;17;15;20;26;-48;40;30;-56;19;19;13;31;33;43;;511;349
46;CHN 2;;YANG, Minhai / CYA;-38;22;26;BFD (58);15;21;23;7;37;41;17;-52;23;DSQ 39;31;7;43;-51;;551;352
47;SUI 76;;SCHÄRER, Sebastian;26;25;33;15;-35;23;30;DNF (58);47;-52;DNC (58);41;17;19;17;25;13;36;;570;367
48;ITA 286;;PILLONI, Federico Alan / SLAM /;RDG 10.80;RDG 10.80;RDG 10.80;-33;5;11;-17;9;45;45;-47;-53;31;37;37;27;47;46;;522,4;372,4
49;TUR 399;;BIRIZ, Onur Cavit / DOGUS GRUBU;18;31;16;-32;26;24;-33;4;39;43;37;-46;35;BFD 39;25;27;-44;15;;534;379
50;FIN 8;;EKLUND, Jakob;17;18;RDG 18.40;20;-31;-36;24;23;-46;44;46;-51;35;35;23;21;30;37;;555,4;391,4
51;ESP 95;;ARANZUEQUE CAMPELLO, Jorge;21;-47;27;17;27;27;-31;16;BFD (58);-51;35;50;25;31;23;9;49;44;;588;401
52;GRE 80;;TSORTANIDIS , Leonidas / NAUTICAL;-26;20;-30;19;23;21;21;18;-40;34;33;38;37;29;BFD 39;29;40;-54;;551;401
53;AUS 22;;JOYNER, Harry / HHK;-34;16;11;16;14;28;-32;25;41;-46;45;-54;BFD 39;33;35;35;37;35;;576;410
54;NED 352;;VAN DER MEER, Hidde / TEAM;27;15;BFD (58);28;28;-47;37;20;43;-54;41;-48;DNC 39;31;17;15;35;34;;617;410
55;GBR 724;;DIXON , Charlie / Blackwater Sailing;-41;-41;36;20;24;19;19;26;34;-55;54;-55;33;33;19;11;39;49;;608;416
56;ARG 40;;SAUBIDET BIRKNER, Francisco / PERU;23;6;21;RET (58);20;27;27;RET (58);BFD (58);SCP (58);SCP 49;SCP 54;17;27;27;21;BFD 58;41;;650;418
57;SUI 601;;BENZ, Matteo;37;-39;25;-41;22;17;20;22;32;38;-53;45;25;33;29;35;41;-48;;602;421
58;FRA 379;;CARFANTAN, Gaspard / EDFJ/BANQUE;22;DNC (58);26;30;-37;23;27;28;1;4;3;5;-8;6;;;;;;278;175
59;NOR 252;;FUNNEMARK, Endre / FOILVIKINGS;32;-35;20;-39;33;35;26;19;-7;1;1;1;4;4;;;;;;257;176
60;GBR 262;;BEAMAN, Max Beaman / St Mawes;-28;DNE 58;24;16;28;24;-36;27;2;2;2;2;-6;5;;;;;;260;190
61;CHN 5;;HUANG, Zhen / CYA;19;23;-41;27;-47;33;29;29;24;-32;5;7;1;1;;;;;;318;198
62;GER 404;;WOLF, Fabian / GUNSAILS,;-38;24;34;36;31;-39;26;35;3;3;4;3;-9;2;;;;;;287;201
63;CHN 18;;HUANG, Jingye;-47;-33;28;31;26;30;23;33;13;-16;6;6;2;13;;;;;;307;211
64;POL 28;;FURMANSKI , Radoslaw / GDA?SK,;37;31;30;23;29;DNC (58);DNC (58);27;4;12;9;4;7;-15;;;;;;344;213
65;ARU 31;;HOVELING, Malik Hoveling /;25;26;-29;27;27;26;-29;25;8;5;16;12;-23;19;;;;;;297;216
66;CRO 751;;MRATOVIC, Luka / LUKA MRATOVIC;33;29;25;32;-40;-41;34;33;6;7;7;8;-12;8;;;;;;315;222
67;HKG 21;;CHENG, Ching Yin / CHENG CHING YIN;30;17;BFD (58);38;30;26;-39;34;11;8;8;13;-33;10;;;;;;355;225
68;CHN 0;;CHEN, Hao;36;30;29;26;35;-39;33;-38;-18;11;15;14;3;18;;;;;;345;250
69;CZE 130;;LAVICKY, Karel;33;-38;DSQ (58);35;38;34;25;31;17;-20;13;10;5;14;;;;;;371;255
70;POL 163;;ROMANOWSKI, Tomasz;31;29;-39;28;36;38;34;-44;10;9;20;BFD (58);13;7;;;;;;396;255
71;LAT 29;;MAZAIS, Davis;-36;27;31;34;25;25;-40;24;20;13;27;-34;18;34;;;;;;388;278
72;HKG 8;;KIKABHOY, Rafeek / WAHK;-39;28;37;29;30;38;RET (58);32;-35;21;22;21;10;16;;;;;;416;284
73;CYP 1;;CARIOLOU, Andreas / OPAP CYPRUS ,;32;34;28;30;RET (58);-37;35;29;22;19;17;20;21;-25;;;;;;407;287
74;CHN 20;;JIANG, Qianfan;-43;35;37;-40;39;33;39;39;15;10;14;16;-20;17;;;;;;397;294
75;HUN 77;;BORS, Máté / FLAAR PERFORMANCE;RET (58);32;33;-44;32;37;37;37;-28;RDG 16.70;11;11;26;26;;;;;;428,7;298,7
76;SVK 2;;KUBIN, Robert;34;34;-38;-37;36;34;32;31;12;17;18;-28;28;24;;;;;;403;300
77;CHN 9;;WU, Junbin;-40;36;38;36;-42;32;31;30;30;18;29;15;BFD (58);12;;;;;;447;307
78;FRA 307;;CHANTREL, Jules / JULES CHANTREL;-52;45;35;33;RET (58);40;38;36;19;14;19;19;17;DNC (58);;;;;;483;315
79;AUS 0;;ALLEN, Stephen / STEVE ALLEN;28;-40;35;26;-37;30;24;34;9;DNC (58);12;DNC 58;BFD 58;3;;;;;;452;317
80;FRA 39;;ROULLET, Emile;35;43;40;DSQ (58);47;-48;46;40;14;-23;10;18;14;11;;;;;;447;318
81;EST 28;;ROOLAHT, Renar;30;27;48;DNC (58);39;42;-51;48;-45;6;38;25;15;21;;;;;;493;339
82;FRA 13;;GHIO, Romain / PARLYM;40;40;-46;-43;29;32;35;35;5;DNF (58);DNC 58;9;29;35;;;;;;494;347
83;ITA 155;;TOMASINI, Leonardo;35;36;31;34;-43;-42;40;36;27;26;24;24;-39;39;;;;;;476;352
84;POL 197;;SIWEK, Antoni;-52;-49;45;46;45;36;41;42;26;24;23;BFD (58);16;9;;;;;;512;353
85;ARG 10;;QUIROGA, Marcos / MARCOS QUIROGA;44;26;36;RET (58);34;35;36;RET (58);-48;15;25;27;36;42;;;;;;520;356
86;GER 107;;HEIMANN, Jonne /;42;37;39;-44;44;-45;44;38;-32;30;21;17;19;28;;;;;;480;359
87;SLO 31;;ERŽEN, Val;43;-49;-51;45;38;29;48;44;25;27;-32;23;24;32;;;;;;510;378
88;FRA 151;;NAPOLÉONE , Paul /;42;-46;-46;39;46;43;42;41;23;31;RET (58);31;31;20;;;;;;539;389
89;JPN 60;;ANAMI, Tomonori / LIGHTEC;-49;-45;43;37;41;40;45;43;31;22;35;26;-41;30;;;;;;528;393
