Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,Hayling Island Sailing ClubLoch Morlich Sailing Club,,49er,(22),O,5,,116,94,Semaine Olympique Francaise De Voile 2023,7
,,Hayling Island Sailing ClubLoch Morlich Sailing Club,,49er,8,O,5,,116,94,Semaine Olympique Francaise De Voile 2023,8
,,Hayling Island Sailing ClubLoch Morlich Sailing Club,,49er,12,O,5,,116,94,Semaine Olympique Francaise De Voile 2023,9
,,Hayling Island Sailing ClubLoch Morlich Sailing Club,,49er,2,O,5,,116,94,Semaine Olympique Francaise De Voile 2023,10
,,Hayling Island Sailing ClubLoch Morlich Sailing Club,,49er,13,O,5,,116,94,Semaine Olympique Francaise De Voile 2023,11
,,Hayling Island Sailing ClubLoch Morlich Sailing Club,,49er,4,O,5,,116,94,Semaine Olympique Francaise De Voile 2023,12
,,Hayling Island Sailing ClubLoch Morlich Sailing Club,,49er,7,O,5,,116,94,Semaine Olympique Francaise De Voile 2023,13
,,Hayling Island Sailing ClubLoch Morlich Sailing Club,,49er,2,Medal Race,5,,116,94,Semaine Olympique Francaise De Voile 2023,14
,,RAYCRAYC,,49er,5,G,6,,114,94,Semaine Olympique Francaise De Voile 2023,1
,,RAYCRAYC,,49er,15,G,6,,114,94,Semaine Olympique Francaise De Voile 2023,2
,,RAYCRAYC,,49er,9,G,6,,114,94,Semaine Olympique Francaise De Voile 2023,3
,,RAYCRAYC,,49er,1,G,6,,114,94,Semaine Olympique Francaise De Voile 2023,4
,,RAYCRAYC,,49er,5,G,6,,114,94,Semaine Olympique Francaise De Voile 2023,5
,,RAYCRAYC,,49er,11,O,6,,114,94,Semaine Olympique Francaise De Voile 2023,6
,,RAYCRAYC,,49er,(20),O,6,,114,94,Semaine Olympique Francaise De Voile 2023,7
,,RAYCRAYC,,49er,16,O,6,,114,94,Semaine Olympique Francaise De Voile 2023,8
,,RAYCRAYC,,49er,2,O,6,,114,94,Semaine Olympique Francaise De Voile 2023,9
,,RAYCRAYC,,49er,10,O,6,,114,94,Semaine Olympique Francaise De Voile 2023,10
,,RAYCRAYC,,49er,1,O,6,,114,94,Semaine Olympique Francaise De Voile 2023,11
,,RAYCRAYC,,49er,6,O,6,,114,94,Semaine Olympique Francaise De Voile 2023,12
,,RAYCRAYC,,49er,5,O,6,,114,94,Semaine Olympique Francaise De Voile 2023,13
,,RAYCRAYC,,49er,8,Medal Race,6,,114,94,Semaine Olympique Francaise De Voile 2023,14
,,,,49er,1,G,7,,120,99,Semaine Olympique Francaise De Voile 2023,1
,,,,49er,3,G,7,,120,99,Semaine Olympique Francaise De Voile 2023,2
,,,,49er,3,G,7,,120,99,Semaine Olympique Francaise De Voile 2023,3
,,,,49er,4,G,7,,120,99,Semaine Olympique Francaise De Voile 2023,4
,,,,49er,6,G,7,,120,99,Semaine Olympique Francaise De Voile 2023,5
,,,,49er,16,O,7,,120,99,Semaine Olympique Francaise De Voile 2023,6
,,,,49er,4,O,7,,120,99,Semaine Olympique Francaise De Voile 2023,7
,,,,49er,19,O,7,,120,99,Semaine Olympique Francaise De Voile 2023,8
,,,,49er,(21),O,7,,120,99,Semaine Olympique Francaise De Voile 2023,9
,,,,49er,3,O,7,,120,99,Semaine Olympique Francaise De Voile 2023,10
,,,,49er,10,O,7,,120,99,Semaine Olympique Francaise De Voile 2023,11
,,,,49er,11,O,7,,120,99,Semaine Olympique Francaise De Voile 2023,12
,,,,49er,1,O,7,,120,99,Semaine Olympique Francaise De Voile 2023,13
,,,,49er,18,Medal Race,7,,120,99,Semaine Olympique Francaise De Voile 2023,14
,,CNBPPLa Rochelle Nautique,,49er,4,G,8,,134,111,Semaine Olympique Francaise De Voile 2023,1
,,CNBPPLa Rochelle Nautique,,49er,3,G,8,,134,111,Semaine Olympique Francaise De Voile 2023,2
,,CNBPPLa Rochelle Nautique,,49er,2,G,8,,134,111,Semaine Olympique Francaise De Voile 2023,3
,,CNBPPLa Rochelle Nautique,,49er,(23),G,8,,134,111,Semaine Olympique Francaise De Voile 2023,4
,,CNBPPLa Rochelle Nautique,,49er,10,G,8,,134,111,Semaine Olympique Francaise De Voile 2023,5
,,CNBPPLa Rochelle Nautique,,49er,4,O,8,,134,111,Semaine Olympique Francaise De Voile 2023,6
,,CNBPPLa Rochelle Nautique,,49er,14,O,8,,134,111,Semaine Olympique Francaise De Voile 2023,7
,,CNBPPLa Rochelle Nautique,,49er,11,O,8,,134,111,Semaine Olympique Francaise De Voile 2023,8
,,CNBPPLa Rochelle Nautique,,49er,9,O,8,,134,111,Semaine Olympique Francaise De Voile 2023,9
,,CNBPPLa Rochelle Nautique,,49er,5,O,8,,134,111,Semaine Olympique Francaise De Voile 2023,10
,,CNBPPLa Rochelle Nautique,,49er,15,O,8,,134,111,Semaine Olympique Francaise De Voile 2023,11
,,CNBPPLa Rochelle Nautique,,49er,9,O,8,,134,111,Semaine Olympique Francaise De Voile 2023,12
,,CNBPPLa Rochelle Nautique,,49er,19,O,8,,134,111,Semaine Olympique Francaise De Voile 2023,13
,,CNBPPLa Rochelle Nautique,,49er,6,Medal Race,8,,134,111,Semaine Olympique Francaise De Voile 2023,14
,,WBCMBSC,,49er,2,G,9,,130,111,Semaine Olympique Francaise De Voile 2023,1
,,WBCMBSC,,49er,1,G,9,,130,111,Semaine Olympique Francaise De Voile 2023,2
,,WBCMBSC,,49er,1,G,9,,130,111,Semaine Olympique Francaise De Voile 2023,3
,,WBCMBSC,,49er,11,G,9,,130,111,Semaine Olympique Francaise De Voile 2023,4
,,WBCMBSC,,49er,1,G,9,,130,111,Semaine Olympique Francaise De Voile 2023,5
,,WBCMBSC,,49er,10,O,9,,130,111,Semaine Olympique Francaise De Voile 2023,6
,,WBCMBSC,,49er,(19),O,9,,130,111,Semaine Olympique Francaise De Voile 2023,7
,,WBCMBSC,,49er,12,O,9,,130,111,Semaine Olympique Francaise De Voile 2023,8
,,WBCMBSC,,49er,16,O,9,,130,111,Semaine Olympique Francaise De Voile 2023,9
,,WBCMBSC,,49er,6,O,9,,130,111,Semaine Olympique Francaise De Voile 2023,10
,,WBCMBSC,,49er,6,O,9,,130,111,Semaine Olympique Francaise De Voile 2023,11
,,WBCMBSC,,49er,12,O,9,,130,111,Semaine Olympique Francaise De Voile 2023,12
,,WBCMBSC,,49er,17,O,9,,130,111,Semaine Olympique Francaise De Voile 2023,13
,,WBCMBSC,,49er,16,Medal Race,9,,130,111,Semaine Olympique Francaise De Voile 2023,14
,,,,49er,3,G,10,,145,120,Semaine Olympique Francaise De Voile 2023,1
,,,,49er,1,G,10,,145,120,Semaine Olympique Francaise De Voile 2023,2
,,,,49er,3,G,10,,145,120,Semaine Olympique Francaise De Voile 2023,3
,,,,49er,6,G,10,,145,120,Semaine Olympique Francaise De Voile 2023,4
,,,,49er,8,G,10,,145,120,Semaine Olympique Francaise De Voile 2023,5
,,,,49er,9,O,10,,145,120,Semaine Olympique Francaise De Voile 2023,6
,,,,49er,3,O,10,,145,120,Semaine Olympique Francaise De Voile 2023,7
,,,,49er,13,O,10,,145,120,Semaine Olympique Francaise De Voile 2023,8
,,,,49er,8,O,10,,145,120,Semaine Olympique Francaise De Voile 2023,9
,,,,49er,15,O,10,,145,120,Semaine Olympique Francaise De Voile 2023,10
,,,,49er,12,O,10,,145,120,Semaine Olympique Francaise De Voile 2023,11
,,,,49er,19,O,10,,145,120,Semaine Olympique Francaise De Voile 2023,12
,,,,49er,UFD(25),O,10,,145,120,Semaine Olympique Francaise De Voile 2023,13
,,,,49er,20,Medal Race,10,,145,120,Semaine Olympique Francaise De Voile 2023,14
,,JK SV KRSEVANJK SV KRSEVAN,,49er,14,G,11,,131,106,Semaine Olympique Francaise De Voile 2023,1
,,JK SV KRSEVANJK SV KRSEVAN,,49er,4,G,11,,131,106,Semaine Olympique Francaise De Voile 2023,2
,,JK SV KRSEVANJK SV KRSEVAN,,49er,DNC(25),G,11,,131,106,Semaine Olympique Francaise De Voile 2023,3
,,JK SV KRSEVANJK SV KRSEVAN,,49er,2,G,11,,131,106,Semaine Olympique Francaise De Voile 2023,4
,,JK SV KRSEVANJK SV KRSEVAN,,49er,6,G,11,,131,106,Semaine Olympique Francaise De Voile 2023,5
,,JK SV KRSEVANJK SV KRSEVAN,,49er,BFD25,O,11,,131,106,Semaine Olympique Francaise De Voile 2023,6
,,JK SV KRSEVANJK SV KRSEVAN,,49er,10,O,11,,131,106,Semaine Olympique Francaise De Voile 2023,7
,,JK SV KRSEVANJK SV KRSEVAN,,49er,3,O,11,,131,106,Semaine Olympique Francaise De Voile 2023,8
,,JK SV KRSEVANJK SV KRSEVAN,,49er,10,O,11,,131,106,Semaine Olympique Francaise De Voile 2023,9
,,JK SV KRSEVANJK SV KRSEVAN,,49er,11,O,11,,131,106,Semaine Olympique Francaise De Voile 2023,10
,,JK SV KRSEVANJK SV KRSEVAN,,49er,3,O,11,,131,106,Semaine Olympique Francaise De Voile 2023,11
,,JK SV KRSEVANJK SV KRSEVAN,,49er,16,O,11,,131,106,Semaine Olympique Francaise De Voile 2023,12
,,JK SV KRSEVANJK SV KRSEVAN,,49er,2,O,11,,131,106,Semaine Olympique Francaise De Voile 2023,13
,,,,49er,2,G,12,,132,108,Semaine Olympique Francaise De Voile 2023,1
,,,,49er,6,G,12,,132,108,Semaine Olympique Francaise De Voile 2023,2
,,,,49er,1,G,12,,132,108,Semaine Olympique Francaise De Voile 2023,3
,,,,49er,10,G,12,,132,108,Semaine Olympique Francaise De Voile 2023,4
,,,,49er,4,G,12,,132,108,Semaine Olympique Francaise De Voile 2023,5
,,,,49er,13,O,12,,132,108,Semaine Olympique Francaise De Voile 2023,6
,,,,49er,6,O,12,,132,108,Semaine Olympique Francaise De Voile 2023,7
,,,,49er,(24),O,12,,132,108,Semaine Olympique Francaise De Voile 2023,8
,,,,49er,17,O,12,,132,108,Semaine Olympique Francaise De Voile 2023,9
,,,,49er,19,O,12,,132,108,Semaine Olympique Francaise De Voile 2023,10
,,,,49er,4,O,12,,132,108,Semaine Olympique Francaise De Voile 2023,11
,,,,49er,15,O,12,,132,108,Semaine Olympique Francaise De Voile 2023,12
,,,,49er,11,O,12,,132,108,Semaine Olympique Francaise De Voile 2023,13
,,YCPEYCPE,,49er,9,G,13,,131,109,Semaine Olympique Francaise De Voile 2023,1
,,YCPEYCPE,,49er,10,G,13,,131,109,Semaine Olympique Francaise De Voile 2023,2
,,YCPEYCPE,,49er,5,G,13,,131,109,Semaine Olympique Francaise De Voile 2023,3
,,YCPEYCPE,,49er,3,G,13,,131,109,Semaine Olympique Francaise De Voile 2023,4
,,YCPEYCPE,,49er,13,G,13,,131,109,Semaine Olympique Francaise De Voile 2023,5
,,YCPEYCPE,,49er,(22),O,13,,131,109,Semaine Olympique Francaise De Voile 2023,6
,,YCPEYCPE,,49er,13,O,13,,131,109,Semaine Olympique Francaise De Voile 2023,7
,,YCPEYCPE,,49er,20,O,13,,131,109,Semaine Olympique Francaise De Voile 2023,8
,,YCPEYCPE,,49er,11,O,13,,131,109,Semaine Olympique Francaise De Voile 2023,9
,,YCPEYCPE,,49er,1,O,13,,131,109,Semaine Olympique Francaise De Voile 2023,10
,,YCPEYCPE,,49er,2,O,13,,131,109,Semaine Olympique Francaise De Voile 2023,11
,,YCPEYCPE,,49er,2,O,13,,131,109,Semaine Olympique Francaise De Voile 2023,12
,,YCPEYCPE,,49er,20,O,13,,131,109,Semaine Olympique Francaise De Voile 2023,13
,,,,49er,3,G,14,,137,112,Semaine Olympique Francaise De Voile 2023,1
,,,,49er,2,G,14,,137,112,Semaine Olympique Francaise De Voile 2023,2
,,,,49er,DNC(25),G,14,,137,112,Semaine Olympique Francaise De Voile 2023,3
,,,,49er,5,G,14,,137,112,Semaine Olympique Francaise De Voile 2023,4
,,,,49er,18,G,14,,137,112,Semaine Olympique Francaise De Voile 2023,5
,,,,49er,6,O,14,,137,112,Semaine Olympique Francaise De Voile 2023,6
,,,,49er,11,O,14,,137,112,Semaine Olympique Francaise De Voile 2023,7
,,,,49er,10,O,14,,137,112,Semaine Olympique Francaise De Voile 2023,8
,,,,49er,6,O,14,,137,112,Semaine Olympique Francaise De Voile 2023,9
,,,,49er,14,O,14,,137,112,Semaine Olympique Francaise De Voile 2023,10
,,,,49er,14,O,14,,137,112,Semaine Olympique Francaise De Voile 2023,11
,,,,49er,14,O,14,,137,112,Semaine Olympique Francaise De Voile 2023,12
,,,,49er,9,O,14,,137,112,Semaine Olympique Francaise De Voile 2023,13
,,Marina MilitareMarina Militare,,49er,2,G,15,,131,113,Semaine Olympique Francaise De Voile 2023,1
,,Marina MilitareMarina Militare,,49er,7,G,15,,131,113,Semaine Olympique Francaise De Voile 2023,2
,,Marina MilitareMarina Militare,,49er,4,G,15,,131,113,Semaine Olympique Francaise De Voile 2023,3
,,Marina MilitareMarina Militare,,49er,5,G,15,,131,113,Semaine Olympique Francaise De Voile 2023,4
,,Marina MilitareMarina Militare,,49er,13,G,15,,131,113,Semaine Olympique Francaise De Voile 2023,5
,,Marina MilitareMarina Militare,,49er,15,O,15,,131,113,Semaine Olympique Francaise De Voile 2023,6
,,Marina MilitareMarina Militare,,49er,(18),O,15,,131,113,Semaine Olympique Francaise De Voile 2023,7
,,Marina MilitareMarina Militare,,49er,7,O,15,,131,113,Semaine Olympique Francaise De Voile 2023,8
,,Marina MilitareMarina Militare,,49er,13,O,15,,131,113,Semaine Olympique Francaise De Voile 2023,9
,,Marina MilitareMarina Militare,,49er,17,O,15,,131,113,Semaine Olympique Francaise De Voile 2023,10
,,Marina MilitareMarina Militare,,49er,11,O,15,,131,113,Semaine Olympique Francaise De Voile 2023,11
,,Marina MilitareMarina Militare,,49er,7,O,15,,131,113,Semaine Olympique Francaise De Voile 2023,12
,,Marina MilitareMarina Militare,,49er,12,O,15,,131,113,Semaine Olympique Francaise De Voile 2023,13
,,San Diego YC,,49er,9,G,16,,153,128,Semaine Olympique Francaise De Voile 2023,1
,,San Diego YC,,49er,8,G,16,,153,128,Semaine Olympique Francaise De Voile 2023,2
,,San Diego YC,,49er,DNC(25),G,16,,153,128,Semaine Olympique Francaise De Voile 2023,3
,,San Diego YC,,49er,1,G,16,,153,128,Semaine Olympique Francaise De Voile 2023,4
,,San Diego YC,,49er,1,G,16,,153,128,Semaine Olympique Francaise De Voile 2023,5
,,San Diego YC,,49er,18,O,16,,153,128,Semaine Olympique Francaise De Voile 2023,6
,,San Diego YC,,49er,15,O,16,,153,128,Semaine Olympique Francaise De Voile 2023,7
,,San Diego YC,,49er,9,O,16,,153,128,Semaine Olympique Francaise De Voile 2023,8
,,San Diego YC,,49er,15,O,16,,153,128,Semaine Olympique Francaise De Voile 2023,9
,,San Diego YC,,49er,9,O,16,,153,128,Semaine Olympique Francaise De Voile 2023,10
,,San Diego YC,,49er,17,O,16,,153,128,Semaine Olympique Francaise De Voile 2023,11
,,San Diego YC,,49er,10,O,16,,153,128,Semaine Olympique Francaise De Voile 2023,12
,,San Diego YC,,49er,16,O,16,,153,128,Semaine Olympique Francaise De Voile 2023,13
,,49er Class Association UK49er Class Association UK,,49er,7,G,17,,157,133,Semaine Olympique Francaise De Voile 2023,1
,,49er Class Association UK49er Class Association UK,,49er,2,G,17,,157,133,Semaine Olympique Francaise De Voile 2023,2
,,49er Class Association UK49er Class Association UK,,49er,8,G,17,,157,133,Semaine Olympique Francaise De Voile 2023,3
,,49er Class Association UK49er Class Association UK,,49er,(24),G,17,,157,133,Semaine Olympique Francaise De Voile 2023,4
,,49er Class Association UK49er Class Association UK,,49er,9,G,17,,157,133,Semaine Olympique Francaise De Voile 2023,5
,,49er Class Association UK49er Class Association UK,,49er,17,O,17,,157,133,Semaine Olympique Francaise De Voile 2023,6
,,49er Class Association UK49er Class Association UK,,49er,16,O,17,,157,133,Semaine Olympique Francaise De Voile 2023,7
,,49er Class Association UK49er Class Association UK,,49er,4,O,17,,157,133,Semaine Olympique Francaise De Voile 2023,8
