Pos;Sail #;Bow;Crew / Club;"1Q(CR)2Q(CR)3Q(CR)4Q(CR)5Q(CR)6Q(CR)7Q(CR)8Q(CR)9F(CR)10F(CR1)1F(CR1)2F(CR1)3F(SL1)4F(SL1)5F(SL1)6F(SL1)7/1F6(CF(R1C)8RF)(CR1)9F(CR)MR     TOTAL      NET
(rank)";;;;;;;;;;;;;;;;;;;;;
40;ISR 83;;GAZIT, Naama;21;-25;18;23;-24;15;14;16;31;33;-39;31;31;33;9;17;-34;33;30;;477;355
41;EST 1;;PUUSTA, Ingrid;-19;15;17;-25;13;12;11;19;33;32;31;36;33;25;31;19;-41;-41;32;;485;359
42;GER 369;;ENGELMANN, Alisa /;-38;21;18;17;16;23;16;-32;-44;36;37;33;29;17;35;29;43;-44;33;;561;403
43;GBR 323;;WILLIAMS, Catrin / Clwb Hwylio;RDG 16.70;17;16;15;-34;DSQ (46);21;20;40;42;41;SCP (46);-45;13;27;33;44;34;31;;581,7;410,7
44;USA 74;;STATER, Dominique / US;-26;-28;24;20;16;26;12;11;34;31;38;38;-41;37;37;39;33;38;-40;;569;434
45;SLO 51;;ERŽEN, Lina;11;15;20;21;-24;15;16;-26;38;41;43;39;35;39;35;31;-45;-45;45;;584;444
46;FRA 18;;BELBEOCH, Lucie / BANQUE;18;13;25;12;-30;27;-30;21;-8;4;2;3;1;-9;3;4;2;7;;;219;142
47;DEN 321;;BUHL-HANSEN, Laerke /;-24;18;-40;14;23;24;19;20;2;7;-13;RDG 7.40;-9;7;3;3;1;3;;;237,4;151,4
48;NOR 29;;OPPEDAL, Tuva;18;9;DSQ (46);-29;22;22;22;27;1;1;1;-9;9;7;-17;6;5;6;;;257;156
49;ITA 25;;SOFIA, Renna / SLAM;20;19;19;14;-21;-25;RDG 19.70;RDG 19.70;6;2;4;2;13;5;7;-25;6;-15;;;242,4;156,4
50;CHN 37;;YAN, Zheng / CYA;19;19;9;-25;-28;18;23;25;DNC (45);-27;9;10;23;1;7;1;3;1;;;293;168
