,RANK,NAT,SAIL NUMBER,SAILOR NAME,WS ID,UNKNOW,Q1,Q2,Q3,Q4,Q5,Q6,FINAL,TOTAL,NETT
38,39,ITA,222307,NICOL SEGNINI,ITANS25,Q,44-0-0,45-0-0,49-0-0,22-0-0,56-1-UFD,51-0-0,12-0-0,279,223.0
39,40,LAT,216188,ESTERE KUMPINA,LATEK2,NO,31-0-0,47-0-0,48-0-0,50-0-0,44-0-0,56-1-UFD,8-0-0,284,228.0
40,41,ISR,204626,GAYA DATIASHVILI,ISRGD2,(54),49-0-0,46-0-0,42-0-0,30-0-0,33-0-0,36-0-0,290-0-0,236,
41,42,BER,223236,ADRIANA PENRUDDOCKE,BERAP3,NON EU,53-1-0,35-0-0,33-0-0,51-0-0,48-0-0,34-0-0,38-0-0,292,239.0
42,43,GRE,217331,ELISAVET ILIOPOULOU,GREEI2,(53),37-0-0,22-0-0,48-0-0,41-0-0,46-0-0,48-0-0,295-0-0,242,
43,44,GBR,212008,SAMANTHA EDWARDS,GBRSE29,Q,52-0-0,39-0-0,55-1-0,49-0-0,38-0-0,35-0-0,32-0-0,300,245.0
44,45,UKR,222641,SOFIIA NAUMENKO,UKRSN6,NO,46-0-0,26-0-0,27-0-0,51-0-0,43-0-0,54-1-0,53-0-0,300,246.0
45,46,GBR,221854,CHARLOTTE VIDELO,GBRCV5,Q,54-0-0,39-0-0,56-1-UFD,54-0-0,37-0-0,41-0-0,25-0-0,306,250.0
46,47,POR,221213,LUISA PERES,PORLP8,Q,47-0-0,46-0-0,40-0-0,46-0-0,49-1-0,44-0-0,27-0-0,299,250.0
47,48,GRE,222526,GEORGIA KATSOULI,GREGK34,NO,48-0-0,32-0-0,51-1-0,44-0-0,37-0-0,37-0-0,52-0-0,301,250.0
48,49,JPN,169388,TALIA HAMLIN,JPNTH29,NON EU,38-0-0,47-0-0,29-0-0,50-1-0,44-0-0,50-0-0,46-0-0,304,254.0
49,50,MLT,216602,LARA MERTEN,MLTLM1,NO,43-0-0,48-0-0,52-0-0,40-0-0,56-1-UFD,47-0-0,28-0-0,314,258.0
50,51,GBR,223088,IRIS SINGLETON,GBRIS42,Q,43-0-0,50-0-0,46-0-0,38-0-0,48-0-0,52-1-0,43-0-0,320,268.0
51,52,ISR,220246,REBECCA MANTEL,ISRRM7,NO,51-0-0,54-1-0,41-0-10%,48-0-0,47-0-0,48-0-0,37-0-0,326,272.0
52,53,BEL,216785,CANNELLE OPSTAELE,BELCO1,Q,52-1-0,52-0-0,50-0-0,43-0-0,39-0-0,49-0-0,45-0-0,330,278.0
53,54,GRE,223318,ANASTASIA KASKANTAMI,GREAK68,NO,51-0-0,56-1-UFD,43-0-0,45-0-0,45-0-0,49-0-0,47-0-0,336,280.0
54,55,GBR,214960,LUCY DAVIS,GBRLD18,Q,55-1-0,51-0-0,50-0-0,55-0-0,52-0-0,48-0-0,51-0-0,362,307.0
