,Unnamed: 0,RANK,COUNTRY,BOAT_NUMBER,BOW,SPONSOR,CREW,CLUB,CATEGORY,NETT,TOTAL,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11F,12F,13F,14F,15F,16F,17F,18F,19F,20F,QF,SF,F
65,65,66,FIN,6,,"VANTAAN KAUPUNKI, VANTAAN ENERGIA",ALEKSANDRA BLINNIKKA,HELSINGFORS SEGELKLUBB,OPEN,370.0,519.0,25-0-0,27-0-0,31-0-0,21-0-0,39-1-0,29-0-0,44-1-0,30-0-0,31-0-0,35-0-0,26-0-0,25-0-0,31-1-0,15-0-0,13-0-0,35-1-0,20-0-0,12-0-0,7-0-0,23-0-0,nan-0-0,nan-0-0,nan-0-0
66,66,67,CHN,9,,,XIAONI CHEN,WSID,OPEN,381.0,512.0,27-0-0,29-0-0,37-0-0,33-0-0,35-0-0,31-0-0,38-0-0,40-1-0,33-0-0,40-1-0,20-0-0,21-0-0,14-0-0,11-0-0,7-0-0,8-0-0,17-0-0,23-1-0,20-0-0,28-1-0,nan-0-0,nan-0-0,nan-0-0
67,67,68,GRE,137,,QUALCO - GRIVALIA,DANAE PONTIFEX,,U23,390.0,557.0,31-0-0,35-0-0,33-0-0,41-1-0,39-0-0,32-0-0,41-1-0,27-0-0,29-0-0,34-0-0,48-1-UFD,17-0-0,13-0-0,9-0-0,37-1-0,15-0-0,25-0-0,13-0-0,22-0-0,16-0-0,nan-0-0,nan-0-0,nan-0-0
68,68,69,TUR,4108,,TYF,ADA TAN,URLA DENIZ KULUBÜ,U23,396.0,536.0,33-0-0,19-0-0,27-0-0,35-0-0,31-0-0,36-0-0,39-1-0,39-1-0,34-0-0,39-0-0,11-0-0,16-0-0,19-0-0,11-0-0,9-0-0,26-0-0,29-1-0,24-0-0,33-1-0,26-0-0,nan-0-0,nan-0-0,nan-0-0
69,69,70,ESP,513,,VELA.CAT,JULIA GOMEZ ROA,CN. EL BALIS,U23,401.0,582.2,21-0-0,29-0-0,19-0-0,27-0-0,29-0-0,33-0-0,32-0-0,36-0-0,48-1-UFD,37.20-1-RDG,12-0-0,22-0-0,27-0-0,35-0-0,27-0-0,48-1-DNF,12-0-0,19-0-0,21-0-0,48-1-DNF,nan-0-0,nan-0-0,nan-0-0
70,70,71,GRE,366,,OPAP/ CEPAL,AIKATERINI DIVARI,NAUTICAL CLUB OF VARI/VARKIZA,OPEN,423.0,561.0,39-1-0,39-0-0,37-0-0,39-0-0,43-1-0,30-0-0,34-0-0,34-0-0,27-0-0,36-0-0,16-0-0,20-0-0,5-0-0,19-0-0,21-0-0,21-0-0,24-0-0,26-1-0,30-1-0,21-0-0,nan-0-0,nan-0-0,nan-0-0
71,71,72,AUS,420,,AUSTRALIAN SAILING SQUAD /ROYAL QUEENSLAND YACHT SQUADRON,SAMANTHA COSTIN,ROYAL QUEENSLAND YACHT SQUADRON,OPEN,425.0,587.0,23-0-0,31-1-0,17-0-0,25-0-0,35-1-0,26-0-0,26-0-0,18-0-0,21-0-0,19-0-0,13-0-0,26-0-0,17-0-0,23-0-0,27-0-0,48-1-DNC,48-1-DNC,48-0-DNC,48-0-DNC,48-0-DNC,nan-0-0,nan-0-0,nan-0-0
72,72,73,JPN,1027,,THE GLIDE FACTORY,JUNNA WATANABE,,OPEN,425.0,570.0,33-0-0,31-0-0,25-0-0,29-0-0,33-0-0,34-0-0,36-0-0,43-1-0,31-0-0,38-1-0,19-0-0,27-0-0,22-0-0,29-1-0,15-0-0,18-0-0,35-1-0,20-0-0,23-0-0,29-0-0,nan-0-0,nan-0-0,nan-0-0
73,73,74,AUT,28,,,LORENA ABICHT,UYCNS/ SNG,OPEN,426.0,582.0,31-0-0,9-0-0,33-0-0,13-0-0,37-1-0,35-0-0,43-1-0,35-0-0,30-0-0,30-0-0,28-0-0,34-0-0,25-0-0,41-1-0,21-0-0,19-0-0,32-0-0,35-1-0,26-0-0,25-0-0,nan-0-0,nan-0-0,nan-0-0
74,74,75,SUI,226,,,MANON BERGER,CNI NFT,OPEN,426.0,589.0,34-0-RDG,47-1-0,23-0-0,29-0-0,37-0-0,28-0-0,33-0-0,41-1-0,36-0-0,32-0-0,18-0-0,38-1-0,18-0-0,37-1-0,23-0-0,23-0-0,36-0-0,21-0-0,18-0-0,17-0-0,nan-0-0,nan-0-0,nan-0-0
75,75,76,FRA,19,,SEAFOODIA/BPMED,AMBAR PAPAZIAN,LA PELLE,OPEN,427.0,604.0,23-0-0,45-1-0,35-0-0,25-0-0,29-0-0,31-0-0,29-0-0,20-0-0,36-1-0,33-0-0,31-0-0,24-0-0,21-0-0,25-0-0,1-0-0,30-0-0,22-0-0,48-1-DNC,48-1-DNC,48-0-DNC,nan-0-0,nan-0-0,nan-0-0
76,76,77,BRA,49,,TIME PE,BRUNA MARTINELLI CESARIO DE MELLO,MARINHA DO BRASIL / YCB,OPEN,483.0,647.0,49-1-DSQ,39-0-0,37-0-0,41-0-0,15-0-0,28-0-0,35-0-0,48-1-UFD,48-0-UFD,32-0-0,24-0-0,28-0-0,34-1-0,23-0-0,17-0-0,33-1-0,30-0-0,29-0-0,27-0-0,30-0-0,nan-0-0,nan-0-0,nan-0-0
77,77,78,SGP,73,,,MARSHA  BINTE SHAHRIN,,OPEN,483.0,645.0,39-0-0,47-1-0,39-0-0,31-0-0,19-0-0,36-0-0,40-1-0,33-0-0,38-0-0,38-0-0,39-1-0,36-1-0,26-0-0,31-0-0,17-0-0,28-0-0,26-0-0,36-0-0,28-0-0,18-0-0,nan-0-0,nan-0-0,nan-0-0
78,78,79,POL,122,,OMIDA SEA AND AIR,ALEKSANDRA WASIEWICZ,ERGO HESTIA,U23,493.0,658.0,33-0-0,35-0-0,25-0-0,29-0-0,37-1-0,35-0-0,37-0-0,48-1-UFD,37-0-0,36-0-0,30-0-0,23-0-0,32-0-0,29-0-0,39-1-0,41-1-0,23-0-0,34-0-0,17-0-0,38-0-0,nan-0-0,nan-0-0,nan-0-0
79,79,80,POL,125,,,POLA WAWRZYNIAK,,U23,499.0,652.0,41-0-0,43-1-0,43-0-0,35-0-0,33-0-0,41-0-0,42-0-0,45-1-0,37-0-0,41-0-0,33-1-0,18-0-0,16-0-0,27-0-0,29-0-0,25-0-0,31-0-0,16-0-0,32-1-0,24-0-0,nan-0-0,nan-0-0,nan-0-0
80,80,81,DEN,120,,,SOFIE HAMMEKEN,SWC/NIVAA SURFKLUB,OPEN,500.0,663.0,41-1-0,33-0-0,21-0-0,37-0-0,43-1-0,30-0-0,38-0-0,35-0-0,35-0-0,37-0-0,35-0-0,35-0-0,30-0-0,9-0-0,39-1-0,32-0-0,34-0-0,25-0-0,40-1-0,34-0-0,nan-0-0,nan-0-0,nan-0-0
81,81,82,FIN,402,,,SOFIA HAMALAINEN,,U23,518.0,702.0,31-0-0,37-0-0,43-1-0,49-1-BFD,37-0-0,19-0-0,30-0-0,24-0-0,30-0-0,31-0-0,25-0-0,40-0-0,48-1-DNC,31-0-0,31-0-0,39-0-0,41-0-0,44-1-0,35-0-0,37-0-0,nan-0-0,nan-0-0,nan-0-0
82,82,83,ARG,5,,ENARD,CHIARA  FERRETTI,CLUB NAUTICO CORDOBA,U23,521.0,697.0,37-0-0,33-0-0,37-0-0,39-1-0,31-0-0,37-0-0,40-1-0,37-0-0,39-0-0,37-0-0,29-0-0,48-1-UFD,28-0-0,39-0-0,49-1-DNC,27-0-0,28-0-0,17-0-0,34-0-0,31-0-0,nan-0-0,nan-0-0,nan-0-0
83,83,84,SUI,130,,,ELENA SANDERA,ZYC,U23,530.0,723.0,37-0-0,43-0-0,29-0-0,33-0-0,21-0-0,32-0-0,48-1-DNC,48-1-UFD,22-0-0,48-0-UFD,37-0-0,37-0-0,48-1-DNC,25-0-0,49-1-RET,48-0-UFD,15-0-0,40-0-0,48-0-DNC,15-0-0,nan-0-0,nan-0-0,nan-0-0
84,84,85,ESP,47,,,ENRICHETTA BETTINI FLEITAS,REAL CLUB NÁUTICO DE GRAN CANARIA,U23,548.0,715.0,41-0-0,43-0-0,35-0-0,39-0-0,45-0-0,39-0-0,47-1-0,46-1-0,42-0-0,45-0-0,27-0-0,33-0-0,33-0-0,39-1-0,35-1-0,24-0-0,27-0-0,33-0-0,31-0-0,11-0-0,nan-0-0,nan-0-0,nan-0-0
85,85,86,JPN,31,,SAGAMI,MIKI YAMABE,,OPEN,573.0,746.0,43-1-0,41-1-0,33-0-0,37-0-0,41-0-0,39-0-0,41-0-0,32-0-0,39-0-0,40-0-0,36-0-0,41-1-0,48-1-DNC,33-0-0,37-0-0,34-0-0,37-0-0,31-0-0,36-0-0,27-0-0,nan-0-0,nan-0-0,nan-0-0
86,86,87,THA,9,,WATH,ATICHA HOMRARUEN,WATH,U23,588.0,762.0,41-0-0,37-0-0,35-0-0,43-1-0,27-0-0,38-0-0,43-1-0,36-0-0,40-0-0,39-0-0,38-0-0,31-0-0,48-1-DNC,35-0-0,35-0-0,40-1-0,39-0-0,39-0-0,39-0-0,39-0-0,nan-0-0,nan-0-0,nan-0-0
87,87,88,NED,119,,,FIANNE VAN DEN BRULE,ALMERE CENTRAAL,OPEN,590.0,769.0,43-0-0,39-0-0,49-1-DNC,49-1-DNC,49-0-DNC,37-0-0,39-0-0,48-0-DNC,48-0-DNC,48-0-DNC,32-0-0,29-0-0,29-0-0,41-1-0,25-0-0,29-0-0,40-1-0,30-0-0,29-0-0,36-0-0,nan-0-0,nan-0-0,nan-0-0
88,88,89,JPN,35,,"J’S LADIES CLINIC,    SHIGA SPORTS ASSOCIATION , GILL JAPAN",MEGUMI ISEDA (SEGAWA),,OPEN,601.2,783.2,37-0-0,33-0-0,39-0-0,41-0-0,39-0-0,48-1-BFD,4740-0-DPI,48-1-DPI,4240-0-DPI,4540-0-DPI,34-0-0,30-0-0,48-1-DNF,33-0-0,33-0-0,38-1-0,38-0-0,37-0-0,37-0-0,35-0-0,nan-0-0,nan-0-0,nan-0-0
89,89,90,USA,321,,WOMEN'S SPORTS FOUNDATION / MICHELOB ULTRA,B  LINDSAY,TREASURE ISLAND SAILING CENTER,OPEN,660.0,848.0,47-1-0,45-1-0,41-0-0,41-0-0,43-0-0,41-0-0,45-0-0,37-0-0,42-0-0,42-0-0,48-1-DNC,39-0-0,48-1-DNC,43-0-0,45-0-0,42-0-0,44-0-0,42-0-0,41-0-0,32-0-0,nan-0-0,nan-0-0,nan-0-0
90,90,91,CAN,17,,PARC RETIREMENT LIVING,NIKOLA  GIRKE,,OPEN,662.0,852.0,45-1-0,41-0-0,45-0-0,43-0-0,45-0-0,48-1-DSQ,44-0-0,42-0-0,38-0-0,44-0-0,40-0-0,42-0-0,48-1-DNC,49-1-DNF,41-0-0,31-0-0,43-0-0,41-0-0,42-0-0,40-0-0,nan-0-0,nan-0-0,nan-0-0
91,91,92,HUN,55,,,SARA SZENTIVANYI,,OPEN,663.0,846.0,43-1-0,35-0-0,41-0-0,37-0-0,41-0-0,40-0-0,42-0-0,34-0-0,41-0-0,43-1-0,41-0-0,48-1-DNC,48-0-DNC,49-1-DNC,41-0-0,43-0-0,45-0-0,43-0-0,43-0-0,48-0-DNF,nan-0-0,nan-0-0,nan-0-0
92,92,93,CAN,613,,,REBECCA HELLER,KINGSTON YACHT CLUB,U23,681.0,873.0,49-1-DNC,45-0-0,43-0-0,45-0-0,45-0-0,40-0-0,46-1-0,44-0-0,41-0-0,42-0-0,42-0-0,48-1-DNF,48-0-DNC,43-0-0,49-1-DNC,37-0-0,42-0-0,38-0-0,38-0-0,48-0-DNC,nan-0-0,nan-0-0,nan-0-0
93,93,94,IND,12,,,ISHWARIYA GANESH,,U23,736.0,929.0,49-1-DNC,45-0-0,39-0-0,45-0-0,39-0-0,48-1-DNC,48-0-DNC,48-0-DNC,48-0-DNC,48-0-DNC,48-1-DNC,48-1-DNC,48-0-DNC,45-0-0,43-0-0,48-0-DNC,48-0-DNC,48-0-DNC,48-0-DNC,48-0-DNC,nan-0-0,nan-0-0,nan-0-0
