,Unnamed: 0,RANK,COUNTRY,BOAT_NUMBER,BOW,SPONSOR,CREW,CLUB,CATEGORY,NETT,TOTAL,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11F,12F,13F,14F,15F,16F,17F,18F,19F,20F,QF,SF,F
15,15,16,ISR,7,,"SEMPERIT, XT",MAYA MORRIS,SDOT YAM SAILING CLUB,OPEN,184.0,277.0,11-0-0,5-0-0,9-0-0,15-0-0,3-0-0,10-0-0,12-0-0,23-1-0,18-1-0,12-0-0,12-0-0,21-0-0,30-1-0,2-0-0,19-0-0,22-1-0,16-0-0,17-0-0,9-0-0,11-0-0,nan-0-0,nan-0-0,nan-0-0
16,16,17,CHN,37,,,ZHENG YAN,,OPEN,185.0,342.0,9-0-0,1-0-0,49-1-BFD,21-1-0,7-0-0,6-0-0,12-0-0,12-0-0,13-0-0,11-0-0,2-0-0,8-0-0,15-0-0,1-0-0,27-0-0,48-1-BFD,24-0-0,12-0-0,39-1-0,25-0-0,nan-0-0,nan-0-0,nan-0-0
17,17,18,GER,799,,"BUNDESWEHR, SURFCENTER LIDOBLU, RIPCURL, STARBOARD, SEVERNE",THERESA MARIE STEINLEIN,NORDDEUTSCHER REGATTA VEREIN,U23,187.0,300.0,13-1-0,7-0-0,15-1-0,3-0-0,13-0-0,11-0-0,10-0-0,13-0-0,12-0-0,8-0-0,36-1-0,16-0-0,3-0-0,7-0-0,4-0-0,25-0-0,21-0-0,15-0-0,49-1-BFD,19-0-0,nan-0-0,nan-0-0,nan-0-0
18,18,19,ESP,132,,,NICOLE VAN DER VELDEN VIZCAYA,,OPEN,205.0,340.0,3-0-0,15-0-0,19-1-0,13-0-0,47-1-0,5-0-0,11-0-0,9-0-0,9-0-0,10-0-0,7-0-0,31-1-0,11-0-0,30-0-0,38-1-0,12-0-0,20-0-0,22-0-0,11-0-0,17-0-0,nan-0-0,nan-0-0,nan-0-0
19,19,20,GBR,20,,,ISLAY WATSON,WEYMOUTH & PORTLAND NATIONAL SAILING ACADEMY,OPEN,210.0,336.0,3-0-0,1-0-0,19-1-0,15-0-0,11-0-0,10-0-0,9-0-0,8-0-0,11-0-0,20-1-0,45-1-0,30-0-0,9-0-0,42-1-0,15-0-0,35-0-0,11-0-0,6-0-0,11-0-0,25-0-0,nan-0-0,nan-0-0,nan-0-0
20,20,21,NZL,1,,K1W1,VEERLE TEN HAVE,TYPBC,OPEN,210.0,324.0,11-0-0,5-0-0,11-0-0,7-0-0,5-0-0,9-0-0,27-1-0,17-1-0,14-0-0,5-0-0,35-1-0,24-0-0,22-0-0,20-0-0,29-0-0,11-0-0,10-0-0,14-0-0,13-0-0,35-1-0,nan-0-0,nan-0-0,nan-0-0
21,21,22,FRA,775,,BLANCHET/SUPER U ST BARTH/HOTEL LE CELTIQUE/ AQTA/ COM ST BARTH/ SBYC,DELPHINE COUSIN,SAINT BARTH YACHT CLUB,OPEN,223.0,339.0,7-0-0,9-0-0,1-0-0,9-0-0,5-0-0,11-0-0,13-1-0,10-0-0,15-1-0,3-0-0,33-0-0,44-1-0,35-0-0,25-0-0,44-1-0,30-0-RDG,26-0-0,3-0-0,7-0-0,9-0-0,nan-0-0,nan-0-0,nan-0-0
22,22,23,NED,3,,TEAM ALLIANZ,LILIAN DE GEUS,TEAM ALLIANZ,OPEN,223.6,409.6,5-0-0,3-0-0,27-0-0,49-1-BFD,7-0-0,1040-0-DPI,840-0-DPI,940-0-DPI,1240-0-DPI,48-1-UFD,34-0-0,9-0-0,21-0-0,40-1-0,18-0-0,23-0-0,7-0-0,8-0-0,49-1-BFD,21-0-0,nan-0-0,nan-0-0,nan-0-0
23,23,24,CRO,991,,ACI//WAYPOINT//JANAF,PALMA ČARGO,JK.LABUD,OPEN,234.0,381.0,1-0-0,3-0-0,1-0-0,7-1-0,49-1-BFD,3-0-0,3-0-0,4-0-0,2-0-0,5-0-0,32-0-0,40-0-0,42-1-0,10-0-0,31-0-0,28-0-0,35-0-0,21-0-0,49-1-BFD,15-0-0,nan-0-0,nan-0-0,nan-0-0
24,24,25,FRA,57,,VOILE BANQUE POPULAIRE / EGIS / SOORUZ / TOP ATLANTIQUE / RE-UZ / ARMéE DE CHAMPIONS / WATER FAMILY,HELENE NOESMOEN,SPORTS NAUTIQUES SABLAIS,OPEN,235.0,361.0,13-0-0,11-0-0,15-0-0,21-1-0,1-0-0,15-0-0,26-1-0,6-0-0,8-0-0,7-0-0,17-0-0,23-0-0,36-1-0,19-0-0,43-1-0,24-0-0,18-0-0,32-0-0,5-0-0,21-0-0,nan-0-0,nan-0-0,nan-0-0
25,25,26,CHN,7,,,YUNXIU LU,,OPEN,291.0,434.0,29-1-0,23-0-0,41-1-0,3-0-0,9-0-0,23-0-0,23-0-0,19-0-0,18-0-0,7-0-0,24-0-0,15-0-0,8-0-0,38-1-0,35-1-0,29-0-0,19-0-0,33-0-0,15-0-0,23-0-0,nan-0-0,nan-0-0,nan-0-0
26,26,27,ITA,1,,NET INTEGRATORI - FIAMME ORO,GIORGIA SPECIALE,POLIZIA DI STATO  - FIAMME ORO,OPEN,292.0,433.0,19-0-0,19-0-0,9-0-0,15-0-0,25-1-0,20-0-0,11-0-0,25-1-0,20-0-0,19-0-0,13-0-0,29-0-0,25-0-0,9-0-0,24-0-0,43-1-0,48-1-BFD,30-0-0,17-0-0,13-0-0,nan-0-0,nan-0-0,nan-0-0
27,27,28,CHN,8,,,XIALING TAN,,OPEN,293.0,453.0,15-0-0,5-0-0,11-0-0,43-1-0,7-0-0,14-0-0,29-1-0,9-0-0,13-0-0,21-0-0,30-0-0,11-0-0,34-0-0,45-1-0,10-0-0,31-0-0,23-0-0,26-0-0,43-1-0,33-0-0,nan-0-0,nan-0-0,nan-0-0
28,28,29,POL,77,,PGE GATIGO LEGIA WARSZAWA,NOCETI KLEPACKA ZOFIA,LEGIA WARSZAWA,OPEN,299.0,446.0,27-1-0,23-1-0,7-0-0,1-0-0,15-0-0,12-0-0,17-0-0,14-0-0,8-0-0,17-0-0,28-0-0,48-1-UFD,14-0-0,37-0-0,14-0-0,16-0-0,29-0-0,27-0-0,49-1-BFD,43-0-0,nan-0-0,nan-0-0,nan-0-0
29,29,30,CZE,89,,,KATERINA SVIKOVA,,OPEN,301.0,477.0,17-0-0,37-1-0,7-0-0,5-0-0,31-0-0,48-1-BFD,18-0-0,11-0-0,14-0-0,15-0-0,27-0-0,14-0-0,5-0-0,35-0-0,17-0-0,44-1-0,27-0-0,31-0-0,27-0-0,47-1-0,nan-0-0,nan-0-0,nan-0-0
30,30,31,PER,7,,MABERICK,MARIA BELEN BAZO,CLUB DE REGATAS LIMA,OPEN,311.0,493.0,7-0-0,9-0-0,25-0-0,17-0-0,19-0-0,48-1-BFD,13-0-0,48-1-UFD,28-0-0,13-0-0,20-0-0,38-1-0,28-0-0,36-0-0,21-0-0,13-0-0,12-0-0,48-1-BFD,31-0-0,19-0-0,nan-0-0,nan-0-0,nan-0-0
31,31,32,USA,220,,US SAILING TEAM // AMERICA ONE RACING // SFSF // SFNY // NYYC,DOMINIQUE STATER,,OPEN,315.0,498.0,19-0-0,21-0-0,13-0-0,15-0-0,17-0-0,13-0-0,16-0-0,48-1-UFD,48-1-UFD,14-0-0,26-0-0,20-0-0,12-0-0,23-0-0,26-0-0,39-1-0,28-0-0,48-1-BFD,29-0-0,23-0-0,nan-0-0,nan-0-0,nan-0-0
32,32,33,GBR,248,,,ALICE READ,WEYMOUTH & PORTLAND NATIONAL SAILING ACADEMY,OPEN,318.0,454.0,33-1-0,17-0-0,27-0-0,31-1-0,13-0-0,8-0-0,21-0-0,12-0-0,11-0-0,13-0-RDG,25-0-0,27-0-0,26-0-0,28-0-0,12-0-0,36-1-0,36-1-0,24-0-0,27-0-0,27-0-0,nan-0-0,nan-0-0,nan-0-0
33,33,34,CHN,3,,,XIANTING HUANG,,OPEN,334.0,496.0,21-0-0,35-1-0,29-0-0,19-0-0,11-0-0,48-1-BFD,19-0-0,10-0-0,15-0-0,24-0-0,40-1-0,37-0-0,24-0-0,21-0-0,8-0-0,20-0-0,22-0-0,19-0-0,35-0-0,39-1-0,nan-0-0,nan-0-0,nan-0-0
34,34,35,DEN,321,,,LAERKE BUHL-HANSEN,AARHUS SEJLKLUB,OPEN,340.0,522.0,35-0-0,43-1-0,49-1-BFD,31-0-0,9-0-0,17-0-0,10-0-0,8-0-0,10-0-0,14-0-0,44-1-0,33-0-0,18-0-0,46-1-0,34-0-0,30-0-0,39-0-0,10-0-0,9-0-0,33-0-0,nan-0-0,nan-0-0,nan-0-0
