RANK,LYCRA NR.,HELMNAME,NAT.,NETT,TOTAL,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,F1,F2,F3,F4,F5,F6,F7,F8
15TH,151,GISELA PULIDO BORRELL,ESP,148.0,225.0,9.0-0-0,10.0-0-0,9.0-0-0,27.0-0-UFD,7.0-0-0,11.0-0-0,10.0-0-0,27.0-0-DNC,4.0-0-0,6.0-0-0,7.0-0-0,15.0-0-0,14.0-0-0,5.0-0-0,23.0-0-0,11.0-0-0,11.0-0-0,9.0-0-0,10.0-0-0
16TH,26,ALINA KORNELLI,AUT,149.0,218.0,3.0-0-0,6.0-0-0,2.0-0-0,7.0-0-0,9.0-0-0,15.0-0-0,9.0-0-0,6.0-0-0,4.0-0-0,27.0-0-DNC,6.0-0-0,16.0-0-0,10.0-0-0,14.0-0-0,16.0-0-0,15.0-0-0,26.0-0-DNC,11.0-0-0,16.0-0-0
17TH,162,JULIA DAMASIEWICZ (U21),POL,169.0,224.0,4.0-0-0,7.0-0-0,4.0-0-0,11.0-0-0,13.0-0-0,13.0-0-0,4.0-0-0,3.0-0-0,8.0-0-0,4.0-0-0,10.0-0-0,18.0-0-0,17.0-0-0,15.0-0-0,20.0-0-0,21.0-0-0,20.0-0-0,21.0-0-0,11.0-0-0
18TH,156,SI WANG (U21),CHN,172.0,234.0,12.0-0-0,12.0-0-0,16.0-0-0,10.0-0-0,9.0-0-0,9.0-0-0,6.0-0-0,7.0-0-0,11.0-0-0,7.0-0-0,3.0-0-0,20.0-0-0,20.0-0-0,26.0-0-DSQ,10.0-0-0,16.0-0-0,13.0-0-0,18.0-0-0,9.0-0-0
19TH,75,BREIANA WHITEHEAD,AUS,185.0,254.0,10.0-0-0,8.0-0-0,6.0-0-0,9.0-0-0,12.0-0-0,8.0-0-0,11.0-0-0,17.0-0-0,3.0-0-0,8.0-0-0,10.0-0-0,19.0-0-0,26.0-0-DNC,26.0-0-DNC,15.0-0-0,17.0-0-0,18.0-0-0,13.0-0-0,18.0-0-0
20TH,70,MAYA ASHKENAZI,ISR,186.0,250.0,14.0-0-0,10.0-0-0,14.0-0-0,6.0-0-0,10.0-0-0,7.0-0-0,10.0-0-0,12.0-0-0,7.0-0-0,9.0-0-0,11.0-0-0,12.0-0-0,18.0-0-0,26.0-0-DNC,24.0-0-0,22.0-0-0,7.0-0-0,23.0-0-0,8.0-0-0
21ST,49,IZABELA SATRJAN,POL,211.0,280.0,20.0-0-0,14.0-0-0,15.0-0-0,12.0-0-0,7.0-0-0,4.0-0-0,6.0-0-0,8.0-0-0,5.0-0-0,18.0-0-0,12.0-0-0,23.0-0-0,23.0-0-0,26.0-0-DNC,18.0-0-0,14.0-0-0,19.0-0-0,16.0-0-0,20.0-0-0
22ND,95,CHLOE REVIL,FRA,212.0,271.0,7.0-0-0,3.0-0-0,7.0-0-0,13.0-0-0,10.0-0-0,12.0-0-0,12.0-0-0,8.0-0-0,14.0-0-0,13.0-0-0,13.0-0-0,21.0-0-0,15.0-0-0,20.0-0-0,21.0-0-0,23.0-0-0,22.0-0-0,22.0-0-0,15.0-0-0
23RD,136,LYSA CAVAL (U21),FRA,214.0,295.0,27.0-0-DNC,27.0-0-DNC,8.0-0-0,8.0-0-0,20.0-0-0,5.0-0-0,11.0-0-0,5.0-0-0,27.0-0-DNF,10.0-0-0,5.0-0-0,14.0-0-0,16.0-0-0,19.0-0-0,9.0-0-0,25.0-0-0,16.0-0-0,17.0-0-0,26.0-0-DNC
24TH,62,WAN LI,CHN,237.0,318.0,11.0-0-0,6.0-0-0,11.0-0-0,10.0-0-0,8.0-0-0,8.0-0-0,18.0-0-0,10.0-0-0,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,17.0-0-0,21.0-0-0,26.0-0-RET,19.0-0-0,18.0-0-0,17.0-0-0,20.0-0-0,17.0-0-0
25TH,122,SOFIA TOMASONI,ITA,237.0,304.0,15.0-0-0,9.0-0-0,10.0-0-0,11.0-0-0,8.0-0-0,13.0-0-0,13.0-0-0,9.0-0-0,13.0-0-0,11.0-0-0,11.0-0-0,22.0-0-0,19.0-0-0,16.0-0-0,25.0-0-0,24.0-0-0,23.0-0-0,26.0-0-DNC,26.0-0-DNC
