RANK,LYCRA NR.,HELMNAME,NAT.,NETT,TOTAL,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,F1,F2,F3,F4,F5,F6,F7,F8
1ST,37,MAXIMILIAN MAEDER (U21) (U19),SGP,17.0,50.0,2.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,30.0-0-UFD,1.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0
2ND,138,AXEL MAZELLA,FRA,44.0,106.0,3.0-0-0,2.0-0-0,4.0-0-0,3.0-0-0,1.0-0-0,2.0-0-0,1.0-0-0,2.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,30.0-0-DNC,4.0-0-0,5.0-0-0,6.0-0-0,2.0-0-0,4.0-0-0,5.0-0-0,3.0-0-0,26.0-0-DNC
3RD,59,CONNOR BAINBRIDGE,GBR,49.0,101.0,4.0-0-0,2.0-0-0,1.0-0-0,2.0-0-0,4.0-0-0,30.0-0-UFD,2.0-0-0,3.0-0-0,1.0-0-0,2.0-0-0,2.0-0-0,7.0-0-0,3.0-0-0,7.0-0-0,2.0-0-0,3.0-0-0,2.0-0-0,15.0-0-0,4.0-0-0,5.0-0-0
4TH,78,VALENTIN BONTUS,AUT,50.0,93.0,1.0-0-0,1.0-0-0,2.0-0-0,1.0-0-0,2.0-0-0,6.0-0-0,4.0-0-0,1.0-0-0,2.0-0-0,2.0-0-0,2.0-0-0,2.0-0-0,2.0-0-0,19.0-0-0,4.0-0-0,18.0-0-0,7.0-0-0,2.0-0-0,2.0-0-0,13.0-0-0
5TH,148,BRUNO LOBO,BRA,65.0,104.0,3.0-0-0,6.0-0-0,4.0-0-0,3.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,5.0-0-0,1.0-0-0,1.0-0-0,3.0-0-0,1.0-0-0,7.0-0-0,10.0-0-0,8.0-0-0,6.0-0-0,23.0-0-0,10.0-0-0,7.0-0-0,3.0-0-0
6TH,45,RICCARDO PIANOSI (U21),ITA,65.0,112.0,1.0-0-0,1.0-0-0,2.0-0-0,1.0-0-0,2.0-0-0,3.0-0-0,2.0-0-0,1.0-0-0,2.0-0-0,4.0-0-0,1.0-0-0,2.0-0-0,17.0-0-0,3.0-0-0,5.0-0-0,7.0-0-0,26.0-0-DNC,4.0-0-0,13.0-0-0,15.0-0-0
7TH,73,MARTIN DOLENC,CRO,89.0,160.0,6.0-0-0,8.0-0-0,1.0-0-0,2.0-0-0,30.0-0-UFD,1.0-0-0,3.0-0-0,8.0-0-0,4.0-0-0,3.0-0-0,3.0-0-0,1.0-0-0,12.0-0-0,4.0-0-0,3.0-0-0,12.0-0-0,9.0-0-0,20.0-0-0,9.0-0-0,21.0-0-0
8TH,89,BENOIT GOMEZ,FRA,100.0,160.0,1.0-0-0,13.0-0-0,2.0-0-0,3.0-0-0,4.0-0-0,4.0-0-0,4.0-0-0,2.0-0-0,14.0-0-0,30.0-0-DNC,11.0-0-0,11.0-0-0,6.0-0-0,16.0-0-0,7.0-0-0,4.0-0-0,3.0-0-0,9.0-0-0,6.0-0-0,10.0-0-0
9TH,126,JANNIS MAUS,GER,100.0,136.0,4.0-0-0,4.0-0-0,3.0-0-0,2.0-0-0,2.0-0-0,2.0-0-0,2.0-0-0,11.0-0-0,2.0-0-0,11.0-0-0,4.0-0-0,5.0-0-0,13.0-0-0,12.0-0-0,10.0-0-0,10.0-0-0,12.0-0-0,7.0-0-0,12.0-0-0,8.0-0-0
10TH,48,MAKSYMILIAN ZAKOWSKI,POL,113.0,167.0,9.0-0-0,6.0-0-0,3.0-0-0,4.0-0-0,6.0-0-0,4.0-0-0,3.0-0-0,2.0-0-0,6.0-0-0,8.0-0-0,10.0-0-0,5.0-0-0,20.0-0-0,2.0-0-0,23.0-0-0,21.0-0-0,11.0-0-0,12.0-0-0,10.0-0-0,2.0-0-0
11TH,149,MAXIME NOCHER,FRA,116.0,165.0,6.0-0-0,3.0-0-0,5.0-0-0,5.0-0-0,3.0-0-0,9.0-0-0,8.0-0-0,3.0-0-0,3.0-0-0,7.0-0-0,3.0-0-0,2.0-0-0,16.0-0-0,9.0-0-0,24.0-0-0,13.0-0-0,16.0-0-0,8.0-0-0,16.0-0-0,6.0-0-0
12TH,130,JAN MARCINIAK,POL,132.0,185.0,8.0-0-0,10.0-0-0,4.0-0-0,5.0-0-0,3.0-0-0,5.0-0-0,5.0-0-0,10.0-0-0,9.0-0-0,14.0-0-0,7.0-0-0,6.0-0-0,19.0-0-0,20.0-0-0,11.0-0-0,11.0-0-0,10.0-0-0,13.0-0-0,11.0-0-0,4.0-0-0
13TH,17,DENIS TARADIN,CYP,135.0,225.0,6.0-0-0,6.0-0-0,12.0-0-0,30.0-0-UFD,30.0-0-UFD,30.0-0-UFD,6.0-0-DP,4.0-0-0,5.0-0-0,3.0-0-0,7.0-0-0,8.0-0-0,5.0-0-0,15.0-0-0,17.0-0-0,5.0-0-0,8.0-0-0,3.0-0-0,5.0-0-0,20.0-0-0
14TH,135,THEO DE RAMECOURT,FRA,137.0,202.0,21.0-0-0,5.0-0-0,14.0-0-0,8.0-0-0,8.0-0-0,5.0-0-0,5.0-0-0,16.0-0-0,4.0-0-0,3.0-0-0,2.0-0-0,5.0-0-0,18.0-0-0,26.0-0-DNC,9.0-0-0,8.0-0-0,6.0-0-0,18.0-0-0,14.0-0-0,7.0-0-0
15TH,96,SAMUEL ABEN,NED,147.0,226.0,30.0-0-UFD,11.0-0-0,7.0-0-0,30.0-0-DNC,5.0-0-0,2.0-0-0,7.0-0-0,18.0-0-0,6.0-0-0,7.0-0-0,8.0-0-0,7.0-0-0,10.0-0-0,8.0-0-0,13.0-0-0,19.0-0-0,5.0-0-0,6.0-0-0,18.0-0-0,9.0-0-0
16TH,8,DOR ZARKA,ISR,150.0,220.0,5.0-0-0,4.0-0-0,30.0-0-DSQ,7.0-0-0,13.0-0-0,3.0-0-0,21.0-0-0,8.0-0-0,3.0-0-0,2.0-0-0,4.0-0-0,3.0-0-0,8.0-0-0,11.0-0-0,15.0-0-0,14.0-0-0,15.0-0-0,16.0-0-0,19.0-0-0,19.0-0-0
17TH,50,FLORIAN GRUBER,GER,151.0,209.0,4.0-0-0,3.0-0-0,6.0-0-0,8.0-0-0,8.0-0-0,7.0-0-0,9.0-0-0,15.0-0-0,5.0-0-0,6.0-0-0,6.0-0-0,9.0-0-0,9.0-0-0,17.0-0-0,26.0-0-DNC,9.0-0-0,14.0-0-0,17.0-0-0,17.0-0-0,14.0-0-0
18TH,134,ALEXANDER EHLEN,MON,168.0,229.0,5.0-0-0,3.0-0-0,24.0-0-0,7.0-0-0,6.0-0-0,8.0-0-0,5.0-0-0,7.0-0-0,10.0-0-0,10.0-0-0,11.0-0-0,11.0-0-0,15.0-0-0,13.0-0-0,12.0-0-0,16.0-0-0,20.0-0-0,14.0-0-0,15.0-0-0,17.0-0-0
19TH,4,QIBIN HUANG (U21) (U19),CHN,172.0,236.0,5.0-0-0,7.0-0-0,13.0-0-0,10.0-0-0,7.0-0-0,6.0-0-0,6.0-0-0,5.0-0-0,4.0-0-0,16.0-0-0,6.0-0-0,3.0-0-0,24.0-0-0,14.0-0-0,21.0-0-0,24.0-0-0,17.0-0-0,22.0-0-0,8.0-0-0,18.0-0-0
20TH,85,LORENZO BOSCHETTI,ITA,183.0,269.0,2.0-0-0,2.0-0-0,5.0-0-0,5.0-0-0,30.0-0-DNC,3.0-0-0,8.0-0-0,9.0-0-0,8.0-0-0,30.0-0-DNC,5.0-0-0,4.0-0-0,11.0-0-0,26.0-0-DNC,22.0-0-0,23.0-0-0,18.0-0-0,11.0-0-0,23.0-0-0,24.0-0-0
21ST,67,BERNAT CORTES,ESP,183.0,257.0,8.0-0-0,12.0-0-0,3.0-0-0,7.0-0-0,4.0-0-0,15.0-0-0,13.0-0-0,6.0-0-0,3.0-0-0,5.0-0-0,5.0-0-0,30.0-0-DNC,14.0-0-0,21.0-0-0,19.0-0-0,17.0-0-0,13.0-0-0,19.0-0-0,20.0-0-0,23.0-0-0
22ND,21,CAMERON MARAMENIDES,GRE,184.0,254.0,7.0-0-0,9.0-0-0,8.0-0-0,4.0-0-0,3.0-0-0,6.0-0-0,7.0-0-0,8.0-0-0,8.0-0-0,6.0-0-0,7.0-0-0,18.0-0-0,23.0-0-0,26.0-0-UFD,14.0-0-0,15.0-0-0,26.0-0-DNC,21.0-0-0,22.0-0-0,16.0-0-0
23RD,68,MARKUS EDEGRAN,USA,195.0,285.0,3.0-0-0,4.0-0-0,30.0-0-UFD,6.0-0-0,30.0-0-UFD,7.0-0-0,4.0-0-0,4.0-0-0,30.0-0-DSQ,8.0-0-0,5.0-0-0,6.0-0-0,25.0-0-0,6.0-0-0,16.0-0-0,22.0-0-0,22.0-0-0,24.0-0-0,21.0-0-0,12.0-0-0
24TH,46,VOJTECH KOSKA (U21),CZE,201.0,279.0,12.0-0-0,5.0-0-0,9.0-0-0,8.0-0-0,22.0-0-0,5.0-0-0,6.0-0-0,3.0-0-0,30.0-0-DNC,6.0-0-0,8.0-0-0,10.0-0-0,21.0-0-0,18.0-0-0,18.0-0-0,20.0-0-0,19.0-0-0,23.0-0-0,25.0-0-0,11.0-0-0
25TH,47,DEURY CORNIEL,DOM,225.0,306.0,13.0-0-SP1,9.0-0-0,9.0-0-0,4.0-0-0,5.0-0-0,4.0-0-0,19.0-0-0,12.0-0-0,30.0-0-DSQ,9.0-0-0,6.0-0-0,4.0-0-0,22.0-0-0,22.0-0-0,20.0-0-0,25.0-0-0,21.0-0-0,26.0-0-UFD,24.0-0-0,22.0-0-0
