,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,RANK,COUNTRY,BOAT_NUMBER,BOW,SPONSOR,CREW,CLUB,CATEGORY,NETT,TOTAL,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10F,11F,12F,13F,14F,15F,16F,17F,18F,19F,QF,SM,F
13,13,13,13,14,POL,28,,"POLISH YACHTING ASSOCIATION, GRUPA PGE, GDAŃSK",RADOSŁAW FURMAŃSKI,,OPEN,178.0,334.0,1-0-0,7-0-0,15-0-0,7-0-0,20-1-0,14-0-0,12-0-0,60-1-DSQ,20-0-0,33-1-0,43-1-0,22-0-0,1-0-0,20-0-0,11-0-0,9-0-0,12-0-0,22-0-0,5-0-0,nan-0-0,nan-0-0,nan-0-0
14,14,14,14,15,NED,465,,TEAM ALLIANZ RAPSODY YACHTS,HUIG JAN TAK,TEAMALLIANZ,OPEN,181.0,352.0,9-0-0,5-0-0,11-0-0,41-1-BFD,3-0-0,3-0-0,9-0-0,1-0-0,29-1-0,16-0-0,42-0-0,30-0-0,26-0-0,54-1-0,11-0-0,1-0-0,3-0-0,11-0-0,47-1-0,nan-0-0,nan-0-0,nan-0-0
15,15,15,15,16,FRA,7,,ADRIEN MESTRE,ADRIEN MESTRE,,OPEN,185.0,305.0,15-1-0,9-0-0,3-0-0,1-0-0,15-1-0,4-0-0,5-0-0,5-0-0,8-0-0,20-0-0,35-0-0,53-1-0,16-0-0,27-0-0,1-0-0,25-0-0,17-0-0,9-0-0,37-1-0,nan-0-0,nan-0-0,nan-0-0
16,16,16,16,17,DEN,37,,JOHAN SøE,JOHAN SØE,ÅWK-SURFHORSENS,U23,185.0,328.0,5-0-0,29-1-0,7-0-0,7-0-0,18-1-0,17-0-0,10-0-0,13-0-0,9-0-0,45-1-0,21-0-0,13-0-0,24-0-0,51-1-0,15-0-0,3-0-0,11-0-0,17-0-0,13-0-0,nan-0-0,nan-0-0,nan-0-0
17,17,17,17,18,NED,36,,ALLIANZ,MAX CASTELEIN,WSV ALMERE CENTRAAL,U23,186.0,348.0,11-0-0,37-1-0,13-0-0,29-1-0,5-0-0,3-0-0,8-0-0,2-0-0,15-0-0,4-0-0,14-0-0,17-0-0,14-0-0,35-0-0,7-0-0,7-0-0,36-1-0,31-0-0,60-1-DNC,nan-0-0,nan-0-0,nan-0-0
18,18,18,18,19,ESP,339,,CNA/J2SAILING/IASOLUCIONES,BERNAT TOMAS,CNA,U23,191.0,335.0,3-0-0,25-1-0,5-0-0,3-0-0,11-0-0,24-1-0,7-0-0,4-0-0,18-0-0,13-0-0,27-0-0,49-1-0,46-1-0,19-0-0,9-0-0,9-0-0,14-0-0,26-0-0,23-0-0,nan-0-0,nan-0-0,nan-0-0
19,19,19,19,20,USA,6,,LIGHTNING MCQUEEN,NOAH LYONS,A1R / NB WINDSURFING,OPEN,197.0,340.0,11-0-0,11-0-0,3-0-0,41-1-BFD,14-0-0,12-0-0,3-0-0,22-1-0,6-0-0,12-0-0,36-0-0,4-0-0,39-1-0,41-1-0,21-0-0,23-0-0,21-0-0,5-0-0,15-0-0,nan-0-0,nan-0-0,nan-0-0
20,20,20,20,21,FRA,152,,YCPR MARSEILLE / BANQUE POPULAIRE MED / WIP / BAAM,TOM ARNOUX,YCPR MARSEILLE,OPEN,208.0,370.0,33-1-0,5-0-0,9-0-0,17-0-0,5-0-0,1-0-0,10-0-0,28-1-0,3-0-0,3-0-0,7-0-0,23-0-0,30-0-0,1-0-0,25-0-0,41-1-BFD,38-0-0,60-1-BFD,31-0-0,nan-0-0,nan-0-0,nan-0-0
21,21,21,21,22,NZL,59,,,JOSHUA ARMIT,WAKATERE,OPEN,217.0,379.0,1-0-0,1-0-0,19-1-0,1-0-0,8-0-0,60-1-BFD,17-0-0,15-0-0,6-0-0,22-0-0,11-0-0,36-0-0,27-0-0,40-1-0,27-0-0,5-0-0,19-0-0,21-0-0,43-1-0,nan-0-0,nan-0-0,nan-0-0
22,22,22,22,23,NZL,27,,,THOMAS CROOK,WAKATERE,OPEN,240.0,389.0,25-1-0,3-0-0,11-0-0,13-0-0,12-0-0,19-1-0,15-0-0,12-0-0,8-0-0,30-0-0,13-0-0,45-1-0,60-1-DNC,8-0-0,13-0-0,25-0-0,43-0-0,4-0-0,30-0-0,nan-0-0,nan-0-0,nan-0-0
23,23,23,23,24,USA,8,,AMERICA ONE RACING / MIAMI YACHT CLUB,GERONIMO NORES,MIAMI YACHT CLUB,OPEN,242.0,401.0,7-0-0,21-0-0,33-1-0,5-0-0,23-0-0,20-0-0,14-0-0,2-0-0,25-1-0,29-0-0,18-0-0,11-0-0,45-0-0,49-1-0,31-0-0,5-0-0,5-0-0,6-0-0,52-1-0,nan-0-0,nan-0-0,nan-0-0
24,24,24,24,25,ARU,4,,WINDPARK VADERPIET,ETHAN WESTERA,ASA,OPEN,251.0,389.0,29-1-0,9-0-0,7-0-0,9-0-0,8-0-0,16-0-0,33-1-0,18-0-0,5-0-0,35-1-0,26-0-0,33-0-0,20-0-0,16-0-0,13-0-0,41-1-BFD,27-0-0,18-0-0,26-0-0,nan-0-0,nan-0-0,nan-0-0
