,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,RANK,COUNTRY,BOAT_NUMBER,BOW,SPONSOR,CREW,CLUB,CATEGORY,NETT,TOTAL,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10F,11F,12F,13F,14F,15F,16F,17F,18F,19F,QF,SM,F
64,64,64,64,65,GER,404,,"ERROR404/GERMANSAILINGTEAM, NRV, TEAMHAMBURG, SPORTHILFE, BUNDESWEHR, LUTZ-AUFZüGE, POTENBERG, BETTERMARKS, SOORUZ, STARBOARD, SEVERNE",FABIAN WOLF,NRV OLYMPIC TEAM,OPEN,221.0,383.0,25-0-0,25-0-0,25-0-0,11-0-0,31-1-0,28-0-0,26-0-0,44-1-0,24-0-0,5-0-0,5-0-0,60-1-RET,27-1-0,17-0-0,1-0-0,9-0-0,13-0-0,4-0-0,3-0-0,nan-0-0,nan-0-0,nan-0-0
65,65,65,65,66,LTU,1,,GILIJOGA,JUOZAS BERNOTAS,BANGPUTYS / LBS,OPEN,222.0,333.0,15-0-0,21-0-0,25-0-0,25-0-0,36-1-0,37-1-0,31-0-0,19-0-0,27-0-0,13-0-0,17-1-0,5-0-0,3-0-0,3-0-0,7-0-0,7-0-0,12-0-0,21-1-0,9-0-0,nan-0-0,nan-0-0,nan-0-0
66,66,66,66,67,GBR,262,,,MAX BEAMAN,ST MAWES SAILING CLUB,U23,226.5,401.5,33-0-0,27-0-0,15-0-0,17-0-0,43-1-0,29-0-0,20-0-0,3550-0-RDG,50-1-0,3-0-0,14-0-0,10-0-0,9-0-0,41-1-DNC,41-1-BFD,1-0-0,2-0-0,3-0-0,8-0-0,nan-0-0,nan-0-0,nan-0-0
67,67,67,67,68,EST,28,,,RENAR ROOLAHT,TEAMSURFHOUSE,OPEN,233.0,418.0,17-0-0,15-0-0,23-0-0,17-0-0,25-0-0,60-1-BFD,60-1-BFD,25-0-0,45-0-0,36-1-0,29-1-0,13-0-0,7-0-0,7-0-0,13-0-0,15-0-0,4-0-0,1-0-0,6-0-0,nan-0-0,nan-0-0,nan-0-0
68,68,68,68,69,KOR,277,,,GUNHAK CHOI,,OPEN,235.0,369.0,19-0-0,33-0-0,23-0-0,23-0-0,29-0-0,58-1-0,32-0-0,25-0-0,39-1-0,2-0-0,16-1-0,14-0-0,5-0-0,7-0-0,5-0-0,3-0-0,21-1-0,5-0-0,10-0-0,nan-0-0,nan-0-0,nan-0-0
69,69,69,69,70,POL,636,,AMPERFLEX.COM,DOMINIK LEWINSKI,GDANSK SAILING TEAM,U23,245.0,374.0,21-0-0,39-0-0,7-0-0,41-1-RET,38-0-0,34-0-0,37-0-0,5-0-0,42-1-0,17-1-0,12-0-0,7-0-0,7-0-0,29-1-0,7-0-0,7-0-0,5-0-0,7-0-0,12-0-0,nan-0-0,nan-0-0,nan-0-0
70,70,70,70,71,SLO,31,,"PROLIMIT ,RECHARGE.SI",VAL ERZEN,KLUB JADRALCEV NA DESKI BUM KOPER,U23,256.0,422.0,29-0-0,27-0-0,29-0-0,23-0-0,38-1-0,60-1-BFD,25-0-0,30-0-0,28-0-0,35-1-0,11-0-0,16-0-0,5-0-0,1-0-0,1-0-0,5-0-0,16-0-0,10-0-0,33-1-0,nan-0-0,nan-0-0,nan-0-0
71,71,71,71,72,AUS,22,,HAGRID,HARRY JOYNER,FSC,U23,279.0,457.0,23-0-0,25-0-0,35-1-0,21-0-0,26-0-0,26-0-0,23-0-0,29-0-0,35-1-0,48-1-0,24-0-0,22-0-0,11-0-0,3-0-0,13-0-0,3-0-0,10-0-0,20-0-0,60-1-DNC,nan-0-0,nan-0-0,nan-0-0
72,72,72,72,73,CHN,2,,,MINHAI YANG,CYA,OPEN,294.0,449.0,29-0-0,23-0-0,23-0-0,41-0-BFD,42-0-0,60-1-BFD,40-0-0,43-0-0,49-1-0,21-1-0,4-0-0,2-0-0,3-0-0,1-0-0,1-0-0,21-0-0,25-1-0,19-0-0,2-0-0,nan-0-0,nan-0-0,nan-0-0
73,73,73,73,74,SUI,76,,SCHWEIZER SPORTHILFE / ARMEE SUISSE / SWISS SAILING TEAM,SEBASTIAN SCHÄRER,WSCS,U23,299.0,501.0,19-0-0,41-1-DNF,19-0-0,11-0-0,41-0-0,32-0-0,32-0-0,60-1-DSQ,38-0-0,8-0-0,9-0-0,60-1-DNC,19-0-0,3-0-0,41-1-DNC,35-0-0,1-0-0,18-0-0,14-0-0,nan-0-0,nan-0-0,nan-0-0
74,74,74,74,75,CYP,1,,"OPAP CYPRUS , LOVECYPRUSSPORTSPORTS, BIOSEARCH FOR SPORTS",ANDREAS CARIOLOU,KYRENIA NAUTICAL CLUB,OPEN,300.0,425.0,21-0-0,17-0-0,25-0-0,33-0-0,35-1-0,31-0-0,31-0-0,34-0-0,37-1-0,14-0-RDG,21-0-0,11-0-0,13-0-0,11-0-0,17-0-0,5-0-0,23-1-0,16-0-0,30-1-0,nan-0-0,nan-0-0,nan-0-0
75,75,75,75,76,GBR,724,,OSEA LEISURE,CHARLIE DIXON,BLACKWATER SAILING CLUB,U23,303.0,476.0,35-1-0,29-0-0,11-0-0,5-0-0,24-0-0,28-0-0,30-0-0,26-0-0,33-1-0,32-0-0,45-1-0,60-1-DNC,7-0-0,33-0-0,29-0-0,1-0-0,9-0-0,8-0-0,31-0-0,nan-0-0,nan-0-0,nan-0-0
76,76,76,76,77,CZE,63,,"MYSTIC, RODOP, VETCARE",DAVID DRDA,,U23,305.0,457.0,27-0-0,25-0-0,29-0-0,21-0-0,36-1-0,27-0-0,28-0-0,30-1-0,27-0-0,45-1-0,22-0-0,17-0-0,27-0-0,17-0-0,9-0-0,41-1-BFD,7-0-0,11-0-0,11-0-0,nan-0-0,nan-0-0,nan-0-0
77,77,77,77,78,LAT,29,,,DĀVIS MAZAIS,RĪDZENE,U23,314.0,516.0,17-0-0,21-0-0,27-0-0,41-1-BFD,40-0-0,60-1-BFD,38-0-0,27-0-0,29-0-0,60-1-BFD,8-0-0,4-0-0,23-0-0,9-0-0,5-0-0,41-1-BFD,28-0-0,22-0-0,16-0-0,nan-0-0,nan-0-0,nan-0-0
78,78,78,78,79,JPN,5,,,KENSEI IKEDA,,OPEN,314.0,462.0,11-0-0,19-0-0,21-0-0,41-1-BFD,32-0-0,32-0-0,34-1-0,33-0-0,18-0-0,19-0-0,32-1-0,41-1-0,11-0-0,23-0-0,15-0-0,15-0-0,22-0-0,25-0-0,18-0-0,nan-0-0,nan-0-0,nan-0-0
79,79,79,79,80,EST,143,,,ROMEK ROOLAHT,TPLK,U23,322.0,441.0,25-0-0,25-0-0,33-0-0,21-0-0,37-1-0,34-0-0,33-0-0,36-1-0,34-0-0,18-0-0,13-0-0,18-0-0,17-0-0,21-1-0,9-0-0,25-1-0,14-0-0,15-0-0,13-0-0,nan-0-0,nan-0-0,nan-0-0
80,80,80,80,81,SVK,2,,UR RACING TEAM,ROBERT KUBIN,ATU KOSICE,U23,329.0,518.0,17-0-0,21-0-0,19-0-0,25-0-0,60-1-BFD,60-1-BFD,39-0-0,34-0-0,39-0-0,22-0-0,15-0-0,15-0-0,17-0-0,15-0-0,23-0-0,11-0-0,40-1-0,17-0-0,29-1-0,nan-0-0,nan-0-0,nan-0-0
81,81,81,81,82,GBR,319,,,BORIS SHAW,PARKSTONE YACHT CLUB,U23,336.0,501.0,23-0-0,19-0-0,17-0-0,41-1-BFD,39-0-0,42-1-0,41-0-0,31-0-0,33-0-0,10-0-0,39-1-0,43-1-0,19-0-0,25-0-0,11-0-0,11-0-0,30-0-0,6-0-0,21-0-0,nan-0-0,nan-0-0,nan-0-0
82,82,82,82,83,POL,30,,AMPERFLEX.COM,IGOR LEWINSKI,GDANSK SAILING TEAM,U23,339.0,509.0,25-0-0,5-0-0,27-0-0,27-0-0,49-1-0,35-0-0,27-0-0,51-1-0,47-0-0,6-0-0,18-0-0,35-1-0,9-0-0,15-0-0,35-1-0,33-0-0,34-0-0,14-0-0,17-0-0,nan-0-0,nan-0-0,nan-0-0
83,83,83,83,84,POL,163,,,TOMASZ ROMANOWSKI,OS AZS POZNAN,OPEN,353.0,498.0,39-0-0,25-0-0,29-0-RDG,21-0-0,46-1-0,39-0-0,38-0-0,46-1-0,43-0-0,23-0-0,19-0-0,9-0-0,11-0-0,7-0-0,17-0-0,13-0-0,24-1-0,29-1-0,20-0-0,nan-0-0,nan-0-0,nan-0-0
84,84,84,84,85,BEL,39,,,THOMAS BROUCKE,WWSV,OPEN,355.0,519.0,15-0-0,15-0-0,23-0-0,41-0-BFD,45-1-0,41-0-0,43-1-0,41-0-0,31-0-0,29-1-0,26-0-0,24-0-0,23-0-0,13-0-0,19-0-0,9-0-0,27-0-0,47-1-0,7-0-0,nan-0-0,nan-0-0,nan-0-0
85,85,85,85,86,HKG,33,,WAHK,LING YEUNG AU,WAHK,U23,360.0,537.0,29-0-0,27-0-0,21-0-0,15-0-0,35-0-0,40-0-0,42-1-0,35-0-0,44-1-0,24-0-0,50-1-0,27-0-0,25-0-0,21-0-0,3-0-0,3-0-0,18-0-0,41-1-0,37-0-0,nan-0-0,nan-0-0,nan-0-0
86,86,86,86,87,CZE,130,,ELEVEN SPORTSWEAR,KAREL LAVICKY,YC D.I.M. BEZDREV,OPEN,378.0,550.0,37-1-0,31-0-0,23-0-0,23-0-0,37-0-0,37-0-0,42-1-0,23-0-0,28-0-0,28-0-0,30-0-0,60-1-DNC,33-1-0,19-0-0,13-0-0,9-0-0,20-0-0,30-0-0,27-0-0,nan-0-0,nan-0-0,nan-0-0
87,87,87,87,88,DEN,444,,CHEMNITZ,ALFRED TANG DIXEN,AARHUS WINDSURFING KLUB,U23,385.0,561.0,31-0-0,31-0-0,27-0-0,41-0-BFD,42-0-0,43-1-0,40-0-0,36-0-0,46-1-0,12-0-0,10-0-0,30-0-0,9-0-0,11-0-0,41-1-BFD,27-0-0,19-0-0,46-1-0,19-0-0,nan-0-0,nan-0-0,nan-0-0
88,88,88,88,89,SWE,4,,,VIDAR NYSTRÖM,,U23,405.0,604.0,15-0-0,17-0-0,29-0-0,23-0-0,56-1-0,51-0-0,52-1-0,48-0-0,49-0-0,20-0-0,23-0-0,20-0-0,15-0-0,31-1-0,27-0-0,19-0-0,60-1-DNC,24-0-0,25-0-0,nan-0-0,nan-0-0,nan-0-0
89,89,89,89,90,EST,686,,TURBOCHARGE,AKSEL HAAVA,PIRITA SURFIKLUBI,U23,418.0,584.0,33-0-0,41-0-DNF,33-0-0,29-0-0,44-1-0,35-0-0,41-0-0,33-0-0,42-1-0,33-0-0,31-0-0,34-1-0,29-0-0,25-0-0,15-0-0,23-0-0,46-1-0,12-0-0,5-0-0,nan-0-0,nan-0-0,nan-0-0
90,90,90,90,91,FRA,151,,WIND34 / HöHE / MAS DE RIRI,PAUL  NAPOLÉONE,,U23,427.0,635.0,29-0-0,17-0-0,27-0-0,27-0-0,51-1-0,55-1-0,36-0-0,38-0-0,41-0-0,60-1-BFD,38-0-0,29-0-0,17-0-0,33-0-0,19-0-0,21-0-0,31-0-0,42-1-0,24-0-0,nan-0-0,nan-0-0,nan-0-0
91,91,91,91,92,FRA,307,,,JULES CHANTREL,CN LORIENT,U23,429.0,638.0,31-0-0,23-0-0,31-0-0,19-0-0,47-0-0,36-0-0,50-0-0,53-1-0,51-1-0,26-0-0,25-0-0,19-0-0,15-0-0,13-0-0,17-0-0,41-0-RET,36-0-0,45-1-0,60-1-DNC,nan-0-0,nan-0-0,nan-0-0
92,92,92,92,93,HUN,196,,"GARMIN HUNGARY, PLANNED PERFORMANCE",BENCE SANTA,,OPEN,435.0,619.0,39-0-0,29-0-0,33-0-0,25-0-0,50-0-0,46-0-0,47-0-0,52-1-0,54-1-0,15-0-0,43-1-0,33-0-0,15-0-0,9-0-0,21-0-0,21-0-0,29-0-0,23-0-0,35-1-0,nan-0-0,nan-0-0,nan-0-0
93,93,93,93,94,EST,207,,,FRANK ERVIN,,U23,444.0,633.0,15-0-0,23-0-0,25-0-0,35-0-0,48-0-0,53-0-0,57-1-0,42-0-0,57-1-0,30-0-0,34-0-0,23-0-0,13-0-0,19-0-0,31-0-0,27-0-0,35-1-0,40-1-0,26-0-0,nan-0-0,nan-0-0,nan-0-0
94,94,94,94,95,DOM,3,,,SAMUEL PEREZ,,OPEN,453.0,646.0,31-0-0,33-0-0,35-0-0,33-0-0,49-0-0,60-1-BFD,53-1-0,38-0-0,47-0-0,16-0-0,20-0-0,31-0-0,31-0-0,15-0-0,41-1-BFD,25-0-0,39-1-0,26-0-0,23-0-0,nan-0-0,nan-0-0,nan-0-0
95,95,95,95,96,GER,40,,,JONNE HEIMANN,WÜRTTEMBERGISCHER YACHT-CLUB,U23,455.0,657.0,17-0-0,33-0-0,31-0-0,23-0-0,44-0-0,45-1-0,39-0-0,40-0-0,53-1-0,27-0-0,44-1-0,60-1-UFD,27-0-0,27-0-0,33-0-0,23-0-0,26-0-0,33-0-0,32-0-0,nan-0-0,nan-0-0,nan-0-0
96,96,96,96,97,ESP,566,,GARCIA RIERA / SPORTLINK / JETSKITOURS,SANDRO PORTUNE,CLUB NAUTIC SALOU,U23,461.0,663.0,35-0-0,35-0-0,31-0-0,31-0-0,54-1-0,43-0-0,49-0-0,47-0-0,53-1-0,25-0-0,28-0-0,26-0-0,13-0-0,17-0-0,27-0-0,19-0-0,47-1-0,35-0-0,48-1-0,nan-0-0,nan-0-0,nan-0-0
97,97,97,97,98,POL,21,,"JAGA TRENDY, UR RACING TEAM",MICHAŁ MAZIARKA,,U23,466.0,665.0,27-0-0,13-0-0,25-0-0,27-0-0,53-0-0,41-0-0,55-1-0,51-0-0,54-1-0,14-0-0,35-0-0,32-0-0,31-0-0,11-0-0,41-1-DNC,27-0-0,41-0-0,38-0-0,49-1-0,nan-0-0,nan-0-0,nan-0-0
98,98,98,98,99,THA,27,,,NITIPHAT    CHAIWUTTIWET,,OPEN,469.0,651.0,35-0-0,35-0-0,35-0-0,27-0-0,52-1-0,38-0-0,49-0-0,32-0-0,52-1-0,34-0-0,42-1-0,25-0-0,29-0-0,25-0-0,23-0-0,23-0-0,32-0-0,27-0-0,36-1-0,nan-0-0,nan-0-0,nan-0-0
99,99,99,99,100,HUN,77,,"FLAAR PERFORMANCE SAILING, THE, GARMIN HUNGARY, FUNDANGO, BALATON RIGGING, GLOBO",MÁTÉ BORS,,OPEN,478.0,683.0,41-0-DNC,41-0-DNC,31-0-0,21-0-0,48-1-0,39-0-0,46-1-0,44-0-0,46-0-0,44-0-0,51-1-0,60-1-DNC,25-0-0,21-0-0,3-0-0,15-0-0,42-0-0,31-0-0,34-0-0,nan-0-0,nan-0-0,nan-0-0
100,100,100,100,101,CAN,21,,,CYRUS LAI,,U23,479.0,676.0,31-0-0,27-0-0,29-0-0,25-0-0,52-1-0,44-0-0,48-1-0,39-0-0,48-0-0,46-1-0,36-0-0,39-0-0,25-0-0,9-0-0,21-0-0,29-0-0,51-1-0,36-0-0,41-0-0,nan-0-0,nan-0-0,nan-0-0
101,101,101,101,102,CYP,17,,LARNACA MARINA / WINDSURF CITY CYPRUS,IAKOVOS CHRISTOFIDIS,LIMASSOL NAUTICAL CLUB,U23,483.0,668.0,31-0-0,33-0-0,31-0-0,27-0-0,40-0-0,50-0-0,53-1-0,45-0-0,51-1-0,43-1-0,37-0-0,36-0-0,21-0-0,29-0-0,19-0-0,33-0-0,17-0-0,34-0-0,38-1-0,nan-0-0,nan-0-0,nan-0-0
102,102,102,102,103,SGP,52,,,ELKAN RESHAWN OH,ASSC,U23,488.0,687.0,33-0-0,21-0-0,37-0-0,25-0-0,55-1-0,47-0-0,47-0-0,51-0-RDG,55-1-0,39-1-0,27-0-0,12-0-0,31-0-0,27-0-0,25-0-0,29-0-0,50-1-0,37-0-0,39-0-0,nan-0-0,nan-0-0,nan-0-0
103,103,103,103,104,CRO,30,,,IAN ANIĆ,Y.C. LABUD,U23,497.0,702.0,35-0-0,31-0-0,41-0-BFD,41-0-BFD,46-1-0,60-1-BFD,44-0-0,37-0-0,41-0-0,38-0-0,41-0-0,42-0-0,21-0-0,13-0-0,15-0-0,13-0-0,48-1-0,44-0-0,51-1-0,nan-0-0,nan-0-0,nan-0-0
104,104,104,104,105,FRA,62,,,EMILE  ROULLET,YACHT CLUB HENDAYE,U23,502.0,714.0,37-0-0,41-0-DNF,37-0-0,27-0-0,47-1-0,44-0-0,45-1-0,19-0-0,38-0-0,9-0-0,60-1-DNC,60-1-DNF,41-0-DNC,41-0-DNC,7-0-0,41-0-BFD,60-0-DNC,32-0-0,28-0-0,nan-0-0,nan-0-0,nan-0-0
105,105,105,105,106,ESP,66,,,GUILLEM SEGU GIRO,CLUB NAUTIC SALOU,OPEN,509.0,724.0,23-0-0,27-0-0,35-0-0,31-0-0,54-1-0,52-0-0,50-0-0,55-1-0,45-0-0,31-0-0,52-1-0,28-0-0,33-0-0,27-0-0,25-0-0,17-0-0,38-0-0,54-1-0,47-0-0,nan-0-0,nan-0-0,nan-0-0
106,106,106,106,107,ESP,1,,@PILAMADRID12,FERNANDO LAMADRID TRUEBA,CLUB NÁUTICO PUERTO SHERRY,OPEN,516.0,745.0,41-0-DNC,41-0-DNC,33-0-0,31-0-0,43-0-0,47-0-0,48-0-0,53-1-0,56-1-0,60-1-BFD,60-1-DNC,60-0-DNC,23-0-0,1-0-0,9-0-0,11-0-0,33-0-0,52-0-0,43-0-0,nan-0-0,nan-0-0,nan-0-0
107,107,107,107,108,AUT,53,,,THEO PETER,,U23,517.0,731.0,27-0-0,31-0-0,33-0-0,29-0-0,50-1-0,45-0-0,45-0-0,48-0-0,57-1-0,60-1-BFD,47-1-0,40-0-0,29-0-0,23-0-0,29-0-0,13-0-0,37-0-0,43-0-0,45-0-0,nan-0-0,nan-0-0,nan-0-0
108,108,108,108,109,JPN,54,,,DAIYA KURAMOCHI,,OPEN,521.0,742.0,25-0-0,29-0-0,41-0-BFD,25-0-0,53-0-0,56-1-0,56-1-0,56-0-0,44-0-0,37-0-0,40-0-0,60-1-DNF,21-0-0,29-0-0,25-0-0,17-0-0,49-1-0,39-0-0,40-0-0,nan-0-0,nan-0-0,nan-0-0
109,109,109,109,110,ESP,67,,MAMBO F1 // VELACATALANA // RINGO,ALEX MARTI PERILLO,CLUB MARITIM ALTAFULLA,U23,545.2,757.2,33-0-0,31-0-0,27-0-0,29-0-0,56-1-0,48-0-0,54-1-0,5260-0-RDG,5260-0-RDG,47-0-0,49-1-0,37-0-0,19-0-0,31-0-0,21-0-0,25-0-0,53-1-0,48-0-0,44-0-0,nan-0-0,nan-0-0,nan-0-0
110,110,110,110,111,AUS,66,,SEVULONI,JARROD JONES,,U23,548.0,755.0,29-0-0,27-0-0,41-0-DSQ,29-0-0,55-1-0,49-0-0,51-0-0,49-0-0,55-1-0,42-0-0,33-0-0,44-0-0,35-0-0,35-0-0,23-0-0,17-0-0,44-0-0,51-1-0,46-1-0,nan-0-0,nan-0-0,nan-0-0
111,111,111,111,112,BRA,23,,,GUILHERME  PLENTZ,CLUBE DOS JANGADEIROS,OPEN,568.0,773.0,21-0-0,33-0-0,37-0-0,31-0-0,51-0-0,46-0-0,52-1-0,52-0-0,56-1-0,40-0-0,48-1-0,38-0-0,41-0-BFD,33-0-0,31-0-0,29-0-0,43-0-0,49-1-0,42-0-0,nan-0-0,nan-0-0,nan-0-0
112,112,112,112,113,POL,23,,"PGE BALTICA, PORSCHE, AZS POZNAN",MACIEK RUTKOWSKI,AZS POZNAN,OPEN,606.0,819.0,31-0-0,33-0-0,13-0-0,41-0-BFD,41-0-0,40-0-0,46-1-0,47-1-0,22-0-0,41-0-0,60-1-DNC,60-1-DNC,41-0-DNC,41-0-DNC,41-0-DNC,41-0-DNC,60-0-DNC,60-0-DNC,60-0-DNC,nan-0-0,nan-0-0,nan-0-0
113,113,113,113,114,JPN,60,,LIGHTEC,TOMONORI ANAMI,LIGHTEC,OPEN,607.0,830.0,35-0-0,29-0-0,35-0-0,33-0-0,58-1-0,54-0-0,55-1-0,54-0-0,48-0-0,50-1-0,46-0-0,60-1-DNC,33-0-0,35-0-0,29-0-0,31-0-0,45-0-0,50-0-0,50-0-0,nan-0-0,nan-0-0,nan-0-0
114,114,114,114,115,DEN,234,,,KASPER STORVANG,MARSELISBORG SEJLKLUB,U23,634.0,859.0,41-0-DNC,41-0-DNC,35-0-0,31-0-0,60-1-DNC,42-0-0,51-0-0,50-0-0,52-1-0,49-0-0,53-1-0,45-0-0,41-0-DNC,31-0-0,41-0-BFD,31-0-0,52-0-0,53-0-0,60-1-DNC,nan-0-0,nan-0-0,nan-0-0
115,115,115,115,116,IND,12,,,SACHIN GANESH,,U23,708.0,948.0,35-0-0,41-0-DNC,39-0-0,35-0-0,60-1-DNC,60-1-DNC,60-0-DNC,60-0-DNC,60-0-DNC,60-1-DNC,60-1-DNC,60-0-DNC,35-0-0,35-0-0,37-0-0,31-0-0,60-0-DNC,60-0-DNC,60-0-DNC,nan-0-0,nan-0-0,nan-0-0
116,116,116,116,117,EST,347,,,TRISTEN ERIK  KIVI,,OPEN,713.0,947.0,37-0-0,41-0-DNC,37-0-0,33-0-0,57-1-0,57-1-0,54-0-0,57-0-0,50-0-0,60-1-DNC,60-1-DNC,60-0-DNC,41-0-DNC,41-0-DNC,41-0-DNC,41-0-DNC,60-0-DNC,60-0-DNC,60-0-DNC,nan-0-0,nan-0-0,nan-0-0
117,117,117,117,118,ITA,87,,,JACOPO RENNA,,OPEN,748.0,988.0,41-0-DNC,41-0-DNC,41-0-DNC,41-0-DNC,60-1-DNC,60-1-DNC,60-0-DNC,60-0-DNC,60-0-DNC,60-1-DNC,60-1-DNC,60-0-DNC,41-0-DNC,41-0-DNC,41-0-DNC,41-0-DNC,60-0-DNC,60-0-DNC,60-0-DNC,nan-0-0,nan-0-0,nan-0-0
