Unnamed: 0,LYCRA NR.,HELMNAME,NAT.,NETT,TOTAL,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,F1,F2,F3,F4,F5,F6,F7,F8
76,36,CHRISTIAN MANEV,BUL,340.0,427.0,30.0-0-DNC,20.0-0-0,24.0-0-0,21.0-0-0,21.0-0-0,23.0-0-0,25.0-0-0,30.0-0-DNC,24.0-0-0,21.0-0-0,24.0-0-0,23.0-0-0,17.0-0-0,15.0-0-0,15.0-0-0,14.0-0-0,22.0-0-0,17.0-0-0,27.0-0-0,14.0-0-0
77,100,LOUIS GARINO (U21) (U19),FRA,351.8,436.8,27.0-0-0,24.0-0-0,25.0-0-0,23.0-0-0,21.0-0-0,24.0-0-0,25.0-0-0,25.0-0-0,24.4-0-RDG,24.4-0-RDG,24.0-0-0,26.0-0-0,19.0-0-0,18.0-0-0,11.0-0-0,17.0-0-0,12.0-0-0,19.0-0-0,32.0-0-DNC,16.0-0-0
78,141,REECE DORMAN (U21),GBR,394.0,485.0,25.0-0-0,29.0-0-0,30.0-0-DNC,25.0-0-0,25.0-0-0,27.0-0-0,25.0-0-0,24.0-0-0,24.0-0-0,25.0-0-0,25.0-0-0,23.0-0-0,32.0-0-DNC,20.0-0-0,19.0-0-0,24.0-0-0,18.0-0-0,22.0-0-0,19.0-0-0,24.0-0-0
79,40,MARCELO CAIRO,ESP,399.0,489.0,24.0-0-0,25.0-0-0,23.0-0-0,23.0-0-0,23.0-0-0,26.0-0-0,26.0-0-0,22.0-0-0,30.0-0-DSQ,30.0-0-DNC,30.0-0-DNF,30.0-0-DNC,20.0-0-0,30.0-0-0,26.0-0-0,20.0-0-0,19.0-0-0,29.0-0-0,15.0-0-0,18.0-0-0
80,72,CHITRESH TATHA,IND,401.0,485.0,27.0-0-0,25.0-0-0,25.0-0-0,24.0-0-0,24.0-0-0,25.0-0-0,27.0-0-0,26.0-0-0,30.0-0-DNF,22.0-0-0,25.0-0-0,27.0-0-0,22.0-0-0,24.0-0-0,18.0-0-0,25.0-0-0,21.0-0-0,24.0-0-0,21.0-0-0,23.0-0-0
81,74,TAKUMI IWAKI,JPN,434.0,524.0,28.0-0-0,30.0-0-DNC,26.0-0-0,25.0-0-0,25.0-0-0,30.0-0-DNC,30.0-0-DNC,30.0-0-DNC,22.0-0-0,25.0-0-0,27.0-0-0,28.0-0-0,25.0-0-0,25.0-0-0,21.0-0-0,28.0-0-0,24.0-0-0,28.0-0-0,22.0-0-0,25.0-0-0
82,58,GIORGIO CAIOZZI,CHI,439.0,531.0,30.0-0-DNC,26.0-0-0,26.0-0-0,26.0-0-0,26.0-0-0,28.0-0-0,27.0-0-0,25.0-0-0,25.0-0-0,27.0-0-0,26.0-0-0,30.0-0-DNC,27.0-0-0,28.0-0-0,23.0-0-0,32.0-0-DNC,23.0-0-0,26.0-0-0,24.0-0-0,26.0-0-0
83,112,MINH CLAEYS,BEL,450.0,540.0,28.0-0-0,27.0-0-0,27.0-0-0,30.0-0-DNC,24.0-0-0,24.0-0-0,30.0-0-DNC,30.0-0-DNC,30.0-0-DNC,30.0-0-DNC,28.0-0-0,27.0-0-0,26.0-0-0,27.0-0-0,24.0-0-0,26.0-0-0,26.0-0-0,25.0-0-0,23.0-0-0,28.0-0-0
84,44,GEORGE MANEV (M) (GM),BUL,467.0,561.0,30.0-0-DNC,27.0-0-0,25.0-0-0,26.0-0-0,26.0-0-0,26.0-0-0,30.0-0-DNC,27.0-0-0,30.0-0-DNF,30.0-0-DNF,27.0-0-0,26.0-0-0,28.0-0-0,26.0-0-0,32.0-0-DNC,32.0-0-DNC,27.0-0-0,30.0-0-0,26.0-0-0,30.0-0-0
85,18,PHILIPPE ETTORE (M) (GM) (GGM),FRA,469.0,560.0,29.0-0-0,30.0-0-DNC,30.0-0-DNC,30.0-0-DNC,30.0-0-DNC,29.0-0-0,30.0-0-DNC,30.0-0-DNC,30.0-0-DNF,23.0-0-0,26.0-0-0,30.0-0-DNC,24.0-0-0,29.0-0-0,25.0-0-0,27.0-0-0,25.0-0-0,27.0-0-0,25.0-0-0,31.0-0-0
