RANK,LYCRA NR.,HELMNAME,NAT.,NETT,TOTAL,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,F1,F2,F3,F4,F5,F6,F7,F8
1ST,142,DERIN ATAKAN (U21) (U19),TUR,110.0,162.0,13.0-0-0,16.0-0-0,12.0-0-0,19.0-0-0,17.0-0-0,12.0-0-0,16.0-0-0,16.0-0-0,5.0-0-0,5.0-0-0,9.0-0-0,1.0-0-0,2.0-0-0,2.0-0-0,11.0-0-0,1.0-0-0,3.0-0-0,1.0-0-0,1.0-0-0
2ND,145,HELOISE PEGOURIE (U21),FRA,123.0,165.0,13.0-0-0,12.0-0-0,11.0-0-0,13.0-0-0,12.0-0-0,11.0-0-0,14.0-0-0,14.0-0-0,12.0-0-0,6.0-0-0,14.0-0-0,5.0-0-0,3.0-0-0,13.0-0-0,3.0-0-0,2.0-0-0,2.0-0-0,2.0-0-0,3.0-0-0
3RD,93,ZOE BOUTANG (U21),FRA,130.0,189.0,6.0-0-0,9.0-0-0,13.0-0-0,20.0-0-0,15.0-0-0,15.0-0-0,15.0-0-0,12.0-0-0,15.0-0-0,19.0-0-0,20.0-0-0,2.0-0-0,1.0-0-0,9.0-0-0,1.0-0-0,7.0-0-0,1.0-0-0,3.0-0-0,6.0-0-0
4TH,51,JUSTINA KITCHEN,NZL,140.0,207.0,8.0-0-0,11.0-0-0,13.0-0-0,15.0-0-0,15.0-0-0,16.0-0-0,12.0-0-0,27.0-0-UFD,9.0-0-0,9.0-0-0,12.0-0-0,4.0-0-0,7.0-0-0,24.0-0-0,5.0-0-0,3.0-0-0,5.0-0-0,4.0-0-0,8.0-0-0
5TH,55,ALEXIA FANCELLI,FRA,150.0,204.0,18.0-0-0,19.0-0-0,17.0-0-0,14.0-0-0,11.0-0-0,17.0-0-0,17.0-0-0,10.0-0-0,9.0-0-0,13.0-0-0,15.0-0-0,6.0-0-0,8.0-0-0,5.0-0-0,2.0-0-0,6.0-0-0,6.0-0-0,7.0-0-0,4.0-0-0
6TH,29,NOORA RUSKOLA,FIN,156.0,204.0,13.0-0-SP1,14.0-0-0,12.0-0-0,15.0-0-0,13.0-0-0,14.0-0-0,16.0-0-0,11.0-0-0,12.0-0-0,15.0-0-0,16.0-0-0,3.0-0-0,5.0-0-0,3.0-0-0,8.0-0-0,16.0-0-0,7.0-0-0,6.0-0-0,5.0-0-0
7TH,80,MAFALDA PIRES DE LIMA,POR,162.0,223.0,11.0-0-0,17.0-0-0,5.0-0-0,14.0-0-0,14.0-0-0,10.0-0-0,15.0-0-0,13.0-0-0,8.0-0-0,17.0-0-0,17.0-0-0,8.0-0-0,4.0-0-0,14.0-0-0,4.0-0-0,9.0-0-0,27.0-0-UFD,5.0-0-0,11.0-0-0
8TH,115,DERIN DENIZ SORGUC (U21) (U19),TUR,165.0,226.0,14.0-0-0,16.0-0-0,18.0-0-0,12.0-0-0,14.0-0-0,16.0-0-0,14.0-0-0,13.0-0-0,15.0-0-0,27.0-0-DNC,16.0-0-0,9.0-0-0,9.0-0-0,4.0-0-0,6.0-0-0,4.0-0-0,4.0-0-0,8.0-0-0,7.0-0-0
9TH,3,CATALINA TURIENZO (U21) (U19),ARG,185.0,266.0,16.0-0-0,13.0-0-0,15.0-0-0,27.0-0-UFD,11.0-0-0,14.0-0-0,13.0-0-0,15.0-0-0,10.0-0-0,12.0-0-0,13.0-0-0,23.0-0-0,6.0-0-0,1.0-0-0,27.0-0-DSQ,5.0-0-0,27.0-0-DNC,16.0-0-0,2.0-0-0
10TH,132,ANAIS MAI DESJARDINS,FRA,208.0,272.0,16.0-0-0,15.0-0-0,20.0-0-0,16.0-0-0,16.0-0-0,17.0-0-0,17.0-0-0,17.0-0-0,11.0-0-0,16.0-0-0,14.0-0-0,10.0-0-0,15.0-0-0,7.0-0-0,10.0-0-0,27.0-0-DNC,9.0-0-0,9.0-0-0,10.0-0-0
11TH,106,MARINA VODISEK,SLO,228.0,305.0,19.0-0-0,18.0-0-0,21.0-0-0,21.0-0-0,23.0-0-0,20.0-0-0,19.0-0-0,19.0-0-0,27.0-0-DNC,14.0-0-0,18.0-0-0,7.0-0-0,27.0-0-DNC,6.0-0-0,7.0-0-0,8.0-0-0,8.0-0-0,14.0-0-0,9.0-0-0
12TH,120,ELLA GEIGER (U21),GBR,241.0,309.0,18.0-0-0,17.0-0-0,19.0-0-0,17.0-0-0,18.0-0-0,21.0-0-0,20.0-0-0,20.0-0-0,14.0-0-0,20.0-0-0,19.0-0-0,12.0-0-0,11.0-0-0,10.0-0-0,12.0-0-0,11.0-0-0,11.0-0-0,12.0-0-0,27.0-0-DNC
13TH,129,MARIA DO SOCORRO REIS (M),BRA,252.0,333.0,15.0-0-0,27.0-0-UFD,17.0-0-0,27.0-0-UFD,17.0-0-0,21.0-0-0,18.0-0-0,27.0-0-DSQ,27.0-0-DNC,27.0-0-DNC,15.0-0-0,11.0-0-0,10.0-0-0,8.0-0-0,9.0-0-0,10.0-0-0,10.0-0-0,10.0-0-0,27.0-0-DNC
14TH,103,MARIE EVE MAYRAND (M),CAN,255.0,321.0,17.0-0-0,19.0-0-0,27.0-0-DNC,17.0-0-0,19.0-0-0,19.0-0-0,20.0-0-0,16.0-0-0,16.0-0-0,15.0-0-0,18.0-0-0,15.0-0-0,13.0-0-0,15.0-0-0,15.0-0-0,14.0-0-0,19.0-0-0,15.0-0-0,12.0-0-0
15TH,33,LUCY BILGER,NZL,256.0,332.0,21.0-0-0,20.0-0-0,22.0-0-0,16.0-0-0,16.0-0-0,20.0-0-0,22.0-0-0,15.0-0-0,27.0-0-DNF,21.0-0-0,27.0-0-DNF,17.0-0-0,12.0-0-0,12.0-0-0,14.0-0-0,12.0-0-0,12.0-0-0,13.0-0-0,13.0-0-0
