,RANK,NAT,SAILNO,HELMNAME,HELMID,Q1,Q2,Q3,Q4,Q5,Q6,F1,F2,F3,F4,M/F5,TOTAL,NETT
99,100TH,CRO,219759,STIPE GASPIC,CROSG4,45.0-0-SPI-0-0,41.0-0-0,37.0-0-0,28.0-0-0,9.0-0-0,16.0-0-0,50.0-0-0,51.0-0-0,52.0-1-DNC,46.0-0-0,375.0-0-0,323.0,
100,101ST,THA,211027,CHUSITT PUNJAMALA,THACP5,49.0-0-0-0-0,44.0-0-0,31.0-0-0,28.0-0-0,12.0-0-0,13.0-0-0,51.0-0-0,50.0-0-0,52.0-1-DNC,52.0-0-DNC,382.0-0-0,330.0,
101,102ND,AUS,217539,LACHIE WEBER,AUSLW23,42.0-0-0-0-0,42.0-0-0,32.0-0-0,24.0-0-0,13.0-0-0,37.0-0-0,49.0-0-0,47.0-0-0,45.0-0-0,52.0-1-RET,383.0-0-0,331.0,
102,103RD,LCA,214113,LUC CHEVRIER,LCALC1,39.0-0-0-0-0,21.0-0-0,40.0-1-0,26.0-0-0,39.0-0-0,25.0-0-0,1.0-0-0,4.0-0-0,2.0-0-0,3.0-0-0,200.0-0-0,160.0,
103,104TH,AUS,219891,LAWSON MCAULLAY,AUSLM18,20.0-0-0-0-0,29.0-0-RDG,34.0-0-0,39.0-1-0,34.0-0-0,36.0-0-0,4.0-0-0,2.0-0-0,1.0-0-0,1.0-0-0,200.0-0-0,161.0,
104,105TH,USA,221611,DANIEL ESCUDERO,GERDE12,34.0-0-0-0-0,33.0-0-0,24.0-0-0,52.0-1-BFD,34.0-0-0,34.0-0-0,3.0-0-0,1.0-0-0,7.0-0-0,2.0-0-0,224.0-0-0,172.0,
105,106TH,NZL,218101,LUKE CASHMORE,NZLLC3,31.0-0-0-0-0,34.0-0-0,44.0-0-0,52.0-1-BFD,9.0-0-0,33.0-0-0,6.0-0-0,7.0-0-0,4.0-0-0,5.0-0-0,225.0-0-0,173.0,
106,107TH,CAN,217718,JAMES JUHASZ,CANJJ18,28.0-0-0-0-0,13.0-0-0,38.0-0-0,39.0-0-0,43.0-1-0,40.0-0-0,2.0-0-0,6.0-0-0,3.0-0-0,11.0-0-0,223.0-0-0,180.0,
107,108TH,DEN,222816,ANDREAS KRABBE,CHRISTENSEN,DENAK15-0-0-0-0,30.0-0-0,37.0-0-0,38.0-0-0,33.0-0-0,20.0-0-0,41.0-1-0,5.0-0-0,5.0-0-0,6.0-0-0,6.0-0-0,221.0,180.0
108,109TH,NZL,219221,LUKE DEEGAN,NZLLD4,33.0-0-0-0-0,22.0-0-0,42.0-1-0,27.0-0-0,37.0-0-0,32.0-0-0,10.0-0-0,3.0-0-0,12.0-0-0,12.0-0-0,230.0-0-0,188.0,
109,110TH,NZL,212259,CALEB ARMIT,NZLCA4,32.0-0-0-0-0,29.0-0-0,23.0-0-0,41.0-1-0,41.0-0-0,33.0-0-0,16.0-0-0,11.0-0-0,9.0-0-0,7.0-0-0,242.0-0-0,201.0,
110,111TH,AUS,222155,JACK EICKMEYER,AUSJE25,30.0-0-0-0-0,32.0-0-0,37.0-0-0,52.0-1-BFD,48.0-0-0,44.0-0-0,7.0-0-0,8.0-0-0,5.0-0-0,4.0-0-0,267.0-0-0,215.0,
111,112TH,JPN,220186,KENJI NANRI,JPNKN17,35.0-0-0-0-0,36.0-1-0,34.0-0-0,31.0-0-0,28.0-0-10%,27.0-0-0,24.0-0-0,29.0-0-0,8.0-0-0,8.0-0-0,260.0-0-0,224.0,
112,113TH,FIN,215016,FREDRIK WESTMAN,FINFW1,40.0-1-0-0-0,36.0-0-0,35.0-0-0,32.0-0-0,28.0-0-0,28.0-0-0,22.0-0-0,16.0-0-0,14.0-0-0,15.0-0-0,266.0-0-0,226.0,
113,114TH,NZL,220054,DYLAN FORSYTH,NZLDF6,36.0-0-0-0-0,37.0-0-0,40.0-0-0,38.0-0-0,17.0-0-0,43.0-1-0,12.0-0-0,21.0-0-0,16.0-0-0,17.0-0-0,277.0-0-0,234.0,
114,115TH,AUT,191101,CLEMENS KUEBBER,AUTCK11,43.0-0-0-0-0,44.0-0-0,46.0-1-0,35.0-0-0,15.0-0-0,46.0-0-0,15.0-0-0,22.0-0-0,11.0-0-0,13.0-0-0,290.0-0-0,244.0,
115,116TH,IVB,208841,THAD LETTSOME,IVBTL1,33.0-0-0-0-0,30.0-0-0,36.0-0-0,25.0-0-0,39.0-1-0,36.0-0-0,21.0-0-0,19.0-0-0,25.0-0-0,24.0-0-0,288.0-0-0,249.0,
116,117TH,USA,222516,JAMES GOLDEN,USAJG296,47.0-0-0-0-0,40.0-0-0,25.0-0-0,37.0-0-0,42.0-0-0,52.0-1-DSQ,19.0-0-0,10.0-0-0,10.0-0-0,23.0-0-0,305.0-0-0,253.0,
117,118TH,AUS,166789,EDWARD REID,AUSER7,27.0-0-0-0-0,44.0-1-0,29.0-0-0,34.0-0-0,19.0-0-0,44.0-0-0,27.0-0-0,23.0-0-0,36.0-0-0,16.0-0-0,299.0-0-0,255.0,
118,119TH,SAM,216199,ERONI LEILUA,SAMEL1,44.0-1-0-0-0,41.0-0-0,43.0-0-0,37.0-0-0,37.0-0-0,32.0-0-0,23.0-0-0,13.0-0-0,21.0-0-0,9.0-0-0,300.0-0-0,256.0,
119,120TH,AUS,224626,WILL SARGENT,AUSWS11,47.0-1-0-0-0,43.0-0-0,35.0-0-0,40.0-0-0,45.0-0-0,35.0-0-0,9.0-0-0,27.0-0-0,18.0-0-0,10.0-0-0,309.0-0-0,262.0,
120,121ST,CAN,191126,BEN FLOWER,CANBF14,35.0-0-0-0-0,41.0-0-0,36.0-0-0,33.0-0-0,45.0-1-0,36.0-0-0,11.0-0-0,12.0-0-0,24.0-0-0,34.0-0-0,307.0-0-0,262.0,
121,122ND,CHI,214730,RICARDO SEGUEL LACAMARA,CHIRS2,38.0-0-0-0-0,42.0-0-0,47.0-1-0,44.0-0-0,44.0-0-0,22.0-0-0,14.0-0-0,14.0-0-0,29.0-0-0,19.0-0-0,313.0-0-0,266.0,
122,123RD,DEN,218709,KENNETH FREDERIKSEN,DENKF5,37.0-0-0-0-0,34.0-0-0,30.0-0-0,52.0-1-BFD,31.0-0-0,37.0-0-0,13.0-0-0,25.0-0-0,34.0-0-0,37.0-0-0,330.0-0-0,278.0,
123,124TH,SGP,214170,WONN KYE LEE,SINWL3,44.0-0-0-0-0,43.0-0-0,45.0-1-0,36.0-0-0,32.0-0-0,34.0-0-0,20.0-0-0,24.0-0-0,19.0-0-0,27.0-0-0,324.0-0-0,279.0,
124,125TH,USA,200404,ROBBY MEEK,USARM234,39.0-0-0-0-0,39.0-0-0,42.0-1-0,40.0-0-0,30.0-0-0,41.0-0-0,30.0-0-0,20.0-0-0,23.0-0-0,18.0-0-0,322.0-0-0,280.0,
125,126TH,SRB,203013,NIKOLA BANJAC,SRBNB2,39.0-0-0-0-0,37.0-0-0,41.0-0-0,43.0-0-0,43.0-0-0,46.0-0-0,8.0-0-0,9.0-0-0,51.0-1-BFD,21.0-0-0,338.0-0-0,287.0,
126,127TH,AUS,222421,PATRICK SCALLY,AUSPS52,41.0-0-0-0-0,45.0-0-0,39.0-0-0,29.0-0-0,46.0-1-0,45.0-0-0,28.0-0-0,17.0-0-0,22.0-0-0,31.0-0-0,343.0-0-0,297.0,
127,128TH,NZL,222172,GEORGE PILKINGTON,NZLGP6,25.0-0-0-0-0,46.0-0-0,44.0-0-0,35.0-0-0,24.0-0-0,46.0-0-0,26.0-0-0,28.0-0-0,51.0-1-BFD,33.0-0-0,358.0-0-0,307.0,
128,129TH,CHN,211313,YULONG QIU,CHNYQ2,38.0-0-0-0-0,27.0-0-0,36.0-0-0,52.0-1-BFD,18.0-0-0,33.0-0-0,25.0-0-0,30.0-0-0,51.0-0-DNC,51.0-0-DNC,361.0-0-0,309.0,
129,130TH,AUS,217820,DANIEL COSTANDI,AUSDC35,36.0-0-0-0-0,38.0-0-0,46.0-0-0,38.0-0-0,48.0-1-0,39.0-0-0,18.0-0-0,26.0-0-0,32.0-0-0,36.0-0-0,357.0-0-0,309.0,
130,131ST,BAH,213428,JOSHUA HIGGINS,BAHJH1,41.0-0-0-0-0,52.0-1-DSQ,47.0-0-0,37.0-0-0,46.0-0-0,50.0-0-0,17.0-0-0,42.0-0-0,20.0-0-0,14.0-0-0,366.0-0-0,314.0,
131,132ND,AUS,209514,ALEXANDER BIJKERK,AUSAB78,42.0-0-0-0-0,42.0-0-0,43.0-0-0,45.0-1-0,24.0-0-0,40.0-0-0,29.0-0-0,31.0-0-0,31.0-0-0,32.0-0-0,359.0-0-0,314.0,
132,133RD,AUS,221522,JULIAN TAYLOR,AUSJT44,45.0-0-0-0-0,39.0-0-0,45.0-0-0,38.0-0-0,38.0-0-0,38.0-0-0,32.0-0-0,15.0-0-0,27.0-0-0,51.0-1-DNC,368.0-0-0,317.0,
133,134TH,ITA,221411,VALERIO CASSANMAGNAGO,ITAVC28,46.0-0-0-0-0,47.0-0-0,48.0-0-0,45.0-0-0,39.0-0-0,52.0-1-RET,44.0-0-0,18.0-0-0,15.0-0-0,20.0-0-0,374.0-0-0,322.0,
134,135TH,BER,215024,MALCOLM BENN SMITH,BERMS8,37.0-0-0-0-0,40.0-0-0,43.0-0-0,35.0-0-0,38.0-0-0,48.0-1-0,35.0-0-0,37.0-0-0,33.0-0-0,25.0-0-0,371.0-0-0,323.0,
135,136TH,IND,212161,MOHIT SAINI,INDMM5,41.0-0-0-0-0,45.0-0-0,39.0-0-0,33.0-0-0,21.0-0-0,42.0-0-0,36.0-0-0,32.0-0-0,40.0-0-0,51.0-1-DNC,380.0-0-0,329.0,
136,137TH,AUS,223666,TOM HOLMES,AUSTH26,43.0-0-0-0-0,45.0-0-0,47.0-1-0,46.0-0-0,26.0-0-0,45.0-0-0,31.0-0-0,36.0-0-0,28.0-0-0,38.0-0-0,385.0-0-0,338.0,
137,138TH,AUS,211566,THOMAS FARLEY,AUSTF14,48.0-1-0-0-0,39.0-0-0,41.0-0-0,43.0-0-0,44.0-0-0,45.0-0-0,33.0-0-0,34.0-0-0,30.0-0-0,30.0-0-0,387.0-0-0,339.0,
138,139TH,JPN,208222,AO HIGUCHI,JPNAH4,42.0-0-0-0-0,48.0-0-0,42.0-0-0,34.0-0-0,37.0-0-0,49.0-1-0,40.0-0-0,44.0-0-0,26.0-0-0,28.0-0-0,390.0-0-0,341.0,
139,140TH,AUS,216359,OTTO HENRY,AUSOH3,45.0-0-0-0-0,46.0-0-0,49.0-0-0,52.0-1-DNC,49.0-0-0,42.0-0-0,39.0-0-0,39.0-0-0,17.0-0-0,22.0-0-0,400.0-0-0,348.0,
140,141ST,CHN,221231,JINDONG KONG,CHNJK1,48.0-0-0-0-0,47.0-0-0,40.0-0-0,41.0-0-0,44.0-0-0,41.0-0-0,37.0-0-0,40.0-0-0,13.0-0-0,51.0-1-DNS,402.0-0-0,351.0,
141,142ND,AUS,217361,PATRICK CUMMIN,AUSPC51,46.0-0-0-0-0,47.0-1-0,46.0-0-0,36.0-0-0,38.0-0-0,39.0-0-0,42.0-0-0,41.0-0-0,37.0-0-0,26.0-0-0,398.0-0-0,351.0,
142,143RD,AUS,216366,HAMISH GILSENAN,AUSHG6,45.0-0-0-0-0,46.0-0-0,49.0-1-0,42.0-0-0,35.0-0-0,43.0-0-0,38.0-0-0,38.0-0-0,35.0-0-0,29.0-0-0,400.0-0-0,351.0,
143,144TH,JPN,217058,SHUSUKE TAKEUCHI,JPNST18,47.0-0-0-0-0,43.0-0-0,41.0-0-0,52.0-1-BFD,47.0-0-0,47.0-0-0,41.0-0-0,33.0-0-0,38.0-0-0,35.0-0-0,424.0-0-0,372.0,
144,145TH,AUS,221957,HAMISH CRABB,AUSHC12,49.0-0-0-0-0,49.0-0-0,37.0-0-0,46.0-0-0,41.0-0-0,47.0-0-0,34.0-0-0,35.0-0-0,51.0-1-DNC,51.0-0-DNC,440.0-0-0,389.0,
145,146TH,AUS,202847,JOHN GORDON,AUSJG52,50.0-1-0-0-0,49.0-0-0,49.0-0-0,39.0-0-0,47.0-0-0,47.0-0-0,45.0-0-0,46.0-0-0,42.0-0-0,40.0-0-0,454.0-0-0,404.0,
146,147TH,AUS,224558,STEVE GUNTHER,AUSSG32,48.0-0-0-0-0,48.0-0-0,48.0-0-0,48.0-0-0,40.0-0-0,48.0-0-0,43.0-0-0,43.0-0-0,39.0-0-0,51.0-1-DNS,456.0-0-0,405.0,
147,148TH,UKR,216369,DAVID SURKOV,UKRDS16,50.0-0-0-0-0,50.0-0-0,50.0-0-0,48.0-0-0,51.0-1-0,49.0-0-0,46.0-0-0,47.0-0-0,41.0-0-0,39.0-0-0,471.0-0-0,420.0,
148,149TH,JPN,220060,YUTA IRIE,JPNYI27,49.0-0-0-0-0,50.0-0-0,48.0-0-0,40.0-0-0,50.0-0-0,48.0-0-0,48.0-0-0,48.0-0-0,43.0-0-0,51.0-1-DNC,475.0-0-0,424.0,
149,150TH,AUS,224557,JAMES QUENTIN BURNS,AUSJB108,50.0-0-0-0-0,48.0-0-0,45.0-0-0,47.0-0-0,50.0-0-0,49.0-0-0,47.0-0-0,45.0-0-0,51.0-1-RET,51.0-0-RET,483.0-0-0,432.0,
150,151ST,AUS,199224,CHRIS THORPE,AUSCT33,51.0-1-0-0-0,51.0-0-0,51.0-0-0,47.0-0-0,49.0-0-0,50.0-0-0,49.0-0-0,49.0-0-0,44.0-0-0,51.0-0-DNS,492.0-0-0,441.0,
151,152ND,POL,213213,VINCENT PETER,INDVP3,51.0-1-0-0-0,51.0-0-0,50.0-0-0,49.0-0-0,43.0-0-0,50.0-0-0,50.0-0-0,50.0-0-0,51.0-0-DNC,51.0-0-DNC,496.0-0-0,445.0,
