,RANK,NAT,SAILNO,HELMNAME,HELMID,Q1,Q2,Q3,Q4,Q5,F1,F2,F3,F4,F5,M/F6,TOTAL,NET,MEDALIST
74,75TH,UKR,219653,ALINA SHAPOVALOVA,UKRAS23,34.0-0-0,44.0-0-0,33.0-0-0,52.0-1-DNC,28.0-0-0,32.0-0-0,32.0-0-0,34.0-0-0,3.0-0-0,23.0-0-0,9.0-0-0,324.0,272.0,
75,76TH,JPN,202611,YUMIKO TOMBE,JPNYT7,46.0-1-0,37.0-0-0,41.0-0-0,44.0-0-0,26.0-0-0,9.0-0-0,8.0-0-0,36.0-0-0,29.0-0-0,25.0-0-0,28.0-0-0,329.0,283.0,
76,77TH,GUA,182111,CRISTINA CASTELLANOS,GUACC1,49.0-1-0,42.0-0-0,40.0-0-0,38.0-0-0,42.0-0-0,18.0-0-0,31.0-0-0,21.0-0-0,9.0-0-0,13.0-0-0,32.0-0-0,335.0,286.0,
77,78TH,CHI,199268,MARIA JOSE PONCEL MAURIN,CHIMP2,37.0-0-0,34.0-0-0,37.0-0-0,35.0-0-0,40.0-0-0,26.0-0-0,29.0-0-0,41.0-1-0,18.0-0-0,18.0-0-0,12.0-0-0,327.0,286.0,
78,79TH,TUN,207590,INES GMATI,TUNIG2,40.0-0-0,42.0-0-0,43.0-1-0,42.0-0-0,16.0-0-0,23.0-0-0,25.0-0-0,22.0-0-0,26.0-0-0,27.0-0-0,24.0-0-0,330.0,287.0,
79,80TH,CRO,220958,SANDRA LULIC,CROSL3,48.0-0-0,23.0-0-0,20.0-0-0,25.0-0-0,41.0-0-0,51.0-1-RET,9.0-0-0,23.0-0-0,34.0-0-0,28.0-0-0,37.0-0-0,339.0,288.0,
80,81ST,ARG,205488,DELFINA DALLI,ARGDD5,50.0-1-0,40.0-0-0,43.0-0-0,37.0-0-0,43.0-0-0,22.0-0-0,17.0-0-0,13.0-0-0,32.0-0-0,19.0-0-0,26.0-0-30%,342.0,292.0,
81,82ND,GER,218414,GESA PAPENTHIN,GERGP11,11.0-0-0,38.0-0-0,27.0-0-0,36.0-0-0,39.0-1-0,38.0-0-0,33.0-0-0,30.0-0-0,39.0-0-0,20.0-0-0,21.0-0-0,332.0,293.0,
82,83RD,CHI,219916,AGUSTINA JORDAN,CHIAJ1,52.0-1-BFD,41.0-0-0,39.0-0-0,45.0-0-0,37.0-0-0,15.0-0-0,23.0-0-0,32.0-0-0,14.0-0-0,32.0-0-0,20.0-0-0,350.0,298.0,
83,84TH,TUR,219501,OKYANUS ARIKAN,TUROA9,5.0-0-0,39.0-0-0,33.0-0-0,18.0-0-0,44.0-1-0,29.0-0-0,27.0-0-0,43.0-0-0,27.0-0-0,40.0-0-0,43.0-0-0,348.0,304.0,
84,85TH,GER,223716,AMELIE ELSTNER,GERAE21,21.0-0-0,45.0-0-0,25.0-0-0,26.0-0-0,46.0-1-0,25.0-0-0,28.0-0-0,33.0-0-0,33.0-0-0,35.0-0-0,35.0-0-0,352.0,306.0,
85,86TH,SWE,220684,HANNA KOBA,SWEHK12,38.0-0-0,34.0-0-0,38.0-0-0,43.0-1-0,38.0-0-0,19.0-0-0,26.0-0-0,20.0-0-0,42.0-0-0,22.0-0-0,40.0-0-0,360.0,317.0,
86,87TH,UKR,222641,SOFIIA NAUMENKO,UKRSN6,35.0-0-0,29.0-0-0,42.0-0-0,27.0-0-0,35.0-0-0,33.0-0-0,38.0-0-0,28.0-0-0,30.0-0-0,30.0-0-0,51.0-1-BFD,378.0,327.0,
87,88TH,ARG,200514,ISABEL BUSCH,ARGIB4,37.0-0-0,43.0-0-0,45.0-1-0,41.0-0-0,44.0-0-0,20.0-0-0,44.0-0-0,17.0-0-0,35.0-0-0,41.0-0-0,8.0-0-0,375.0,330.0,
88,89TH,CZE,223487,LINDA DOKOUPILOVA,CZELD2,47.0-0-0,46.0-0-0,49.0-0-0,47.0-0-0,15.0-0-0,16.0-0-0,51.0-1-DNC,29.0-0-0,37.0-0-0,44.0-0-0,5.0-0-0,386.0,335.0,
89,90TH,JPN,196480,HONOKA MIURA,JPNHM24,26.0-0-0,44.0-0-0,46.0-1-0,41.0-0-0,41.0-0-0,40.0-0-0,35.0-0-0,40.0-0-0,31.0-0-0,36.0-0-0,14.0-0-0,394.0,348.0,
90,91ST,FIJ,216173,SOPHIA MORGAN,FIJSM1,42.0-0-0,48.0-1-0,46.0-0-0,40.0-0-0,43.0-0-0,34.0-0-0,34.0-0-0,27.0-0-0,36.0-0-0,37.0-0-0,38.0-0-0,425.0,377.0,
91,92ND,CZE,220626,KLARA HIMMELOVA,CZEKH2,34.0-0-0,45.0-1-0,44.0-0-0,45.0-0-0,45.0-0-0,42.0-0-0,37.0-0-0,42.0-0-0,38.0-0-0,34.0-0-0,26.0-0-0,432.0,387.0,
92,93RD,JPN,169388,TALIA HAMLIN,JPNTH29,43.0-0-0,50.0-1-0,45.0-0-0,40.0-0-0,38.0-0-0,37.0-0-0,43.0-0-0,31.0-0-0,40.0-0-0,39.0-0-0,36.0-0-0,442.0,392.0,
93,94TH,JPN,204489,YUURI YAMAMOTO,JPNYY10,45.0-0-0,47.0-0-0,48.0-0-0,49.0-1-0,46.0-0-0,44.0-0-0,36.0-0-0,38.0-0-0,45.0-0-0,38.0-0-0,30.0-0-0,466.0,417.0,
94,95TH,JPN,221066,MAI KAKIMOTO,JPNMK35,32.0-0-0,48.0-0-0,47.0-0-0,48.0-0-0,50.0-1-0,39.0-0-0,46.0-0-0,48.0-0-0,41.0-0-0,42.0-0-0,44.0-0-0,485.0,435.0,
95,96TH,USA,217347,ANNA VASILIEVA,USAAV36,43.0-0-0,47.0-1-0,47.0-0-0,46.0-0-0,47.0-0-0,43.0-0-0,42.0-0-0,37.0-0-0,46.0-0-0,45.0-0-0,41.0-0-0,484.0,437.0,
96,97TH,PUR,170708,MARINA ESCUDERO NEGRON,PURME1,44.0-0-0,46.0-0-0,48.0-1-0,47.0-0-0,47.0-0-0,46.0-0-0,41.0-0-0,46.0-0-0,43.0-0-0,43.0-0-0,46.0-0-0,497.0,449.0,
97,98TH,ARG,223052,MARLENE RIQUELME ANTONETTI,ARGMR14,41.0-0-SP1,51.0-1-0,51.0-0-0,51.0-0-0,48.0-0-0,45.0-0-0,45.0-0-0,45.0-0-0,44.0-0-0,47.0-0-0,47.0-0-0,515.0,464.0,
98,99TH,ARG,195393,INES ANTONI,ARGIA4,45.0-0-0,49.0-1-0,49.0-0-0,48.0-0-0,48.0-0-0,41.0-0-0,48.0-0-0,47.0-0-0,47.0-0-0,48.0-0-0,45.0-0-0,515.0,466.0,
99,100TH,USA,212125,KELLY MCMURRAY,USAKM167,51.0-1-0,49.0-0-0,50.0-0-0,50.0-0-0,49.0-0-0,47.0-0-0,47.0-0-0,51.0-0-DNF,48.0-0-0,46.0-0-0,42.0-0-0,530.0,479.0,
100,101ST,CHI,211468,MARIELA MORAGA,CHIMM12,46.0-0-0,52.0-1-DNC,52.0-0-DNC,52.0-0-DNC,49.0-0-0,48.0-0-0,51.0-0-DNC,49.0-0-0,49.0-0-0,49.0-0-0,48.0-0-0,545.0,493.0,
