Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Thomas Broucke,4,IQFOIL Masc,1.0,O,48,,332.0,242.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
eyal zror,4,IQFOIL Masc,(25.0),O,49,,337.0,248.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
LEONIDAS TSORTANIDIS,4,IQFOIL Masc,(19.0),O,50,,325.0,250.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Sil Hoekstra,4,IQFOIL Masc,13.0,O,51,,343.0,251.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Joan Carles Cardona Bocarando,4,IQFOIL Masc,13.0,O,52,,359.0,260.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Mads Jepsen,4,IQFOIL Masc,13.0,O,53,,343.0,265.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Jérome Pasquette,4,IQFOIL Masc,11.0,O,54,,372.0,266.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Jakob Eklund,4,IQFOIL Masc,(21.0),O,55,,363.0,273.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Jacopo Renna,4,IQFOIL Masc,(31.0),O,56,,378.0,277.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Rytis Jasiunas,4,IQFOIL Masc,19.0,O,57,,367.0,279.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
James Hatcher,4,IQFOIL Masc,3.0,O,58,,363.0,281.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Benoat Merceur,4,IQFOIL Masc,11.0,O,59,,379.0,281.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Luka Mratovic,4,IQFOIL Masc,5.0,O,60,,369.0,288.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Fabian Wolf,4,IQFOIL Masc,(9.0),O,61,,366.0,291.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Antonino Cangemi,4,IQFOIL Masc,15.0,O,62,,396.0,297.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Hidde Van der Meer,4,IQFOIL Masc,19.0,O,63,,386.0,300.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Dominik Lewinski,4,IQFOIL Masc,11.0,O,64,,406.0,318.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Ofek Elimelech,4,IQFOIL Masc,19.0,O,65,,435.0,326.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Kensei Ikeda,4,IQFOIL Masc,5.0,O,66,,422.0,336.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
JOSE LUIS BORONAT SUAY,4,IQFOIL Masc,7.0,O,67,,445.0,341.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Onur Cavit Biriz,4,IQFOIL Masc,9.0,O,68,,438.0,345.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Alexis Mathis,4,IQFOIL Masc,15.0,O,69,,442.0,349.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
FERNANDO LAMADRID TRUEBA,4,IQFOIL Masc,(27.0),O,70,,464.0,362.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Yoav Cohen,4,IQFOIL Masc,(17.0),O,71,,467.0,375.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
ALEXANDROS KALPOGIANNAKIS,4,IQFOIL Masc,21.0,O,72,,487.0,388.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Daiya Kuramochi,4,IQFOIL Masc,19.0,O,73,,492.0,390.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
DÄvis Mazais,4,IQFOIL Masc,3.0,O,74,,497.0,395.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Huig Jan Tak,4,IQFOIL Masc,(11.0),O,1,,35.0,20.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Nicolas Goyard,4,IQFOIL Masc,(23.0),O,2,,79.0,28.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
luuc van opzeeland,4,IQFOIL Masc,13.0,O,3,,69.0,32.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Louis Giard,4,IQFOIL Masc,(15.0),O,4,,70.0,40.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Tom Reuveny,4,IQFOIL Masc,3.0,O,5,,109.0,40.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Mateus Isaac,4,IQFOIL Masc,(29.0),O,6,,87.0,44.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Titouan Le Bosq,4,IQFOIL Masc,1.0,O,7,,76.0,54.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Sills Samuel,4,IQFOIL Masc,11.0,O,8,,102.0,61.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Sebastian Koerdel,4,IQFOIL Masc,(7.0),O,9,,101.0,64.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Finn Hawkins,4,IQFOIL Masc,3.0,O,10,,111.0,70.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Tom ARNOUX,4,IQFOIL Masc,3.0,O,11,,119.0,74.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Pierre Le coq,4,IQFOIL Masc,3.0,O,12,,141.6,78.6,European Championship 2021 - Gold Fleet & Medal Race,Q2
Romain Ghio,4,IQFOIL Masc,1.0,O,13,,130.0,80.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
nicola renna,4,IQFOIL Masc,(37.0 BFDs),O,14,,149.0,83.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Thomas Goyard,4,IQFOIL Masc,1.0,O,15,,133.0,85.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Pawel Tarnowski,4,IQFOIL Masc,1.0,O,16,,151.0,100.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
MICHAL POLAK,4,IQFOIL Masc,13.0,O,17,,164.0,104.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Andy Browm,4,IQFOIL Masc,(37.0 BFDs),O,18,,208.0,117.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
