Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Arie MOFFATSamuel BONIN,12,49er,23.0,G,33,,243.0,212.0,World Championship 2022,Q1
Tim FISCHERFabian GRAF,12,49er,10.0,G,34,,241.0,212.0,World Championship 2022,Q1
Erik HEILThomas PLOESSEL,12,49er,25.0,G,35,,260.0,219.0,World Championship 2022,Q1
Kévin FISCHERYann JAUVIN,12,49er,11.0,G,36,,264.0,223.0,World Championship 2022,Q1
Nevin SNOWMaximiliano AGNESE,12,49er,21.0,G,37,,257.0,224.0,World Championship 2022,Q1
Keanu PRETTNERJakob FLACHBERGER,12,49er,5.0,G,38,,269.0,228.0,World Championship 2022,Q1
William JONESEvan DEPAUL,12,49er,15.0,G,39,,262.0,228.0,World Championship 2022,Q1
Carl Emil SLOTHNikolaj HOFFMANN BUHL,12,49er,33.0,G,40,,264.0,229.0,World Championship 2022,Q1
Andrés BARRIOAntonio TORRADO MARTINEZ,12,49er,8.0,G,41,,265.0,229.0,World Championship 2022,Q1
Akira SAKAIRussell AYLSWORTH,12,49er,16.0,G,42,,286.0,253.0,World Championship 2022,Q1
Séafra GUILFOYLEJohnny DURCAN,12,49er,16.0,G,43,,288.0,256.0,World Championship 2022,Q1
Marco ANESSI PÈEdoardo GAMBA,12,49er,18.0,G,44,,283.0,256.0,World Championship 2022,Q1
Samuel BACONHenry GAUTREY,12,49er,13.0,G,45,,303.0,262.0,World Championship 2022,Q1
Xin WANGTianyu QI,12,49er,34.0,G,46,,308.0,272.0,World Championship 2022,Q1
Théo REVILTimothee DEPERY,12,49er,19.0,G,47,,313.0,279.0,World Championship 2022,Q1
Dante BIANCHIThomas LOW-BEER,12,49er,27.0,G,48,,322.0,288.0,World Championship 2022,Q1
Christopher WILLIFORDDuncan WILLIFORD,12,49er,(33.0),G,49,,346.0,313.0,World Championship 2022,Q1
Joakim SALSKOV-IVERSENMarkus Oliver NIELSEN,12,49er,14.0,G,50,,356.0,315.0,World Championship 2022,Q1
Shingen FURUYATakayanagi AKIRA,12,49er,24.0,G,51,,350.0,317.0,World Championship 2022,Q1
Ryan LITTLECHILDJack HILDEBRAND,12,49er,(34.0),G,52,,357.0,323.0,World Championship 2022,Q1
Philipp ROYLATom HEINRICH,12,49er,17.0,G,53,,377.0,343.0,World Championship 2022,Q1
Benjamin GREZExequiel GREZ AHRENS,12,49er,(34.0),G,54,,393.0,359.0,World Championship 2022,Q1
Ander BELAUSTEGUIGOITIADanel BELAUSTEGUIGOITIA,12,49er,11.0,G,55,,403.0,362.0,World Championship 2022,Q1
Ryan WOODAndrew WOOD,12,49er,34.0,G,56,,402.0,367.0,World Championship 2022,Q1
Alexander HEINZEMANNEdward COLEMAN,12,49er,34.0,G,57,,417.0,382.0,World Championship 2022,Q1
Charlie HIBBENScott RASMUSSEN,12,49er,26.0,G,58,,430.0,389.0,World Championship 2022,Q1
Thomas STAPLESWilliam STAPLES,12,49er,34.0,G,59,,434.0,395.0,World Championship 2022,Q1
Jordan JANOVGrant JANOV,12,49er,33.0,G,60,,450.0,415.0,World Championship 2022,Q1
Dylan JONESJonathan KELLY,12,49er,33.0,G,61,,459.0,420.0,World Championship 2022,Q1
John Jack GOGANHunter HOY,12,49er,34.0,G,62,,466.0,428.0,World Championship 2022,Q1
Reed LORIMERCasey CABOT,12,49er,33.0,G,63,,502.0,464.0,World Championship 2022,Q1
Liam WALZAbie GRIGGS,12,49er,34.0,G,64,,512.0,472.0,World Championship 2022,Q1
Ben CRIPTONRafael PEDRO,12,49er,34.0,G,65,,556.0,516.0,World Championship 2022,Q1
Bart LAMBRIEXFloris van de WERKEN,12,49er,2.0,G,1,,100.0,85.0,World Championship 2022,Q2
Diego BOTINFlorian TRITTEL PAUL,12,49er,1.0,G,2,,132.0,107.0,World Championship 2022,Q2
Sime FANTELAMihovil FANTELA,12,49er,2.0,G,3,,134.0,109.0,World Championship 2022,Q2
Isaac McHARDIEWilliam McKENZIE,12,49er,5.0,G,4,,138.0,116.0,World Championship 2022,Q2
Łukasz PRZYBYTEKJacek PIASECKI,12,49er,11.0,G,5,,138.0,117.0,World Championship 2022,Q2
Jakob MEGGENDORFERAndreas SPRANGER,12,49er,3.0,G,6,,144.0,126.0,World Championship 2022,Q2
Logan DUNNING BECKOscar GUNN,12,49er,7.0,G,7,,148.0,126.0,World Championship 2022,Q2
Benjamin BILDSTEINDavid HUSSL,12,49er,9.0,G,8,,152.0,131.0,World Championship 2022,Q2
Zaiding WENTian LIU,12,49er,8.0,G,9,,163.0,142.0,World Championship 2022,Q2
Dominik BUKSAKSzymon WIERZBICKI,12,49er,7.0,G,10,,183.0,158.0,World Championship 2022,Q2
Ian BARROWSHans HENKEN,12,49er,14.0,G,11,,163.0,145.0,World Championship 2022,Q2
Uberto CRIVELLI VISCONTIN/A,12,49er,23.0,G,12,,179.0,151.0,World Championship 2022,Q2
Max STINGELELinov SCHEEL,12,49er,5.0,G,13,,173.0,152.0,World Championship 2022,Q2
Erwan FISCHERClément PEQUIN,12,49er,18.0,G,14,,180.0,157.0,World Championship 2022,Q2
Frederik RASKJakob Precht JENSEN,12,49er,17.0,G,15,,180.0,157.0,World Championship 2022,Q2
Lucas RUALEmile AMOROS,12,49er,3.0,G,16,,184.0,158.0,World Championship 2022,Q2
Chris TAYLORRhos HAWES,12,49er,11.0,G,17,,192.0,166.0,World Championship 2022,Q2
Simone FERRARESELeonardo CHISTÈ,12,49er,4.0,G,18,,193.0,170.0,World Championship 2022,Q2
James PETERSFynn STERRITT,12,49er,9.0,G,19,,198.0,170.0,World Championship 2022,Q2
Jakub SZTORCHMikołaj STANIUL,12,49er,19.0,G,20,,211.0,186.0,World Championship 2022,Q2
Tom BURTONSimon HOFFMAN,12,49er,20.0,G,21,,221.0,187.0,World Championship 2022,Q2
Andrew MOLLERUSIan MACDIARMID,12,49er,(30.0),G,22,,234.0,204.0,World Championship 2022,Q2
Jack FERGUSONMax PAUL,12,49er,1.0,G,23,,234.0,205.0,World Championship 2022,Q2
Yannick LEFÈBVRETom PELSMAEKERS,12,49er,16.0,G,24,,233.0,208.0,World Championship 2022,Q2
Hernan UMPIERREFernando DIZ,12,49er,15.0,G,25,,263.0,238.0,World Championship 2022,Q2
Marco GRAELGabriel BORGES,12,49er,18.0,G,26,,216.0,189.0,World Championship 2022,Q2
Leo TAKAHASHITim MORISHIMA,12,49er,19.0,G,27,,222.0,192.0,World Championship 2022,Q2
Thomas NEEDHAMJoel TURNER,12,49er,14.0,G,28,,238.0,197.0,World Championship 2022,Q2
Nick ROBINSDaniel BUDDEN,12,49er,10.0,G,29,,232.0,198.0,World Championship 2022,Q2
Pim van VUGTScipio HOUTMAN,12,49er,8.0,G,30,,222.0,198.0,World Championship 2022,Q2
Jim COLLEYShaun CONNOR,12,49er,25.0,G,31,,251.0,210.0,World Championship 2022,Q2
